TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
MEF2B,5.18,1.11E-07,2.811,0.642,0.015,1.44E-05
NEUROG2,5.724,5.19E-09,2.578,0.603,0.026,7.80E-05
MAML3,3.303,4.79E-04,3.029,0.581,0.035,1.85E-04
FOXO1,3.104,9.53E-04,2.725,0.589,0.036,2.03E-04
RNF2,3.412,3.23E-04,2.156,0.687,0.04,2.94E-04
TCF21,3.376,3.68E-04,2.16,0.668,0.041,3.10E-04
EBF3,2.796,2.59E-03,3.251,0.571,0.044,3.80E-04
TBX5,3.54,2.00E-04,3.122,0.566,0.045,4.08E-04
BMI1,2.812,2.46E-03,2.232,0.615,0.046,4.28E-04
FLI1,4.236,1.14E-05,2.909,0.558,0.049,5.38E-04
OTX2,5.947,1.36E-09,2.849,0.556,0.052,6.24E-04
EBF1,2.951,1.58E-03,2.436,0.579,0.054,6.92E-04
MYOG,2.112,1.74E-02,2.906,0.576,0.055,7.34E-04
REST,6.354,1.05E-10,2.668,0.553,0.057,8.40E-04
STAG1,8.03,4.89E-16,1.954,0.593,0.059,9.22E-04
EZH2,9.228,1.38E-20,1.686,0.768,0.062,1.06E-03
HOXC9,2.26,1.19E-02,3.183,0.559,0.062,1.08E-03
EBNA3C,2.554,5.32E-03,2.153,0.588,0.064,1.16E-03
PGR,1.699,4.47E-02,2.466,0.616,0.064,1.20E-03
NEUROD1,3.989,3.32E-05,4.031,0.537,0.068,1.43E-03
TRAF7,3.38,3.63E-04,1.83,0.611,0.069,1.50E-03
SPI1,6.913,2.38E-12,1.703,0.604,0.072,1.70E-03
KLF11,3.018,1.27E-03,2.301,0.558,0.073,1.78E-03
CHD5,1.651,4.94E-02,2.651,0.58,0.076,1.96E-03
PAX3,1.641,5.04E-02,2.903,0.575,0.076,1.96E-03
PPARG,3.977,3.49E-05,1.697,0.612,0.076,1.99E-03
DUX4,1.947,2.58E-02,2.68,0.56,0.078,2.17E-03
SMARCA4,3.146,8.28E-04,2.005,0.568,0.08,2.29E-03
SIX2,3.568,1.80E-04,2.901,0.533,0.08,2.32E-03
CD74,2.634,4.22E-03,1.789,0.601,0.081,2.38E-03
NUP98-HOXA9,1.658,4.87E-02,2.436,0.583,0.081,2.41E-03
KMT2A,3.864,5.57E-05,2.092,0.556,0.083,2.54E-03
PHOX2B,1.618,5.29E-02,3.025,0.566,0.083,2.61E-03
ZNF100,2.289,1.10E-02,1.84,0.593,0.085,2.78E-03
ZFP57,2.182,1.46E-02,2.349,0.556,0.086,2.82E-03
