TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ESR1,9.844,3.63E-23,1.861,0.733,0.031,1.33E-04
MBD2,3.166,7.74E-04,2.074,0.721,0.04,2.94E-04
HDAC2,3.558,1.87E-04,2.201,0.709,0.042,3.35E-04
ZNF143,4.856,5.99E-07,1.831,0.716,0.044,3.89E-04
DROSHA,2.412,7.94E-03,2.055,0.738,0.047,4.70E-04
KDM5B,3.035,1.20E-03,1.964,0.718,0.048,4.92E-04
ZNF687,2.395,8.31E-03,2.258,0.718,0.049,5.26E-04
GREB1,2.987,1.41E-03,2.565,0.703,0.05,5.61E-04
TFDP1,3.461,2.69E-04,1.482,0.739,0.052,6.51E-04
ASCL1,3.3,4.83E-04,2.031,0.707,0.055,7.34E-04
ZNF592,2.27,1.16E-02,2.87,0.708,0.055,7.49E-04
RAC3,1.713,4.34E-02,2.596,0.725,0.062,1.06E-03
TET2,2.535,5.63E-03,1.82,0.714,0.066,1.28E-03
NCAPG,2.491,6.38E-03,3.014,0.694,0.067,1.32E-03
E2F6,3.474,2.56E-04,1.887,0.694,0.073,1.75E-03
WDHD1,2.214,1.34E-02,2.623,0.695,0.074,1.80E-03
SP1,3.754,8.68E-05,1.386,0.707,0.075,1.88E-03
POLR3D,3.702,1.07E-04,2.444,0.682,0.076,1.96E-03
SUZ12,4.215,1.25E-05,1.098,0.723,0.077,2.05E-03
CTCFL,3.179,7.38E-04,2.027,0.688,0.083,2.61E-03
ZBTB48,4.558,2.58E-06,2.366,0.676,0.088,3.07E-03
CBX1,2.356,9.23E-03,3.03,0.684,0.089,3.19E-03
PRDM2,2.165,1.52E-02,2.159,0.693,0.09,3.23E-03
SAP30,3.644,1.34E-04,0.879,0.751,0.091,3.35E-03
NRF1,7.304,1.39E-13,0.879,0.729,0.091,3.43E-03
NKRF,2.185,1.44E-02,1.287,0.718,0.092,3.47E-03
SON,1.658,4.86E-02,2.106,0.709,0.092,3.51E-03
E2F1,9.648,2.50E-22,0.765,0.752,0.095,3.89E-03
FOXM1,3.155,8.02E-04,1.069,0.713,0.096,3.93E-03
TRIM25,2.643,4.11E-03,2.425,0.678,0.097,4.12E-03
EMX1,2.573,5.04E-03,1.871,0.688,0.097,4.12E-03
ZBTB7A,5.005,2.79E-07,1.44,0.686,0.101,4.59E-03
KDM4A,2.534,5.64E-03,1.939,0.686,0.101,4.64E-03
HCFC1,3.434,2.98E-04,0.931,0.714,0.102,4.74E-03
GTF2I,2.052,2.01E-02,1.324,0.71,0.102,4.84E-03
ZNF76,2.404,8.11E-03,1.542,0.694,0.102,4.84E-03
RARG,2.277,1.14E-02,1.878,0.686,0.107,5.48E-03
HDAC1,3.242,5.93E-04,0.783,0.737,0.107,5.59E-03
EZH2,4.349,6.85E-06,0.767,0.72,0.109,5.87E-03
ZMYND8,1.99,2.33E-02,1.087,0.725,0.109,5.87E-03
MYC,8.312,4.69E-17,0.649,0.753,0.11,5.99E-03
KDM5A,3.446,2.84E-04,0.725,0.74,0.111,6.11E-03
MAX,2.686,3.62E-03,0.8,0.749,0.111,6.11E-03
LARP7,1.818,3.45E-02,3.184,0.681,0.111,6.23E-03
NFYA,3.115,9.21E-04,0.994,0.703,0.112,6.35E-03
ZEB1,1.726,4.22E-02,1.134,0.733,0.113,6.41E-03
NR2C2,3.398,3.40E-04,0.941,0.704,0.113,6.47E-03
RYBP,2.248,1.23E-02,0.996,0.717,0.113,6.47E-03
NELFE,5.413,3.10E-08,0.663,0.735,0.114,6.66E-03
ZBTB11,3.147,8.25E-04,0.84,0.718,0.114,6.72E-03
HCFC1R1,1.541,6.16E-02,2.391,0.691,0.115,6.91E-03
ZMYM3,1.662,4.82E-02,1.229,0.714,0.123,8.44E-03
KDM3A,2.161,1.54E-02,1.156,0.698,0.126,9.04E-03
RBBP5,3.53,2.08E-04,0.821,0.701,0.128,9.35E-03
MEN1,2.042,2.06E-02,1.35,0.691,0.128,9.35E-03
KLF1,2.285,1.12E-02,1.444,0.684,0.129,9.59E-03
THAP11,1.656,4.89E-02,1.271,0.709,0.129,9.67E-03
GTF3C5,1.771,3.83E-02,1.343,0.695,0.13,9.83E-03
SETDB1,1.861,3.14E-02,2.287,0.675,0.13,1.00E-02
TAFII,2.417,7.82E-03,0.732,0.725,0.132,1.03E-02
AGO1,2.119,1.70E-02,3.192,0.668,0.132,1.04E-02
TRIM24,1.672,4.73E-02,2.397,0.677,0.133,1.05E-02
SETX,1.519,6.44E-02,2.014,0.689,0.134,1.08E-02
CSDE1,1.87,3.07E-02,1.82,0.681,0.134,1.08E-02
ATOH1,1.706,4.41E-02,0.959,0.721,0.134,1.08E-02
HLTF,1.873,3.05E-02,2.101,0.676,0.134,1.09E-02
RBL2,3.584,1.69E-04,0.742,0.7,0.135,1.11E-02
SIX5,2.735,3.12E-03,0.738,0.711,0.136,1.14E-02
KLF10,2.044,2.05E-02,0.88,0.713,0.136,1.14E-02
SREBF1,1.847,3.24E-02,1.073,0.701,0.137,1.15E-02
KLF9,2.95,1.59E-03,0.82,0.7,0.137,1.17E-02
SP2,2.89,1.93E-03,0.871,0.697,0.138,1.18E-02
GATAD2B,1.436,7.56E-02,2.254,0.685,0.138,1.19E-02
JMJD6,2.548,5.42E-03,0.792,0.706,0.138,1.19E-02
ZNF263,2.219,1.32E-02,1.511,0.677,0.14,1.23E-02
E2F4,3.049,1.15E-03,0.555,0.739,0.141,1.27E-02
GTF3C2,1.323,9.29E-02,1.488,0.707,0.142,1.28E-02
USF2,1.907,2.83E-02,1.509,0.682,0.142,1.29E-02
KLF13,2.093,1.82E-02,1.19,0.688,0.142,1.30E-02
APOBEC3B,1.435,7.57E-02,2.308,0.682,0.142,1.30E-02
EPC1,2.163,1.53E-02,0.869,0.705,0.143,1.31E-02
BRD3,2.636,4.19E-03,0.906,0.691,0.145,1.36E-02
MYCN,2.947,1.61E-03,0.637,0.713,0.146,1.39E-02
BARX2,1.693,4.52E-02,0.889,0.717,0.147,1.42E-02
CDC5L,1.796,3.62E-02,2.191,0.671,0.147,1.43E-02
ZNF71,1.733,4.16E-02,0.993,0.701,0.148,1.45E-02
TAF7,2.501,6.19E-03,1.208,0.678,0.148,1.47E-02
KDM2B,4.512,3.21E-06,0.442,0.725,0.15,1.53E-02
SIN3A,3.386,3.55E-04,0.487,0.721,0.151,1.54E-02
CTBP1,1.711,4.36E-02,2.223,0.671,0.151,1.54E-02
TFAP2C,1.877,3.03E-02,1.713,0.674,0.151,1.55E-02
NFATC3,1.369,8.56E-02,2.929,0.677,0.151,1.55E-02
CTCF,3.113,9.26E-04,0.445,0.74,0.152,1.59E-02
WDR5,2.598,4.70E-03,0.755,0.695,0.155,1.69E-02
NELFA,4.517,3.14E-06,0.461,0.712,0.156,1.71E-02
H2AZ,6.112,4.91E-10,0.302,0.742,0.157,1.74E-02
