TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
OTX2,6.825,4.39E-12,3.133,0.557,0.018,2.77E-05
SOX2,5.94,1.42E-09,3.03,0.598,0.02,3.87E-05
GATA4,5.226,8.66E-08,3.174,0.525,0.03,1.24E-04
TBX5,3.621,1.47E-04,3.168,0.536,0.031,1.28E-04
PPARG,6.469,4.95E-11,2.619,0.778,0.036,2.03E-04
SMAD1,3.273,5.33E-04,2.979,0.568,0.036,2.09E-04
MAML3,3.318,4.54E-04,3.037,0.537,0.037,2.28E-04
TP63,8.813,6.08E-19,2.484,0.6,0.043,3.61E-04
NANOG,5.595,1.10E-08,2.614,0.578,0.043,3.70E-04
EBF3,2.737,3.10E-03,3.205,0.518,0.045,3.99E-04
POU5F1,6.545,2.98E-11,2.521,0.563,0.047,4.59E-04
SIX2,3.766,8.29E-05,3.005,0.513,0.047,4.70E-04
REST,6.839,4.00E-12,2.773,0.515,0.05,5.49E-04
CEBPB,10.456,6.89E-26,2.364,0.558,0.052,6.37E-04
MYOG,2.288,1.11E-02,3.061,0.525,0.053,6.78E-04
EOMES,3.042,1.18E-03,2.888,0.524,0.054,6.92E-04
GATA6,4.412,5.13E-06,2.835,0.513,0.055,7.34E-04
NME2,2.325,1.01E-02,3.012,0.525,0.055,7.49E-04
ZNF274,1.861,3.14E-02,3.623,0.532,0.056,7.78E-04
ATF4,3.133,8.64E-04,3.098,0.5,0.056,7.94E-04
CHAT,2.27,1.16E-02,3.184,0.512,0.057,8.25E-04
DUX4,2.672,3.77E-03,3.229,0.5,0.058,8.56E-04
BRDU,3.357,3.94E-04,2.937,0.505,0.058,8.72E-04
HOTAIR,3.024,1.25E-03,3.029,0.497,0.062,1.06E-03
SMARCA2,2.295,1.09E-02,2.856,0.53,0.063,1.10E-03
SMAD2,3.011,1.30E-03,2.698,0.518,0.065,1.26E-03
PHOX2B,1.664,4.80E-02,3.079,0.539,0.066,1.28E-03
EHMT2,2.33,9.89E-03,2.797,0.521,0.066,1.30E-03
TCF4,2.963,1.53E-03,2.49,0.533,0.068,1.43E-03
ZNF75D,2.187,1.44E-02,3.415,0.491,0.068,1.43E-03
BAHD1,2.161,1.54E-02,3.352,0.489,0.072,1.65E-03
SOX11,1.885,2.97E-02,3.179,0.502,0.072,1.70E-03
NR3C1,6.972,1.57E-12,1.991,0.573,0.073,1.78E-03
RNF2,3.297,4.89E-04,2.077,0.6,0.076,1.99E-03
PAX3,1.657,4.88E-02,2.921,0.533,0.076,1.99E-03
NR2F2,2.812,2.47E-03,2.316,0.545,0.077,2.02E-03
SOX10,1.675,4.70E-02,2.777,0.552,0.077,2.08E-03
PRDM1,2.507,6.09E-03,2.571,0.516,0.078,2.17E-03
RAD21,9.108,4.19E-20,2.087,0.52,0.079,2.26E-03
TAL1,4.95,3.71E-07,2.469,0.496,0.081,2.35E-03
BMI1,2.722,3.25E-03,2.175,0.564,0.081,2.38E-03
ZNF512,2.234,1.27E-02,2.638,0.514,0.081,2.41E-03
SMC3,6.981,1.47E-12,1.957,0.536,0.083,2.58E-03
NEUROG2,4.932,4.07E-07,2.303,0.51,0.083,2.61E-03
NR2F1,2.215,1.34E-02,2.909,0.49,0.083,2.61E-03
