TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ESR1,26.988,1.02E-160,3.275,0.815,0.004,2.09E-07
GREB1,3.839,6.17E-05,3.01,0.805,0.017,2.17E-05
FOXA1,15.036,2.13E-51,2.817,0.775,0.018,2.46E-05
AHR,2.755,2.94E-03,3.378,0.772,0.018,2.77E-05
GRHL2,5.999,9.90E-10,3.003,0.705,0.02,3.87E-05
GATA3,6.966,1.63E-12,2.697,0.76,0.023,5.48E-05
PR,6.258,1.96E-10,2.797,0.729,0.023,5.48E-05
NCAPG,2.6,4.66E-03,3.114,0.751,0.024,6.57E-05
TLE3,2.854,2.16E-03,2.932,0.745,0.026,7.48E-05
AR,11.801,1.92E-32,2.341,0.764,0.029,1.11E-04
NR5A2,2.215,1.34E-02,3.147,0.726,0.029,1.15E-04
SIRT1,3.062,1.10E-03,2.844,0.687,0.033,1.58E-04
ASCL1,5.113,1.59E-07,2.618,0.682,0.034,1.79E-04
TFAP2C,3.841,6.12E-05,2.91,0.665,0.034,1.79E-04
CTBP1,2.63,4.27E-03,3.179,0.645,0.038,2.42E-04
ZNF217,1.665,4.80E-02,3.089,0.725,0.042,3.35E-04
POLR3D,4.926,4.21E-07,2.93,0.627,0.045,3.99E-04
NCAPG2,1.668,4.76E-02,2.851,0.727,0.046,4.28E-04
TFAP2A,3.168,7.67E-04,2.311,0.681,0.047,4.59E-04
BRDU,2.951,1.58E-03,2.755,0.637,0.049,5.14E-04
ZXDC,1.563,5.91E-02,3.246,0.668,0.05,5.74E-04
PIAS1,4.669,1.51E-06,2.873,0.619,0.051,5.86E-04
H2AFX,1.365,8.61E-02,2.835,0.807,0.054,7.06E-04
ZNF649,1.513,6.51E-02,4.164,0.641,0.055,7.64E-04
ZNF701,1.557,5.97E-02,3.002,0.666,0.056,7.78E-04
REST,6.183,3.14E-10,2.631,0.614,0.056,7.94E-04
ARID1A,2.62,4.40E-03,3.261,0.605,0.056,8.09E-04
ZNF592,2.109,1.75E-02,2.696,0.638,0.058,8.56E-04
ZSCAN2,1.593,5.56E-02,2.695,0.683,0.058,8.56E-04
YBX1,2.065,1.95E-02,2.739,0.637,0.058,8.89E-04
GATAD2B,1.928,2.70E-02,2.943,0.63,0.058,8.89E-04
APOBEC3B,1.599,5.49E-02,2.543,0.685,0.059,9.39E-04
