TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
REST,8.603,3.87E-18,3.156,0.619,0.006,1.22E-06
AR,17.737,1.08E-70,2.874,0.575,0.011,5.64E-06
MEF2B,4.656,1.61E-06,2.585,0.668,0.017,2.17E-05
MAML3,3.315,4.59E-04,3.036,0.556,0.022,4.52E-05
CTCF,30.205,1.02E-200,2.284,0.575,0.031,1.28E-04
OTX2,5.535,1.56E-08,2.716,0.532,0.031,1.38E-04
STAG1,8.897,2.88E-19,2.188,0.579,0.036,2.09E-04
GATA3,5.452,2.49E-08,2.388,0.541,0.037,2.22E-04
GATA2,5.084,1.85E-07,2.741,0.52,0.037,2.28E-04
RAD21,9.396,2.84E-21,2.143,0.578,0.039,2.63E-04
EBNA3C,2.807,2.50E-03,2.319,0.574,0.041,3.10E-04
HOXB13,5.18,1.11E-07,2.885,0.514,0.041,3.18E-04
SMC3,7.45,4.66E-14,2.083,0.59,0.043,3.52E-04
EBF3,2.459,6.96E-03,2.984,0.524,0.043,3.70E-04
FOXO1,2.433,7.48E-03,2.25,0.634,0.044,3.89E-04
HOXC9,2.193,1.41E-02,3.117,0.53,0.046,4.28E-04
PIAS1,3.818,6.73E-05,2.582,0.518,0.047,4.81E-04
PHOX2B,1.656,4.89E-02,3.069,0.55,0.047,4.81E-04
FOXA1,10.544,2.70E-26,2.325,0.519,0.049,5.14E-04
NANOG,4.431,4.70E-06,2.262,0.533,0.051,5.86E-04
HAND2,1.64,5.05E-02,2.934,0.545,0.051,5.86E-04
SIX2,3.272,5.34E-04,2.746,0.511,0.051,5.99E-04
TBX5,2.86,2.12E-03,2.735,0.513,0.053,6.78E-04
SUMO1,5.232,8.38E-08,2.11,0.538,0.055,7.34E-04
SMC1A,6.45,5.58E-11,1.896,0.577,0.058,8.89E-04
NUP98-HOXA9,1.668,4.77E-02,2.447,0.557,0.058,8.89E-04
ZFP57,2.14,1.62E-02,2.317,0.536,0.06,9.56E-04
ZNF654,2.332,9.84E-03,2.164,0.547,0.06,9.74E-04
TLE3,2.505,6.12E-03,2.737,0.508,0.06,9.91E-04
SPIB,2.248,1.23E-02,2.406,0.528,0.061,1.03E-03
SOX2,3.151,8.14E-04,2.054,0.546,0.061,1.05E-03
NEUROD1,2.01,2.22E-02,2.452,0.523,0.064,1.18E-03
EED,1.857,3.17E-02,2.099,0.62,0.066,1.28E-03
ZBTB2,2.112,1.73E-02,2.397,0.523,0.066,1.30E-03
NEUROG2,4.377,6.01E-06,2.111,0.523,0.067,1.35E-03
CHD5,1.595,5.54E-02,2.577,0.533,0.067,1.35E-03
LYL1,3.29,5.02E-04,2.035,0.537,0.067,1.37E-03
HOXA9,1.911,2.80E-02,2.517,0.516,0.068,1.39E-03
EZH2,9.145,2.97E-20,1.67,0.771,0.068,1.43E-03
FOXP1,1.679,4.66E-02,2.147,0.57,0.073,1.75E-03
IRF4,2.938,1.65E-03,2.199,0.513,0.075,1.88E-03
MYOG,1.904,2.84E-02,2.725,0.504,0.075,1.91E-03
TRIM22,2.216,1.34E-02,2.103,0.533,0.075,1.94E-03
FOXA2,4.26,1.02E-05,2.25,0.505,0.076,1.96E-03
ZNF384,1.866,3.11E-02,2.383,0.515,0.078,2.14E-03
EBNA3,1.707,4.39E-02,2.019,0.607,0.078,2.17E-03
SPI1,6.376,9.09E-11,1.584,0.626,0.079,2.23E-03
PAX3,1.468,7.10E-02,2.704,0.518,0.079,2.23E-03
IKZF1,3.134,8.62E-04,1.806,0.55,0.08,2.32E-03
SND1,2.319,1.02E-02,2.038,0.531,0.081,2.35E-03
EBF1,2.588,4.83E-03,2.162,0.51,0.084,2.64E-03
HDAC3,1.729,4.19E-02,2.815,0.496,0.085,2.78E-03
MEIS1,2.232,1.28E-02,2.219,0.509,0.087,2.93E-03
GATA4,2.662,3.88E-03,2.204,0.504,0.087,2.96E-03
ZIM3,1.749,4.02E-02,2.69,0.498,0.087,2.96E-03
BCL6,2.684,3.64E-03,1.684,0.563,0.088,3.07E-03
HOTAIR,2.242,1.25E-02,2.555,0.487,0.088,3.11E-03
TAL1,3.3,4.83E-04,1.962,0.513,0.089,3.15E-03
PPARG,3.821,6.66E-05,1.639,0.547,0.09,3.27E-03
PRDM6,1.597,5.51E-02,2.112,0.534,0.09,3.27E-03
POLR3D,2.339,9.67E-03,1.903,0.528,0.09,3.31E-03
NR3C1,4.332,7.38E-06,1.537,0.566,0.092,3.47E-03
ETV6,2.206,1.37E-02,2.155,0.508,0.092,3.47E-03
ZNF512,1.85,3.22E-02,2.293,0.508,0.092,3.55E-03
JARID2,5.408,3.18E-08,1.298,0.758,0.095,3.85E-03
SMAD1,1.871,3.07E-02,2.05,0.516,0.096,3.93E-03
SOX11,1.422,7.75E-02,2.731,0.503,0.097,4.07E-03
NKX3-1,1.589,5.60E-02,2.67,0.493,0.1,4.49E-03
SUZ12,4.445,4.39E-06,1.179,0.75,0.102,4.79E-03
NME2,1.648,4.96E-02,2.475,0.492,0.103,4.89E-03
BATF3,1.629,5.16E-02,1.851,0.541,0.104,5.05E-03
PRDM1,1.973,2.42E-02,2.079,0.504,0.105,5.15E-03
DRAP1,1.578,5.73E-02,1.983,0.53,0.105,5.15E-03
TBX21,2.125,1.68E-02,1.749,0.53,0.105,5.20E-03
CHAT,1.605,5.43E-02,2.638,0.484,0.107,5.48E-03
KDM1A,1.753,3.98E-02,2.032,0.512,0.108,5.70E-03
BMI1,1.813,3.49E-02,1.608,0.564,0.109,5.82E-03
ZNF317,1.602,5.46E-02,2.689,0.48,0.109,5.87E-03
DUX4,1.701,4.45E-02,2.493,0.481,0.109,5.87E-03
PGR,1.424,7.72E-02,2.165,0.512,0.109,5.87E-03
TOP1,2.292,1.10E-02,2.021,0.496,0.11,5.93E-03
HMG20A,1.592,5.57E-02,1.879,0.533,0.11,5.93E-03
ARID1A,1.463,7.18E-02,2.22,0.508,0.11,5.99E-03
GATA6,2.48,6.57E-03,2.122,0.484,0.11,6.05E-03
NCOR2,1.768,3.85E-02,1.645,0.544,0.112,6.35E-03
STAT4,1.538,6.20E-02,2.429,0.487,0.114,6.60E-03
POU5F1,4.335,7.30E-06,1.888,0.49,0.115,6.79E-03
CBX2,1.573,5.79E-02,1.859,0.529,0.116,6.98E-03
ASCL1,2.37,8.90E-03,1.73,0.511,0.116,7.04E-03
PR,3.1,9.69E-04,1.935,0.487,0.116,7.11E-03
BATF,2.344,9.54E-03,1.9,0.496,0.116,7.11E-03
TCF4,1.507,6.59E-02,1.764,0.537,0.117,7.18E-03
GRIP1,1.895,2.90E-02,1.883,0.508,0.118,7.38E-03
TERF1,1.439,7.51E-02,2.034,0.514,0.118,7.38E-03
TRIM28,1.842,3.28E-02,2.486,0.47,0.12,7.79E-03
PAX5,2.647,4.06E-03,1.611,0.51,0.123,8.29E-03
PITX3,1.158,1.24E-01,2.709,0.486,0.123,8.36E-03
CDK2,1.389,8.24E-02,2.469,0.481,0.124,8.66E-03
LMO2,2.029,2.13E-02,1.594,0.515,0.127,9.20E-03
EP300,2.01,2.22E-02,1,0.701,0.129,9.75E-03
HNF4G,1.831,3.36E-02,1.809,0.504,0.13,9.83E-03
ZNF445,1.209,1.13E-01,2.309,0.492,0.13,9.83E-03
TERC,2.07,1.92E-02,2.075,0.476,0.13,1.00E-02
SUMO2,1.573,5.78E-02,2.231,0.48,0.131,1.02E-02
KDM1B,1.107,1.34E-01,2.799,0.48,0.132,1.03E-02
CD74,1.796,3.62E-02,1.254,0.562,0.132,1.03E-02
TET2,1.815,3.48E-02,1.383,0.53,0.137,1.15E-02
ATF2,1.291,9.83E-02,1.909,0.506,0.138,1.18E-02
CDX2,1.065,1.43E-01,1.75,0.538,0.139,1.21E-02
RNF2,1.809,3.52E-02,1.046,0.574,0.139,1.22E-02
GATA1,3.104,9.55E-04,1.741,0.476,0.143,1.31E-02
ZNF485,1.063,1.44E-01,2.518,0.476,0.145,1.37E-02
MCM2,1.096,1.37E-01,2.372,0.479,0.147,1.44E-02
DMC1,1.078,1.41E-01,2.407,0.477,0.147,1.44E-02
CEBPB,3.011,1.30E-03,1.027,0.513,0.148,1.47E-02
PDX1,1.372,8.50E-02,2.287,0.47,0.149,1.49E-02
IRF5,1.058,1.45E-01,2.426,0.475,0.15,1.52E-02
JMJD6,2.399,8.21E-03,0.676,0.558,0.152,1.59E-02
ZBTB16,1.213,1.13E-01,1.626,0.516,0.153,1.61E-02
GTF2I,2.6,4.66E-03,1.547,0.483,0.153,1.62E-02
SIX1,1.487,6.85E-02,2.311,0.459,0.156,1.72E-02
RELB,1.741,4.08E-02,1.865,0.473,0.16,1.84E-02
TERF2,1.245,1.07E-01,1.753,0.495,0.161,1.88E-02
ZNF22,1.018,1.54E-01,2.416,0.469,0.162,1.91E-02
FANCD2,1.006,1.57E-01,2.419,0.468,0.165,2.04E-02
ZNF793,1.202,1.15E-01,2.313,0.46,0.166,2.05E-02
ZNF382,1.54,6.18E-02,2.364,0.448,0.166,2.06E-02
DLX2,1.147,1.26E-01,1.909,0.485,0.166,2.06E-02
ZNF169,1.03,1.51E-01,2.271,0.471,0.166,2.06E-02
TCF21,1.907,2.83E-02,1.36,0.492,0.167,2.09E-02
SCRT1,1.239,1.08E-01,2.163,0.463,0.17,2.21E-02
RUNX3,1.178,1.19E-01,1.806,0.489,0.171,2.24E-02
RUNX1,2.713,3.33E-03,0.937,0.495,0.172,2.28E-02
RYBP,1.851,3.21E-02,0.58,0.541,0.173,2.31E-02
ZNF490,0.951,1.71E-01,2.606,0.462,0.173,2.31E-02
NR2F2,1.43,7.63E-02,1.386,0.504,0.174,2.36E-02
SP140,1.537,6.22E-02,1.596,0.484,0.174,2.37E-02
ZNF823,0.971,1.66E-01,2.424,0.464,0.174,2.39E-02
KDM3B,1.493,6.77E-02,1.329,0.504,0.175,2.40E-02
MAFK,1.407,7.98E-02,1.997,0.463,0.177,2.51E-02
BACH2,1.889,2.94E-02,1.452,0.476,0.177,2.51E-02
ZNF680,1.096,1.37E-01,2.212,0.463,0.178,2.52E-02
MYOD1,1.483,6.90E-02,1.814,0.469,0.179,2.57E-02
CTCFL,1.602,5.46E-02,0.666,0.538,0.179,2.57E-02
RING1,1.285,9.94E-02,1.816,0.473,0.18,2.61E-02
SRF,1.688,4.57E-02,0.756,0.52,0.18,2.63E-02
BIRA,0.942,1.73E-01,2.118,0.474,0.181,2.68E-02
VDR,1.546,6.10E-02,0.904,0.515,0.182,2.69E-02
SMAD2,1.377,8.43E-02,1.685,0.475,0.182,2.72E-02
DPPA2,0.974,1.65E-01,2.239,0.464,0.183,2.77E-02
FEZF1,1.423,7.73E-02,2.043,0.454,0.184,2.82E-02
ESR1,1.147,1.26E-01,1.144,0.515,0.187,2.92E-02
RUNX1T1,1.598,5.50E-02,1.186,0.492,0.187,2.94E-02
EOMES,1.447,7.39E-02,1.905,0.456,0.188,2.97E-02
CBX5,1.132,1.29E-01,2.049,0.459,0.191,3.11E-02
SATB1,0.56,2.88E-01,2.15,0.484,0.191,3.15E-02
KLF16,1.231,1.09E-01,1.76,0.468,0.192,3.18E-02
BRD9,1.345,8.94E-02,1.508,0.48,0.193,3.24E-02
TCF12,1.065,1.43E-01,1.282,0.508,0.194,3.29E-02
CTNNB1,1.042,1.49E-01,1.817,0.473,0.195,3.33E-02
HLF,1.154,1.24E-01,2.14,0.448,0.196,3.40E-02
SMARCA2,1.173,1.20E-01,1.888,0.461,0.197,3.44E-02
NR2F1,1.03,1.52E-01,1.659,0.48,0.197,3.46E-02
TCF7L1,1.198,1.16E-01,1.149,0.498,0.198,3.50E-02
ZNF133,0.818,2.07E-01,2.501,0.447,0.2,3.57E-02
SIRT1,1.187,1.18E-01,1.808,0.464,0.2,3.57E-02
NFKB2,1.29,9.85E-02,1.648,0.466,0.201,3.65E-02
ZNF2,1.193,1.16E-01,1.127,0.496,0.201,3.67E-02
SRCAP,0.822,2.06E-01,2.411,0.448,0.202,3.69E-02
ZNF75D,0.98,1.64E-01,2.3,0.442,0.206,3.93E-02
SMN1,0.806,2.10E-01,2.417,0.446,0.206,3.95E-02
SOX10,0.954,1.70E-01,1.967,0.462,0.207,4.00E-02
HDAC4,1.11,1.34E-01,1.411,0.48,0.21,4.16E-02
EHMT2,0.849,1.98E-01,1.87,0.468,0.211,4.21E-02
TLX1,1.017,1.55E-01,1.673,0.469,0.212,4.32E-02
GRHL3,1.365,8.61E-02,1.445,0.467,0.213,4.34E-02
BAHD1,0.81,2.09E-01,2.306,0.444,0.214,4.43E-02
SSU72,1.027,1.52E-01,1.587,0.471,0.216,4.52E-02
NKX2-1,0.795,2.13E-01,1.452,0.494,0.217,4.58E-02
JMJD1C,1.255,1.05E-01,0.99,0.482,0.218,4.68E-02
OSR2,1.142,1.27E-01,1.819,0.448,0.219,4.75E-02
BCOR,1.252,1.05E-01,0.707,0.5,0.22,4.79E-02
MAFF,0.969,1.66E-01,2.225,0.436,0.221,4.89E-02
SCRT2,1.009,1.56E-01,2.132,0.438,0.221,4.89E-02
