TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
TEAD4,4.89,5.05E-07,3.082,0.71,0.012,7.51E-06
SMAD4,3.54,2.00E-04,3.332,0.697,0.014,1.15E-05
SMAD3,5.228,8.56E-08,2.747,0.645,0.028,9.92E-05
SIRT1,2.955,1.56E-03,2.786,0.67,0.028,1.03E-04
FAIRE,3.226,6.28E-04,3.021,0.629,0.035,1.85E-04
ATF3,3.489,2.43E-04,3.41,0.615,0.035,1.97E-04
JUND,3.812,6.88E-05,2.515,0.65,0.036,2.09E-04
RAD21,10.008,7.05E-24,2.261,0.696,0.036,2.15E-04
FOSL1,3.81,6.94E-05,2.385,0.675,0.038,2.56E-04
SMC3,7.909,1.29E-15,2.206,0.69,0.039,2.63E-04
SUMO1,6.107,5.06E-10,2.421,0.645,0.039,2.71E-04
TCF7,2.626,4.32E-03,4.2,0.619,0.04,2.78E-04
TP53,6.384,8.62E-11,2.342,0.658,0.04,2.94E-04
SRF,3.457,2.73E-04,2.671,0.628,0.041,3.02E-04
SMARCC1,3.835,6.27E-05,2.254,0.688,0.043,3.52E-04
CTCF,28.433,4.00E-178,2.163,0.675,0.044,3.80E-04
SSRP1,3.572,1.77E-04,4.638,0.597,0.045,4.08E-04
USF1,3.1,9.67E-04,4.457,0.601,0.045,4.08E-04
MBD1,2.96,1.54E-03,2.821,0.612,0.048,5.03E-04
TP63,7.74,4.96E-15,2.264,0.635,0.05,5.49E-04
KDM3B,2.404,8.11E-03,2.446,0.66,0.05,5.49E-04
ETV4,2.236,1.27E-02,2.949,0.626,0.05,5.74E-04
SMC1A,7.214,2.72E-13,2.14,0.66,0.051,6.11E-04
BRDU,2.821,2.39E-03,2.697,0.615,0.051,6.11E-04
NKX2-1,2.446,7.21E-03,2.707,0.622,0.052,6.37E-04
ICE1,2.246,1.23E-02,3.503,0.606,0.053,6.78E-04
ASCL1,4.116,1.93E-05,2.295,0.628,0.054,6.92E-04
PRMT1,2.3,1.07E-02,2.516,0.638,0.054,7.06E-04
SMAD2-SMAD3,2.565,5.15E-03,2.276,0.677,0.054,7.20E-04
TEAD1,3.281,5.17E-04,2.349,0.636,0.054,7.20E-04
JUN,5.783,3.66E-09,2.133,0.658,0.055,7.64E-04
FOSL2,10.049,4.66E-24,1.997,0.666,0.056,7.78E-04
MBD3,2.873,2.03E-03,2.172,0.666,0.057,8.40E-04
ZEB1,2.743,3.04E-03,2.41,0.627,0.058,8.89E-04
YAP1,3.438,2.93E-04,2.135,0.662,0.059,9.22E-04
POLR3D,3.055,1.13E-03,2.187,0.65,0.059,9.39E-04
ATF4,2.519,5.89E-03,2.692,0.602,0.064,1.16E-03
FOXK1,1.622,5.24E-02,3.67,0.621,0.065,1.22E-03
BANF1,2.672,3.77E-03,2.357,0.617,0.066,1.30E-03
TAZ,1.697,4.48E-02,2.548,0.644,0.068,1.41E-03
CRY1,1.618,5.28E-02,3.458,0.613,0.072,1.65E-03
NFE2L1,2.268,1.17E-02,2.478,0.605,0.073,1.72E-03
