TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
AR,22.602,2.06E-113,3.311,0.635,0.004,2.78E-07
FOXA1,18.432,3.63E-76,3.19,0.641,0.005,5.74E-07
ESR1,21.187,6.33E-100,2.796,0.638,0.009,2.89E-06
PIAS1,5.715,5.50E-09,3.231,0.612,0.009,3.67E-06
HOXB13,5.878,2.08E-09,3.108,0.593,0.011,6.23E-06
GATA6,4.83,6.83E-07,2.989,0.577,0.018,2.61E-05
REST,6.589,2.22E-11,2.719,0.587,0.019,2.94E-05
GRHL2,4.96,3.53E-07,2.655,0.626,0.02,3.87E-05
TLE3,3.544,1.97E-04,3.318,0.573,0.02,3.87E-05
PR,6.609,1.93E-11,2.893,0.56,0.022,4.75E-05
HNF4G,3.439,2.92E-04,2.782,0.584,0.025,6.87E-05
GATA3,6.735,8.20E-12,2.65,0.565,0.027,8.47E-05
NKX3-1,2.171,1.50E-02,3.21,0.573,0.028,9.92E-05
HDAC3,1.771,3.83E-02,2.86,0.618,0.03,1.20E-04
ASCL1,4.922,4.29E-07,2.556,0.573,0.031,1.28E-04
PDX1,1.999,2.28E-02,2.936,0.576,0.031,1.38E-04
SIX2,3.467,2.63E-04,2.849,0.557,0.032,1.47E-04
OTX2,5.325,5.06E-08,2.648,0.556,0.034,1.79E-04
GREB1,3.192,7.06E-04,2.672,0.564,0.036,2.03E-04
NR5A2,1.848,3.23E-02,2.809,0.57,0.037,2.28E-04
GATA2,4.664,1.55E-06,2.611,0.557,0.038,2.42E-04
FOXA2,4.502,3.37E-06,2.327,0.591,0.039,2.63E-04
GATA4,4.133,1.79E-05,2.761,0.541,0.039,2.63E-04
ARID1A,2.042,2.06E-02,2.741,0.563,0.04,2.94E-04
ASH2L,2.027,2.13E-02,2.872,0.55,0.041,3.18E-04
TBX5,2.8,2.56E-03,2.701,0.541,0.046,4.28E-04
NANOG,4.896,4.89E-07,2.402,0.555,0.046,4.38E-04
RAD21,9.025,8.99E-20,2.071,0.59,0.047,4.81E-04
MAML3,2.719,3.27E-03,2.689,0.539,0.049,5.38E-04
SOX2,3.686,1.14E-04,2.242,0.566,0.052,6.37E-04
H2AFX,1.276,1.01E-01,2.745,0.571,0.055,7.34E-04
TCF4,2.761,2.88E-03,2.39,0.543,0.059,9.05E-04
HNF1A,2.489,6.41E-03,2.307,0.549,0.061,1.01E-03
PPARG,4.449,4.31E-06,1.872,0.6,0.062,1.06E-03
SMC3,6.356,1.04E-10,1.789,0.628,0.062,1.08E-03
SIRT1,2.24,1.25E-02,2.39,0.54,0.062,1.08E-03
CTCF,23.396,2.33E-121,1.822,0.571,0.064,1.16E-03
NCAPG2,1.465,7.14E-02,2.626,0.548,0.064,1.18E-03
EOMES,2.207,1.36E-02,2.374,0.54,0.065,1.22E-03
PHOX2B,1.389,8.25E-02,2.759,0.538,0.065,1.24E-03
SUMO2,2.018,2.18E-02,2.478,0.534,0.065,1.26E-03
BRDU,2.732,3.14E-03,2.657,0.513,0.065,1.26E-03
CDX2,2.19,1.43E-02,2.566,0.526,0.065,1.26E-03
TOP1,2.395,8.31E-03,2.11,0.561,0.066,1.30E-03
YBX1,2.09,1.83E-02,2.753,0.509,0.069,1.50E-03
AHR,1.836,3.32E-02,2.644,0.52,0.071,1.60E-03
ERF,1.62,5.26E-02,2.541,0.526,0.075,1.94E-03
HNF4A,3.046,1.16E-03,1.738,0.589,0.077,2.02E-03
SIX1,1.677,4.68E-02,2.527,0.522,0.077,2.05E-03
HOXC9,1.619,5.27E-02,2.548,0.516,0.082,2.45E-03
EZH2,7.638,1.10E-14,1.386,0.725,0.083,2.58E-03
BAHD1,1.356,8.76E-02,2.729,0.51,0.085,2.75E-03
PAX3,1.301,9.67E-02,2.511,0.529,0.085,2.75E-03
SCRT1,1.57,5.83E-02,2.537,0.515,0.085,2.78E-03
ARID3A,1.68,4.65E-02,2.02,0.546,0.086,2.85E-03
NME2,1.572,5.79E-02,2.415,0.518,0.087,2.96E-03
HHEX,1.633,5.12E-02,2.379,0.518,0.087,3.00E-03
ARRB1,1.509,6.56E-02,2.655,0.507,0.088,3.07E-03
ZNF217,1.243,1.07E-01,2.569,0.523,0.088,3.07E-03
ZNF654,2.023,2.15E-02,1.882,0.544,0.089,3.15E-03
NR3C1,3.927,4.29E-05,1.467,0.607,0.089,3.19E-03
NR2F2,2.273,1.15E-02,1.954,0.534,0.089,3.19E-03
DLX2,1.393,8.19E-02,2.167,0.539,0.092,3.51E-03
