TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
SMAD3,5.157,1.25E-07,2.717,0.728,0.02,3.67E-05
SIRT1,3.29,5.01E-04,2.971,0.7,0.023,5.23E-05
TEAD4,4.091,2.15E-05,2.684,0.704,0.025,6.87E-05
YAP1,4.35,6.79E-06,2.587,0.706,0.027,8.47E-05
TP53,6.827,4.34E-12,2.479,0.701,0.029,1.15E-04
FOSL1,4.068,2.37E-05,2.536,0.734,0.031,1.33E-04
JUN,6.649,1.48E-11,2.414,0.696,0.034,1.74E-04
TEAD1,3.754,8.69E-05,2.598,0.668,0.034,1.79E-04
SMARCC1,4.313,8.06E-06,2.529,0.668,0.038,2.42E-04
RNF2,4.325,7.63E-06,2.789,0.624,0.038,2.49E-04
TP63,8.491,1.02E-17,2.418,0.642,0.04,2.78E-04
POLR3D,5.626,9.20E-09,3.208,0.598,0.041,3.10E-04
BRDU,3.736,9.35E-05,3.107,0.61,0.042,3.26E-04
HIRA,3.809,6.97E-05,3.604,0.599,0.043,3.61E-04
SMARCA4,3.638,1.38E-04,2.443,0.668,0.045,3.99E-04
ZBTB48,5.096,1.74E-07,2.61,0.614,0.045,4.18E-04
FOS,4.606,2.05E-06,2.856,0.596,0.051,6.11E-04
PRMT1,2.353,9.30E-03,2.566,0.657,0.051,6.11E-04
EED,2.436,7.44E-03,2.586,0.628,0.054,7.06E-04
JUND,3.445,2.86E-04,2.316,0.654,0.055,7.34E-04
TP73,2.345,9.51E-03,2.536,0.648,0.055,7.49E-04
ATF4,2.214,1.34E-02,2.491,0.677,0.055,7.64E-04
FOSL2,9.669,2.03E-22,1.931,0.691,0.058,8.72E-04
MBD3,2.898,1.88E-03,2.192,0.7,0.058,8.89E-04
SMARCA2,2.065,1.94E-02,2.658,0.641,0.058,8.89E-04
RING1,2.513,5.98E-03,3.076,0.595,0.059,9.39E-04
EP300,6.564,2.63E-11,2.002,0.661,0.063,1.12E-03
ZNF175,2.192,1.42E-02,3.57,0.597,0.064,1.18E-03
CRY1,1.649,4.96E-02,3.495,0.623,0.064,1.20E-03
SSRP1,2.81,2.48E-03,3.923,0.579,0.065,1.22E-03
ATF7IP,1.615,5.31E-02,4.387,0.617,0.065,1.24E-03
WWTR1,2.433,7.49E-03,2.135,0.689,0.068,1.41E-03
CTCF,24.571,1.28E-133,1.901,0.633,0.073,1.72E-03
LARP7,2.285,1.12E-02,3.733,0.58,0.073,1.75E-03
LMNA,1.713,4.34E-02,2.73,0.616,0.073,1.75E-03
SMAD2-SMAD3,2.242,1.25E-02,2.041,0.79,0.073,1.78E-03
KDM6B,2.333,9.82E-03,2.478,0.602,0.078,2.11E-03
SMC1A,6.538,3.11E-11,1.924,0.621,0.078,2.17E-03
TET2,2.943,1.62E-03,2.068,0.618,0.082,2.48E-03
PCGF2,2.297,1.08E-02,2.203,0.622,0.083,2.54E-03
TRIM28,2.277,1.14E-02,2.706,0.58,0.083,2.58E-03
SMC3,6.796,5.39E-12,1.907,0.611,0.084,2.68E-03
TEAD1-TEAD4,1.663,4.81E-02,2.391,0.633,0.084,2.68E-03
EZH2,8.793,7.28E-19,1.604,0.682,0.084,2.71E-03
CDCA2,1.612,5.35E-02,2.621,0.608,0.085,2.78E-03
GRHL3,2.508,6.07E-03,2.348,0.592,0.086,2.85E-03
HCFC1R1,1.634,5.12E-02,2.493,0.617,0.086,2.89E-03
RAD21,7.592,1.57E-14,1.795,0.624,0.087,2.93E-03
ZNF649,1.53,6.30E-02,4.189,0.586,0.088,3.11E-03
PGBD3,1.719,4.28E-02,2.124,0.682,0.089,3.19E-03
SUMO1,5.479,2.14E-08,2.198,0.579,0.091,3.35E-03
TCF21,3.069,1.07E-03,1.993,0.607,0.091,3.39E-03
EPAS1,1.672,4.73E-02,2.211,0.64,0.092,3.47E-03
GTF2I,3.884,5.13E-05,2.071,0.594,0.092,3.51E-03
NFE2L1,2.329,9.94E-03,2.52,0.577,0.094,3.72E-03
CEBPB,8.009,5.79E-16,1.924,0.588,0.095,3.80E-03
YBX1,2.393,8.35E-03,2.926,0.563,0.096,4.02E-03
ATF3,2,2.28E-02,1.91,0.661,0.097,4.07E-03
SMARCB1,2.543,5.50E-03,2.304,0.578,0.098,4.25E-03
KMT2B,1.616,5.30E-02,2.355,0.61,0.098,4.30E-03
BMI1,2.614,4.47E-03,2.108,0.593,0.098,4.30E-03
HES2,7.267,1.84E-13,1.832,0.598,0.099,4.35E-03
SP140,2.225,1.30E-02,2.168,0.595,0.101,4.64E-03
AGO1,1.991,2.32E-02,3.03,0.565,0.102,4.79E-03
ZTA,1.891,2.93E-02,2.989,0.568,0.103,4.94E-03
CHD4,2.99,1.39E-03,1.662,0.626,0.107,5.48E-03
PRMT5,1.709,4.37E-02,1.859,0.671,0.108,5.70E-03
ZNF512,1.975,2.42E-02,2.405,0.577,0.109,5.82E-03
DAXX,1.986,2.35E-02,2.575,0.567,0.111,6.17E-03
RXRA,2.363,9.06E-03,1.483,0.696,0.113,6.47E-03
PTTG1,1.851,3.21E-02,2.834,0.563,0.113,6.47E-03
IRF9,1.86,3.15E-02,2.901,0.56,0.115,6.85E-03
JARID2,5.285,6.29E-08,1.262,0.665,0.116,7.11E-03
MKL2,2.777,2.75E-03,1.988,0.577,0.117,7.18E-03
E2F7,2.408,8.01E-03,1.517,0.635,0.12,7.72E-03
NKX2-1,2.069,1.93E-02,2.42,0.564,0.12,7.86E-03
ESCO2,1.512,6.53E-02,2.402,0.582,0.121,7.93E-03
PRKDC,1.579,5.72E-02,2.017,0.606,0.122,8.14E-03
LMTK3,1.474,7.03E-02,2.699,0.569,0.122,8.22E-03
SUZ12,4.435,4.60E-06,1.175,0.683,0.123,8.29E-03
ZNF707,1.336,9.08E-02,2.596,0.577,0.124,8.51E-03
TERC,2.448,7.17E-03,2.295,0.556,0.124,8.66E-03
MYOD1,1.985,2.36E-02,2.187,0.574,0.125,8.81E-03
USF1,1.981,2.38E-02,2.561,0.554,0.127,9.12E-03
NR3C1,3.227,6.26E-04,1.347,0.627,0.127,9.20E-03
ZNF354C,1.345,8.93E-02,3.19,0.561,0.129,9.59E-03
PTRF,1.685,4.60E-02,2.867,0.55,0.129,9.75E-03
KDM4A,2.171,1.50E-02,1.565,0.616,0.13,1.00E-02
SOX4,2.166,1.52E-02,2.241,0.561,0.132,1.03E-02
ZNF140,1.433,7.59E-02,2.871,0.558,0.132,1.04E-02
SOX2,3.005,1.33E-03,2.003,0.559,0.134,1.08E-02
STAT3,2.443,7.29E-03,1.277,0.636,0.134,1.09E-02
FOXK1,1.147,1.26E-01,2.98,0.573,0.134,1.09E-02
LIN9,1.454,7.29E-02,2.322,0.574,0.136,1.14E-02
NFE2L2,2.081,1.87E-02,1.501,0.616,0.137,1.15E-02
ZNF488,1.518,6.45E-02,3.055,0.549,0.137,1.16E-02
TRIM25,2.208,1.36E-02,1.914,0.571,0.139,1.21E-02
LMNB1,1.345,8.94E-02,2.613,0.561,0.14,1.24E-02
ZNF292,1.307,9.56E-02,2.92,0.558,0.14,1.24E-02
SRF,2.443,7.28E-03,1.574,0.584,0.141,1.27E-02
ZFP57,1.927,2.70E-02,2.157,0.564,0.141,1.27E-02
STAG1,5.726,5.14E-09,1.333,0.588,0.142,1.29E-02
CTCFL,2.606,4.59E-03,1.532,0.584,0.143,1.31E-02
ERCC3,1.234,1.09E-01,3.553,0.553,0.144,1.35E-02
RBL1,1.4,8.08E-02,2.384,0.566,0.145,1.37E-02
NME2,1.654,4.91E-02,2.48,0.55,0.145,1.37E-02
ZNF202,1.553,6.03E-02,2.043,0.575,0.146,1.39E-02
BANF1,2.111,1.74E-02,1.978,0.564,0.146,1.40E-02
ZNF2,1.734,4.15E-02,1.927,0.573,0.146,1.41E-02
SFPQ,1.222,1.11E-01,3.139,0.552,0.147,1.43E-02
SON,1.507,6.59E-02,1.922,0.581,0.148,1.47E-02
JMJD6,2.835,2.30E-03,1.018,0.641,0.148,1.47E-02
TSC22D4,1.313,9.46E-02,2.279,0.571,0.15,1.52E-02
ZNF680,1.597,5.51E-02,2.555,0.547,0.151,1.54E-02
ZNF436,1.395,8.16E-02,2.255,0.565,0.151,1.55E-02
TAZ,1.423,7.74E-02,2.153,0.569,0.153,1.63E-02
HEXIM1,2.331,9.89E-03,1.86,0.561,0.154,1.64E-02
JUNB,1.593,5.56E-02,1.703,0.591,0.154,1.65E-02
ERCC6,1.154,1.24E-01,1.964,0.598,0.156,1.71E-02
NANOG,2.948,1.60E-03,1.813,0.553,0.156,1.72E-02
ZNF781,1.347,8.90E-02,2.822,0.545,0.156,1.72E-02
ZNF92,1.311,9.50E-02,2.405,0.558,0.157,1.74E-02
BACH1,1.846,3.24E-02,2.195,0.549,0.158,1.78E-02
CBX3,1.171,1.21E-01,2.483,0.561,0.161,1.87E-02
KDM3B,1.836,3.32E-02,1.749,0.572,0.163,1.96E-02
RELA,3.229,6.22E-04,0.613,0.685,0.165,2.01E-02
POU5F1,3.754,8.68E-05,1.722,0.547,0.168,2.12E-02
ZNF16,1.135,1.28E-01,2.337,0.567,0.168,2.12E-02
RUNX2,1.031,1.51E-01,2.15,0.583,0.168,2.12E-02
RCOR1,1.053,1.46E-01,1.991,0.594,0.168,2.13E-02
ERCC2,1.116,1.32E-01,3.862,0.546,0.168,2.13E-02
BATF,2.129,1.66E-02,1.744,0.559,0.169,2.17E-02
ZNF654,1.903,2.85E-02,1.772,0.561,0.171,2.25E-02
DNMT3A,1.577,5.74E-02,1.83,0.567,0.171,2.27E-02
CREBBP,1.108,1.34E-01,1.49,0.653,0.175,2.43E-02
ZNF837,1.373,8.49E-02,2.082,0.553,0.177,2.47E-02
