TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
HNF4A,6.153,3.80E-10,2.954,0.733,0.008,1.94E-06
RAD21,11.557,3.39E-31,2.56,0.709,0.015,1.66E-05
HNF1A,3.333,4.30E-04,2.879,0.714,0.015,1.66E-05
NR2F2,3.856,5.76E-05,3.02,0.622,0.02,3.48E-05
SMAD4,3.117,9.13E-04,2.97,0.637,0.02,3.87E-05
CTCF,31.086,1.86E-212,2.343,0.667,0.029,1.07E-04
SMC1A,7.89,1.52E-15,2.356,0.669,0.029,1.15E-04
SMC3,8.351,3.38E-17,2.325,0.704,0.03,1.24E-04
FOXA2,5.488,2.03E-08,2.641,0.6,0.031,1.28E-04
TEAD4,4.214,1.25E-05,2.746,0.585,0.033,1.58E-04
GATA6,4.463,4.04E-06,2.854,0.575,0.034,1.74E-04
TCF4,3.511,2.23E-04,2.763,0.579,0.037,2.22E-04
SUMO1,5.942,1.41E-09,2.362,0.619,0.037,2.35E-04
ARID3A,2.247,1.23E-02,2.568,0.638,0.041,3.10E-04
ATF3,2.595,4.73E-03,2.509,0.614,0.043,3.52E-04
NKX2-1,2.542,5.51E-03,2.78,0.577,0.044,3.80E-04
NR3C1,8.635,2.95E-18,2.277,0.606,0.045,4.08E-04
NFIA,1.805,3.56E-02,2.901,0.613,0.048,5.03E-04
NR2F6,2.19,1.43E-02,2.628,0.602,0.049,5.26E-04
EP300,6.556,2.76E-11,2,0.736,0.051,5.99E-04
PPARG,5.762,4.15E-09,2.357,0.573,0.052,6.51E-04
SMARCC1,3.632,1.41E-04,2.137,0.631,0.056,7.78E-04
TOP1,2.675,3.74E-03,2.351,0.588,0.056,7.94E-04
CDX2,2.757,2.92E-03,2.977,0.547,0.058,8.72E-04
PDX1,1.919,2.75E-02,2.854,0.574,0.06,9.56E-04
CEBPB,9.092,4.88E-20,2.119,0.58,0.061,1.03E-03
KDM3B,2.252,1.22E-02,2.26,0.629,0.061,1.03E-03
TFAP4,2.032,2.11E-02,2.707,0.57,0.062,1.08E-03
ZNF654,2.358,9.19E-03,2.187,0.623,0.063,1.14E-03
TCF7,1.464,7.16E-02,2.667,0.617,0.064,1.18E-03
CREM,2.049,2.02E-02,2.387,0.586,0.064,1.20E-03
ZBTB2,2.065,1.95E-02,2.352,0.595,0.064,1.20E-03
SIX2,3.071,1.07E-03,2.64,0.547,0.065,1.22E-03
HHEX,2,2.27E-02,2.745,0.565,0.065,1.22E-03
NFIL3,1.645,5.00E-02,2.514,0.61,0.066,1.30E-03
GATA4,4.122,1.88E-05,2.756,0.538,0.067,1.37E-03
NR2F1,2.031,2.11E-02,2.715,0.561,0.068,1.39E-03
OTX2,5.293,6.02E-08,2.638,0.539,0.068,1.41E-03
RING1,1.892,2.93E-02,2.438,0.58,0.068,1.41E-03
HNF1B,1.719,4.28E-02,2.267,0.714,0.068,1.43E-03
STAG1,7.356,9.46E-14,1.773,0.675,0.07,1.55E-03
NFIC,1.95,2.56E-02,2.837,0.554,0.073,1.72E-03
EZH2,8.726,1.32E-18,1.591,0.776,0.073,1.72E-03
TCF21,2.993,1.38E-03,1.951,0.62,0.073,1.75E-03
