TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
AR,19.739,4.94E-87,3.054,0.631,0.008,2.23E-06
HOXB13,6.348,1.09E-10,3.258,0.645,0.009,2.89E-06
FOXA1,16.724,4.37E-63,3.002,0.624,0.01,4.59E-06
PIAS1,5.766,4.06E-09,3.248,0.591,0.016,1.91E-05
TLE3,3.589,1.66E-04,3.343,0.615,0.017,2.31E-05
ESR1,18.925,3.56E-80,2.61,0.595,0.018,2.46E-05
GRHL2,5.171,1.17E-07,2.726,0.614,0.018,2.77E-05
RAD21,10.204,9.54E-25,2.299,0.649,0.02,3.87E-05
ARID1A,2.537,5.60E-03,3.186,0.647,0.02,3.87E-05
HNF1A,2.896,1.89E-03,2.583,0.673,0.022,4.52E-05
HNF4G,3.476,2.55E-04,2.805,0.592,0.024,6.57E-05
GATA3,7.216,2.68E-13,2.748,0.561,0.026,7.48E-05
CTCF,28.648,8.46E-181,2.178,0.614,0.028,9.54E-05
SMC3,7.47,4.01E-14,2.088,0.675,0.028,1.03E-04
GATA6,4.127,1.84E-05,2.73,0.566,0.031,1.33E-04
CDX2,2.611,4.52E-03,2.872,0.576,0.032,1.52E-04
NKX3-1,2.135,1.64E-02,3.176,0.575,0.035,1.97E-04
NANOG,4.624,1.89E-06,2.32,0.569,0.038,2.42E-04
FOXA2,4.369,6.24E-06,2.285,0.573,0.038,2.56E-04
PR,5.125,1.49E-07,2.488,0.546,0.039,2.63E-04
SMC1A,6.756,7.07E-12,1.994,0.628,0.04,2.94E-04
MAML3,2.818,2.42E-03,2.747,0.554,0.04,2.94E-04
HNF4A,4.004,3.11E-05,2.113,0.598,0.041,3.10E-04
TCF4,2.724,3.23E-03,2.371,0.577,0.042,3.26E-04
GATA2,3.1,9.67E-04,2.127,0.599,0.042,3.35E-04
NR5A2,1.755,3.96E-02,2.723,0.584,0.043,3.61E-04
PDX1,1.939,2.63E-02,2.873,0.561,0.043,3.70E-04
GREB1,2.86,2.12E-03,2.498,0.55,0.045,3.99E-04
SIX2,2.948,1.60E-03,2.576,0.544,0.045,4.18E-04
TOP1,2.748,2.99E-03,2.415,0.556,0.047,4.81E-04
NUP98-HOXA9,1.667,4.78E-02,2.446,0.593,0.048,4.92E-04
HNF1B,1.699,4.46E-02,2.247,0.622,0.048,5.03E-04
ZNF654,2.341,9.61E-03,2.172,0.59,0.049,5.26E-04
ASCL1,3.852,5.86E-05,2.209,0.556,0.05,5.61E-04
OTX2,4.477,3.78E-06,2.374,0.537,0.051,5.86E-04
GATA4,3.29,5.02E-04,2.442,0.538,0.052,6.24E-04
