TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
SIRT1,3.375,3.69E-04,3.018,0.683,0.021,4.29E-05
IKZF1,5.543,1.49E-08,2.864,0.649,0.022,4.98E-05
TAL1,6.11,4.98E-10,2.826,0.639,0.025,6.87E-05
BRDU,4.218,1.24E-05,3.322,0.623,0.025,6.87E-05
CEBPB,10.724,3.93E-27,2.412,0.758,0.029,1.11E-04
LYL1,4.19,1.39E-05,2.428,0.723,0.036,2.09E-04
POLR3D,4.497,3.45E-06,2.759,0.602,0.036,2.15E-04
TSC22D4,2.479,6.60E-03,3.166,0.634,0.038,2.49E-04
EP300,7.717,5.95E-15,2.255,0.726,0.042,3.35E-04
ETV6,2.905,1.84E-03,2.689,0.614,0.047,4.59E-04
LMO2,3.313,4.62E-04,2.349,0.692,0.047,4.70E-04
STAT4,2.165,1.52E-02,3.109,0.622,0.048,5.03E-04
SPIB,2.962,1.53E-03,2.886,0.59,0.05,5.49E-04
ZTA,2.327,9.99E-03,3.36,0.594,0.051,5.86E-04
FOXO1,2.695,3.52E-03,2.435,0.675,0.052,6.51E-04
SPI1,8.752,1.05E-18,2.111,0.748,0.053,6.78E-04
SSRP1,2.442,7.30E-03,3.579,0.572,0.054,7.06E-04
IRF4,3.334,4.27E-04,2.454,0.599,0.055,7.34E-04
JMJD1C,3.026,1.24E-03,2.388,0.642,0.055,7.34E-04
GATA2,4.356,6.63E-06,2.516,0.58,0.055,7.49E-04
KDM1A,2.425,7.65E-03,2.596,0.61,0.057,8.25E-04
EBF1,3.074,1.06E-03,2.528,0.592,0.057,8.25E-04
BACH2,3.212,6.59E-04,2.359,0.631,0.057,8.25E-04
GATA1,5.498,1.92E-08,2.455,0.573,0.058,8.89E-04
RUNX1,6.525,3.39E-11,2.128,0.679,0.059,9.05E-04
MEIS1,2.79,2.64E-03,2.606,0.592,0.059,9.22E-04
MEF2B,3.757,8.61E-05,2.196,0.648,0.06,9.56E-04
BATF,3.03,1.22E-03,2.4,0.611,0.061,1.01E-03
SND1,2.855,2.15E-03,2.419,0.622,0.061,1.01E-03
RXRG,3.656,1.28E-04,2.191,0.638,0.063,1.12E-03
EED,2.93,1.70E-03,3.003,0.555,0.063,1.14E-03
TERC,3.058,1.11E-03,2.649,0.557,0.066,1.30E-03
RUNX1T1,3.148,8.21E-04,2.116,0.686,0.068,1.41E-03
GRIP1,2.389,8.45E-03,2.226,0.687,0.069,1.46E-03
CRY1,1.665,4.80E-02,3.514,0.596,0.069,1.48E-03
FOS,3.254,5.69E-04,2.16,0.625,0.072,1.65E-03
TCF4,2.432,7.51E-03,2.225,0.648,0.073,1.72E-03
SMAD1,2.227,1.30E-02,2.286,0.637,0.074,1.80E-03
NR3C1,7.085,6.96E-13,2.011,0.622,0.074,1.85E-03
NME2,2.172,1.49E-02,2.891,0.556,0.075,1.94E-03
EBNA3C,2.817,2.43E-03,2.325,0.591,0.078,2.14E-03
TCF12,2.135,1.64E-02,2.275,0.629,0.079,2.23E-03
CEBPA,2.916,1.77E-03,1.955,0.701,0.081,2.38E-03
VDR,3.255,5.68E-04,2.131,0.598,0.082,2.45E-03
NFKB2,2.173,1.49E-02,2.537,0.563,0.082,2.48E-03
ZNF512,2.14,1.62E-02,2.553,0.563,0.083,2.58E-03
YBX1,2.817,2.42E-03,3.169,0.529,0.088,3.07E-03
HES2,7.876,1.69E-15,1.962,0.584,0.089,3.15E-03
ZNF175,1.882,2.99E-02,3.233,0.546,0.089,3.19E-03
ZMYM3,3.051,1.14E-03,1.954,0.623,0.09,3.31E-03
PTTG1,2.088,1.84E-02,3.062,0.543,0.09,3.31E-03
MCM2,1.599,5.49E-02,2.933,0.565,0.09,3.31E-03
JUNB,2.131,1.66E-02,2.195,0.599,0.093,3.67E-03
ZNF436,1.644,5.01E-02,2.516,0.584,0.095,3.80E-03
CDCA2,1.606,5.41E-02,2.615,0.568,0.096,3.98E-03
CTCF,24.015,9.64E-128,1.864,0.577,0.097,4.12E-03
NEUROG2,4.309,8.21E-06,2.087,0.559,0.097,4.16E-03
ZNF384,2.052,2.01E-02,2.576,0.548,0.099,4.35E-03
TBX21,2.657,3.94E-03,2.182,0.566,0.1,4.44E-03
RELB,2.363,9.07E-03,2.388,0.551,0.1,4.54E-03
RAD21,8.112,2.48E-16,1.895,0.565,0.101,4.64E-03
RELA,6.572,2.49E-11,1.48,0.686,0.101,4.64E-03
SUMO1,5.298,5.85E-08,2.134,0.549,0.102,4.74E-03
ASCL1,3.432,3.00E-04,2.073,0.558,0.102,4.79E-03
HOTAIR,2.609,4.54E-03,2.778,0.524,0.103,4.89E-03
NR4A1,1.963,2.48E-02,2.495,0.548,0.104,4.99E-03
NKX2-1,2.077,1.89E-02,2.426,0.55,0.104,5.10E-03
EBNA2,1.628,5.18E-02,2.417,0.576,0.104,5.10E-03
