TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
MAML3,3.335,4.27E-04,3.047,0.585,0.02,3.67E-05
RAD21,11.203,1.98E-29,2.491,0.654,0.022,4.98E-05
GATA4,4.856,6.00E-07,3.034,0.553,0.023,5.23E-05
AR,17.267,4.17E-67,2.832,0.547,0.023,5.74E-05
CTCF,32.048,1.17E-225,2.409,0.618,0.026,7.80E-05
GATA2,5.261,7.18E-08,2.796,0.55,0.026,8.13E-05
GATA6,4.52,3.09E-06,2.875,0.556,0.027,8.82E-05
GATA3,6.266,1.86E-10,2.554,0.567,0.027,9.18E-05
TBX5,3.356,3.95E-04,3.017,0.558,0.028,9.54E-05
SMC3,8.014,5.54E-16,2.235,0.67,0.032,1.52E-04
SIX2,3.564,1.82E-04,2.9,0.547,0.033,1.58E-04
HNF4G,3.129,8.77E-04,2.595,0.579,0.033,1.58E-04
OTX2,5.652,7.95E-09,2.754,0.534,0.034,1.79E-04
SMC1A,7.478,3.78E-14,2.225,0.64,0.037,2.28E-04
EBF3,2.489,6.40E-03,3.008,0.548,0.038,2.42E-04
HAND2,1.667,4.77E-02,2.966,0.583,0.04,2.94E-04
POLR3D,3.562,1.84E-04,2.388,0.582,0.041,3.18E-04
ASCL1,4.751,1.01E-06,2.501,0.542,0.043,3.70E-04
SUMO1,5.568,1.29E-08,2.229,0.571,0.043,3.70E-04
NR2F2,2.911,1.80E-03,2.383,0.591,0.044,3.89E-04
PHOX2B,1.614,5.32E-02,3.021,0.561,0.046,4.49E-04
TCF4,2.794,2.60E-03,2.406,0.577,0.047,4.59E-04
NANOG,4.966,3.41E-07,2.424,0.538,0.048,5.03E-04
FOXA1,10.888,6.58E-28,2.363,0.533,0.049,5.38E-04
EOMES,2.69,3.57E-03,2.672,0.533,0.05,5.74E-04
SMAD2,2.706,3.41E-03,2.509,0.547,0.051,5.86E-04
HOXC9,1.999,2.28E-02,2.924,0.527,0.055,7.64E-04
REST,5.24,8.03E-08,2.426,0.519,0.057,8.25E-04
ZFP57,2.198,1.40E-02,2.361,0.562,0.058,8.56E-04
ZBTB2,2.123,1.69E-02,2.406,0.56,0.058,8.72E-04
SOX2,3.64,1.36E-04,2.225,0.544,0.058,8.89E-04
CHD5,1.596,5.53E-02,2.578,0.557,0.058,8.89E-04
HOXB13,4.431,4.69E-06,2.646,0.508,0.059,9.22E-04
STAG1,7.492,3.40E-14,1.809,0.636,0.06,9.56E-04
PDX1,1.947,2.57E-02,2.883,0.524,0.06,9.56E-04
EZH2,9.396,2.84E-21,1.717,0.823,0.06,9.91E-04
ESR1,10.026,5.86E-24,1.876,0.56,0.062,1.08E-03
