TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
JUND,4.138,1.75E-05,2.692,0.676,0.014,1.34E-05
CEBPB,9.638,2.76E-22,2.217,0.742,0.017,2.17E-05
SMARCA4,3.862,5.62E-05,2.644,0.674,0.018,2.46E-05
FOSL1,3.729,9.62E-05,2.337,0.688,0.023,5.74E-05
SPI1,8.797,7.00E-19,2.121,0.756,0.026,7.80E-05
STAT1,4.068,2.37E-05,2.547,0.637,0.031,1.28E-04
HES2,8.259,7.33E-17,2.045,0.687,0.034,1.79E-04
VDR,3.827,6.50E-05,2.541,0.63,0.035,1.97E-04
FOSL2,9.868,2.86E-23,1.966,0.736,0.037,2.22E-04
JUN,5.714,5.51E-09,2.11,0.669,0.037,2.28E-04
ZMYM3,3.734,9.44E-05,2.31,0.641,0.037,2.35E-04
JMJD1C,2.899,1.87E-03,2.288,0.651,0.04,2.94E-04
CTCF,26.104,1.62E-150,2.005,0.667,0.041,3.02E-04
IKZF1,4.077,2.28E-05,2.22,0.635,0.042,3.26E-04
RXRG,3.53,2.08E-04,2.115,0.674,0.042,3.26E-04
SIRT1,2.917,1.77E-03,2.764,0.621,0.042,3.26E-04
FOS,3.212,6.59E-04,2.138,0.658,0.045,4.18E-04
SMC3,7.186,3.33E-13,2.012,0.649,0.047,4.70E-04
BATF,2.89,1.93E-03,2.298,0.635,0.047,4.70E-04
SMC1A,6.758,7.01E-12,1.995,0.651,0.048,4.92E-04
SUMO1,5.497,1.93E-08,2.204,0.615,0.05,5.74E-04
ZNF512,2.216,1.33E-02,2.621,0.629,0.051,5.99E-04
RAD21,8.126,2.21E-16,1.898,0.667,0.051,6.11E-04
RUNX1T1,3.136,8.56E-04,2.108,0.649,0.052,6.37E-04
EED,2.385,8.54E-03,2.544,0.617,0.052,6.51E-04
BACH2,2.96,1.54E-03,2.186,0.637,0.052,6.51E-04
BRD9,2.217,1.33E-02,2.636,0.621,0.053,6.64E-04
GTF2I,4.197,1.35E-05,2.198,0.613,0.055,7.49E-04
EP300,5.641,8.47E-09,1.798,0.712,0.056,7.94E-04
SMARCC1,3.264,5.50E-04,1.925,0.668,0.059,9.22E-04
NKX2-1,2.096,1.80E-02,2.441,0.614,0.062,1.06E-03
STAT3,3.889,5.02E-05,2.074,0.617,0.063,1.14E-03
LYL1,2.94,1.64E-03,1.882,0.674,0.064,1.20E-03
STAG1,7.805,2.98E-15,1.894,0.633,0.065,1.24E-03
BRDU,2.254,1.21E-02,2.443,0.607,0.066,1.28E-03
POLR3D,2.916,1.77E-03,2.132,0.614,0.068,1.39E-03
TP53,4.776,8.93E-07,1.847,0.642,0.069,1.46E-03
TCF7L1,2.872,2.04E-03,2.34,0.6,0.069,1.48E-03
ETV6,2.25,1.22E-02,2.188,0.62,0.069,1.48E-03
NFE2L1,2.313,1.04E-02,2.509,0.6,0.07,1.53E-03
