TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
GATA2,7.06,8.31E-13,3.353,0.614,0.009,2.89E-06
TAL1,7.025,1.07E-12,3.107,0.595,0.014,1.24E-05
CEBPB,11.147,3.70E-29,2.488,0.692,0.017,2.04E-05
FLI1,4.884,5.21E-07,3.36,0.596,0.017,2.04E-05
SPI1,10.185,1.16E-24,2.429,0.787,0.018,2.77E-05
SMAD1,3.918,4.46E-05,3.407,0.592,0.02,3.48E-05
GATA4,4.17,1.52E-05,2.774,0.602,0.023,5.23E-05
MEF2B,4.843,6.40E-07,2.665,0.585,0.028,9.92E-05
MAML3,3.342,4.16E-04,3.051,0.569,0.028,1.03E-04
LYL1,4.149,1.67E-05,2.41,0.622,0.03,1.24E-04
PPARG,5.5,1.90E-08,2.26,0.604,0.035,1.97E-04
CEBPA,3.407,3.28E-04,2.247,0.611,0.04,2.86E-04
FOXO1,2.807,2.50E-03,2.514,0.578,0.041,3.02E-04
LMO2,3.234,6.10E-04,2.302,0.601,0.041,3.10E-04
SMARCA2,2.357,9.20E-03,2.909,0.572,0.042,3.35E-04
IRF1,3.787,7.61E-05,2.121,0.668,0.042,3.44E-04
JMJD1C,3.029,1.23E-03,2.39,0.59,0.043,3.52E-04
GATA1,6.441,5.93E-11,2.736,0.538,0.045,3.99E-04
EP300,6.361,1.01E-10,1.957,0.662,0.048,4.92E-04
AR,11.046,1.14E-28,2.273,0.545,0.048,5.03E-04
ZBTB16,2.163,1.53E-02,2.544,0.587,0.05,5.61E-04
IRF4,3.416,3.18E-04,2.506,0.545,0.051,5.86E-04
DUX4,2.342,9.60E-03,2.979,0.548,0.052,6.51E-04
GRIP1,2.397,8.26E-03,2.232,0.607,0.052,6.51E-04
STAT1,3.637,1.38E-04,2.225,0.56,0.053,6.78E-04
EBF3,2.528,5.74E-03,3.038,0.539,0.053,6.78E-04
MEIS1,2.779,2.73E-03,2.599,0.543,0.055,7.34E-04
IKZF1,3.877,5.29E-05,2.132,0.559,0.057,8.25E-04
FOXA2,4.3,8.55E-06,2.263,0.544,0.057,8.40E-04
RXRG,3.318,4.54E-04,1.986,0.604,0.057,8.40E-04
HNF4G,2.299,1.08E-02,2.093,0.714,0.058,8.56E-04
RUNX1,6.209,2.67E-10,2.029,0.562,0.058,8.72E-04
TCF21,3.215,6.52E-04,2.072,0.583,0.058,8.72E-04
TEAD1,3.137,8.52E-04,2.273,0.551,0.058,8.89E-04
ETV6,2.472,6.73E-03,2.358,0.556,0.059,9.22E-04
GATA3,5.11,1.61E-07,2.319,0.536,0.06,9.74E-04
SPIB,2.493,6.33E-03,2.571,0.541,0.06,9.91E-04
FUS,2.274,1.15E-02,2.474,0.554,0.062,1.06E-03
ATF4,2.758,2.91E-03,2.85,0.529,0.063,1.12E-03
NR2F2,2.354,9.28E-03,2.008,0.689,0.063,1.12E-03
EBNA3C,2.546,5.45E-03,2.148,0.565,0.063,1.14E-03
CEBPG,2.888,1.94E-03,3.256,0.518,0.066,1.28E-03
PGR,1.681,4.64E-02,2.447,0.572,0.066,1.30E-03
RUNX1T1,3.145,8.32E-04,2.113,0.549,0.067,1.37E-03
PRDM1,2.629,4.28E-03,2.684,0.525,0.069,1.50E-03
RAD21,5.603,1.05E-08,1.411,0.627,0.074,1.85E-03
PHOX2B,1.59,5.59E-02,2.993,0.537,0.077,2.02E-03
EWSR1,1.703,4.43E-02,2.645,0.536,0.079,2.20E-03
KDM1A,1.885,2.98E-02,2.142,0.559,0.079,2.23E-03
TBX5,3.052,1.14E-03,2.844,0.508,0.08,2.32E-03
FOXA1,7.801,3.07E-15,2.024,0.523,0.082,2.45E-03
HOXA9,1.897,2.89E-02,2.504,0.527,0.086,2.82E-03
JARID2,5.201,9.90E-08,1.237,0.612,0.086,2.89E-03
NR3C1,5.514,1.75E-08,1.74,0.539,0.087,3.00E-03
NUP98-HOXA9,1.603,5.45E-02,2.379,0.541,0.087,3.00E-03
EZH2,6.532,3.25E-11,1.178,0.608,0.088,3.11E-03
ZNF384,1.95,2.56E-02,2.471,0.521,0.09,3.27E-03
ZIM3,1.947,2.57E-02,2.874,0.511,0.092,3.51E-03
TBX21,2.387,8.50E-03,1.962,0.54,0.092,3.51E-03
MEF2A,1.89,2.94E-02,2.481,0.52,0.093,3.63E-03
PCGF2,2.165,1.52E-02,2.085,0.535,0.094,3.72E-03
NFIL3,1.577,5.74E-02,2.427,0.533,0.094,3.76E-03
CD74,2.386,8.51E-03,1.631,0.563,0.095,3.85E-03
BCL6,2.421,7.73E-03,1.503,0.569,0.095,3.85E-03
SKI,1.675,4.70E-02,1.884,0.568,0.096,3.98E-03
HLF,1.96,2.50E-02,2.982,0.505,0.096,4.02E-03
STAG1,7.682,7.83E-15,1.861,0.516,0.097,4.16E-03
LMNA,1.51,6.55E-02,2.53,0.524,0.1,4.44E-03
HOXB13,2.728,3.18E-03,2.103,0.516,0.101,4.59E-03
HMG20A,1.642,5.03E-02,1.932,0.554,0.101,4.64E-03
EBNA3,1.639,5.06E-02,1.949,0.553,0.102,4.84E-03
BATF3,1.644,5.01E-02,1.865,0.554,0.104,4.99E-03
HES2,6.479,4.63E-11,1.663,0.519,0.104,5.10E-03
VDR,2.321,1.01E-02,1.46,0.555,0.106,5.37E-03
STAT3,2.77,2.80E-03,1.458,0.544,0.107,5.53E-03
SND1,2.263,1.18E-02,1.999,0.521,0.108,5.64E-03
CTCF,17.387,5.17E-68,1.414,0.524,0.108,5.70E-03
BATF,2.299,1.07E-02,1.868,0.529,0.108,5.70E-03
HOXC9,1.866,3.10E-02,2.792,0.499,0.11,5.93E-03
LDB1,1.461,7.20E-02,2.771,0.511,0.11,5.99E-03
STAT4,1.45,7.36E-02,2.333,0.524,0.111,6.11E-03
RELA,4.972,3.31E-07,1.065,0.559,0.112,6.35E-03
MLLT3,1.5,6.68E-02,2.424,0.517,0.113,6.53E-03
OTX2,2.779,2.73E-03,1.825,0.514,0.117,7.24E-03
TRAF7,2.802,2.54E-03,1.277,0.542,0.117,7.24E-03
TLE3,1.973,2.42E-02,2.439,0.497,0.118,7.31E-03
HNF1A,1.778,3.77E-02,1.826,0.53,0.119,7.65E-03
CEBPD,1.183,1.18E-01,1.896,0.562,0.12,7.72E-03
TRIM22,2.085,1.85E-02,1.969,0.514,0.12,7.79E-03
PRDM6,1.54,6.18E-02,2.047,0.525,0.12,7.79E-03
EBF1,2.459,6.97E-03,2.065,0.502,0.121,7.93E-03
ZNF317,1.892,2.92E-02,2.934,0.489,0.123,8.44E-03
PML,2.044,2.05E-02,1.256,0.553,0.123,8.44E-03
TRIM28,1.64,5.05E-02,2.385,0.501,0.125,8.73E-03
GATA6,1.198,1.16E-01,1.649,0.573,0.125,8.81E-03
JUN,3.066,1.09E-03,1.251,0.529,0.126,9.04E-03
CUX1,1.509,6.57E-02,1.778,0.538,0.126,9.04E-03
KMT2A,2.627,4.30E-03,1.039,0.555,0.127,9.27E-03
ZNF512,1.645,5.00E-02,2.109,0.508,0.128,9.43E-03
YAP1,2.214,1.34E-02,1.528,0.521,0.129,9.59E-03
SUZ12,3.026,1.24E-03,0.681,0.573,0.133,1.05E-02
HAND2,1.33,9.17E-02,2.581,0.499,0.133,1.06E-02
SMC1A,3.993,3.26E-05,1.111,0.526,0.134,1.09E-02
MAFK,1.594,5.55E-02,2.159,0.501,0.134,1.09E-02
ILK,1.585,5.65E-02,2.755,0.491,0.134,1.09E-02
RUNX3,1.424,7.72E-02,2.178,0.508,0.136,1.13E-02
CBX2,1.529,6.32E-02,1.794,0.522,0.136,1.13E-02
MAFF,1.544,6.14E-02,2.925,0.488,0.138,1.18E-02
PROX1,1.318,9.38E-02,1.292,0.574,0.138,1.18E-02
ZNF136,1.234,1.09E-01,3.427,0.493,0.139,1.22E-02
KDM1B,1.255,1.05E-01,2.993,0.494,0.14,1.23E-02
ATF2,1.186,1.18E-01,1.775,0.536,0.142,1.28E-02
REST,2.901,1.86E-03,1.918,0.491,0.143,1.31E-02
ARID3A,1.834,3.33E-02,2.17,0.491,0.145,1.36E-02
TEAD4,1.684,4.61E-02,1.485,0.517,0.147,1.43E-02
CHAT,1.514,6.50E-02,2.564,0.487,0.148,1.47E-02
SOX11,1.174,1.20E-01,2.49,0.497,0.15,1.52E-02
NFIC,1.199,1.15E-01,1.764,0.523,0.151,1.56E-02
MED12,1.213,1.13E-01,1.077,0.596,0.152,1.57E-02
TEAD1-TEAD4,1.375,8.46E-02,2.053,0.502,0.152,1.57E-02
STAT5A,1.625,5.20E-02,1.813,0.502,0.152,1.59E-02
GLI2,1.905,2.84E-02,0.406,0.619,0.153,1.61E-02
RELB,1.788,3.69E-02,1.904,0.496,0.153,1.62E-02
MAFG,1.46,7.22E-02,2.562,0.486,0.154,1.64E-02
ZNF766,1.392,8.19E-02,2.748,0.486,0.154,1.64E-02
TERF1,1.385,8.30E-02,1.962,0.503,0.155,1.66E-02
MTA2,1.44,7.49E-02,1.494,0.518,0.156,1.71E-02
SMC3,4.096,2.10E-05,1.183,0.5,0.156,1.72E-02
FOS,1.587,5.62E-02,1.302,0.52,0.157,1.73E-02
SMARCC1,1.74,4.10E-02,1.047,0.535,0.157,1.74E-02
PDX1,1.328,9.21E-02,2.24,0.494,0.158,1.78E-02
SIX2,1.969,2.45E-02,2.062,0.485,0.159,1.82E-02
NCOR2,1.754,3.97E-02,1.632,0.497,0.163,1.96E-02
RING1,0.997,1.60E-01,1.52,0.53,0.164,1.97E-02
MEF2C,1.404,8.02E-02,1.734,0.505,0.165,2.01E-02
FOXP1,0.897,1.85E-01,1.242,0.556,0.166,2.08E-02
NR4A1,0.91,1.81E-01,1.381,0.543,0.167,2.09E-02
CHD5,1.241,1.07E-01,2.109,0.493,0.168,2.13E-02
BACH2,1.441,7.48E-02,1.145,0.531,0.168,2.13E-02
KLF11,2.252,1.22E-02,1.424,0.495,0.17,2.23E-02
HOTAIR,1.569,5.83E-02,2.148,0.481,0.171,2.24E-02
MAFB,1.557,5.98E-02,1.017,0.529,0.171,2.24E-02
BMI1,1.333,9.12E-02,1.309,0.518,0.171,2.25E-02
ZNF597,1.355,8.77E-02,1.744,0.501,0.171,2.25E-02
GRHL3,1.116,1.32E-01,1.248,0.535,0.171,2.27E-02
ATF3,0.888,1.87E-01,0.789,0.72,0.173,2.31E-02
MKL2,2.197,1.40E-02,1.452,0.492,0.174,2.39E-02
EED,1.083,1.39E-01,1.447,0.52,0.174,2.39E-02
RNF2,1.531,6.29E-02,0.854,0.533,0.175,2.40E-02
SMARCA4,1.968,2.45E-02,0.954,0.511,0.177,2.51E-02
TERF2,1.297,9.73E-02,1.826,0.497,0.178,2.52E-02
CHRM2,0.98,1.64E-01,1.022,0.551,0.18,2.64E-02
NR2F6,1.313,9.45E-02,1.84,0.495,0.18,2.64E-02
ZNF182,1.015,1.55E-01,2.341,0.483,0.184,2.82E-02
HDAC3,0.949,1.71E-01,1.973,0.496,0.187,2.92E-02
PIAS1,1.835,3.32E-02,1.903,0.476,0.189,3.06E-02
ZBTB2,1.381,8.37E-02,1.715,0.489,0.192,3.20E-02
