TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
BRDU,4.437,4.56E-06,3.42,0.623,0.02,3.67E-05
ASCL1,6.124,4.56E-10,2.945,0.674,0.023,5.48E-05
POLR3D,5.687,6.46E-09,3.232,0.607,0.024,6.57E-05
REST,8.454,1.41E-17,3.124,0.608,0.024,6.57E-05
YBX1,3.33,4.34E-04,3.462,0.612,0.026,8.13E-05
SIRT1,3.394,3.45E-04,3.028,0.675,0.027,8.47E-05
SSRP1,2.903,1.85E-03,4.011,0.596,0.033,1.63E-04
SMAD3,4.912,4.50E-07,2.612,0.686,0.038,2.49E-04
RNF2,3.957,3.80E-05,2.534,0.66,0.047,4.81E-04
TCF4,3.425,3.07E-04,2.721,0.606,0.049,5.14E-04
SOX2,4.495,3.48E-06,2.525,0.633,0.049,5.38E-04
SUMO1,6.345,1.11E-10,2.505,0.615,0.05,5.74E-04
LARP7,2.696,3.51E-03,4.218,0.574,0.051,6.11E-04
TEAD4,3.74,9.21E-05,2.509,0.627,0.053,6.78E-04
ZBTB48,4.976,3.25E-07,2.556,0.6,0.055,7.34E-04
ZNF649,1.693,4.52E-02,4.429,0.62,0.056,7.78E-04
ZNF207,2.381,8.62E-03,3.676,0.573,0.059,9.05E-04
CTCF,29.201,9.46E-188,2.216,0.663,0.06,9.74E-04
CRY1,1.69,4.55E-02,3.544,0.616,0.061,1.01E-03
NFE2L1,2.461,6.94E-03,2.61,0.607,0.062,1.06E-03
ZTA,2.219,1.32E-02,3.268,0.576,0.064,1.16E-03
ZNF707,2.001,2.27E-02,3.209,0.59,0.064,1.20E-03
CTCFL,3.579,1.73E-04,2.372,0.616,0.065,1.26E-03
TET2,3.437,2.94E-04,2.368,0.619,0.065,1.26E-03
ZNF175,1.781,3.75E-02,3.123,0.614,0.066,1.28E-03
SMC3,7.677,8.17E-15,2.144,0.662,0.068,1.39E-03
SFPQ,1.661,4.83E-02,3.687,0.599,0.069,1.48E-03
RAD21,9.373,3.51E-21,2.138,0.645,0.07,1.53E-03
NANOG,4.961,3.51E-07,2.422,0.59,0.07,1.53E-03
GTF2I,4.669,1.52E-06,2.39,0.595,0.07,1.57E-03
POU5F1,5.977,1.14E-09,2.358,0.592,0.073,1.75E-03
TRIM28,2.604,4.61E-03,2.871,0.571,0.074,1.80E-03
FOXK1,1.535,6.24E-02,3.543,0.608,0.074,1.80E-03
ZKSCAN1,1.961,2.50E-02,3.262,0.576,0.075,1.94E-03
SMC1A,7.099,6.27E-13,2.104,0.633,0.076,1.96E-03
NONO,1.903,2.85E-02,3.923,0.573,0.077,2.02E-03
ZNF2,2.161,1.53E-02,2.56,0.595,0.078,2.11E-03
MYOD1,2.518,5.90E-03,2.584,0.582,0.079,2.20E-03
ZNF16,1.841,3.28E-02,3.183,0.583,0.079,2.20E-03
ZNF292,1.646,4.99E-02,3.345,0.593,0.079,2.26E-03
TERC,3.025,1.24E-03,2.629,0.57,0.081,2.38E-03
SMAD2,2.668,3.81E-03,2.485,0.586,0.081,2.41E-03
ZFP64,1.984,2.37E-02,3.238,0.57,0.083,2.54E-03
ZNF140,1.996,2.30E-02,3.401,0.567,0.083,2.54E-03
ATF7IP,1.429,7.65E-02,4.064,0.595,0.084,2.71E-03
ZNF354C,1.616,5.31E-02,3.532,0.584,0.085,2.75E-03
PTRF,2.065,1.95E-02,3.244,0.562,0.086,2.89E-03
CDCA2,1.67,4.75E-02,2.684,0.603,0.092,3.47E-03
ZNF488,1.933,2.66E-02,3.545,0.56,0.094,3.72E-03
EZH2,9.347,4.52E-21,1.708,0.767,0.094,3.76E-03
ZNF781,1.91,2.81E-02,3.427,0.562,0.094,3.76E-03
ZNF436,1.672,4.72E-02,2.546,0.604,0.097,4.12E-03
ZNF512,2.032,2.11E-02,2.456,0.584,0.097,4.16E-03
GLIS1,2.414,7.90E-03,2.587,0.564,0.098,4.25E-03
ZFP41,1.911,2.80E-02,3.204,0.562,0.098,4.30E-03
HCFC1R1,1.671,4.73E-02,2.534,0.603,0.098,4.30E-03
TRIM25,2.628,4.30E-03,2.407,0.57,0.1,4.54E-03
BMI1,2.713,3.34E-03,2.17,0.588,0.101,4.59E-03
EHMT2,2.104,1.77E-02,2.655,0.563,0.105,5.15E-03
ZNF438,1.652,4.93E-02,3.216,0.567,0.105,5.15E-03
ZFP57,2.166,1.52E-02,2.336,0.576,0.107,5.48E-03
SRF,2.732,3.15E-03,1.886,0.606,0.107,5.59E-03
ZNF680,2.157,1.55E-02,2.939,0.551,0.109,5.87E-03
KDM3B,2.156,1.56E-02,2.141,0.593,0.11,5.99E-03
SP140,2.238,1.26E-02,2.178,0.579,0.111,6.23E-03
SIX4,1.454,7.30E-02,4.053,0.561,0.116,7.04E-03
KDM4A,2.412,7.94E-03,1.812,0.606,0.119,7.65E-03
SUZ12,4.879,5.33E-07,1.331,0.778,0.12,7.86E-03
NME2,1.927,2.70E-02,2.697,0.557,0.122,8.14E-03
JARID2,5.416,3.05E-08,1.3,0.714,0.123,8.44E-03
JMJD6,3.292,4.98E-04,1.377,0.692,0.124,8.58E-03
OTX2,2.821,2.40E-03,1.839,0.579,0.125,8.73E-03
GRHL3,2.24,1.26E-02,2.136,0.57,0.126,9.04E-03
SMARCA5,1.66,4.85E-02,2.751,0.561,0.127,9.20E-03
NKX2-1,2.174,1.49E-02,2.5,0.554,0.127,9.20E-03
KLF16,1.953,2.54E-02,2.585,0.556,0.127,9.20E-03
AEBP2,1.717,4.30E-02,2.859,0.554,0.128,9.43E-03
ZNF837,1.802,3.58E-02,2.599,0.557,0.129,9.59E-03
SMARCA4,2.834,2.30E-03,1.727,0.586,0.129,9.67E-03
TRIM24,1.936,2.65E-02,2.762,0.548,0.132,1.03E-02
FOXH1,1.755,3.97E-02,2.485,0.563,0.134,1.08E-02
ESR1,7.015,1.15E-12,1.628,0.574,0.134,1.09E-02
ZNF202,1.63,5.16E-02,2.128,0.598,0.136,1.12E-02
BACH1,1.981,2.38E-02,2.345,0.56,0.137,1.15E-02
TFAP2C,2.933,1.68E-03,2.356,0.546,0.137,1.17E-02
DACOR1,1.393,8.19E-02,3.167,0.556,0.137,1.17E-02
SMAD2-SMAD3,2.785,2.68E-03,2.435,0.543,0.138,1.17E-02
SCRT1,1.947,2.58E-02,2.965,0.541,0.139,1.20E-02
ZMYM3,2.863,2.10E-03,1.856,0.566,0.139,1.22E-02
USF1,2.094,1.81E-02,2.753,0.54,0.139,1.22E-02
ZNF654,2.158,1.55E-02,2.005,0.569,0.139,1.22E-02
SOX10,1.498,6.70E-02,2.578,0.566,0.14,1.23E-02
RING1,1.79,3.67E-02,2.334,0.564,0.141,1.26E-02
AGO1,1.721,4.26E-02,2.689,0.55,0.142,1.29E-02
MCM2,1.435,7.57E-02,2.75,0.559,0.143,1.31E-02
TOP1,2.184,1.45E-02,1.928,0.567,0.143,1.33E-02
EOMES,2.042,2.06E-02,2.272,0.555,0.143,1.33E-02
ZNF320,2.031,2.11E-02,2.946,0.537,0.143,1.33E-02
MYOG,1.366,8.60E-02,2.255,0.589,0.146,1.39E-02
ZBTB17,1.776,3.78E-02,2.797,0.544,0.147,1.42E-02
ZNF138,1.363,8.65E-02,2.987,0.554,0.147,1.43E-02
CLOCK,0.962,1.68E-01,2.972,0.587,0.148,1.46E-02
ZBTB2,1.805,3.55E-02,2.11,0.569,0.148,1.47E-02
SON,1.62,5.26E-02,2.06,0.585,0.15,1.51E-02
TEAD2,1.727,4.21E-02,2.813,0.542,0.15,1.51E-02
GTF3C5,2.107,1.76E-02,1.889,0.567,0.15,1.52E-02
ZNF563,1.37,8.54E-02,2.853,0.554,0.15,1.52E-02
SOX4,2.12,1.70E-02,2.2,0.551,0.152,1.59E-02
KLF4,1.852,3.21E-02,1.825,0.577,0.154,1.65E-02
PRDM12,1.31,9.50E-02,3.216,0.549,0.154,1.65E-02
TAZ,1.514,6.50E-02,2.284,0.568,0.155,1.66E-02
DROSHA,1.931,2.68E-02,1.377,0.617,0.156,1.71E-02
CNOT3,2.14,1.62E-02,1.604,0.575,0.159,1.79E-02
ZNF697,1.204,1.14E-01,3.951,0.548,0.16,1.84E-02
ZNF770,1.33,9.18E-02,2.849,0.551,0.16,1.84E-02
PLRG1,1.653,4.92E-02,3.008,0.537,0.161,1.87E-02
NEUROG2,3.672,1.20E-04,1.866,0.548,0.161,1.88E-02
HEXIM1,2.48,6.56E-03,2.048,0.549,0.161,1.88E-02
TCF7L1,1.958,2.51E-02,1.69,0.576,0.162,1.93E-02
ZNF48,1.259,1.04E-01,3.269,0.545,0.166,2.05E-02
WWTR1,1.999,2.28E-02,1.814,0.562,0.167,2.09E-02
EGR3,1.471,7.07E-02,2.191,0.563,0.169,2.17E-02
ZNF121,2.001,2.27E-02,2.957,0.526,0.17,2.20E-02
STAG1,3.941,4.05E-05,0.852,0.598,0.17,2.21E-02
IKZF2,1.798,3.61E-02,2.225,0.548,0.17,2.21E-02
RYBP,2.261,1.19E-02,1.009,0.607,0.17,2.23E-02
ZBTB6,2.064,1.95E-02,2.243,0.54,0.171,2.24E-02
PTTG1,1.649,4.95E-02,2.64,0.538,0.173,2.34E-02
FOSL1,2.771,2.79E-03,1.775,0.55,0.174,2.36E-02
CTNNB1,1.427,7.67E-02,2.236,0.559,0.174,2.37E-02
YAP1,2.172,1.49E-02,1.508,0.566,0.174,2.39E-02
BAHD1,1.725,4.23E-02,3.015,0.529,0.175,2.40E-02
CDK2,1.584,5.67E-02,2.651,0.539,0.175,2.40E-02
TCF7,1.669,4.76E-02,2.938,0.532,0.176,2.44E-02
SRC,1.586,5.64E-02,2.789,0.536,0.176,2.46E-02
TFAP2A,2.757,2.91E-03,2.069,0.538,0.178,2.52E-02
SSU72,1.46,7.22E-02,2.132,0.561,0.178,2.55E-02
CBX3,1.589,5.60E-02,2.819,0.533,0.181,2.66E-02
SNAI2,3.473,2.57E-04,1.925,0.538,0.181,2.66E-02
KDM5B,2.638,4.17E-03,1.551,0.554,0.181,2.68E-02
HDGF,1.73,4.18E-02,1.67,0.569,0.181,2.68E-02
ZNF768,1.31,9.52E-02,2.511,0.549,0.183,2.74E-02
MAX,2.777,2.74E-03,0.882,0.585,0.183,2.77E-02
SMARCC1,2.519,5.88E-03,1.496,0.556,0.184,2.79E-02
CHD8,1.407,7.97E-02,2.372,0.548,0.184,2.82E-02
