TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
GATA2,6.237,2.22E-10,3.098,0.574,0.01,5.10E-06
TAL1,6.606,1.97E-11,2.978,0.558,0.015,1.44E-05
GATA4,4.883,5.23E-07,3.044,0.572,0.015,1.55E-05
TBX5,3.744,9.04E-05,3.238,0.563,0.019,2.94E-05
MAML3,3.323,4.46E-04,3.04,0.535,0.028,1.03E-04
GATA1,6.604,2.00E-11,2.784,0.528,0.029,1.15E-04
SMAD1,3.621,1.47E-04,3.21,0.524,0.031,1.28E-04
OTX2,5.961,1.26E-09,2.854,0.514,0.033,1.58E-04
LYL1,4.151,1.66E-05,2.411,0.6,0.036,2.09E-04
MYOG,2.203,1.38E-02,2.986,0.547,0.037,2.22E-04
RAD21,10.209,9.08E-25,2.3,0.573,0.038,2.49E-04
CTCF,30.187,1.74E-200,2.282,0.557,0.043,3.52E-04
EBF3,2.526,5.76E-03,3.037,0.507,0.045,4.18E-04
NEUROG2,5.183,1.09E-07,2.39,0.534,0.047,4.70E-04
KDM1A,2.478,6.60E-03,2.641,0.536,0.048,5.03E-04
HOTAIR,2.894,1.90E-03,2.95,0.502,0.05,5.61E-04
PPARG,5.22,8.96E-08,2.157,0.597,0.051,5.86E-04
SIX2,3.324,4.43E-04,2.773,0.502,0.054,7.20E-04
REST,5.901,1.81E-09,2.569,0.497,0.057,8.25E-04
MEF2B,4.14,1.74E-05,2.362,0.514,0.057,8.40E-04
NME2,2.123,1.69E-02,2.852,0.507,0.058,8.56E-04
SMC3,7.466,4.13E-14,2.087,0.564,0.059,9.05E-04
PHOX2B,1.639,5.06E-02,3.051,0.525,0.06,9.91E-04
PAX3,1.648,4.97E-02,2.911,0.528,0.061,1.03E-03
GRIP1,2.394,8.33E-03,2.23,0.589,0.061,1.03E-03
SPI1,7.94,1.01E-15,1.931,0.668,0.061,1.05E-03
NR2F1,2.257,1.20E-02,2.954,0.494,0.064,1.18E-03
NR2F2,2.736,3.11E-03,2.265,0.531,0.065,1.26E-03
HAND2,1.615,5.32E-02,2.906,0.518,0.067,1.32E-03
LMO2,2.897,1.89E-03,2.104,0.577,0.067,1.35E-03
SMC1A,6.524,3.42E-11,1.92,0.575,0.068,1.39E-03
