TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
GATA2,5.673,7.01E-09,2.924,0.632,0.013,9.75E-06
TAL1,6.039,7.74E-10,2.804,0.615,0.015,1.55E-05
LYL1,4.213,1.26E-05,2.438,0.664,0.025,7.17E-05
REST,6.642,1.55E-11,2.73,0.572,0.026,7.48E-05
SIRT1,2.933,1.68E-03,2.773,0.612,0.027,8.82E-05
RAD21,10.452,7.15E-26,2.347,0.618,0.027,9.18E-05
SMAD1,2.959,1.54E-03,2.771,0.606,0.029,1.07E-04
GATA4,3.886,5.09E-05,2.667,0.581,0.03,1.24E-04
BRDU,3.782,7.77E-05,3.127,0.559,0.033,1.58E-04
CTCF,29.977,9.72E-198,2.268,0.608,0.033,1.68E-04
PPARG,5.626,9.25E-09,2.307,0.622,0.034,1.74E-04
IKZF1,4.83,6.83E-07,2.551,0.57,0.035,1.97E-04
TBX5,3.332,4.32E-04,3.003,0.557,0.037,2.22E-04
GATA1,5.654,7.86E-09,2.501,0.565,0.037,2.28E-04
LMO2,3.23,6.19E-04,2.3,0.643,0.038,2.56E-04
MEF2B,4.166,1.55E-05,2.373,0.585,0.039,2.71E-04
MEIS1,2.823,2.38E-03,2.63,0.577,0.039,2.71E-04
NR2F2,2.883,1.97E-03,2.365,0.604,0.044,3.89E-04
SMC3,7.591,1.59E-14,2.121,0.614,0.045,4.18E-04
SPI1,8.32,4.41E-17,2.015,0.731,0.046,4.49E-04
STAG1,8.47,1.22E-17,2.073,0.608,0.047,4.81E-04
AR,11.441,1.30E-30,2.308,0.55,0.05,5.49E-04
GRIP1,2.4,8.20E-03,2.234,0.646,0.051,5.86E-04
TSC22D4,2.496,6.29E-03,3.179,0.541,0.052,6.24E-04
SPIB,2.472,6.72E-03,2.557,0.557,0.053,6.64E-04
YBX1,2.816,2.43E-03,3.168,0.533,0.056,7.78E-04
RXRG,3.52,2.15E-04,2.109,0.605,0.057,8.25E-04
RUNX1T1,3.05,1.14E-03,2.057,0.622,0.058,8.72E-04
GATA6,3.575,1.75E-04,2.526,0.531,0.061,1.01E-03
FOXO1,2.462,6.91E-03,2.27,0.572,0.061,1.01E-03
RUNX1,5.911,1.70E-09,1.936,0.621,0.061,1.05E-03
JMJD1C,2.708,3.39E-03,2.137,0.597,0.062,1.06E-03
CEBPB,7.541,2.32E-14,1.84,0.707,0.062,1.08E-03
SUMO1,5.182,1.10E-07,2.092,0.561,0.064,1.16E-03
SMC1A,6.293,1.56E-10,1.846,0.634,0.067,1.32E-03
ZBTB2,2.125,1.68E-02,2.409,0.551,0.069,1.46E-03
NME2,2.001,2.27E-02,2.755,0.535,0.07,1.55E-03
CEBPA,2.838,2.27E-03,1.909,0.655,0.071,1.62E-03
ETV6,2.467,6.82E-03,2.354,0.54,0.073,1.72E-03
TCF4,2.362,9.09E-03,2.191,0.557,0.074,1.80E-03
NR3C1,5.956,1.29E-09,1.816,0.607,0.075,1.88E-03
CRY1,1.499,6.69E-02,3.314,0.545,0.075,1.91E-03
FOXA1,8.605,3.82E-18,2.112,0.531,0.076,1.99E-03
EED,2.253,1.21E-02,2.433,0.535,0.077,2.02E-03
FOXA2,4.485,3.65E-06,2.322,0.522,0.077,2.05E-03
EP300,5.117,1.56E-07,1.683,0.705,0.077,2.08E-03
HNF1A,2.387,8.49E-03,2.238,0.541,0.077,2.08E-03
STAT4,1.749,4.01E-02,2.658,0.537,0.078,2.11E-03
ZNF654,2.285,1.12E-02,2.12,0.566,0.078,2.14E-03
KDM1A,1.861,3.14E-02,2.122,0.595,0.078,2.17E-03
MAML3,2.502,6.17E-03,2.563,0.516,0.081,2.38E-03
FUS,2.022,2.16E-02,2.191,0.554,0.082,2.51E-03
POLR3D,2.716,3.31E-03,2.052,0.552,0.083,2.54E-03
EZH2,7.94,1.01E-15,1.443,0.668,0.087,2.96E-03
HOTAIR,2.348,9.44E-03,2.619,0.511,0.087,2.96E-03
NR2F6,2.224,1.31E-02,2.659,0.513,0.087,3.00E-03
GATA3,3.063,1.10E-03,1.901,0.559,0.089,3.15E-03
BRD9,1.868,3.09E-02,2.184,0.548,0.09,3.31E-03
ARID3A,2.027,2.13E-02,2.356,0.527,0.093,3.59E-03
TCF21,2.75,2.98E-03,1.819,0.571,0.094,3.72E-03
KLF16,1.771,3.83E-02,2.378,0.527,0.095,3.89E-03
PGR,1.52,6.42E-02,2.271,0.548,0.096,4.02E-03
SFPQ,1.36,8.69E-02,3.311,0.527,0.097,4.07E-03
