TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
TP63,9.537,7.34E-22,2.633,0.765,0.014,1.24E-05
GRHL2,6.306,1.43E-10,3.105,0.595,0.014,1.34E-05
TP73,3.389,3.50E-04,3.24,0.642,0.017,2.04E-05
TP53,6.799,5.25E-12,2.47,0.701,0.024,6.29E-05
ASCL1,5.08,1.88E-07,2.607,0.597,0.027,8.47E-05
SNAI2,5.258,7.29E-08,2.802,0.57,0.029,1.11E-04
JUND,4.036,2.72E-05,2.636,0.586,0.031,1.28E-04
BANF1,2.946,1.61E-03,2.543,0.637,0.034,1.79E-04
ARID1A,2.911,1.80E-03,3.523,0.565,0.034,1.79E-04
NFE2L1,3.151,8.14E-04,3.083,0.565,0.036,2.03E-04
RNF2,3.834,6.30E-05,2.449,0.593,0.04,2.78E-04
PRMT1,2.392,8.38E-03,2.602,0.614,0.041,3.10E-04
SMAD3,4.861,5.84E-07,2.59,0.555,0.044,3.89E-04
SOX2,3.727,9.71E-05,2.256,0.643,0.045,3.99E-04
CDX2,2.474,6.68E-03,2.772,0.551,0.053,6.64E-04
AHR,2.452,7.11E-03,3.136,0.541,0.053,6.64E-04
HOXB13,4.377,6.02E-06,2.629,0.538,0.055,7.49E-04
DNMT3A,2.137,1.63E-02,2.522,0.583,0.055,7.49E-04
ZBTB48,4.776,8.96E-07,2.465,0.542,0.056,7.78E-04
KLF4,2.583,4.90E-03,2.405,0.58,0.056,8.09E-04
SIRT1,2.566,5.14E-03,2.571,0.551,0.058,8.56E-04
TEAD4,3.422,3.10E-04,2.351,0.562,0.058,8.72E-04
ZNF750,1.657,4.87E-02,3.278,0.566,0.059,9.22E-04
FOSL1,3.609,1.54E-04,2.267,0.568,0.059,9.22E-04
POLR3D,4.018,2.93E-05,2.569,0.535,0.06,9.91E-04
GREB1,3.186,7.22E-04,2.669,0.533,0.062,1.06E-03
FOSL2,9.529,7.95E-22,1.907,0.587,0.062,1.08E-03
LHX2,1.985,2.36E-02,3.089,0.54,0.064,1.18E-03
TET2,3.204,6.78E-04,2.226,0.546,0.072,1.70E-03
BACH1,2.026,2.14E-02,2.394,0.558,0.075,1.94E-03
TFAP2C,3.059,1.11E-03,2.433,0.531,0.077,2.02E-03
ESR1,12.856,3.97E-38,2.109,0.535,0.077,2.08E-03
POU5F1,5.669,7.20E-09,2.27,0.529,0.077,2.08E-03
GLIS1,2.592,4.76E-03,2.805,0.524,0.078,2.14E-03
NANOG,4.687,1.38E-06,2.339,0.528,0.079,2.20E-03
NR1H2,2.912,1.80E-03,2.431,0.53,0.079,2.23E-03
KMT2B,1.662,4.83E-02,2.416,0.569,0.08,2.32E-03
SMC3,6.159,3.66E-10,1.737,0.562,0.081,2.41E-03
SMAD2-SMAD3,2.099,1.79E-02,1.937,0.599,0.082,2.45E-03
SMC1A,6.148,3.93E-10,1.8,0.56,0.082,2.48E-03
SP140,2.253,1.21E-02,2.191,0.559,0.083,2.54E-03
CTCF,20.468,2.08E-93,1.623,0.584,0.083,2.61E-03
EZH2,8.087,3.06E-16,1.471,0.715,0.083,2.61E-03
ZNF217,1.572,5.80E-02,2.975,0.536,0.084,2.71E-03
OTX2,3.786,7.64E-05,2.151,0.534,0.085,2.75E-03
MAFK,1.941,2.61E-02,2.459,0.535,0.088,3.07E-03
ZEB1,2.333,9.83E-03,1.895,0.574,0.089,3.19E-03
RAD21,7.135,4.83E-13,1.707,0.55,0.09,3.31E-03
GATA3,4.34,7.13E-06,2.162,0.527,0.091,3.35E-03
SUMO1,5.023,2.54E-07,2.036,0.53,0.091,3.39E-03
DLX2,1.622,5.24E-02,2.409,0.55,0.091,3.39E-03
KDM4A,2.677,3.72E-03,2.086,0.537,0.092,3.47E-03
ATF4,2.196,1.41E-02,2.479,0.524,0.093,3.63E-03
ZNF512,2.022,2.16E-02,2.447,0.528,0.094,3.76E-03
HCFC1R1,1.594,5.55E-02,2.449,0.54,0.096,3.93E-03
SUZ12,4.89,5.03E-07,1.335,0.721,0.096,3.98E-03
FOS,2.401,8.18E-03,1.721,0.577,0.096,4.02E-03
TFAP2A,2.61,4.53E-03,1.982,0.538,0.097,4.16E-03
TEAD1,2.733,3.14E-03,2.061,0.532,0.097,4.16E-03
ICE1,1.964,2.48E-02,2.948,0.518,0.098,4.25E-03
BMI1,2.33,9.91E-03,1.931,0.545,0.1,4.44E-03
DAXX,1.974,2.42E-02,2.562,0.522,0.101,4.69E-03
LIN9,1.566,5.87E-02,2.465,0.535,0.101,4.69E-03
NFE2L2,2.403,8.13E-03,1.706,0.568,0.102,4.79E-03
JARID2,5.335,4.78E-08,1.276,0.63,0.102,4.79E-03
ZBTB17,1.874,3.05E-02,2.954,0.517,0.102,4.84E-03
NR1H3,2.627,4.31E-03,2.403,0.518,0.103,4.89E-03
SRC,1.702,4.44E-02,2.969,0.518,0.105,5.26E-03
KDM3B,2.131,1.65E-02,2.111,0.531,0.105,5.26E-03
JUN,3.678,1.17E-04,1.45,0.583,0.106,5.31E-03
CDCA2,1.512,6.53E-02,2.512,0.527,0.109,5.87E-03
TCF4,1.708,4.39E-02,1.864,0.561,0.112,6.35E-03
TOP1,2.434,7.48E-03,2.143,0.523,0.114,6.60E-03
DPF2,1.229,1.10E-01,2.481,0.542,0.114,6.60E-03
NUP98-HOXA9,1.549,6.07E-02,2.322,0.532,0.114,6.72E-03
FOXA1,5.353,4.33E-08,1.756,0.523,0.116,6.98E-03
GTF2I,3.394,3.44E-04,1.871,0.524,0.116,6.98E-03
ZNF2,2.036,2.09E-02,2.374,0.516,0.118,7.31E-03
SMARCA2,1.735,4.14E-02,2.373,0.522,0.119,7.58E-03
SMARCC1,2.246,1.24E-02,1.338,0.598,0.119,7.65E-03
SON,1.592,5.57E-02,2.025,0.54,0.119,7.65E-03
HIC1,1.761,3.91E-02,2.483,0.514,0.124,8.51E-03
SRF,2.471,6.73E-03,1.604,0.54,0.124,8.58E-03
MECOM,1.489,6.82E-02,2.383,0.524,0.124,8.58E-03
ZNF362,1.646,4.99E-02,3.112,0.51,0.125,8.81E-03
E2F2,1.509,6.57E-02,2.25,0.526,0.125,8.81E-03
GRHL1,1.551,6.04E-02,2.081,0.532,0.125,8.89E-03
SP7,1.735,4.14E-02,2.61,0.511,0.127,9.20E-03
MAX,3.199,6.91E-04,1.26,0.555,0.13,1.00E-02
H2AFX,1.149,1.25E-01,2.616,0.526,0.131,1.02E-02
ZFAT,1.474,7.03E-02,2.322,0.523,0.132,1.03E-02
RING1,1.402,8.04E-02,1.936,0.541,0.132,1.04E-02
ZNF366,1.621,5.25E-02,2.936,0.51,0.132,1.04E-02
CTCFL,2.814,2.44E-03,1.713,0.522,0.133,1.07E-02
ATF7IP,0.865,1.94E-01,3.088,0.531,0.136,1.12E-02
SMARCB1,1.986,2.35E-02,1.563,0.539,0.137,1.17E-02
RYBP,2.329,9.92E-03,1.081,0.588,0.137,1.17E-02
TLE3,2.103,1.77E-02,2.511,0.505,0.138,1.19E-02
MBD3,2.21,1.36E-02,1.632,0.527,0.14,1.23E-02
PGBD3,1.524,6.38E-02,1.906,0.528,0.141,1.26E-02
ICE2,1.418,7.81E-02,2.317,0.519,0.141,1.26E-02
FOXM1,2.923,1.73E-03,0.971,0.572,0.141,1.27E-02
JMJD6,2.639,4.16E-03,0.864,0.595,0.142,1.30E-02
CTNNB1,1.426,7.70E-02,2.234,0.52,0.143,1.31E-02
EPAS1,1.487,6.85E-02,2.007,0.524,0.144,1.34E-02
TERC,2.277,1.14E-02,2.195,0.509,0.144,1.34E-02
MAFG,1.555,6.00E-02,2.665,0.508,0.144,1.35E-02
TSHZ1,1.494,6.76E-02,2.826,0.507,0.145,1.37E-02
GTF3C2,1.657,4.87E-02,2.084,0.516,0.148,1.45E-02
RCOR1,0.982,1.63E-01,1.878,0.585,0.148,1.47E-02
ZXDC,1.262,1.03E-01,2.745,0.512,0.148,1.47E-02
HAND2,1.297,9.73E-02,2.543,0.513,0.15,1.51E-02
RXRA,2.518,5.90E-03,1.575,0.521,0.151,1.55E-02
HIF1A,1.136,1.28E-01,2.885,0.514,0.151,1.55E-02
GTF3C5,1.985,2.36E-02,1.691,0.521,0.151,1.56E-02
GRHL3,2.012,2.21E-02,1.956,0.511,0.152,1.58E-02
CLOCK,1.342,8.98E-02,3.588,0.505,0.153,1.62E-02
CNOT3,2.069,1.93E-02,1.541,0.524,0.154,1.64E-02
KLF17,1.874,3.05E-02,1.853,0.516,0.154,1.65E-02
ZNF558,1.422,7.75E-02,2.697,0.506,0.155,1.66E-02
KLF5,1.723,4.24E-02,1.128,0.567,0.156,1.71E-02
ZNF438,1.418,7.81E-02,2.78,0.505,0.156,1.71E-02
TRIM25,1.914,2.78E-02,1.569,0.524,0.157,1.73E-02
ZNF554,1.166,1.22E-01,3.149,0.509,0.157,1.74E-02
SMAD2,1.833,3.34E-02,1.968,0.511,0.157,1.76E-02
ZNF654,1.853,3.19E-02,1.727,0.516,0.159,1.82E-02
WT1,1.557,5.97E-02,2.278,0.509,0.16,1.83E-02
CBX2,1.483,6.91E-02,1.727,0.524,0.16,1.84E-02
CAMTA2,1.333,9.13E-02,2.228,0.515,0.161,1.87E-02
IKZF2,1.665,4.80E-02,2.045,0.51,0.162,1.92E-02
NR5A2,1.315,9.43E-02,2.317,0.512,0.163,1.94E-02
DROSHA,1.758,3.94E-02,1.134,0.541,0.167,2.09E-02
EOMES,1.707,4.39E-02,2.065,0.508,0.167,2.10E-02
ZNF284,1.1,1.36E-01,2.982,0.506,0.171,2.24E-02
KDM5B,2.389,8.44E-03,1.293,0.521,0.171,2.27E-02
ZNF701,1.203,1.14E-01,2.421,0.51,0.173,2.31E-02
DACOR1,1.109,1.34E-01,2.799,0.507,0.174,2.36E-02
FOXA2,1.963,2.49E-02,1.519,0.515,0.176,2.44E-02
POLR3A,1.017,1.55E-01,1.646,0.544,0.177,2.47E-02
BCAT1,1.432,7.61E-02,2.361,0.504,0.177,2.49E-02
OSR2,1.583,5.67E-02,2.372,0.502,0.178,2.55E-02
DMC1,1.133,1.29E-01,2.474,0.508,0.181,2.66E-02
PHIP,3.295,4.92E-04,0.489,0.546,0.184,2.79E-02
ZEB2,1.705,4.41E-02,1.831,0.507,0.184,2.81E-02
MAFF,1.138,1.28E-01,2.431,0.507,0.185,2.84E-02
ZBTB6,1.732,4.16E-02,1.817,0.506,0.186,2.89E-02
CBX4,1.476,7.00E-02,1.391,0.523,0.186,2.91E-02
SCRT2,1.295,9.77E-02,2.634,0.5,0.187,2.92E-02
RB1,1.982,2.37E-02,0.518,0.57,0.188,2.99E-02
TRIM28,0.767,2.22E-01,1.944,0.53,0.188,2.99E-02
LARP7,1.024,1.53E-01,2.248,0.512,0.188,2.99E-02
SSU72,1.273,1.01E-01,1.897,0.512,0.188,3.01E-02
CTBP1,1.409,7.94E-02,1.91,0.508,0.19,3.10E-02
ARNT,1.114,1.33E-01,2.479,0.504,0.191,3.15E-02
MYC,4.915,4.44E-07,0.012,0.561,0.195,3.33E-02
EGR3,1.25,1.06E-01,1.877,0.511,0.195,3.33E-02
ZNF800,1.221,1.11E-01,2.682,0.498,0.197,3.42E-02
FOXH1,1.303,9.63E-02,2.076,0.505,0.197,3.46E-02
ZFP2,1.495,6.75E-02,1.627,0.51,0.2,3.59E-02
ZNF394,1.458,7.24E-02,1.88,0.504,0.2,3.61E-02
GLIS2,1.915,2.77E-02,1.006,0.52,0.201,3.63E-02
ZNF22,1.038,1.50E-01,2.442,0.504,0.201,3.65E-02
XCL1,1.36,8.69E-02,1.506,0.516,0.201,3.67E-02
ZNF382,1.091,1.38E-01,1.956,0.51,0.202,3.71E-02
NME2,1.311,9.50E-02,2.207,0.501,0.203,3.79E-02
EP300,1.009,1.57E-01,0.779,0.732,0.205,3.89E-02
PRDM10,1.381,8.37E-02,2.065,0.501,0.205,3.89E-02
HNF4A,1.381,8.36E-02,1.086,0.526,0.206,3.93E-02
USF1,1.232,1.09E-01,1.293,0.526,0.207,4.00E-02
ETV5,1.302,9.64E-02,1.645,0.511,0.207,4.00E-02
AGO1,1.329,9.20E-02,2.192,0.5,0.207,4.02E-02
SCRT1,1.284,9.96E-02,2.214,0.501,0.208,4.08E-02
ZNF649,0.881,1.89E-01,3.235,0.498,0.209,4.12E-02
ZMYND8,1.935,2.65E-02,1.026,0.514,0.21,4.16E-02
E2F6,1.935,2.65E-02,0.462,0.539,0.212,4.29E-02
ZNF788,1.099,1.36E-01,2.933,0.495,0.212,4.29E-02
ZNF335,1.689,4.56E-02,1.3,0.51,0.212,4.29E-02
NEUROD1,0.995,1.60E-01,1.641,0.517,0.215,4.47E-02
ATF3,1.044,1.48E-01,0.946,0.549,0.217,4.58E-02
DNMT1,1.065,1.44E-01,1.554,0.516,0.217,4.58E-02
REST,1.014,1.55E-01,1.509,0.519,0.219,4.72E-02
ZNF423,1.612,5.35E-02,1.309,0.509,0.219,4.75E-02
PHOX2B,0.997,1.59E-01,2.305,0.502,0.22,4.82E-02
ZNF623,1.153,1.25E-01,2.22,0.499,0.221,4.84E-02
ZNF282,1.916,2.77E-02,0.748,0.516,0.221,4.86E-02
ZBTB8A,1.74,4.09E-02,0.987,0.512,0.222,4.91E-02
NR3C1,0.943,1.73E-01,0.954,0.557,0.222,4.93E-02
ZSCAN23,1.402,8.05E-02,1.685,0.502,0.226,5.18E-02
ZFP57,1.327,9.23E-02,1.708,0.502,0.229,5.43E-02
ZFP37,1.466,7.14E-02,1.366,0.506,0.229,5.43E-02
NKX2-1,1.104,1.35E-01,1.687,0.507,0.23,5.45E-02
ZBTB42,1.015,1.55E-01,1.969,0.503,0.23,5.51E-02
