TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
OTX2,6.874,3.12E-12,3.149,0.535,0.015,1.44E-05
SIX2,3.903,4.74E-05,3.078,0.531,0.024,6.57E-05
TP63,9.123,3.66E-20,2.548,0.658,0.025,7.17E-05
MAML3,3.361,3.88E-04,3.063,0.54,0.026,7.48E-05
GATA4,5.027,2.50E-07,3.098,0.515,0.027,8.82E-05
GATA6,4.425,4.83E-06,2.84,0.531,0.031,1.33E-04
TP73,2.836,2.28E-03,2.867,0.551,0.033,1.63E-04
SOX2,5.474,2.20E-08,2.867,0.512,0.036,2.03E-04
TBX5,3.417,3.17E-04,3.052,0.514,0.037,2.28E-04
TCF4,3.379,3.64E-04,2.698,0.53,0.04,2.78E-04
RAD21,10.008,7.00E-24,2.261,0.55,0.042,3.26E-04
EOMES,3.008,1.31E-03,2.868,0.514,0.044,3.80E-04
EBF3,2.741,3.06E-03,3.208,0.509,0.047,4.70E-04
PPARG,5.188,1.07E-07,2.145,0.578,0.048,4.92E-04
HAND2,1.693,4.52E-02,2.995,0.553,0.05,5.49E-04
HOTAIR,3.022,1.26E-03,3.028,0.501,0.05,5.74E-04
PHOX2B,1.686,4.59E-02,3.105,0.542,0.05,5.74E-04
SMC3,7.477,3.80E-14,2.09,0.55,0.052,6.51E-04
REST,6.243,2.15E-10,2.644,0.499,0.053,6.78E-04
SMAD2,2.801,2.55E-03,2.567,0.529,0.054,7.20E-04
GATA3,4.712,1.23E-06,2.238,0.531,0.055,7.34E-04
CEBPB,10.417,1.04E-25,2.357,0.511,0.055,7.64E-04
CTCF,28.114,3.27E-174,2.142,0.517,0.056,8.09E-04
BANF1,2.813,2.45E-03,2.453,0.539,0.056,8.09E-04
NR3C1,7.091,6.66E-13,2.012,0.564,0.057,8.40E-04
MYOG,2.194,1.41E-02,2.979,0.508,0.058,8.56E-04
NANOG,4.599,2.12E-06,2.313,0.517,0.058,8.72E-04
DUX4,2.38,8.65E-03,3.008,0.496,0.06,9.74E-04
NME2,2.238,1.26E-02,2.944,0.502,0.061,1.05E-03
ATF4,2.88,1.99E-03,2.931,0.492,0.062,1.06E-03
ZNF512,2.212,1.35E-02,2.618,0.515,0.063,1.10E-03
NKX2-1,2.657,3.94E-03,2.867,0.495,0.064,1.16E-03
SMAD3,3.7,1.08E-04,2.092,0.532,0.065,1.26E-03
TEAD4,3.51,2.24E-04,2.395,0.511,0.066,1.30E-03
EP300,5.862,2.28E-09,1.847,0.705,0.067,1.37E-03
SMARCA2,2.209,1.36E-02,2.781,0.503,0.067,1.37E-03
SMC1A,6.858,3.49E-12,2.027,0.524,0.068,1.43E-03
TERC,2.998,1.36E-03,2.613,0.493,0.072,1.65E-03
NEUROD1,2.186,1.44E-02,2.592,0.508,0.073,1.75E-03
FOXA2,4.779,8.80E-07,2.415,0.491,0.074,1.83E-03
PRDM1,2.55,5.39E-03,2.611,0.498,0.074,1.85E-03
FOXH1,1.962,2.49E-02,2.672,0.509,0.074,1.85E-03
SOX11,1.676,4.69E-02,2.977,0.502,0.076,1.96E-03
MCM2,1.617,5.29E-02,2.954,0.508,0.077,2.05E-03
HNF1A,2.094,1.81E-02,2.04,0.571,0.078,2.14E-03
NEUROG2,4.678,1.45E-06,2.215,0.499,0.078,2.14E-03
SIRT1,2.078,1.89E-02,2.301,0.518,0.078,2.14E-03
ZIM3,2.045,2.04E-02,2.965,0.485,0.078,2.17E-03
EZH2,8.731,1.26E-18,1.592,0.752,0.079,2.26E-03
NR2F1,2.022,2.16E-02,2.706,0.494,0.08,2.29E-03
HOXC9,2.01,2.22E-02,2.935,0.484,0.081,2.41E-03
PCGF2,2.254,1.21E-02,2.164,0.513,0.083,2.61E-03
RING1,2.06,1.97E-02,2.611,0.495,0.084,2.68E-03
GATA2,2.996,1.37E-03,2.095,0.508,0.085,2.78E-03
SMARCC1,3.114,9.24E-04,1.838,0.541,0.085,2.78E-03
GATA1,4.701,1.30E-06,2.217,0.487,0.086,2.82E-03
PAX3,1.585,5.65E-02,2.839,0.5,0.086,2.85E-03
HNF1B,1.682,4.62E-02,2.229,0.536,0.087,2.96E-03
SMAD2-SMAD3,2.253,1.21E-02,2.049,0.516,0.087,3.00E-03
SMAD1,2.872,2.04E-03,2.713,0.471,0.087,3.00E-03
HNF4A,3.794,7.42E-05,2.031,0.505,0.089,3.15E-03
NUP98-HOXA9,1.646,4.98E-02,2.425,0.515,0.089,3.19E-03
TCF21,2.96,1.54E-03,1.933,0.516,0.09,3.27E-03
ZFP57,2.093,1.82E-02,2.282,0.505,0.091,3.35E-03
POU5F1,4.711,1.23E-06,1.996,0.501,0.091,3.39E-03
DMC1,1.521,6.42E-02,2.947,0.492,0.091,3.39E-03
CDX2,1.933,2.66E-02,2.38,0.507,0.093,3.59E-03
PGR,1.639,5.07E-02,2.401,0.513,0.094,3.72E-03
CTNNB1,1.626,5.20E-02,2.452,0.509,0.096,3.98E-03
TP53,3.906,4.70E-05,1.579,0.55,0.096,4.02E-03
ZNF654,2.253,1.21E-02,2.091,0.502,0.097,4.07E-03
CDK2,1.756,3.96E-02,2.813,0.479,0.098,4.30E-03
RNF2,2.63,4.27E-03,1.615,0.589,0.099,4.40E-03
POLR3D,2.838,2.27E-03,2.101,0.488,0.1,4.44E-03
JARID2,5.421,2.96E-08,1.301,0.746,0.1,4.54E-03
STAG1,6.468,4.96E-11,1.533,0.525,0.101,4.64E-03
CHD5,1.571,5.81E-02,2.546,0.498,0.102,4.84E-03
CHAT,1.829,3.37E-02,2.822,0.47,0.105,5.15E-03
ZBTB2,1.97,2.44E-02,2.264,0.491,0.105,5.26E-03
PDX1,1.754,3.97E-02,2.682,0.476,0.107,5.48E-03
EED,1.575,5.76E-02,1.861,0.602,0.107,5.59E-03
BMI1,1.972,2.43E-02,1.707,0.557,0.107,5.59E-03
ASCL1,2.778,2.74E-03,1.862,0.505,0.109,5.76E-03
TAL1,3.53,2.08E-04,2.032,0.479,0.11,5.99E-03
HOXA9,1.851,3.21E-02,2.46,0.481,0.11,5.99E-03
IRF5,1.407,7.97E-02,2.848,0.48,0.11,5.99E-03
HLF,1.769,3.85E-02,2.782,0.466,0.11,6.05E-03
MAFK,1.993,2.31E-02,2.503,0.472,0.111,6.17E-03
TEAD1,2.813,2.45E-03,2.103,0.478,0.112,6.35E-03
ZNF169,1.41,7.93E-02,2.739,0.48,0.113,6.41E-03
TET2,2.213,1.34E-02,1.625,0.527,0.113,6.53E-03
FOS,2.313,1.04E-02,1.675,0.514,0.115,6.85E-03
GTF2I,3.267,5.44E-04,1.819,0.49,0.116,7.11E-03
SOX10,1.459,7.22E-02,2.535,0.486,0.116,7.11E-03
SNAI2,3.333,4.29E-04,1.856,0.482,0.119,7.51E-03
TFAP2A,2.608,4.55E-03,1.981,0.482,0.12,7.79E-03
CEBPG,2.093,1.82E-02,2.609,0.455,0.122,8.07E-03
LMNA,1.642,5.03E-02,2.661,0.463,0.122,8.22E-03
MEF2B,3.095,9.84E-04,1.91,0.476,0.124,8.66E-03
SUMO1,4.499,3.41E-06,1.85,0.472,0.125,8.81E-03
SUZ12,3.986,3.36E-05,1.018,0.743,0.126,8.96E-03
ZNF485,1.291,9.83E-02,2.818,0.469,0.127,9.20E-03
FANCD2,1.29,9.86E-02,2.815,0.469,0.128,9.43E-03
JUND,2.88,1.99E-03,2.009,0.468,0.129,9.75E-03
ZNF750,1.292,9.82E-02,2.699,0.469,0.129,9.75E-03
FOSL2,7.234,2.34E-13,1.508,0.485,0.13,9.92E-03
ZNF436,1.427,7.67E-02,2.289,0.482,0.13,1.00E-02
PR,1.664,4.81E-02,1.543,0.542,0.131,1.02E-02
SIX1,1.619,5.27E-02,2.461,0.464,0.133,1.07E-02
PRDM6,1.517,6.47E-02,2.021,0.491,0.136,1.12E-02
HES2,6.048,7.35E-10,1.571,0.478,0.136,1.13E-02
ZNF680,1.581,5.69E-02,2.545,0.456,0.139,1.20E-02
ZNF317,1.404,8.01E-02,2.523,0.466,0.139,1.21E-02
ZNF384,1.577,5.74E-02,2.083,0.479,0.139,1.21E-02
SP140,1.932,2.67E-02,1.924,0.478,0.141,1.26E-02
SMARCE1,1.235,1.09E-01,2.461,0.475,0.142,1.28E-02
ZNF92,1.313,9.46E-02,2.408,0.471,0.143,1.32E-02
ZNF22,1.211,1.13E-01,2.673,0.461,0.144,1.34E-02
MYOD1,1.919,2.75E-02,2.138,0.457,0.144,1.35E-02
CBX2,1.553,6.02E-02,1.831,0.496,0.145,1.36E-02
KDM1A,1.268,1.02E-01,1.624,0.533,0.145,1.37E-02
ZNF382,1.874,3.04E-02,2.67,0.436,0.145,1.38E-02
ZNF793,1.453,7.31E-02,2.579,0.455,0.146,1.39E-02
JUN,3.743,9.09E-05,1.471,0.479,0.146,1.41E-02
NR2F2,2.047,2.03E-02,1.801,0.47,0.151,1.55E-02
MAFF,1.399,8.09E-02,2.749,0.441,0.153,1.62E-02
SPIB,1.701,4.45E-02,2.038,0.46,0.154,1.64E-02
GRHL2,1.798,3.61E-02,1.598,0.487,0.155,1.67E-02
ZNF823,1.149,1.25E-01,2.642,0.455,0.155,1.67E-02
STAT3,2.25,1.22E-02,1.171,0.507,0.155,1.69E-02
PITX3,1.14,1.27E-01,2.679,0.454,0.156,1.70E-02
DPPA2,1.175,1.20E-01,2.536,0.458,0.157,1.74E-02
MAFG,1.457,7.25E-02,2.559,0.444,0.158,1.77E-02
SMARCA4,2.125,1.68E-02,1.093,0.51,0.16,1.86E-02
SPI1,4.495,3.48E-06,1.166,0.481,0.161,1.87E-02
YAP1,1.977,2.40E-02,1.411,0.485,0.162,1.93E-02
SATB1,0.862,1.95E-01,2.615,0.47,0.162,1.93E-02
LHX2,1.016,1.55E-01,1.927,0.495,0.163,1.96E-02
ZNF75D,1.284,9.97E-02,2.58,0.443,0.164,2.00E-02
EBF1,1.971,2.44E-02,1.698,0.461,0.169,2.17E-02
ZBTB48,2.117,1.71E-02,1.257,0.481,0.17,2.21E-02
LMNB1,1.143,1.27E-01,2.345,0.455,0.171,2.24E-02
KLF16,1.469,7.09E-02,2.032,0.453,0.173,2.33E-02
ZNF490,1.013,1.56E-01,2.686,0.441,0.175,2.40E-02
CDCA2,1.155,1.24E-01,2.124,0.456,0.177,2.49E-02
PRMT1,1.563,5.90E-02,1.827,0.458,0.178,2.55E-02
EBNA3C,1.888,2.95E-02,1.718,0.453,0.18,2.63E-02
SSU72,1.247,1.06E-01,1.864,0.465,0.181,2.68E-02
BATF3,1.376,8.43E-02,1.606,0.476,0.184,2.79E-02
JMJD6,2.111,1.74E-02,0.449,0.546,0.184,2.81E-02
SCRT1,1.174,1.20E-01,2.089,0.452,0.185,2.86E-02
NFE2L1,1.62,5.26E-02,2.034,0.435,0.186,2.89E-02
KDM1B,0.973,1.65E-01,2.624,0.437,0.186,2.89E-02
KDM3B,1.584,5.66E-02,1.441,0.472,0.186,2.91E-02
LDB1,1.07,1.42E-01,2.264,0.447,0.186,2.91E-02
FOSL1,1.973,2.42E-02,1.307,0.461,0.19,3.08E-02
EPAS1,1.243,1.07E-01,1.737,0.465,0.19,3.08E-02
PBX3,0.871,1.92E-01,1.325,0.528,0.19,3.08E-02
MEIS1,1.564,5.89E-02,1.755,0.447,0.193,3.22E-02
EHMT2,1.084,1.39E-01,2.017,0.455,0.193,3.26E-02
ZMYM3,1.796,3.62E-02,1.299,0.464,0.196,3.38E-02
OSR2,1.286,9.92E-02,2,0.443,0.196,3.38E-02
SCRT2,1.204,1.14E-01,2.474,0.424,0.197,3.42E-02
IKZF1,2.212,1.35E-02,1.4,0.445,0.197,3.46E-02
SRF,1.848,3.23E-02,0.929,0.488,0.198,3.48E-02
SMAD4,1.024,1.53E-01,1.177,0.51,0.199,3.54E-02
DLX2,1.136,1.28E-01,1.897,0.454,0.199,3.55E-02
SRCAP,0.921,1.78E-01,2.562,0.432,0.2,3.59E-02
BATF,1.925,2.71E-02,1.595,0.44,0.2,3.61E-02
TFAP2C,1.161,1.23E-01,1.276,0.486,0.203,3.77E-02
DACOR1,0.907,1.82E-01,2.538,0.43,0.204,3.83E-02
TOP1,1.494,6.76E-02,1.332,0.462,0.205,3.89E-02
HCFC1R1,1.081,1.40E-01,1.887,0.448,0.209,4.10E-02
SMN1,0.893,1.86E-01,2.522,0.428,0.209,4.12E-02
ZNF563,0.93,1.76E-01,2.25,0.433,0.21,4.16E-02
NR2F6,1.514,6.51E-02,2.02,0.422,0.21,4.19E-02
TTF1,1.212,1.13E-01,2.091,0.425,0.212,4.29E-02
ZNF770,0.942,1.73E-01,2.126,0.434,0.214,4.38E-02
ZNF766,0.905,1.83E-01,1.991,0.447,0.214,4.40E-02
FEZF1,1.344,8.95E-02,1.953,0.425,0.215,4.45E-02
EGR3,1.109,1.34E-01,1.676,0.451,0.219,4.70E-02
NFIC,1.168,1.21E-01,1.719,0.444,0.219,4.72E-02
FOXO1,1.098,1.36E-01,1.303,0.472,0.219,4.72E-02
BAHD1,1.005,1.58E-01,2.457,0.416,0.22,4.82E-02
ELF3,1.377,8.42E-02,1.591,0.441,0.22,4.82E-02
SFPQ,0.817,2.07E-01,2.633,0.42,0.222,4.93E-02
RXRA,1.823,3.42E-02,1.163,0.447,0.223,4.96E-02
RYBP,1.729,4.19E-02,0.452,0.494,0.223,5.01E-02
TRIM28,0.846,1.99E-01,1.984,0.445,0.224,5.06E-02
IRF4,1.386,8.29E-02,1.205,0.456,0.225,5.13E-02
ARID1A,0.751,2.26E-01,1.58,0.477,0.225,5.13E-02
NFKB2,1.256,1.05E-01,1.613,0.439,0.227,5.28E-02
PRDM14,0.995,1.60E-01,1.82,0.44,0.228,5.30E-02
GLIS1,1.46,7.21E-02,1.424,0.439,0.228,5.33E-02
CEBPA,0.8,2.12E-01,0.699,0.554,0.23,5.51E-02
BCL11A,0.665,2.53E-01,1.243,0.497,0.232,5.58E-02
ZNF320,1.175,1.20E-01,2.129,0.411,0.232,5.61E-02
RELB,1.455,7.28E-02,1.624,0.424,0.234,5.79E-02
DAXX,1.225,1.10E-01,1.726,0.425,0.235,5.85E-02
BRDU,0.928,1.77E-01,1.849,0.433,0.237,5.96E-02
LYL1,1.636,5.09E-02,1.312,0.428,0.237,6.01E-02
NFIA,1.011,1.56E-01,1.905,0.424,0.239,6.12E-02
DRAP1,1.133,1.29E-01,1.243,0.454,0.239,6.18E-02
STAT4,0.696,2.43E-01,1.514,0.47,0.241,6.29E-02
FLI1,1.096,1.37E-01,0.72,0.489,0.241,6.32E-02
EWSR1,0.566,2.86E-01,1.35,0.486,0.242,6.34E-02
NR1H3,1.556,5.98E-02,1.51,0.422,0.242,6.40E-02
ILK,0.986,1.62E-01,2.174,0.411,0.242,6.40E-02
PTTG1,1.031,1.51E-01,2.043,0.413,0.243,6.46E-02
ATF3,1.113,1.33E-01,1.015,0.469,0.244,6.54E-02
PARP1,0.767,2.22E-01,2.416,0.414,0.245,6.60E-02
ZFP28,0.969,1.66E-01,2.074,0.413,0.246,6.72E-02
ZNF506,0.812,2.08E-01,2.12,0.419,0.247,6.78E-02
KLF4,0.847,1.99E-01,1.028,0.481,0.247,6.81E-02
IKZF2,1.206,1.14E-01,1.421,0.433,0.248,6.87E-02
KDM4A,1.497,6.72E-02,0.87,0.454,0.249,6.99E-02
RCOR1,0.578,2.82E-01,1.228,0.482,0.251,7.14E-02
CREBBP,0.523,3.00E-01,0.874,0.529,0.251,7.14E-02
HMBOX1,0.846,1.99E-01,1.969,0.423,0.251,7.14E-02
GRIP1,0.989,1.61E-01,1.252,0.446,0.253,7.29E-02
ZNF366,0.93,1.76E-01,1.569,0.435,0.253,7.29E-02
ZBTB42,0.881,1.89E-01,1.732,0.427,0.254,7.39E-02
ATF7IP,0.5,3.09E-01,2.457,0.421,0.255,7.45E-02
ARID3A,1.222,1.11E-01,1.578,0.42,0.255,7.45E-02
MITF,0.99,1.61E-01,1.777,0.417,0.257,7.61E-02
GRHL3,1.343,8.96E-02,1.428,0.419,0.257,7.64E-02
TCF7L1,1.267,1.03E-01,1.198,0.432,0.258,7.74E-02
SOX4,1.273,1.02E-01,1.454,0.418,0.26,7.87E-02
CTCFL,1.224,1.10E-01,0.341,0.48,0.262,8.10E-02
ZNF425,0.798,2.12E-01,1.943,0.417,0.263,8.17E-02
TCF7,0.681,2.48E-01,1.634,0.439,0.265,8.33E-02
JUNB,0.895,1.85E-01,1.065,0.455,0.265,8.40E-02
CHRM2,0.788,2.15E-01,0.741,0.485,0.266,8.44E-02
ATF2,0.842,2.00E-01,1.337,0.442,0.266,8.51E-02
ZNF800,0.851,1.97E-01,2.199,0.401,0.267,8.61E-02
ZNF26,0.702,2.41E-01,2.256,0.407,0.268,8.64E-02
DNMT3A,0.892,1.86E-01,0.982,0.46,0.268,8.68E-02
PRDM10,1.118,1.32E-01,1.545,0.417,0.268,8.68E-02
STAT1,1.216,1.12E-01,0.416,0.471,0.269,8.71E-02
TRIM22,1.25,1.06E-01,1.107,0.428,0.27,8.89E-02
CHD7,0.744,2.28E-01,0.969,0.472,0.27,8.89E-02
ZNF362,0.96,1.69E-01,1.782,0.41,0.272,9.07E-02
KMT2B,0.897,1.85E-01,1.387,0.429,0.272,9.10E-02
PTRF,0.865,1.94E-01,2.05,0.401,0.274,9.29E-02
ZNF554,0.719,2.36E-01,2.082,0.409,0.275,9.36E-02
ZFAT,0.844,2.00E-01,1.612,0.422,0.275,9.36E-02
MTA2,1.12,1.31E-01,1.207,0.424,0.275,9.40E-02
CHD8,0.627,2.65E-01,1.309,0.449,0.277,9.54E-02
ZNF445,0.768,2.21E-01,1.831,0.414,0.277,9.58E-02
MAF,0.34,3.67E-01,0.88,0.512,0.278,9.66E-02
ZNF134,0.659,2.55E-01,2.201,0.403,0.279,9.73E-02
ZNF534,0.914,1.81E-01,1.205,0.431,0.28,9.84E-02
ZNF664,0.874,1.91E-01,1.88,0.403,0.281,1.00E-01
ZNF133,0.647,2.59E-01,2.231,0.402,0.283,1.02E-01
ZNF479,0.747,2.28E-01,1.737,0.412,0.286,1.05E-01
ZNF549,0.594,2.76E-01,2.313,0.396,0.286,1.05E-01
TCF7L2,0.57,2.84E-01,1.031,0.461,0.287,1.07E-01
NR1H2,1.324,9.27E-02,1.171,0.411,0.289,1.08E-01
ZNF467,0.914,1.80E-01,1.089,0.431,0.289,1.08E-01
SND1,0.934,1.75E-01,1.055,0.429,0.291,1.11E-01
PGBD3,0.87,1.92E-01,1.176,0.425,0.292,1.12E-01
ZNF331,0.567,2.85E-01,2.242,0.394,0.297,1.17E-01
DPF2,0.64,2.61E-01,1.723,0.411,0.3,1.22E-01
GFI1B,0.637,2.62E-01,1.713,0.409,0.308,1.31E-01
TCF12,0.483,3.15E-01,0.74,0.465,0.308,1.32E-01
RUNX2,0.629,2.65E-01,1.643,0.41,0.308,1.32E-01
TSC22D4,0.463,3.22E-01,1.633,0.415,0.311,1.36E-01
ZNF768,0.658,2.55E-01,1.685,0.403,0.313,1.38E-01
ZNF35,0.731,2.32E-01,1.417,0.411,0.313,1.38E-01
RELA,0.401,3.44E-01,-0.12,0.525,0.313,1.39E-01
NFIL3,0.737,2.30E-01,1.359,0.411,0.313,1.39E-01
PRKDC,0.698,2.43E-01,0.869,0.44,0.315,1.40E-01
RUNX3,0.776,2.19E-01,1.197,0.415,0.315,1.41E-01
HMG20A,0.818,2.07E-01,1.066,0.42,0.315,1.41E-01
ZNF2,0.839,2.01E-01,0.602,0.44,0.317,1.43E-01
ESCO2,0.84,2.00E-01,0.976,0.422,0.319,1.46E-01
SMARCB1,0.987,1.62E-01,0.234,0.442,0.32,1.47E-01
HIRA,0.838,2.01E-01,1.32,0.404,0.32,1.47E-01
ZNF600,0.958,1.69E-01,1.1,0.407,0.321,1.49E-01
PKNOX1,0.726,2.34E-01,1.684,0.391,0.322,1.50E-01
MKL2,1.118,1.32E-01,0.454,0.425,0.322,1.50E-01
ZNF140,0.362,3.59E-01,1.86,0.407,0.324,1.52E-01
PAX6,0.382,3.51E-01,1.732,0.408,0.327,1.57E-01
WWTR1,0.932,1.76E-01,1.025,0.407,0.328,1.59E-01
ZSCAN16,0.23,4.09E-01,0.652,0.476,0.329,1.60E-01
ZBTB6,0.892,1.86E-01,0.736,0.417,0.331,1.63E-01
ZNF585A,0.583,2.80E-01,1.627,0.395,0.332,1.64E-01
SS18,0.527,2.99E-01,0.521,0.453,0.333,1.66E-01
CUX1,0.657,2.55E-01,1.147,0.412,0.334,1.67E-01
AHR,0.335,3.69E-01,1.443,0.417,0.335,1.70E-01
LMO2,0.562,2.87E-01,0.732,0.434,0.336,1.71E-01
ZNF17,0.439,3.30E-01,2.01,0.383,0.339,1.75E-01
ETV6,0.796,2.13E-01,1.076,0.406,0.339,1.76E-01
CENPT,0.408,3.42E-01,2.083,0.38,0.34,1.78E-01
CNOT3,1.016,1.55E-01,0.606,0.41,0.341,1.78E-01
ARNT,0.246,4.03E-01,0.942,0.445,0.341,1.79E-01
ZNF440,0.427,3.35E-01,2.018,0.382,0.341,1.79E-01
H2AZ,1.345,8.93E-02,-1.839,0.509,0.342,1.79E-01
HOXB13,-0.342,6.34E-01,1.122,0.488,0.342,1.79E-01
ZNF284,0.448,3.27E-01,1.904,0.384,0.343,1.82E-01
EBNA3,0.725,2.34E-01,1.014,0.41,0.343,1.82E-01
CBX5,0.371,3.55E-01,1.011,0.431,0.343,1.82E-01
BRD9,0.862,1.95E-01,0.883,0.408,0.344,1.83E-01
ZNF28,0.656,2.56E-01,1.225,0.402,0.344,1.83E-01
JMJD1C,0.713,2.38E-01,0.563,0.426,0.344,1.84E-01
CBFA2T2,0.55,2.91E-01,1.555,0.392,0.345,1.84E-01
TBX21,0.856,1.96E-01,0.715,0.411,0.345,1.86E-01
FAIRE,-0.096,5.38E-01,0.217,0.519,0.346,1.86E-01
ZNF780A,0.428,3.35E-01,1.89,0.382,0.348,1.90E-01
ZTA,0.446,3.28E-01,1.757,0.386,0.348,1.90E-01
PSIP1,0.44,3.30E-01,0.626,0.436,0.35,1.93E-01
ZSCAN20,0.752,2.26E-01,1.189,0.391,0.35,1.93E-01
ZNF429,0.401,3.44E-01,1.949,0.379,0.352,1.97E-01
BCOR,0.468,3.20E-01,-0.459,0.479,0.355,2.01E-01
DDX20,0.553,2.90E-01,0.871,0.417,0.355,2.02E-01
KDM2B,0.555,2.89E-01,-1.52,0.559,0.356,2.03E-01
ZNF573,0.421,3.37E-01,1.785,0.381,0.357,2.04E-01
CBX3,0.024,4.91E-01,1.563,0.415,0.358,2.06E-01
CBX8,0.207,4.18E-01,-0.66,0.514,0.36,2.10E-01
RBL1,0.619,2.68E-01,1.106,0.398,0.36,2.10E-01
ZBTB17,0.414,3.40E-01,0.603,0.43,0.362,2.13E-01
TEAD1-TEAD4,0.589,2.78E-01,1.132,0.396,0.362,2.13E-01
DEK,0.652,2.57E-01,0.594,0.417,0.362,2.13E-01
ZNF781,0.325,3.72E-01,1.723,0.386,0.363,2.14E-01
TRAF7,0.896,1.85E-01,-0.549,0.44,0.363,2.16E-01
SP7,0.836,2.02E-01,0.764,0.396,0.365,2.19E-01
BACH1,0.545,2.93E-01,0.754,0.413,0.366,2.19E-01
IRF9,0.556,2.89E-01,1.502,0.38,0.366,2.20E-01
SIRT6,0.509,3.05E-01,1.3,0.389,0.366,2.20E-01
BRD7,0.726,2.34E-01,0.575,0.41,0.367,2.22E-01
ZNF697,0.041,4.84E-01,1.415,0.413,0.367,2.23E-01
POLR2AphosphoS5,0.736,2.31E-01,0.28,0.417,0.368,2.23E-01
ZNF257,0.656,2.56E-01,0.826,0.402,0.371,2.29E-01
REPIN1,0.234,4.08E-01,0.898,0.423,0.372,2.32E-01
MEF2A,0.719,2.36E-01,0.904,0.393,0.373,2.32E-01
ESR1,-0.885,8.12E-01,0.976,0.526,0.373,2.33E-01
TFAP4,0.57,2.85E-01,0.713,0.409,0.375,2.36E-01
RUNX1T1,0.497,3.10E-01,0.526,0.415,0.378,2.42E-01
LARP7,-0.017,5.07E-01,1.023,0.428,0.38,2.45E-01
HSF1,0.036,4.86E-01,-0.934,0.525,0.382,2.49E-01
NR4A1,0.461,3.22E-01,0.907,0.401,0.384,2.54E-01
CEBPD,0.263,3.96E-01,0.15,0.443,0.386,2.57E-01
ZNF182,0.438,3.31E-01,1.228,0.383,0.387,2.59E-01
LIN9,0.481,3.15E-01,1.07,0.387,0.388,2.61E-01
EZH1,0.053,4.79E-01,-1.345,0.561,0.389,2.62E-01
DROSHA,0.527,2.99E-01,-0.599,0.445,0.391,2.66E-01
EHF,0.322,3.74E-01,0.307,0.426,0.393,2.69E-01
LMTK3,0.077,4.69E-01,1.185,0.403,0.393,2.70E-01
SRC,0,5.00E-01,0.341,0.446,0.393,2.71E-01
NR5A2,0.069,4.72E-01,1.169,0.404,0.394,2.72E-01
EGR2,0.402,3.44E-01,-0.052,0.43,0.396,2.76E-01
GTF3C5,0.66,2.55E-01,-0.464,0.424,0.397,2.78E-01
C11orf30,0.365,3.58E-01,1.04,0.39,0.398,2.80E-01
E2F7,0.366,3.57E-01,0.213,0.421,0.4,2.84E-01
ZNF263,0.438,3.31E-01,-0.371,0.433,0.401,2.86E-01
USF1,0.335,3.69E-01,-0.228,0.437,0.402,2.87E-01
HNF4G,0.148,4.41E-01,0.791,0.411,0.402,2.88E-01
SF1,0.195,4.23E-01,1.725,0.362,0.402,2.89E-01
ICE2,0.514,3.04E-01,0.711,0.389,0.404,2.91E-01
CLOCK,0.191,4.24E-01,1.725,0.359,0.405,2.94E-01
MECOM,0.456,3.24E-01,0.935,0.384,0.405,2.94E-01
ETV5,0.21,4.17E-01,0.461,0.417,0.408,2.99E-01
BIRA,0.215,4.15E-01,1.303,0.379,0.409,3.02E-01
BANP,0.043,4.83E-01,0.996,0.404,0.409,3.03E-01
TEAD2,0.345,3.65E-01,1.231,0.372,0.41,3.04E-01
ZNF335,0.796,2.13E-01,-0.233,0.402,0.412,3.07E-01
SON,0.482,3.15E-01,0.672,0.387,0.412,3.08E-01
ZEB2,0.678,2.49E-01,0.521,0.382,0.413,3.10E-01
H3F3B,0.22,4.13E-01,1.521,0.364,0.413,3.11E-01
TRIM24,-0.017,5.07E-01,0.059,0.443,0.414,3.12E-01
NFKB1,0.581,2.81E-01,0.424,0.389,0.414,3.13E-01
ZNF101,0.138,4.45E-01,0.77,0.402,0.418,3.20E-01
ICE1,0.653,2.57E-01,0.37,0.385,0.418,3.21E-01
L3MBTL2,0.507,3.06E-01,0.651,0.382,0.419,3.23E-01
DDX5,-0.148,5.59E-01,0.064,0.448,0.42,3.25E-01
KLF5,0.167,4.34E-01,0.006,0.425,0.421,3.26E-01
CRY1,0.126,4.50E-01,1.661,0.355,0.422,3.28E-01
EBNA2,0.394,3.47E-01,0.909,0.379,0.422,3.28E-01
MBD3,0.469,3.19E-01,0.217,0.396,0.422,3.30E-01
NFE2L2,0.068,4.73E-01,0.218,0.42,0.423,3.30E-01
KDM6B,0.426,3.35E-01,0.309,0.396,0.423,3.31E-01
PYGO2,0.28,3.90E-01,1.172,0.366,0.425,3.35E-01
