TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
AR,23.286,3.07E-120,3.373,0.84,0.005,4.59E-07
PIAS1,6.384,8.60E-11,3.46,0.769,0.008,1.94E-06
FOXA1,18.449,2.65E-76,3.192,0.807,0.01,4.59E-06
HOXB13,6.055,7.03E-10,3.164,0.772,0.014,1.34E-05
SUMO2,4.791,8.30E-07,4.02,0.679,0.016,1.91E-05
TLE3,3.674,1.19E-04,3.391,0.742,0.017,2.17E-05
NKX3-1,2.334,9.80E-03,3.361,0.757,0.023,5.48E-05
ERF,2.522,5.83E-03,3.443,0.654,0.028,9.54E-05
ARID1A,2.377,8.72E-03,3.043,0.783,0.029,1.07E-04
NANOG,5.848,2.49E-09,2.69,0.683,0.03,1.24E-04
ARRB1,2.2,1.39E-02,3.449,0.644,0.032,1.47E-04
ESR1,18.724,1.57E-78,2.593,0.656,0.032,1.52E-04
REST,7.26,1.93E-13,2.865,0.638,0.033,1.63E-04
GATA3,6.873,3.15E-12,2.678,0.642,0.035,1.91E-04
YBX1,2.968,1.50E-03,3.255,0.608,0.039,2.71E-04
ZNF649,1.591,5.58E-02,4.279,0.653,0.04,2.86E-04
BRDU,3.744,9.07E-05,3.11,0.602,0.042,3.35E-04
HDAC3,1.794,3.64E-02,2.885,0.747,0.042,3.35E-04
ASCL1,4.863,5.78E-07,2.537,0.632,0.045,4.08E-04
HNF4G,2.921,1.75E-03,2.469,0.705,0.045,4.08E-04
SIRT1,2.725,3.21E-03,2.659,0.645,0.045,4.08E-04
ASH2L,2.173,1.49E-02,3.025,0.629,0.047,4.59E-04
ZNF207,1.987,2.35E-02,3.356,0.603,0.047,4.81E-04
POLR3D,4.558,2.58E-06,2.784,0.6,0.049,5.38E-04
GRHL2,3.746,8.98E-05,2.249,0.716,0.051,6.11E-04
PR,5.246,7.79E-08,2.521,0.602,0.052,6.24E-04
CRY1,1.535,6.24E-02,3.357,0.625,0.054,6.92E-04
GATA2,3.286,5.07E-04,2.185,0.743,0.054,7.20E-04
PLRG1,2.014,2.20E-02,3.309,0.586,0.056,7.94E-04
TRIM28,3.32,4.50E-04,3.232,0.569,0.057,8.25E-04
SSRP1,1.942,2.61E-02,3.11,0.597,0.058,8.56E-04
ZTA,1.987,2.35E-02,3.07,0.594,0.059,9.39E-04
TOP1,2.758,2.91E-03,2.422,0.631,0.06,9.56E-04
AHR,1.988,2.34E-02,2.765,0.599,0.063,1.10E-03
NR5A2,1.656,4.88E-02,2.632,0.63,0.063,1.10E-03
POU5F1,5.364,4.06E-08,2.183,0.625,0.064,1.16E-03
GATA6,3.66,1.26E-04,2.558,0.58,0.065,1.26E-03
SOX2,3.189,7.15E-04,2.068,0.663,0.067,1.32E-03
GREB1,2.96,1.54E-03,2.551,0.584,0.067,1.35E-03
TCF4,2.837,2.28E-03,2.428,0.598,0.069,1.46E-03
SMAD2,2.563,5.19E-03,2.42,0.6,0.069,1.48E-03
SFPQ,1.427,7.67E-02,3.395,0.582,0.071,1.60E-03
ZNF354C,1.429,7.65E-02,3.296,0.582,0.073,1.78E-03
FOXK1,1.308,9.54E-02,3.214,0.599,0.073,1.78E-03
H2AFX,1.45,7.36E-02,2.921,0.591,0.077,2.08E-03
RAD21,8.187,1.33E-16,1.91,0.606,0.08,2.29E-03
FOXA2,3.422,3.11E-04,1.983,0.619,0.08,2.32E-03
CTCF,23.343,8.03E-121,1.818,0.615,0.081,2.41E-03
EOMES,2.351,9.36E-03,2.462,0.57,0.081,2.41E-03
SMC3,5.906,1.75E-09,1.669,0.665,0.083,2.54E-03
SMARCA5,1.408,7.95E-02,2.431,0.629,0.083,2.54E-03
BAHD1,1.755,3.96E-02,3.038,0.557,0.083,2.61E-03
EZH2,7.935,1.05E-15,1.442,0.794,0.084,2.68E-03
LARP7,1.368,8.57E-02,2.653,0.594,0.084,2.71E-03
EHMT2,2.072,1.91E-02,2.635,0.559,0.085,2.75E-03
TSC22D4,1.513,6.52E-02,2.431,0.6,0.085,2.78E-03
NCAPG,1.913,2.79E-02,2.486,0.57,0.086,2.89E-03
LRWD1,1.323,9.30E-02,3.333,0.566,0.087,2.96E-03
SUMO1,4.698,1.31E-06,1.921,0.595,0.088,3.11E-03
ZNF707,1.555,6.00E-02,2.798,0.565,0.089,3.19E-03
NONO,1.407,7.97E-02,3.359,0.553,0.09,3.31E-03
SMAD3,2.554,5.33E-03,1.6,0.745,0.091,3.35E-03
CDX2,1.847,3.24E-02,2.317,0.575,0.092,3.55E-03
CLOCK,1.242,1.07E-01,3.426,0.561,0.092,3.55E-03
ZNF140,1.518,6.45E-02,2.951,0.555,0.093,3.67E-03
NCAPG2,1.403,8.04E-02,2.557,0.576,0.095,3.80E-03
ZFP57,1.897,2.89E-02,2.135,0.589,0.095,3.89E-03
ZFP41,1.52,6.42E-02,2.816,0.557,0.095,3.89E-03
OTX2,2.713,3.33E-03,1.804,0.614,0.096,4.02E-03
ZNF486,1.477,6.98E-02,3.149,0.544,0.1,4.54E-03
ZNF292,1.283,9.98E-02,2.89,0.563,0.1,4.54E-03
ZNF781,1.421,7.77E-02,2.901,0.551,0.101,4.69E-03
ZNF48,1.188,1.18E-01,3.173,0.554,0.103,4.89E-03
SMC1A,5.118,1.55E-07,1.471,0.61,0.104,5.10E-03
SIX4,1.133,1.29E-01,3.561,0.548,0.105,5.20E-03
CBX3,1.716,4.31E-02,2.921,0.531,0.105,5.26E-03
CDCA2,1.388,8.25E-02,2.378,0.574,0.105,5.26E-03
PRDM12,1.182,1.19E-01,3.052,0.553,0.107,5.53E-03
ZNF488,1.42,7.78E-02,2.939,0.543,0.107,5.53E-03
ZNF445,1.334,9.11E-02,2.446,0.567,0.108,5.64E-03
MRE11A,1.631,5.15E-02,2.132,0.569,0.11,5.93E-03
FOXH1,1.594,5.54E-02,2.339,0.551,0.113,6.47E-03
JARID2,4.804,7.78E-07,1.121,0.695,0.114,6.66E-03
SUZ12,3.972,3.57E-05,1.013,0.8,0.115,6.91E-03
ZNF217,1.203,1.14E-01,2.52,0.555,0.118,7.38E-03
HHEX,1.568,5.85E-02,2.313,0.547,0.12,7.79E-03
HES1,1.162,1.23E-01,2.26,0.57,0.123,8.29E-03
TET2,2.024,2.15E-02,1.509,0.592,0.123,8.44E-03
ZNF697,0.843,2.00E-01,3.164,0.551,0.127,9.27E-03
BMI1,2.142,1.61E-02,1.813,0.556,0.128,9.43E-03
ATF7IP,0.631,2.64E-01,2.683,0.614,0.129,9.59E-03
ZNF680,1.609,5.38E-02,2.564,0.515,0.13,9.92E-03
HCFC1R1,1.276,1.01E-01,2.101,0.562,0.13,1.00E-02
ZBTB2,1.548,6.08E-02,1.871,0.564,0.132,1.03E-02
ZNF808,1.005,1.57E-01,2.989,0.533,0.132,1.04E-02
CTCFL,2.24,1.26E-02,1.217,0.599,0.134,1.09E-02
SSU72,1.32,9.35E-02,1.955,0.566,0.135,1.11E-02
CTNNB1,1.257,1.04E-01,2.051,0.56,0.137,1.15E-02
ZFP64,1.073,1.42E-01,1.958,0.579,0.139,1.20E-02
GRHL3,1.762,3.91E-02,1.758,0.553,0.141,1.25E-02
STAG1,4.814,7.38E-07,1.087,0.585,0.141,1.26E-02
ZNF654,1.755,3.97E-02,1.637,0.56,0.141,1.27E-02
GTF2I,2.758,2.91E-03,1.611,0.545,0.142,1.29E-02
DLX2,1.231,1.09E-01,1.997,0.558,0.142,1.29E-02
SCRT1,1.434,7.58E-02,2.384,0.519,0.142,1.30E-02
ZNF2,1.406,7.98E-02,1.442,0.594,0.145,1.37E-02
ZNF16,1.094,1.37E-01,2.288,0.542,0.145,1.38E-02
RNF2,1.837,3.31E-02,1.066,0.61,0.148,1.46E-02
ZNF765,0.901,1.84E-01,3.083,0.519,0.148,1.47E-02
ZNF175,0.759,2.24E-01,2.012,0.599,0.149,1.48E-02
USP49,0.882,1.89E-01,3.126,0.516,0.151,1.54E-02
GATA4,1.592,5.57E-02,1.8,0.542,0.151,1.55E-02
AEBP2,1.176,1.20E-01,2.258,0.528,0.152,1.57E-02
KDM3B,1.584,5.66E-02,1.44,0.565,0.153,1.62E-02
EED,1.141,1.27E-01,1.496,0.591,0.154,1.65E-02
TCF7,1.078,1.41E-01,2.158,0.541,0.155,1.66E-02
ZNF586,0.886,1.88E-01,2.904,0.517,0.155,1.66E-02
