TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
AR,18.249,1.05E-74,2.92,0.589,0.009,3.67E-06
REST,7.409,6.36E-14,2.897,0.579,0.014,1.15E-05
TBX5,3.593,1.64E-04,3.152,0.56,0.019,2.94E-05
OTX2,6.246,2.11E-10,2.946,0.545,0.019,3.11E-05
MAML3,3.275,5.28E-04,3.013,0.553,0.025,6.87E-05
TP63,8.877,3.43E-19,2.497,0.612,0.027,8.82E-05
GATA4,4.081,2.24E-05,2.741,0.544,0.03,1.20E-04
EBF3,2.547,5.43E-03,3.054,0.539,0.03,1.24E-04
PR,6.032,8.10E-10,2.736,0.531,0.032,1.52E-04
CTCF,31.015,1.67E-211,2.339,0.583,0.035,1.91E-04
RAD21,10.292,3.83E-25,2.316,0.597,0.036,2.03E-04
MYOG,2.083,1.86E-02,2.881,0.534,0.041,3.10E-04
NEUROD1,2.556,5.29E-03,2.887,0.52,0.043,3.52E-04
SMC3,7.824,2.56E-15,2.183,0.633,0.043,3.61E-04
PHOX2B,1.617,5.29E-02,3.025,0.542,0.043,3.70E-04
SIX2,3.378,3.66E-04,2.801,0.514,0.045,4.08E-04
GATA3,5.524,1.65E-08,2.403,0.536,0.046,4.49E-04
SUMO1,5.734,4.91E-09,2.288,0.551,0.049,5.14E-04
GATA2,4.196,1.36E-05,2.466,0.525,0.052,6.37E-04
HAND2,1.561,5.92E-02,2.844,0.533,0.054,7.06E-04
SMC1A,7.032,1.02E-12,2.082,0.574,0.056,7.94E-04
PAX3,1.538,6.21E-02,2.784,0.53,0.058,8.89E-04
ZNF445,1.568,5.85E-02,2.699,0.534,0.059,9.22E-04
HOXC9,1.942,2.61E-02,2.868,0.507,0.06,9.56E-04
NEUROG2,4.742,1.06E-06,2.237,0.532,0.06,9.74E-04
HOTAIR,2.591,4.78E-03,2.767,0.496,0.06,9.74E-04
NR3C1,6.703,1.02E-11,1.945,0.608,0.06,9.91E-04
CHAT,1.899,2.88E-02,2.879,0.506,0.061,1.03E-03
SMN1,1.421,7.76E-02,3.163,0.511,0.063,1.10E-03
CHD5,1.584,5.66E-02,2.562,0.536,0.063,1.14E-03
GRHL2,4.361,6.47E-06,2.455,0.503,0.064,1.16E-03
ZFP57,2.137,1.63E-02,2.315,0.539,0.064,1.16E-03
SOX2,3.938,4.11E-05,2.33,0.515,0.064,1.16E-03
EOMES,2.479,6.59E-03,2.541,0.51,0.064,1.18E-03
FOXA1,10.166,1.40E-24,2.284,0.507,0.065,1.24E-03
ZNF654,2.343,9.57E-03,2.173,0.555,0.067,1.35E-03
POLR3D,2.747,3.01E-03,2.065,0.557,0.07,1.55E-03
ZBTB2,2.033,2.11E-02,2.322,0.528,0.07,1.55E-03
DUX4,2.006,2.24E-02,2.724,0.493,0.071,1.62E-03
KDM1B,1.361,8.68E-02,3.13,0.502,0.072,1.65E-03
ESR1,10.246,6.18E-25,1.894,0.535,0.072,1.67E-03
BMI1,2.521,5.86E-03,2.05,0.556,0.073,1.78E-03
EZH2,8.94,1.94E-19,1.631,0.728,0.074,1.80E-03
ZIM3,1.813,3.49E-02,2.75,0.493,0.074,1.83E-03
NANOG,4.174,1.50E-05,2.184,0.508,0.074,1.85E-03
SOX11,1.41,7.93E-02,2.719,0.508,0.077,2.02E-03
ZNF26,1.3,9.68E-02,3.067,0.494,0.08,2.32E-03
STAG1,6.77,6.43E-12,1.615,0.593,0.081,2.38E-03
PITX3,1.303,9.64E-02,2.962,0.494,0.081,2.41E-03
TOP1,2.625,4.34E-03,2.308,0.496,0.082,2.51E-03
PIAS1,2.949,1.60E-03,2.284,0.496,0.082,2.51E-03
GATA1,4.415,5.06E-06,2.132,0.498,0.084,2.71E-03
ZNF485,1.303,9.63E-02,2.834,0.495,0.084,2.71E-03
GATA6,2.186,1.44E-02,2.014,0.531,0.086,2.89E-03
CDK2,1.616,5.31E-02,2.682,0.487,0.087,3.00E-03
SMAD1,1.969,2.45E-02,2.115,0.525,0.088,3.04E-03
SMAD2,2.029,2.12E-02,2.089,0.519,0.089,3.15E-03
PPARG,3.907,4.68E-05,1.671,0.543,0.09,3.23E-03
SCRT1,1.473,7.03E-02,2.428,0.505,0.09,3.27E-03
ZFP28,1.667,4.77E-02,2.663,0.484,0.092,3.47E-03
ZNF317,1.643,5.02E-02,2.724,0.479,0.093,3.67E-03
SIX1,1.787,3.70E-02,2.652,0.482,0.094,3.76E-03
TERC,2.416,7.84E-03,2.276,0.489,0.095,3.80E-03
FOXA2,3.729,9.61E-05,2.081,0.494,0.095,3.89E-03
JARID2,5.369,3.96E-08,1.286,0.725,0.096,3.93E-03
HOXB13,3.517,2.19E-04,2.354,0.478,0.096,3.98E-03
TAL1,3.317,4.54E-04,1.967,0.5,0.097,4.07E-03
PRDM1,1.911,2.80E-02,2.021,0.518,0.097,4.07E-03
CENPT,1.204,1.14E-01,3.033,0.483,0.098,4.25E-03
NME2,1.674,4.71E-02,2.495,0.485,0.098,4.25E-03
MCM2,1.283,9.97E-02,2.581,0.492,0.098,4.30E-03
ASCL1,2.559,5.25E-03,1.791,0.517,0.1,4.54E-03
PGR,1.428,7.67E-02,2.17,0.512,0.101,4.64E-03
HNF4G,2.161,1.54E-02,2.009,0.501,0.102,4.74E-03
KDM3B,1.866,3.10E-02,1.786,0.536,0.102,4.79E-03
MYOD1,1.969,2.45E-02,2.176,0.491,0.102,4.84E-03
SUZ12,4.27,9.78E-06,1.117,0.705,0.103,4.94E-03
MEF2B,2.954,1.57E-03,1.848,0.5,0.104,5.10E-03
ZNF750,1.227,1.10E-01,2.597,0.486,0.105,5.20E-03
ZNF490,1.178,1.19E-01,2.902,0.48,0.105,5.20E-03
IRF5,1.216,1.12E-01,2.617,0.485,0.107,5.59E-03
ZNF512,1.7,4.46E-02,2.158,0.491,0.109,5.82E-03
DMC1,1.216,1.12E-01,2.576,0.485,0.109,5.87E-03
TLE3,2.028,2.13E-02,2.469,0.471,0.111,6.11E-03
RING1,1.599,5.49E-02,2.138,0.493,0.112,6.29E-03
KLF16,1.599,5.49E-02,2.181,0.486,0.113,6.47E-03
RNF2,2.13,1.66E-02,1.268,0.571,0.115,6.91E-03
TCF21,2.408,8.03E-03,1.633,0.509,0.116,7.04E-03
NR2F2,1.959,2.51E-02,1.742,0.507,0.116,7.11E-03
ZNF680,1.551,6.05E-02,2.524,0.471,0.118,7.31E-03
ZNF169,1.207,1.14E-01,2.489,0.484,0.118,7.44E-03
ZNF382,2.025,2.14E-02,2.807,0.455,0.119,7.58E-03
FOXH1,1.39,8.22E-02,2.155,0.492,0.119,7.65E-03
HLF,1.521,6.42E-02,2.523,0.47,0.12,7.79E-03
PDX1,1.502,6.65E-02,2.421,0.474,0.121,7.93E-03
JMJD6,2.713,3.33E-03,0.922,0.591,0.122,8.14E-03
BANF1,1.943,2.60E-02,1.864,0.49,0.122,8.22E-03
FANCD2,1.145,1.26E-01,2.613,0.477,0.122,8.22E-03
ZNF793,1.45,7.35E-02,2.576,0.468,0.123,8.29E-03
GTF2I,3.082,1.03E-03,1.744,0.486,0.123,8.36E-03
DRAP1,1.438,7.52E-02,1.75,0.514,0.123,8.36E-03
SNAI2,3.203,6.79E-04,1.792,0.483,0.124,8.66E-03
CBX2,1.452,7.33E-02,1.682,0.516,0.124,8.66E-03
POU5F1,3.435,2.97E-04,1.631,0.488,0.126,8.96E-03
TET2,1.836,3.32E-02,1.395,0.528,0.126,9.04E-03
ZNF75D,1.395,8.15E-02,2.684,0.464,0.128,9.35E-03
TFAP2A,2.359,9.17E-03,1.834,0.483,0.128,9.51E-03
SATB1,0.797,2.13E-01,2.516,0.496,0.13,1.00E-02
CTCFL,1.971,2.43E-02,0.985,0.562,0.131,1.01E-02
CEBPB,4.088,2.17E-05,1.22,0.499,0.133,1.06E-02
NR2F1,1.319,9.37E-02,1.964,0.487,0.136,1.14E-02
SUMO2,1.205,1.14E-01,2.026,0.49,0.137,1.17E-02
ZNF248,1.027,1.52E-01,2.909,0.465,0.137,1.17E-02
LDB1,1.134,1.28E-01,2.347,0.476,0.137,1.17E-02
NKX3-1,1.379,8.40E-02,2.474,0.463,0.139,1.21E-02
PARP1,1.034,1.51E-01,2.748,0.466,0.14,1.24E-02
SOX10,1.154,1.24E-01,2.192,0.478,0.142,1.28E-02
ZNF823,1.07,1.42E-01,2.545,0.469,0.142,1.30E-02
DPPA2,1.098,1.36E-01,2.423,0.473,0.142,1.30E-02
SRF,1.925,2.71E-02,1.012,0.525,0.145,1.37E-02
ARID1A,1.46,7.22E-02,2.217,0.465,0.145,1.38E-02
NUP98-HOXA9,1.21,1.13E-01,1.965,0.484,0.146,1.39E-02
ZNF573,1.013,1.56E-01,2.728,0.463,0.146,1.40E-02
BAHD1,1.157,1.24E-01,2.575,0.458,0.15,1.52E-02
KDM1A,1.181,1.19E-01,1.551,0.506,0.153,1.62E-02
NKX2-1,1.284,9.95E-02,1.824,0.479,0.156,1.70E-02
TP73,1.408,7.96E-02,1.905,0.471,0.157,1.74E-02
HOXA9,1.251,1.06E-01,1.884,0.476,0.157,1.74E-02
ZNF563,1.036,1.50E-01,2.395,0.466,0.157,1.74E-02
ZNF425,1.025,1.53E-01,2.445,0.465,0.159,1.82E-02
ZNF2,1.234,1.09E-01,1.187,0.514,0.16,1.84E-02
SRCAP,0.949,1.71E-01,2.604,0.458,0.16,1.84E-02
SCRT2,1.216,1.12E-01,2.494,0.452,0.161,1.88E-02
ZNF436,1.117,1.32E-01,1.963,0.474,0.164,2.00E-02
YBX1,0.937,1.74E-01,2.094,0.476,0.165,2.04E-02
ZNF780A,0.914,1.81E-01,2.696,0.455,0.165,2.04E-02
