TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
TEAD4,5.183,1.09E-07,3.228,0.665,0.01,4.59E-06
SMAD3,5.092,1.77E-07,2.689,0.628,0.023,5.23E-05
YAP1,4.438,4.53E-06,2.63,0.666,0.024,6.29E-05
TEAD1,3.836,6.26E-05,2.64,0.65,0.026,7.48E-05
SMARCA2,2.335,9.77E-03,2.89,0.623,0.03,1.20E-04
TCF7,2.291,1.10E-02,3.759,0.598,0.031,1.28E-04
SMAD4,3.08,1.04E-03,2.939,0.595,0.031,1.33E-04
NFE2L1,3.225,6.31E-04,3.134,0.583,0.031,1.38E-04
FOXA2,5.936,1.46E-09,2.784,0.568,0.033,1.63E-04
ATF4,3.545,1.97E-04,3.37,0.564,0.036,2.09E-04
SMARCC1,4.193,1.37E-05,2.46,0.619,0.036,2.15E-04
JUND,4.173,1.50E-05,2.711,0.574,0.037,2.35E-04
SIRT1,3.056,1.12E-03,2.841,0.572,0.038,2.56E-04
RAD21,10.407,1.15E-25,2.338,0.604,0.039,2.63E-04
ARID1A,2.635,4.21E-03,3.275,0.563,0.043,3.52E-04
ETV4,2.093,1.82E-02,2.755,0.607,0.044,3.80E-04
LHX2,1.891,2.93E-02,2.976,0.602,0.045,4.18E-04
POLR3D,4.131,1.81E-05,2.614,0.565,0.046,4.28E-04
CEBPB,10.031,5.57E-24,2.288,0.586,0.046,4.28E-04
GATA3,6.668,1.30E-11,2.636,0.558,0.047,4.70E-04
RXRA,3.75,8.85E-05,2.304,0.612,0.048,4.92E-04
FOXA1,9.784,6.60E-23,2.242,0.595,0.048,5.03E-04
JUN,6.091,5.61E-10,2.233,0.602,0.048,5.03E-04
SMC3,7.887,1.55E-15,2.2,0.6,0.049,5.38E-04
HNF1A,2.893,1.91E-03,2.581,0.568,0.051,5.99E-04
ARID3A,2.242,1.25E-02,2.563,0.596,0.051,5.99E-04
SSRP1,3.141,8.43E-04,4.233,0.544,0.053,6.78E-04
HHEX,2.229,1.29E-02,2.974,0.559,0.054,7.20E-04
CTCF,28.212,2.06E-175,2.148,0.58,0.056,7.94E-04
CDX2,2.771,2.80E-03,2.988,0.547,0.058,8.56E-04
LMNA,1.957,2.52E-02,2.972,0.563,0.058,8.89E-04
FOSL2,10.011,6.84E-24,1.99,0.624,0.059,9.05E-04
HES2,8.119,2.35E-16,2.015,0.617,0.059,9.05E-04
SUMO1,5.893,1.90E-09,2.345,0.561,0.059,9.39E-04
FOSL1,3.301,4.82E-04,2.086,0.642,0.059,9.39E-04
WWTR1,2.443,7.29E-03,2.142,0.644,0.06,9.56E-04
CRY1,1.638,5.07E-02,3.482,0.565,0.062,1.06E-03
ZNF649,1.625,5.21E-02,4.329,0.562,0.065,1.24E-03
LIN9,1.699,4.47E-02,2.636,0.59,0.066,1.30E-03
NKX2-1,2.457,7.01E-03,2.715,0.544,0.068,1.41E-03
BRDU,2.883,1.97E-03,2.724,0.539,0.069,1.50E-03
RING1,2.262,1.19E-02,2.818,0.542,0.07,1.53E-03
EP300,5.839,2.63E-09,1.842,0.661,0.072,1.65E-03
TEAD1-TEAD4,1.706,4.40E-02,2.441,0.597,0.072,1.65E-03
SOX13,2.004,2.26E-02,2.588,0.559,0.072,1.70E-03
NANOG,4.424,4.86E-06,2.259,0.547,0.075,1.91E-03
FOS,3.283,5.14E-04,2.175,0.561,0.076,1.96E-03
HNF1B,1.711,4.36E-02,2.258,0.601,0.078,2.14E-03
PCGF2,2.248,1.23E-02,2.159,0.565,0.08,2.29E-03
TCF4,2.1,1.79E-02,2.06,0.608,0.08,2.29E-03
KDM3B,2.204,1.38E-02,2.201,0.564,0.08,2.29E-03
SMC1A,6.424,6.62E-11,1.888,0.576,0.08,2.32E-03
MAFK,2.191,1.42E-02,2.674,0.537,0.082,2.51E-03
DAXX,2.043,2.05E-02,2.638,0.542,0.083,2.58E-03
ZNF654,2.3,1.07E-02,2.134,0.564,0.083,2.58E-03
DUX4,1.708,4.38E-02,2.499,0.561,0.084,2.71E-03
PGBD3,1.719,4.28E-02,2.124,0.612,0.085,2.75E-03
DLX2,1.638,5.07E-02,2.426,0.564,0.085,2.78E-03
HOXB13,3.987,3.34E-05,2.504,0.53,0.086,2.85E-03
ATF7IP,1.236,1.08E-01,3.731,0.558,0.086,2.85E-03
FOXO3,1.174,1.20E-01,2.799,0.565,0.088,3.04E-03
PRKDC,1.95,2.56E-02,2.501,0.545,0.09,3.23E-03
MBD3,2.417,7.83E-03,1.801,0.637,0.09,3.31E-03
CLOCK,1.489,6.82E-02,3.825,0.538,0.092,3.47E-03
SOX2,3.269,5.39E-04,2.096,0.547,0.093,3.63E-03
KMT2B,1.624,5.22E-02,2.366,0.562,0.093,3.63E-03
HNF4A,3.8,7.23E-05,2.033,0.548,0.094,3.72E-03
AHR,1.867,3.09E-02,2.668,0.534,0.095,3.80E-03
EPAS1,1.649,4.95E-02,2.187,0.568,0.095,3.80E-03
ZBTB2,1.929,2.69E-02,2.225,0.554,0.095,3.80E-03
POU5F1,5.018,2.62E-07,2.084,0.541,0.096,3.93E-03
NFE2L2,2.619,4.41E-03,1.844,0.58,0.096,4.02E-03
SFPQ,1.411,7.91E-02,3.375,0.538,0.098,4.21E-03
SMAD2,2.193,1.42E-02,2.191,0.544,0.099,4.40E-03
RUNX2,1.572,5.80E-02,2.832,0.536,0.099,4.40E-03
TAZ,1.571,5.81E-02,2.367,0.553,0.102,4.74E-03
ATF3,2.179,1.47E-02,2.09,0.55,0.102,4.84E-03
SMAD2-SMAD3,1.934,2.65E-02,1.818,0.62,0.102,4.84E-03
TRIM28,1.826,3.39E-02,2.479,0.536,0.103,4.89E-03
PRMT5,1.721,4.27E-02,1.871,0.617,0.103,4.94E-03
GATA2,2.448,7.19E-03,1.925,0.553,0.107,5.48E-03
LARP7,1.377,8.43E-02,2.664,0.541,0.107,5.48E-03
ASCL1,2.762,2.88E-03,1.856,0.555,0.107,5.59E-03
NR2F6,1.772,3.82E-02,2.253,0.541,0.108,5.70E-03
TOP1,2.233,1.28E-02,1.97,0.547,0.113,6.47E-03
ESR1,6.514,3.66E-11,1.586,0.555,0.114,6.60E-03
YBX1,1.665,4.80E-02,2.51,0.528,0.117,7.18E-03
OTX2,2.156,1.56E-02,1.624,0.575,0.118,7.38E-03
NIPBL,1.944,2.60E-02,1.45,0.632,0.119,7.65E-03
TLE3,2.286,1.11E-02,2.613,0.512,0.12,7.79E-03
GATA6,2.665,3.85E-03,2.191,0.52,0.122,8.07E-03
NR3C1,3.802,7.19E-05,1.446,0.562,0.122,8.22E-03
CREM,1.851,3.21E-02,2.175,0.531,0.123,8.36E-03
FOXK1,1.014,1.55E-01,2.786,0.538,0.123,8.36E-03
ZBTB48,3.028,1.23E-03,1.671,0.548,0.124,8.66E-03
MAFF,1.492,6.79E-02,2.862,0.518,0.126,9.04E-03
ZTA,1.579,5.72E-02,2.723,0.518,0.126,9.04E-03
CBX3,1.417,7.83E-02,2.68,0.522,0.128,9.35E-03
STAG1,4.464,4.02E-06,0.993,0.584,0.13,9.92E-03
ZFAT,1.401,8.06E-02,2.24,0.537,0.13,1.00E-02
H2AFX,0.931,1.76E-01,2.394,0.55,0.133,1.07E-02
PTTG1,1.618,5.29E-02,2.609,0.517,0.134,1.09E-02
NUP98-HOXA9,1.396,8.14E-02,2.161,0.536,0.137,1.15E-02
MBD4,1.283,9.97E-02,2.447,0.527,0.137,1.17E-02
CDCA2,1.321,9.33E-02,2.305,0.53,0.138,1.18E-02
TSC22D4,0.996,1.60E-01,2.038,0.564,0.139,1.20E-02
E2F7,2.264,1.18E-02,1.425,0.554,0.139,1.21E-02
CEBPG,1.967,2.46E-02,2.507,0.507,0.141,1.27E-02
EOMES,1.77,3.84E-02,2.104,0.524,0.142,1.29E-02
PTRF,1.463,7.17E-02,2.646,0.512,0.144,1.35E-02
FOXH1,1.524,6.37E-02,2.276,0.519,0.148,1.45E-02
HIRA,1.671,4.74E-02,1.96,0.528,0.149,1.48E-02
NFIL3,1.332,9.14E-02,2.116,0.531,0.15,1.51E-02
BACH1,1.606,5.42E-02,1.929,0.532,0.15,1.53E-02
AGO1,1.452,7.32E-02,2.348,0.517,0.151,1.55E-02
ZNF136,1.081,1.40E-01,3.217,0.511,0.153,1.62E-02
