TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
AR,21.421,4.30E-102,3.205,0.614,0.007,1.67E-06
OTX2,6.483,4.49E-11,3.022,0.648,0.012,7.51E-06
NANOG,6.312,1.38E-10,2.83,0.651,0.017,2.04E-05
REST,7.469,4.04E-14,2.91,0.593,0.019,2.94E-05
FOXA1,14.658,6.03E-49,2.776,0.593,0.022,4.52E-05
SIX2,3.871,5.41E-05,3.061,0.585,0.024,6.01E-05
MAML3,3.332,4.32E-04,3.045,0.585,0.026,7.80E-05
PIAS1,4.908,4.60E-07,2.955,0.578,0.026,8.13E-05
SOX2,4.635,1.78E-06,2.574,0.686,0.03,1.20E-04
POU5F1,6.593,2.16E-11,2.534,0.63,0.031,1.33E-04
EBF3,2.501,6.20E-03,3.017,0.579,0.035,1.91E-04
HOXB13,5.341,4.62E-08,2.936,0.551,0.036,2.03E-04
EOMES,2.997,1.36E-03,2.861,0.576,0.037,2.28E-04
HNF4G,3.251,5.76E-04,2.668,0.586,0.038,2.42E-04
TLE3,3.022,1.25E-03,3.026,0.552,0.038,2.56E-04
GATA4,4.42,4.93E-06,2.869,0.55,0.041,3.02E-04
TBX5,3.171,7.60E-04,2.912,0.554,0.041,3.02E-04
FOXA2,5.17,1.17E-07,2.54,0.578,0.042,3.44E-04
SIX1,2.268,1.17E-02,3.201,0.548,0.046,4.28E-04
HOXC9,2.135,1.64E-02,3.059,0.551,0.046,4.38E-04
PDX1,2.028,2.13E-02,2.967,0.561,0.046,4.49E-04
SMAD2,2.832,2.32E-03,2.587,0.575,0.049,5.14E-04
GATA6,4.021,2.90E-05,2.691,0.549,0.049,5.38E-04
RAD21,9.791,6.17E-23,2.219,0.613,0.05,5.49E-04
HDAC3,1.78,3.75E-02,2.87,0.572,0.051,5.99E-04
PHOX2B,1.62,5.26E-02,3.028,0.568,0.053,6.64E-04
NEUROD1,2.353,9.32E-03,2.725,0.55,0.054,6.92E-04
ASCL1,4.749,1.02E-06,2.5,0.552,0.054,7.06E-04
NKX3-1,1.926,2.71E-02,2.982,0.546,0.055,7.64E-04
