TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
BRDU,4.379,5.97E-06,3.394,0.704,0.019,3.11E-05
TEAD4,4.364,6.38E-06,2.82,0.776,0.021,4.08E-05
JUND,4.282,9.25E-06,2.77,0.744,0.025,7.17E-05
TP63,8.907,2.63E-19,2.503,0.748,0.027,8.47E-05
EP300,8.408,2.09E-17,2.407,0.798,0.031,1.33E-04
SIRT1,3.158,7.94E-04,2.898,0.712,0.032,1.43E-04
JUN,6.667,1.31E-11,2.42,0.77,0.034,1.74E-04
YBX1,3.391,3.48E-04,3.497,0.653,0.035,1.85E-04
FOS,4.144,1.71E-05,2.618,0.664,0.04,2.86E-04
TCF4,3.011,1.30E-03,2.514,0.725,0.041,3.02E-04
BANF1,2.916,1.77E-03,2.523,0.743,0.042,3.35E-04
FOSL1,3.829,6.42E-05,2.396,0.765,0.042,3.44E-04
RXRA,3.968,3.63E-05,2.433,0.712,0.044,3.80E-04
TEAD1,3.559,1.86E-04,2.495,0.681,0.045,4.18E-04
TP73,2.73,3.16E-03,2.796,0.675,0.045,4.18E-04
SMARCC1,3.871,5.41E-05,2.275,0.805,0.046,4.49E-04
MBD3,3.118,9.12E-04,2.371,0.763,0.047,4.81E-04
GRHL2,4.35,6.80E-06,2.451,0.659,0.05,5.74E-04
TSC22D4,2.431,7.54E-03,3.13,0.65,0.051,6.11E-04
YAP1,3.831,6.37E-05,2.33,0.7,0.052,6.24E-04
REST,6.385,8.54E-11,2.675,0.623,0.053,6.64E-04
PLRG1,2.24,1.25E-02,3.498,0.637,0.056,7.94E-04
ZTA,2.258,1.20E-02,3.302,0.639,0.057,8.25E-04
NR3C1,8.744,1.12E-18,2.296,0.652,0.057,8.40E-04
FOSL2,10.135,1.94E-24,2.012,0.773,0.057,8.40E-04
SMAD2-SMAD3,2.586,4.86E-03,2.291,0.784,0.058,8.56E-04
PRMT1,2.263,1.18E-02,2.482,0.664,0.063,1.12E-03
HIRA,3.01,1.31E-03,2.989,0.612,0.065,1.24E-03
GTF2I,4.459,4.11E-06,2.305,0.643,0.065,1.26E-03
CEBPB,9.134,3.31E-20,2.126,0.654,0.065,1.26E-03
KLF4,2.96,1.54E-03,2.705,0.618,0.066,1.30E-03
NKX2-1,3.188,7.17E-04,3.271,0.605,0.069,1.46E-03
ZNF175,1.787,3.70E-02,3.13,0.64,0.07,1.55E-03
