TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
REST,8.267,6.84E-17,3.083,0.619,0.013,1.06E-05
CTCF,30.517,7.83E-205,2.305,0.67,0.028,9.92E-05
MAML3,3.144,8.35E-04,2.936,0.59,0.033,1.58E-04
STAG1,9.14,3.14E-20,2.254,0.661,0.035,1.91E-04
MEF2B,4.498,3.43E-06,2.516,0.602,0.038,2.56E-04
EBF3,2.539,5.55E-03,3.048,0.582,0.04,2.78E-04
SMC3,7.79,3.34E-15,2.174,0.674,0.041,3.02E-04
SMARCA4,3.458,2.72E-04,2.283,0.632,0.041,3.18E-04
SMC1A,7.179,3.51E-13,2.129,0.661,0.046,4.38E-04
SUMO1,5.597,1.09E-08,2.239,0.612,0.047,4.59E-04
TCF21,3.337,4.23E-04,2.139,0.687,0.047,4.81E-04
SMAD1,2.929,1.70E-03,2.751,0.571,0.048,5.03E-04
RAD21,8.813,6.12E-19,2.03,0.667,0.049,5.38E-04
RNF2,3.334,4.27E-04,2.103,0.683,0.05,5.74E-04
NEUROG2,4.985,3.10E-07,2.322,0.582,0.052,6.51E-04
FOXO1,2.434,7.46E-03,2.25,0.608,0.058,8.89E-04
AR,7.583,1.69E-14,1.962,0.639,0.059,9.39E-04
PGR,1.702,4.44E-02,2.47,0.651,0.059,9.39E-04
HOXC9,1.988,2.34E-02,2.914,0.564,0.063,1.12E-03
TBX5,2.911,1.80E-03,2.764,0.553,0.064,1.16E-03
ZNF654,2.345,9.53E-03,2.175,0.613,0.064,1.18E-03
EZH2,9.4,2.73E-21,1.718,0.814,0.065,1.22E-03
GATA2,3.05,1.14E-03,2.112,0.601,0.065,1.26E-03
SMARCA2,1.946,2.58E-02,2.555,0.581,0.065,1.26E-03
DUX4,2.01,2.22E-02,2.728,0.563,0.068,1.41E-03
CHD5,1.596,5.52E-02,2.579,0.594,0.07,1.57E-03
TRIM28,2.243,1.24E-02,2.689,0.557,0.072,1.65E-03
PPARG,4.307,8.26E-06,1.819,0.646,0.072,1.65E-03
SRF,2.815,2.44E-03,1.976,0.611,0.072,1.67E-03
BMI1,2.367,8.97E-03,1.954,0.628,0.075,1.94E-03
OTX2,4.913,4.48E-07,2.515,0.546,0.076,1.96E-03
GATA4,2.463,6.90E-03,2.129,0.585,0.076,1.96E-03
FLI1,3.244,5.90E-04,2.217,0.563,0.077,2.05E-03
SIX1,2.38,8.65E-03,3.329,0.541,0.077,2.05E-03
JMJD6,3.712,1.03E-04,1.707,0.66,0.077,2.05E-03
SUZ12,5.485,2.07E-08,1.543,0.786,0.081,2.35E-03
CBX6,1.851,3.21E-02,2.496,0.563,0.082,2.45E-03
PCGF2,2.163,1.53E-02,2.083,0.584,0.083,2.58E-03
KDM3B,2.014,2.20E-02,1.967,0.609,0.084,2.71E-03
GRIP1,2.094,1.81E-02,2.021,0.593,0.085,2.75E-03
ZFP57,2.028,2.13E-02,2.233,0.566,0.087,2.96E-03
ZNF274,1.309,9.53E-02,3.053,0.565,0.088,3.04E-03
ZNF2,1.922,2.73E-02,2.205,0.571,0.088,3.11E-03
DRAP1,1.643,5.02E-02,2.09,0.607,0.089,3.19E-03
SIX2,2.975,1.46E-03,2.59,0.537,0.09,3.27E-03
CTCFL,2.91,1.81E-03,1.795,0.594,0.09,3.27E-03
ZBTB2,1.966,2.47E-02,2.26,0.559,0.093,3.59E-03
TRAF7,3.092,9.95E-04,1.554,0.614,0.095,3.80E-03
TOP1,2.594,4.74E-03,2.281,0.544,0.095,3.85E-03
JARID2,5.442,2.63E-08,1.308,0.809,0.095,3.89E-03
ESCO2,1.478,6.97E-02,2.331,0.571,0.096,4.02E-03
PHOX2B,1.388,8.26E-02,2.758,0.557,0.097,4.16E-03
CBX2,1.628,5.18E-02,1.94,0.602,0.101,4.69E-03
GTF2I,3.243,5.92E-04,1.809,0.564,0.102,4.74E-03
NUP98-HOXA9,1.478,6.97E-02,2.247,0.57,0.104,4.99E-03
