TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
GRHL2,6.314,1.36E-10,3.108,0.691,0.013,1.06E-05
GREB1,3.786,7.67E-05,2.981,0.723,0.016,1.91E-05
ASCL1,4.948,3.76E-07,2.564,0.755,0.018,2.61E-05
ZEB1,3.157,7.96E-04,2.929,0.724,0.022,4.52E-05
KLF4,3.417,3.17E-04,3.067,0.685,0.022,4.75E-05
MAX,4.868,5.63E-07,2.756,0.675,0.025,6.87E-05
KLF5,3.63,1.42E-04,2.501,0.717,0.026,8.13E-05
ZMYM3,4.032,2.77E-05,2.465,0.693,0.028,9.92E-05
TFAP2C,4.291,8.88E-06,3.184,0.659,0.028,1.03E-04
SNAI2,4.266,9.94E-06,2.315,0.698,0.032,1.43E-04
ESR1,15.222,1.26E-52,2.304,0.675,0.032,1.47E-04
SIRT1,3.241,5.96E-04,2.943,0.665,0.034,1.74E-04
HNF4A,3.944,4.01E-05,2.09,0.703,0.039,2.63E-04
WDHD1,2.415,7.88E-03,2.861,0.673,0.042,3.44E-04
BCAT1,2.353,9.32E-03,3.575,0.659,0.046,4.49E-04
ZNF592,2.351,9.36E-03,2.958,0.66,0.051,5.86E-04
ZNF687,2.424,7.68E-03,2.288,0.68,0.052,6.37E-04
POLR3D,4.995,2.95E-07,2.957,0.643,0.053,6.64E-04
CTBP1,2.626,4.32E-03,3.176,0.648,0.054,6.92E-04
HDAC2,3.849,5.94E-05,2.48,0.649,0.054,7.20E-04
SUZ12,5.352,4.35E-08,1.496,0.703,0.059,9.39E-04
RARA,2.098,1.80E-02,2.92,0.659,0.059,9.39E-04
EHF,2.422,7.72E-03,2.349,0.66,0.06,9.74E-04
ETV5,2.321,1.02E-02,2.749,0.654,0.063,1.10E-03
SRC,2.744,3.04E-03,4.577,0.64,0.064,1.18E-03
ZBTB48,5.41,3.14E-08,2.753,0.638,0.065,1.24E-03
CAMTA2,1.707,4.39E-02,2.742,0.67,0.067,1.37E-03
ZNF701,1.686,4.59E-02,3.215,0.659,0.069,1.46E-03
E2F2,1.709,4.37E-02,2.54,0.674,0.069,1.46E-03
E2F6,3.696,1.09E-04,2.093,0.647,0.069,1.48E-03
GRHL1,1.722,4.25E-02,2.284,0.697,0.069,1.50E-03
RARG,2.766,2.84E-03,2.276,0.649,0.07,1.55E-03
TFAP2A,2.474,6.68E-03,1.902,0.669,0.07,1.57E-03
NR1H2,3.066,1.09E-03,2.553,0.641,0.072,1.65E-03
DROSHA,2.375,8.78E-03,2.003,0.664,0.072,1.67E-03
EZH2,6.442,5.91E-11,1.161,0.742,0.073,1.72E-03
CBX1,2.653,3.99E-03,3.489,0.637,0.074,1.83E-03
KLF3,1.715,4.32E-02,2.275,0.68,0.074,1.83E-03
KDM4A,2.574,5.02E-03,1.98,0.658,0.074,1.85E-03
HCFC1R1,1.694,4.51E-02,2.559,0.663,0.075,1.91E-03
