EZH2_GSM1180154	AUC = 0.768
JARID2_GSM1180157	AUC = 0.766
EZH2_GSM1180139	AUC = 0.761
JARID2_GSM1180148	AUC = 0.758
JARID2_GSM1180149	AUC = 0.753
EZH2_GSM1180162	AUC = 0.752
JARID2_GSM1180161	AUC = 0.748
EZH2_GSM1180158	AUC = 0.747
SUZ12_GSM1842795	AUC = 0.747
JARID2_GSM1180153	AUC = 0.744
EZH2_GSM1180166	AUC = 0.737
EZH2_GSM1003489	AUC = 0.732
SUZ12_GSM2409704	AUC = 0.732
JARID2_GSM1180169	AUC = 0.731
SUZ12_GSM2409698	AUC = 0.731
SUZ12_GSM1031240	AUC = 0.723
SUZ12_GSM2409674	AUC = 0.722
JARID2_GSM1180165	AUC = 0.722
EZH2_GSM717404	AUC = 0.722
SUZ12_GSM935423	AUC = 0.717
EZH1_GSM2371321	AUC = 0.709
EZH2_GSM1180150	AUC = 0.707
JARID2_GSM1180138	AUC = 0.704
SUZ12_GSM2265652	AUC = 0.704
EZH2_GSM1003550	AUC = 0.700
EZH2_GSM2029369	AUC = 0.699
EP300_GSM1003514	AUC = 0.695
SUZ12_GSM2705896	AUC = 0.695
EZH2_GSM1003524	AUC = 0.695
EZH2_GSM2265654	AUC = 0.691
EZH2_GSM1003532	AUC = 0.691
EZH2_GSM831028	AUC = 0.689
RNF2_GSM2805878	AUC = 0.687
SUZ12_GSM969572	AUC = 0.681
JARID2_GSM1180131	AUC = 0.681
EZH2_GSM1180135	AUC = 0.676
EZH2_GSM1003518	AUC = 0.673
EZH2_GSM2265655	AUC = 0.671
TCF21_GSM1503216	AUC = 0.668
MBD2_GSM1388122	AUC = 0.662
EZH2_GSM1003529	AUC = 0.660
KDM2B_GSM1612048	AUC = 0.660
EP300_GSM1249890	AUC = 0.659
ZNF783_GSM2466659	AUC = 0.658
EZH2_GSM1003487	AUC = 0.657
KDM2B_GSM1612069	AUC = 0.656
EZH2_GSM1003501	AUC = 0.656
MED1_GSM2802957	AUC = 0.654
KDM2B_GSM1612072	AUC = 0.650
MED1_GSM2802954	AUC = 0.649
MED1_GSM2802960	AUC = 0.647
MBD2_GSM1322266	AUC = 0.645
MEF2B_GSM1703908	AUC = 0.642
EED_GSM1427066	AUC = 0.642
MEF2B_GSM1703929	AUC = 0.641
MED1_GSM2802953	AUC = 0.637
BCOR_GSM2805866	AUC = 0.636
MED1_GSM2802958	AUC = 0.636
KDM2B_GSM1612065	AUC = 0.636
BRD4_GSM2188490	AUC = 0.634
EZH2_GSM1003522	AUC = 0.634
MEF2B_GSM1703891	AUC = 0.633
RNF2_GSM585229	AUC = 0.633
KDM2B_GSM1612054	AUC = 0.629
TCF21_GSM1503217	AUC = 0.629
ERG_GSM726984	AUC = 0.629
KDM2B_GSM1612067	AUC = 0.626
PR_GSM999792	AUC = 0.624
RYBP_GSM855008	AUC = 0.621
AR_GSM1358395	AUC = 0.621
