PPARG_GSM634630	AUC = 0.778
PPARG_GSM1020363	AUC = 0.762
JARID2_GSM1180148	AUC = 0.753
PPARG_GSM634629	AUC = 0.752
EZH2_GSM1180139	AUC = 0.751
EZH2_GSM1180154	AUC = 0.747
JARID2_GSM1180157	AUC = 0.746
JARID2_GSM1180161	AUC = 0.736
JARID2_GSM1180149	AUC = 0.732
BRD4_GSM1709938	AUC = 0.730
SUZ12_GSM935423	AUC = 0.727
EZH2_GSM1003489	AUC = 0.724
JARID2_GSM1180153	AUC = 0.723
EZH2_GSM831028	AUC = 0.718
EZH2_GSM1180162	AUC = 0.718
BRD4_GSM1709939	AUC = 0.718
SUZ12_GSM2409704	AUC = 0.715
SUZ12_GSM2265652	AUC = 0.706
PPARG_GSM1571739	AUC = 0.705
SUZ12_GSM2409698	AUC = 0.704
EZH2_GSM717404	AUC = 0.704
EZH2_GSM1180158	AUC = 0.702
EZH2_GSM1003532	AUC = 0.700
SUZ12_GSM1842795	AUC = 0.697
EZH2_GSM2265654	AUC = 0.697
SUZ12_GSM2409674	AUC = 0.696
EZH2_GSM1180166	AUC = 0.695
EZH2_GSM2265655	AUC = 0.694
JARID2_GSM1180169	AUC = 0.693
EZH2_GSM1003550	AUC = 0.693
MED1_GSM1566731	AUC = 0.690
PPARG_GSM534494	AUC = 0.689
EZH2_GSM1003529	AUC = 0.683
MED1_GSM2802954	AUC = 0.683
EZH2_GSM1003501	AUC = 0.681
SUZ12_GSM2705896	AUC = 0.679
MED1_GSM1537677	AUC = 0.676
PPARG_GSM1571727	AUC = 0.671
EP300_GSM1003514	AUC = 0.668
MED1_GSM2802953	AUC = 0.667
CEBPA_GSM1020364	AUC = 0.666
JARID2_GSM1180165	AUC = 0.664
CREBBP_GSM1443803	AUC = 0.664
EZH2_GSM1003518	AUC = 0.657
SUZ12_GSM969572	AUC = 0.656
MBD2_GSM1388122	AUC = 0.655
CREBBP_GSM1443804	AUC = 0.654
EZH2_GSM1003524	AUC = 0.653
PPARG_GSM1443810	AUC = 0.648
SMAD3_GSM1949005	AUC = 0.644
MBD2_GSM1322266	AUC = 0.644
PPARG_GSM1571728	AUC = 0.642
MED1_GSM1537678	AUC = 0.641
MED1_GSM2802958	AUC = 0.638
PPARG_GSM534493	AUC = 0.638
PPARG_GSM1443809	AUC = 0.637
MED1_GSM1537680	AUC = 0.636
SUZ12_GSM1031240	AUC = 0.634
SMAD3_GSM1949007	AUC = 0.633
EP300_GSM447587	AUC = 0.631
EZH2_GSM1003487	AUC = 0.631
MED1_GSM1537679	AUC = 0.630
EZH2_GSM1508941	AUC = 0.625
RELA_GSM1566732	AUC = 0.619
MED1_GSM2802960	AUC = 0.616
EZH2_GSM1180150	AUC = 0.614
EP300_GSM1831049	AUC = 0.614
MED1_GSM1566728	AUC = 0.609
PPARG_GSM1571726	AUC = 0.607
MED1_GSM2802957	AUC = 0.606
