ESR1_GSM2915386	AUC = 0.815
ESR1_GSM2915389	AUC = 0.812
ESR1_GSM1669089	AUC = 0.811
ESR1_GSM631458	AUC = 0.809
ESR1_GSM2915392	AUC = 0.808
EZH2_GSM1003550	AUC = 0.807
H2AFX_GSM1382418	AUC = 0.807
EP300_GSM1669057	AUC = 0.806
GREB1_GSM1019130	AUC = 0.805
ESR1_GSM1858621	AUC = 0.801
NIPBL_GSM2040040	AUC = 0.796
EZH2_GSM1003532	AUC = 0.795
ESR1_GSM631453	AUC = 0.794
ESR1_GSM1348523	AUC = 0.793
ESR1_GSM631484	AUC = 0.793
EZH2_GSM2265654	AUC = 0.788
ESR1_GSM631452	AUC = 0.787
ESR1_GSM2747706	AUC = 0.787
SUZ12_GSM2265652	AUC = 0.786
GREB1_GSM1019129	AUC = 0.785
ESR1_GSM631483	AUC = 0.784
ESR1_GSM1669087	AUC = 0.782
ESR1_GSM2970410	AUC = 0.782
ESR1_GSM1295591	AUC = 0.781
ESR1_GSM2915391	AUC = 0.781
GREB1_GSM1019127	AUC = 0.779
ESR1_GSM2915378	AUC = 0.779
FOXM1_GSM1000997	AUC = 0.779
EZH2_GSM2265655	AUC = 0.779
ESR1_GSM2071221	AUC = 0.777
ESR1_GSM1858620	AUC = 0.777
H2AFX_GSM1382417	AUC = 0.776
EP300_GSM1669059	AUC = 0.776
ESR1_GSM2648922	AUC = 0.775
FOXA1_GSM659787	AUC = 0.775
EZH2_GSM1003529	AUC = 0.774
ESR1_GSM1669083	AUC = 0.773
FOXA1_GSM659788	AUC = 0.773
AHR_GSM2406723	AUC = 0.772
ESR1_GSM854690	AUC = 0.772
ESR1_GSM2915381	AUC = 0.771
ESR1_GSM2915375	AUC = 0.770
ESR1_GSM631463	AUC = 0.770
ESR1_GSM2648924	AUC = 0.770
ESR1_GSM2915382	AUC = 0.769
ESR1_GSM1858622	AUC = 0.768
ESR1_GSM2970407	AUC = 0.768
ESR1_GSM1669079	AUC = 0.767
ESR1_GSM1669081	AUC = 0.765
ESR1_GSM631466	AUC = 0.764
AR_GSM2797088	AUC = 0.764
GREB1_GSM1019126	AUC = 0.764
ESR1_GSM2970413	AUC = 0.764
ESR1_GSM811208	AUC = 0.763
ESR1_GSM1469979	AUC = 0.763
ESR1_GSM1669138	AUC = 0.763
EZH2_GSM1003518	AUC = 0.763
ESR1_GSM631464	AUC = 0.763
ESR1_GSM631480	AUC = 0.763
EP300_GSM1003514	AUC = 0.763
GREB1_GSM1019132	AUC = 0.762
ESR1_GSM2747692	AUC = 0.761
ESR1_GSM1470021	AUC = 0.760
ESR1_GSM798400	AUC = 0.760
EZH2_GSM1003489	AUC = 0.760
GATA3_GSM986071	AUC = 0.760
ESR1_GSM1669085	AUC = 0.758
SUZ12_GSM2409704	AUC = 0.758
ESR1_GSM1669043	AUC = 0.757
ESR1_GSM2747698	AUC = 0.757
ESR1_GSM631481	AUC = 0.757
ESR1_GSM2747696	AUC = 0.756
FOXA1_GSM2644576	AUC = 0.756
EP300_GSM1669055	AUC = 0.756
FOXA1_GSM2644575	AUC = 0.755
ESR1_GSM1325247	AUC = 0.755
ESR1_GSM470419	AUC = 0.754
ESR1_GSM2970409	AUC = 0.754
ESR1_GSM2125149	AUC = 0.754
ESR1_GSM2061659	AUC = 0.753
ESR1_GSM1669140	AUC = 0.753
ESR1_GSM1669145	AUC = 0.752
ESR1_GSM589239	AUC = 0.752
ESR1_GSM1470022	AUC = 0.752
ESR1_GSM1669141	AUC = 0.751
FOXM1_GSM1876187	AUC = 0.751
NCAPG_GSM1523059	AUC = 0.751
EP300_GSM986085	AUC = 0.751
GATA3_GSM986073	AUC = 0.751
ESR1_GSM1669078	AUC = 0.750
ESR1_GSM1325248	AUC = 0.750
ESR1_GSM2970412	AUC = 0.750
EP300_GSM1669060	AUC = 0.747
ESR1_GSM1669080	AUC = 0.746
ESR1_GSM2970406	AUC = 0.745
TLE3_GSM1019137	AUC = 0.745
ESR1_GSM1643998	AUC = 0.745
ESR1_GSM798384	AUC = 0.744
ESR1_GSM2061658	AUC = 0.743
ESR1_GSM1669044	AUC = 0.743
ESR1_GSM2915383	AUC = 0.742
ESR1_GSM2467228	AUC = 0.742
ESR1_GSM2970403	AUC = 0.742
MED1_GSM2040046	AUC = 0.742
ESR1_GSM2747694	AUC = 0.741
ESR1_GSM589237	AUC = 0.741
ESR1_GSM631482	AUC = 0.740
ESR1_GSM1669135	AUC = 0.740
NIPBL_GSM2040045	AUC = 0.740
ZMYM3_GSM2574814	AUC = 0.739
ESR1_GSM1669013	AUC = 0.739
FOXA1_GSM2466691	AUC = 0.739
GATA3_GSM825711	AUC = 0.738
ESR1_GSM631485	AUC = 0.738
ESR1_GSM631459	AUC = 0.737
ESR1_GSM631461	AUC = 0.737
SUZ12_GSM2409698	AUC = 0.737
GATA3_GSM986076	AUC = 0.737
ESR1_GSM1295590	AUC = 0.736
ESR1_GSM631460	AUC = 0.736
ESR1_GSM1858623	AUC = 0.736
ESR1_GSM2970404	AUC = 0.735
ESR1_GSM2747701	AUC = 0.735
ESR1_GSM631454	AUC = 0.735
ESR1_GSM2467226	AUC = 0.735
EP300_GSM1059392	AUC = 0.734
ESR1_GSM2071224	AUC = 0.733
FOXM1_GSM1876186	AUC = 0.732
ESR1_GSM631455	AUC = 0.732
NCAPG_GSM1523061	AUC = 0.732
ESR1_GSM2648918	AUC = 0.732
ESR1_GSM2154986	AUC = 0.732
ESR1_GSM631462	AUC = 0.731
EP300_GSM1669023	AUC = 0.731
ESR1_GSM1669011	AUC = 0.731
ESR1_GSM1669144	AUC = 0.730
NR3C1_GSM1858618	AUC = 0.730
ESR1_GSM1669143	AUC = 0.730
ESR1_GSM2747704	AUC = 0.729
PR_GSM1669077	AUC = 0.729
ESR1_GSM1523057	AUC = 0.728
ESR1_GSM1115991	AUC = 0.728
GATA3_GSM986072	AUC = 0.728
ESR1_GSM2125155	AUC = 0.728
SUZ12_GSM1842795	AUC = 0.728
ESR1_GSM1010823	AUC = 0.728
NCAPG2_GSM1523067	AUC = 0.727
JUND_GSM1010718	AUC = 0.727
NR3C1_GSM1858631	AUC = 0.726
NR5A2_GSM1143122	AUC = 0.726
DPF2_ENCSR234VCE_2	AUC = 0.725
NR3C1_GSM1858649	AUC = 0.725
NR3C1_GSM1858648	AUC = 0.725
ESR1_GSM1669048	AUC = 0.725
ZNF217_GSM935563	AUC = 0.725
GATA3_GSM986074	AUC = 0.724
ESR1_GSM2747695	AUC = 0.724
ESR1_GSM1669142	AUC = 0.723
EP300_GSM986087	AUC = 0.723
ESR1_GSM365928	AUC = 0.723
ESR1_GSM2305316	AUC = 0.722
ESR1_GSM1669012	AUC = 0.722
ESR1_GSM614611	AUC = 0.721
ESR1_GSM811215	AUC = 0.721
PR_GSM1669075	AUC = 0.721
ESR1_GSM1669042	AUC = 0.721
NR3C1_GSM2797089	AUC = 0.720
ESR1_GSM631468	AUC = 0.720
EZH2_GSM717404	AUC = 0.720
ESR1_GSM2071222	AUC = 0.720
ESR1_GSM2747693	AUC = 0.720
EZH2_GSM1180139	AUC = 0.720
ESR1_GSM1967548	AUC = 0.720
JARID2_GSM1180149	AUC = 0.720
EZH2_GSM1180162	AUC = 0.720
SUZ12_GSM935423	AUC = 0.718
ESR1_GSM2747705	AUC = 0.718
ESR1_GSM1643953	AUC = 0.718
ESR1_GSM2135490	AUC = 0.718
ESR1_GSM2747700	AUC = 0.717
GATA3_GSM986068	AUC = 0.717
ESR1_GSM631487	AUC = 0.717
ESR1_GSM1669045	AUC = 0.716
ESR1_GSM1003731	AUC = 0.716
MBD3_GSM1089817	AUC = 0.715
ESR1_GSM986060	AUC = 0.715
JARID2_GSM1180148	AUC = 0.714
ESR1_GSM986059	AUC = 0.714
SUZ12_GSM1031240	AUC = 0.714
ESR1_GSM2154985	AUC = 0.714
ESR1_GSM1967549	AUC = 0.713
ESR1_GSM1643954	AUC = 0.713
SUZ12_GSM2705896	AUC = 0.712
ESR1_GSM2467229	AUC = 0.712
FOXA1_GSM659795	AUC = 0.712
NR3C1_GSM1858632	AUC = 0.712
ESR1_GSM631486	AUC = 0.712
ESR1_GSM2154987	AUC = 0.712
ESR1_GSM1643999	AUC = 0.711
ESR1_GSM1643950	AUC = 0.711
ESR1_GSM2467227	AUC = 0.711
ESR1_GSM2670863	AUC = 0.711
ESR1_GSM1523082	AUC = 0.710
ESR1_GSM986089	AUC = 0.710
ESR1_GSM1669134	AUC = 0.710
ESR1_GSM2648919	AUC = 0.709
ESR1_GSM986062	AUC = 0.709
GATA3_GSM935445	AUC = 0.709
ESR1_GSM1523084	AUC = 0.708
ESR1_GSM1669047	AUC = 0.708
ESR1_GSM2747707	AUC = 0.707
FOXM1_GSM1001005	AUC = 0.707
ESR1_GSM631456	AUC = 0.707
ESR1_GSM1187118	AUC = 0.707
JARID2_GSM1180169	AUC = 0.707
ESR1_GSM1643952	AUC = 0.707
ESR1_GSM1534722	AUC = 0.707
EZH2_GSM1003501	AUC = 0.706
ESR1_GSM365927	AUC = 0.706
FOXM1_GSM1876188	AUC = 0.706
ESR1_GSM2670862	AUC = 0.706
GRHL2_GSM2122802	AUC = 0.705
ESR1_GSM986061	AUC = 0.705
JARID2_GSM1180153	AUC = 0.705
NR3C1_GSM1858619	AUC = 0.704
RARA_GSM1469989	AUC = 0.704
ESR1_GSM1858653	AUC = 0.704
GRHL2_GSM2970414	AUC = 0.704
ESR1_GSM631488	AUC = 0.704
ESR1_GSM1325249	AUC = 0.704
ESR1_GSM1967550	AUC = 0.704
EZH2_GSM1180154	AUC = 0.703
ESR1_GSM1534726	AUC = 0.703
ESR1_GSM811214	AUC = 0.703
ESR1_GSM798403	AUC = 0.702
ESR1_GSM1198712	AUC = 0.702
ESR1_GSM2071225	AUC = 0.702
EP300_GSM1669024	AUC = 0.702
ESR1_GSM2648914	AUC = 0.701
GRHL2_GSM2970417	AUC = 0.701
ESR1_GSM1967546	AUC = 0.701
ESR1_GSM1669049	AUC = 0.701
NR3C1_GSM2154995	AUC = 0.701
ESR1_GSM1908537	AUC = 0.700
EP300_GSM986086	AUC = 0.700
RELA_GSM1643956	AUC = 0.700
FOXM1_GSM1000995	AUC = 0.700
ESR1_GSM1669050	AUC = 0.700
ESR1_GSM2747702	AUC = 0.700
JARID2_GSM1180161	AUC = 0.700
GRHL2_GSM2970416	AUC = 0.700
GATA3_GSM720423	AUC = 0.698
GATA3_GSM1469996	AUC = 0.698
ESR1_GSM1534727	AUC = 0.698
EP300_GSM1669066	AUC = 0.698
EZH2_GSM831028	AUC = 0.698
EZH2_GSM1180158	AUC = 0.698
ESR1_GSM2135492	AUC = 0.698
ESR1_GSM1534723	AUC = 0.698
EP300_GSM1669061	AUC = 0.697
ESR1_GSM798389	AUC = 0.697
GATA3_GSM1469995	AUC = 0.697
EZH2_GSM1180166	AUC = 0.697
GRHL2_GSM2122803	AUC = 0.697
ESR1_GSM2467225	AUC = 0.696
PR_GSM1669072	AUC = 0.696
ESR1_GSM2242432	AUC = 0.695
PR_GSM1669076	AUC = 0.695
ESR1_GSM801056	AUC = 0.695
ESR1_GSM2242427	AUC = 0.695
ESR1_GSM1523083	AUC = 0.694
ESR1_GSM1669046	AUC = 0.694
ESR1_GSM1019128	AUC = 0.694
ESR1_GSM798424	AUC = 0.694
ESR1_GSM1967545	AUC = 0.694
GRHL2_GSM2970419	AUC = 0.693
ESR1_GSM1967547	AUC = 0.693
GRHL2_GSM2970415	AUC = 0.693
ESR1_GSM1187117	AUC = 0.693
FOXA1_GSM1534742	AUC = 0.693
ESR1_GSM1325250	AUC = 0.692
EP300_GSM986088	AUC = 0.692
EP300_GSM1669065	AUC = 0.691
ESR1_GSM2242426	AUC = 0.691
ESR1_GSM2040048	AUC = 0.690
JARID2_GSM1180157	AUC = 0.690
ESR1_GSM2305314	AUC = 0.690
ESR1_GSM2648916	AUC = 0.690
ESR1_GSM2242431	AUC = 0.690
ESR1_GSM2467222	AUC = 0.690
PR_GSM1669071	AUC = 0.689
SUZ12_GSM2409674	AUC = 0.689
AHR_GSM2406727	AUC = 0.689
FOXA1_GSM2797129	AUC = 0.689
ESR1_GSM2467223	AUC = 0.688
PR_GSM1669070	AUC = 0.688
ESR1_GSM1003723	AUC = 0.688
ESR1_GSM798401	AUC = 0.688
ESR1_GSM1003711	AUC = 0.688
ESR1_GSM2747691	AUC = 0.687
ESR1_GSM2467224	AUC = 0.687
ESR1_GSM2305313	AUC = 0.687
SIRT1_GSM2474868	AUC = 0.687
FOXM1_GSM1000996	AUC = 0.686
ESR1_GSM2747703	AUC = 0.686
APOBEC3B_GSM1372542	AUC = 0.685
ESR1_GSM2061657	AUC = 0.685
ESR1_GSM2467221	AUC = 0.685
ESR1_GSM1523081	AUC = 0.685
FOXA1_GSM1534736	AUC = 0.685
ESR1_GSM614610	AUC = 0.685
FOXA1_GSM2137769	AUC = 0.685
GRHL2_GSM2970418	AUC = 0.684
EP300_GSM1010800	AUC = 0.684
EZH2_GSM1003524	AUC = 0.684
FOXA1_GSM1534738	AUC = 0.684
EP300_GSM1669064	AUC = 0.684
ESR1_GSM798433	AUC = 0.684
FOXA1_GSM2171832	AUC = 0.683
ZSCAN2_GSM2574815	AUC = 0.683
ESR1_GSM631467	AUC = 0.683
ESR1_GSM1534751	AUC = 0.683
ESR1_GSM631465	AUC = 0.683
FOXA1_GSM588930	AUC = 0.683
GRHL2_GSM2171835	AUC = 0.682
ASCL1_GSM1700637	AUC = 0.682
TCF12_GSM1010861	AUC = 0.682
ASCL1_GSM1499401	AUC = 0.681
FOXA1_GSM1534743	AUC = 0.681
FOXA1_GSM1470025	AUC = 0.681
TFAP2A_GSM1081381	AUC = 0.681
ESR1_GSM803539	AUC = 0.680
GATA3_GSM720422	AUC = 0.680
FOS_GSM659789	AUC = 0.680
ESR1_GSM1198711	AUC = 0.680
ESR1_GSM2648917	AUC = 0.679
GRHL2_GSM2171834	AUC = 0.679
SIRT1_GSM2474871	AUC = 0.679
ESR1_GSM798398	AUC = 0.679
ESR1_GSM1198713	AUC = 0.678
RUNX1_GSM1592327	AUC = 0.678
FOXA1_GSM1534741	AUC = 0.678
ESR1_GSM2797097	AUC = 0.678
FOXA1_GSM2171829	AUC = 0.677
FOXA1_GSM2797132	AUC = 0.677
FOXA1_GSM1534739	AUC = 0.677
ESR1_GSM1198714	AUC = 0.677
FOXA1_GSM1534737	AUC = 0.677
ESR1_GSM2648915	AUC = 0.677
RCOR1_ENCSR391JII_1	AUC = 0.676
EP300_GSM1523075	AUC = 0.676
CTCF_GSM1647363	AUC = 0.675
ESR1_GSM2305320	AUC = 0.675
ESR1_GSM798429	AUC = 0.675
FOXM1_GSM1001006	AUC = 0.674
ESR1_GSM798425	AUC = 0.674
JARID2_GSM1180165	AUC = 0.674
ESR1_GSM803374	AUC = 0.673
ESR1_GSM365926	AUC = 0.673
ESR1_GSM1643948	AUC = 0.673
FOXA1_GSM2466692	AUC = 0.673
FOXA1_GSM2171830	AUC = 0.672
TCF7L2_GSM816438	AUC = 0.672
