EZH2_GSM1003550	AUC = 0.812
EZH2_GSM1003532	AUC = 0.796
EZH2_GSM2265654	AUC = 0.794
SUZ12_GSM2265652	AUC = 0.793
EZH2_GSM2265655	AUC = 0.780
EP300_GSM1003514	AUC = 0.776
EZH2_GSM1003529	AUC = 0.772
EZH2_GSM1003518	AUC = 0.764
SUZ12_GSM2409704	AUC = 0.753
EZH2_GSM1003489	AUC = 0.748
SUZ12_GSM2705896	AUC = 0.733
SUZ12_GSM2409698	AUC = 0.731
SUZ12_GSM1842795	AUC = 0.729
EZH2_GSM1180162	AUC = 0.723
EZH2_GSM717404	AUC = 0.723
SUZ12_GSM935423	AUC = 0.718
SUZ12_GSM1031240	AUC = 0.714
JARID2_GSM1180149	AUC = 0.713
EZH2_GSM1180139	AUC = 0.713
JARID2_GSM1180148	AUC = 0.709
JARID2_GSM1180169	AUC = 0.704
EZH2_GSM1003501	AUC = 0.704
EZH2_GSM1180154	AUC = 0.702
EZH2_GSM1180166	AUC = 0.700
JARID2_GSM1180153	AUC = 0.700
RYBP_GSM855008	AUC = 0.698
EZH2_GSM2029369	AUC = 0.697
CTCF_GSM1647363	AUC = 0.695
EZH2_GSM1180158	AUC = 0.695
EZH2_GSM1003524	AUC = 0.695
JARID2_GSM1180157	AUC = 0.695
SUZ12_GSM2409674	AUC = 0.694
SUZ12_GSM969572	AUC = 0.692
JARID2_GSM1180161	AUC = 0.691
EZH1_GSM2371321	AUC = 0.688
MYC_GSM762707	AUC = 0.688
EZH2_GSM831028	AUC = 0.687
EP300_GSM1703917	AUC = 0.685
EZH2_GSM1385748	AUC = 0.684
EZH2_GSM1180150	AUC = 0.684
JARID2_GSM1180165	AUC = 0.684
MAX_GSM2151471	AUC = 0.682
EZH2_GSM1180135	AUC = 0.680
SMAD4_GSM1246718	AUC = 0.680
TCF7L1_GSM1873237	AUC = 0.678
JARID2_GSM1180131	AUC = 0.677
EZH2_GSM1003487	AUC = 0.676
SIRT1_GSM2474871	AUC = 0.676
JARID2_GSM1180138	AUC = 0.675
MYC_GSM762708	AUC = 0.674
EP300_GSM1290184	AUC = 0.674
SIRT1_GSM2474868	AUC = 0.672
JMJD6_GSM1249879	AUC = 0.670
EED_GSM1427066	AUC = 0.668
