EZH2_GSM1003489	AUC = 0.771
EZH2_GSM1180139	AUC = 0.768
EZH2_GSM1180154	AUC = 0.764
JARID2_GSM1180148	AUC = 0.758
SUZ12_GSM2409704	AUC = 0.750
EZH2_GSM1180162	AUC = 0.746
JARID2_GSM1180149	AUC = 0.744
JARID2_GSM1180161	AUC = 0.743
JARID2_GSM1180157	AUC = 0.743
SUZ12_GSM935423	AUC = 0.742
JARID2_GSM1180153	AUC = 0.737
SUZ12_GSM2409698	AUC = 0.737
EZH2_GSM2265654	AUC = 0.736
SUZ12_GSM2265652	AUC = 0.736
EZH2_GSM717404	AUC = 0.731
EZH2_GSM1003532	AUC = 0.729
EZH2_GSM1003550	AUC = 0.727
SUZ12_GSM2409674	AUC = 0.727
EZH2_GSM831028	AUC = 0.726
SUZ12_GSM1842795	AUC = 0.725
EZH2_GSM1180158	AUC = 0.718
EZH2_GSM1180166	AUC = 0.717
EZH2_GSM1003529	AUC = 0.716
JARID2_GSM1180169	AUC = 0.715
EZH2_GSM2265655	AUC = 0.715
EZH2_GSM1003501	AUC = 0.706
EZH2_GSM1003518	AUC = 0.702
EP300_GSM1003514	AUC = 0.701
SUZ12_GSM2705896	AUC = 0.699
JARID2_GSM1180165	AUC = 0.687
EZH2_GSM1003524	AUC = 0.681
SUZ12_GSM969572	AUC = 0.676
EZH2_GSM1003487	AUC = 0.668
MEF2B_GSM1703929	AUC = 0.668
MBD2_GSM1388122	AUC = 0.656
EZH2_GSM717405	AUC = 0.654
SUZ12_GSM1031240	AUC = 0.648
MBD2_GSM1322266	AUC = 0.646
MEF2B_GSM1703892	AUC = 0.645
EZH2_GSM1180150	AUC = 0.643
MEF2B_GSM1703891	AUC = 0.642
FOXO1_GSM1668935	AUC = 0.634
MEF2B_GSM1703930	AUC = 0.630
EP300_GSM1703917	AUC = 0.629
JARID2_GSM1180131	AUC = 0.629
FOXO1_GSM1668936	AUC = 0.628
SPI1_GSM1333967	AUC = 0.626
MEF2B_GSM1703911	AUC = 0.621
EED_GSM1427066	AUC = 0.620
REST_GSM1290154	AUC = 0.619
EZH2_GSM1508944	AUC = 0.614
MBD2_GSM1006707	AUC = 0.614
JARID2_GSM1180138	AUC = 0.613
REST_GSM1290153	AUC = 0.612
REST_GSM1240838	AUC = 0.608
EZH2_GSM2029369	AUC = 0.608
EBNA3_GSM1153766	AUC = 0.607
EZH2_GSM1508941	AUC = 0.606
EZH2_GSM1180135	AUC = 0.603
MEF2B_GSM1703908	AUC = 0.602
REST_GSM1290171	AUC = 0.598
REST_GSM1290172	AUC = 0.598
REST_GSM1333995	AUC = 0.597
REST_GSM1333999	AUC = 0.596
EP300_GSM1290184	AUC = 0.596
REST_GSM1192175	AUC = 0.593
REST_GSM1240824	AUC = 0.593
REST_GSM1192174	AUC = 0.592
SMC3_GSM2813844	AUC = 0.590
EP300_GSM1290175	AUC = 0.590
SPI1_GSM1334008	AUC = 0.588
SMC3_GSM2813841	AUC = 0.587
SPI1_GSM2804465	AUC = 0.587
REST_GSM1290158	AUC = 0.585
REST_GSM1290149	AUC = 0.585
EP300_GSM1290183	AUC = 0.585
EP300_GSM1333961	AUC = 0.584
EZH2_GSM1003498	AUC = 0.582
SMC3_GSM2813838	AUC = 0.582
RELA_GSM486307	AUC = 0.582
EZH1_GSM2371321	AUC = 0.582
REST_GSM1333993	AUC = 0.581
RBPJ_GSM1958041	AUC = 0.581
REST_GSM1290155	AUC = 0.581
REST_GSM1333986	AUC = 0.580
REST_GSM1290161	AUC = 0.579
REST_GSM1290156	AUC = 0.579
STAG1_GSM1234008	AUC = 0.579
REST_GSM1290151	AUC = 0.578
RAD21_GSM1242270	AUC = 0.578
SMC1A_GSM2592813	AUC = 0.577
REST_GSM1333959	AUC = 0.576
RAD21_GSM1239585	AUC = 0.576
REST_GSM1333998	AUC = 0.576
REST_GSM1290165	AUC = 0.575
CTCF_GSM1056577	AUC = 0.575
AR_GSM1358397	AUC = 0.575
REST_GSM1333990	AUC = 0.574
REST_GSM1290163	AUC = 0.574
RNF2_GSM2805868	AUC = 0.574
EBNA3C_GSM1273052	AUC = 0.574
RAD21_GSM2486813	AUC = 0.573
AR_GSM1358395	AUC = 0.573
REST_GSM1290170	AUC = 0.573
REST_GSM1290150	AUC = 0.573
REST_GSM1290166	AUC = 0.572
RAD21_GSM1242276	AUC = 0.570
FOXP1_GSM1690058	AUC = 0.570
CTCF_GSM534485	AUC = 0.570
REST_GSM1290159	AUC = 0.569
EP300_GSM1290174	AUC = 0.569
RAD21_GSM2486814	AUC = 0.569
SMC3_ENCSR481YWD_2	AUC = 0.569
RAD21_GSM2038348	AUC = 0.568
CTCF_GSM2341639	AUC = 0.567
SMC3_GSM1240840	AUC = 0.567
NR3C1_GSM1841306	AUC = 0.566
EP300_GSM1333960	AUC = 0.566
RAD21_GSM2809610	AUC = 0.565
CTCF_GSM651541	AUC = 0.565
REST_GSM1333988	AUC = 0.565
RAD21_GSM1239446	AUC = 0.565
RAD21_GSM2486815	AUC = 0.565
SMC3_GSM2813840	AUC = 0.565
SMC1A_GSM2493884	AUC = 0.564
BMI1_GSM838673	AUC = 0.564
EBNA3C_GSM1273053	AUC = 0.564
BMI1_GSM838671	AUC = 0.564
AR_GSM1358405	AUC = 0.564
RNF2_GSM585229	AUC = 0.563
RAD21_GSM1335529	AUC = 0.563
RELA_GSM486316	AUC = 0.563
BCL6_GSM1668937	AUC = 0.563
REST_GSM1333992	AUC = 0.563
CTCF_GSM1239390	AUC = 0.562
REST_GSM1290168	AUC = 0.562
CD74_GSM2356333	AUC = 0.562
SMC3_GSM2813837	AUC = 0.560
CTCF_GSM586888	AUC = 0.560
CTCF_GSM749711	AUC = 0.559
REST_GSM1290162	AUC = 0.559
CTCF_GSM2861703	AUC = 0.559
STAG1_GSM1239586	AUC = 0.558
SMC3_GSM2813843	AUC = 0.558
JMJD6_GSM1249880	AUC = 0.558
REST_GSM1333991	AUC = 0.557
AR_GSM1358409	AUC = 0.557
NUP98-HOXA9_GSM1529673	AUC = 0.557
REST_GSM1290148	AUC = 0.557
RAD21_GSM2486816	AUC = 0.556
CTCF_ENCSR341VKC_1	AUC = 0.556
CTCF_GSM1705262	AUC = 0.556
BCL6_GSM1668938	AUC = 0.556
CTCF_GSM1056576	AUC = 0.556
MAML3_GSM1693098	AUC = 0.556
CTCF_GSM1010774	AUC = 0.555
REST_GSM1290146	AUC = 0.555
CTCF_GSM1910998	AUC = 0.555
NR3C1_GSM1405407	AUC = 0.555
CTCF_GSM1910997	AUC = 0.555
STAG1_GSM1234059	AUC = 0.555
