EZH2_GSM1003489	AUC = 0.725
EZH2_GSM1003532	AUC = 0.692
EZH2_GSM1003529	AUC = 0.691
EZH2_GSM1003550	AUC = 0.686
EZH2_GSM1003501	AUC = 0.684
SUZ12_GSM2409704	AUC = 0.684
SUZ12_GSM935423	AUC = 0.683
JARID2_GSM1180148	AUC = 0.681
EZH2_GSM1180139	AUC = 0.678
SUZ12_GSM2409698	AUC = 0.678
EZH2_GSM1180154	AUC = 0.675
EZH2_GSM2265654	AUC = 0.671
JARID2_GSM1180149	AUC = 0.671
JARID2_GSM1180161	AUC = 0.662
EZH2_GSM831028	AUC = 0.661
JARID2_GSM1180157	AUC = 0.661
EP300_GSM1003514	AUC = 0.658
SUZ12_GSM2265652	AUC = 0.656
EZH2_GSM1180162	AUC = 0.656
EZH2_GSM2265655	AUC = 0.655
JARID2_GSM1180153	AUC = 0.654
SUZ12_GSM1842795	AUC = 0.654
EZH2_GSM1003518	AUC = 0.653
JARID2_GSM1180169	AUC = 0.647
SUZ12_GSM2705896	AUC = 0.644
EZH2_GSM1180166	AUC = 0.643
FOXA1_GSM2537228	AUC = 0.641
EZH2_GSM1180158	AUC = 0.639
ESR1_GSM798400	AUC = 0.638
ESR1_GSM2467305	AUC = 0.636
AR_GSM353651	AUC = 0.635
SUZ12_GSM2409674	AUC = 0.630
SMC3_GSM2813841	AUC = 0.628
AR_GSM1598220	AUC = 0.627
GRHL2_GSM2122802	AUC = 0.626
FOXA1_GSM2537217	AUC = 0.625
ESR1_GSM798384	AUC = 0.621
FOXA1_GSM759664	AUC = 0.621
FOXA1_GSM353630	AUC = 0.619
EZH2_GSM1003487	AUC = 0.619
AR_GSM1598222	AUC = 0.618
EZH2_GSM1003524	AUC = 0.618
HDAC3_GSM717402	AUC = 0.618
GRHL2_GSM2122803	AUC = 0.617
EZH2_GSM717404	AUC = 0.616
AR_GSM696841	AUC = 0.615
FOXA1_GSM759663	AUC = 0.614
FOXA1_GSM1410788	AUC = 0.614
PIAS1_GSM1354833	AUC = 0.612
EZH2_GSM717405	AUC = 0.612
JARID2_GSM1180165	AUC = 0.612
AR_GSM1358396	AUC = 0.610
ESR1_GSM2144754	AUC = 0.609
SMC3_GSM2813844	AUC = 0.609
AR_GSM1358410	AUC = 0.608
NR3C1_GSM759669	AUC = 0.607
FOXA1_GSM1551466	AUC = 0.607
AR_GSM1358407	AUC = 0.606
AR_GSM1358408	AUC = 0.605
AR_GSM717392	AUC = 0.604
NR3C1_GSM980655	AUC = 0.604
AR_GSM2393829	AUC = 0.604
FOXA1_GSM2644576	AUC = 0.604
AR_GSM1358398	AUC = 0.603
HDAC3_GSM717403	AUC = 0.601
PPARG_GSM634630	AUC = 0.600
AR_GSM1358403	AUC = 0.600
ESR1_GSM798403	AUC = 0.600
FOXA1_GSM759661	AUC = 0.599
FOXA1_GSM2058886	AUC = 0.599
AR_GSM1358400	AUC = 0.599
PPARG_GSM1020363	AUC = 0.599
FOXA1_GSM984391	AUC = 0.599
AR_GSM353646	AUC = 0.599
EP300_GSM447587	AUC = 0.598
SMC3_GSM1240840	AUC = 0.598
NR3C1_GSM980664	AUC = 0.597
FOXA1_GSM2644575	AUC = 0.597
FOXA1_GSM1410776	AUC = 0.596
FOXA1_GSM759662	AUC = 0.596
AR_GSM2537213	AUC = 0.596
AR_GSM980662	AUC = 0.595
FOXA1_GSM2797083	AUC = 0.595
PPARG_GSM634629	AUC = 0.595
EZH2_GSM1508944	AUC = 0.595
AR_GSM2537212	AUC = 0.594
SMC3_GSM2813838	AUC = 0.594
AR_GSM1527026	AUC = 0.594
FOXA1_GSM2797080	AUC = 0.594
PIAS1_GSM1354834	AUC = 0.594
FOXA1_GSM984392	AUC = 0.593
AR_GSM817353	AUC = 0.593
HOXB13_GSM1716763	AUC = 0.593
AR_GSM2086292	AUC = 0.593
FOXA1_GSM1410775	AUC = 0.592
FOXA1_GSM958752	AUC = 0.592
ERG_GSM1193657	AUC = 0.592
AR_GSM1598221	AUC = 0.592
FOXA1_GSM958754	AUC = 0.592
FOXA1_GSM2797129	AUC = 0.592
AR_GSM2393833	AUC = 0.591
AR_GSM2235686	AUC = 0.591
AR_GSM1527023	AUC = 0.591
ESR1_GSM2467301	AUC = 0.591
AR_GSM717394	AUC = 0.591
AR_GSM2235687	AUC = 0.591
AR_GSM817352	AUC = 0.591
FOXA1_GSM1551465	AUC = 0.591
FOXA2_GSM1239395	AUC = 0.591
FOXA1_GSM2144761	AUC = 0.590
AR_GSM1328955	AUC = 0.590
RAD21_GSM1242270	AUC = 0.590
FOXA2_GSM1505639	AUC = 0.590
AR_GSM817351	AUC = 0.590
AR_GSM2393835	AUC = 0.590
AR_GSM980663	AUC = 0.590
AR_GSM1236922	AUC = 0.589
HNF4A_GSM1208632	AUC = 0.589
AR_GSM1207892	AUC = 0.589
ESR1_GSM2467294	AUC = 0.589
NR3C1_GSM980665	AUC = 0.588
FOXA1_GSM2058887	AUC = 0.588
FOXA1_GSM958753	AUC = 0.588
AR_GSM2086306	AUC = 0.588
HOXB13_GSM2537214	AUC = 0.588
PIAS1_GSM1354832	AUC = 0.588
AR_GSM1358413	AUC = 0.588
AR_GSM817349	AUC = 0.588
AR_GSM817350	AUC = 0.588
AR_GSM717393	AUC = 0.588
AR_GSM980657	AUC = 0.588
AR_GSM1501186	AUC = 0.588
REST_GSM1240838	AUC = 0.587
HOXB13_GSM2537215	AUC = 0.587
FOXA1_GSM1551467	AUC = 0.587
FOXA1_GSM659795	AUC = 0.587
RAD21_GSM1239585	AUC = 0.587
AR_GSM817348	AUC = 0.587
AR_GSM817347	AUC = 0.586
AR_GSM1328953	AUC = 0.586
AR_GSM2092844	AUC = 0.586
AR_GSM2235689	AUC = 0.586
AR_GSM696842	AUC = 0.586
RAD21_GSM1239446	AUC = 0.586
AR_GSM2086307	AUC = 0.586
AR_GSM1069682	AUC = 0.586
AR_GSM916521	AUC = 0.586
AR_GSM1691138	AUC = 0.586
FOXA1_GSM1551464	AUC = 0.586
AR_GSM1501191	AUC = 0.586
AR_GSM2086293	AUC = 0.585
PIAS1_GSM1622631	AUC = 0.585
SMAD3_GSM1949005	AUC = 0.585
AR_GSM2086300	AUC = 0.585
AR_GSM1527025	AUC = 0.585
AR_GSM2086308	AUC = 0.585
AR_GSM2480801	AUC = 0.585
AR_GSM2235688	AUC = 0.585
AR_GSM1207891	AUC = 0.585
AR_GSM984387	AUC = 0.585
AR_GSM2186462	AUC = 0.585
AR_GSM2186465	AUC = 0.585
AR_GSM1354831	AUC = 0.584
FOXA1_GSM2537216	AUC = 0.584
HNF4G_GSM2277166	AUC = 0.584
NR3C1_GSM759670	AUC = 0.584
AR_GSM2086294	AUC = 0.583
AR_GSM1868866	AUC = 0.583
AR_GSM2086298	AUC = 0.583
FOXA1_GSM2277151	AUC = 0.583
AR_GSM2086301	AUC = 0.583
AR_GSM916522	AUC = 0.583
