SMAD2-SMAD3_GSM2795973	AUC = 0.790
MED1_GSM2190588	AUC = 0.739
FOSL1_GSM2501565	AUC = 0.734
BRD4_GSM1503857	AUC = 0.733
SMAD3_GSM934615	AUC = 0.728
YAP1_GSM1614029	AUC = 0.706
TEAD4_GSM1614035	AUC = 0.704
TEAD4_GSM1084783	AUC = 0.704
BRD4_GSM1503859	AUC = 0.703
TP53_GSM545808	AUC = 0.701
SIRT1_GSM2474868	AUC = 0.700
MBD3_GSM1089819	AUC = 0.700
RXRA_GSM2877305	AUC = 0.696
JUN_GSM1700784	AUC = 0.696
JUN_GSM1848883	AUC = 0.695
TEAD4_GSM1614034	AUC = 0.692
FOSL2_ENCSR535HFQ_1	AUC = 0.691
SIRT1_GSM2474871	AUC = 0.690
WWTR1_GSM1614031	AUC = 0.689
FOSL2_ENCSR067XTW_2	AUC = 0.688
JUN_GSM1700786	AUC = 0.687
JUN_GSM1848885	AUC = 0.687
RXRA_GSM2877304	AUC = 0.687
FOSL2_ENCSR103UVU_1	AUC = 0.685
RELA_GSM2103051	AUC = 0.685
JUN_GSM1700785	AUC = 0.685
FOSL2_ENCSR593DGU_2	AUC = 0.683
SUZ12_GSM2265652	AUC = 0.683
EZH2_GSM717404	AUC = 0.682
PGBD3_GSM929914	AUC = 0.682
SMAD3_GSM934616	AUC = 0.680
FOSL2_ENCSR686HIU_2	AUC = 0.680
ATF4_GSM1684638	AUC = 0.677
WWTR1_GSM1614030	AUC = 0.676
FOSL2_ENCSR242EWU_1	AUC = 0.676
FOSL2_ENCSR593DGU_1	AUC = 0.675
TP53_GSM1133486	AUC = 0.675
FOSL2_ENCSR067XTW_3	AUC = 0.675
FOSL2_ENCSR900RUE_1	AUC = 0.675
FOSL2_ENCSR775UFR_3	AUC = 0.675
EZH2_GSM1003550	AUC = 0.675
FOSL2_ENCSR274WRI_3	AUC = 0.674
SUZ12_GSM969572	AUC = 0.674
EZH2_GSM2265655	AUC = 0.674
EZH2_GSM2265654	AUC = 0.674
SUZ12_GSM1031240	AUC = 0.673
FOSL2_ENCSR067XTW_1	AUC = 0.673
FOSL2_ENCSR330IJE_2	AUC = 0.673
SMAD4_GSM1246718	AUC = 0.672
FOSL2_ENCSR775UFR_2	AUC = 0.672
EZH2_GSM1003532	AUC = 0.672
RXRA_GSM2877302	AUC = 0.671
PRMT5_GSM1964895	AUC = 0.671
TP53_GSM1133484	AUC = 0.670
FOSL2_ENCSR900RUE_3	AUC = 0.670
FOSL2_ENCSR563GCV_2	AUC = 0.670
FOSL1_GSM2635310	AUC = 0.669
FOSL2_ENCSR111ZXV_1	AUC = 0.669
FOSL2_ENCSR242EWU_2	AUC = 0.669
TEAD1_GSM1515741	AUC = 0.668
EZH2_GSM1180162	AUC = 0.668
TP53_GSM1366695	AUC = 0.668
SMARCC1_GSM1835990	AUC = 0.668
