EZH2_GSM1003489	AUC = 0.776
EZH2_GSM1003550	AUC = 0.768
EZH2_GSM1003532	AUC = 0.762
SUZ12_GSM2409704	AUC = 0.761
EZH2_GSM1003529	AUC = 0.757
SUZ12_GSM2409698	AUC = 0.755
EZH2_GSM1180154	AUC = 0.745
EZH2_GSM1180139	AUC = 0.745
JARID2_GSM1180161	AUC = 0.742
JARID2_GSM1180148	AUC = 0.741
EZH2_GSM1003518	AUC = 0.740
EZH2_GSM1180162	AUC = 0.739
JARID2_GSM1180149	AUC = 0.739
EP300_GSM1003514	AUC = 0.736
JARID2_GSM1180157	AUC = 0.736
HNF4A_GSM1208632	AUC = 0.733
SUZ12_GSM935423	AUC = 0.732
EZH2_GSM1180166	AUC = 0.728
JARID2_GSM1180169	AUC = 0.727
EZH2_GSM1180158	AUC = 0.727
EZH2_GSM2265654	AUC = 0.725
EZH2_GSM831028	AUC = 0.723
SUZ12_GSM2705896	AUC = 0.721
SUZ12_GSM2409674	AUC = 0.721
JARID2_GSM1180153	AUC = 0.719
EZH2_GSM1003487	AUC = 0.718
SUZ12_GSM2265652	AUC = 0.717
SUZ12_GSM1842795	AUC = 0.715
HNF1B_GSM1574275	AUC = 0.714
HNF1A_GSM1982476	AUC = 0.714
EZH2_GSM2265655	AUC = 0.712
HNF1A_GSM1982474	AUC = 0.710
EZH2_GSM1003524	AUC = 0.709
HNF4A_GSM469864	AUC = 0.709
EZH2_GSM1003501	AUC = 0.709
RAD21_GSM2809610	AUC = 0.709
JMJD6_GSM1249879	AUC = 0.706
EZH2_GSM717404	AUC = 0.705
SMC3_GSM1240840	AUC = 0.704
SMC3_GSM2813841	AUC = 0.703
SUZ12_GSM1031240	AUC = 0.703
JARID2_GSM1180165	AUC = 0.696
SPI1_GSM1377535	AUC = 0.696
HNF4A_GSM469863	AUC = 0.694
SMC3_GSM2813844	AUC = 0.690
SMC3_ENCSR481YWD_2	AUC = 0.690
RAD21_GSM1239585	AUC = 0.683
RAD21_GSM1239446	AUC = 0.683
SMC3_GSM2813838	AUC = 0.683
RAD21_GSM1242270	AUC = 0.682
JMJD6_GSM1249880	AUC = 0.679
HNF4G_ENCSR297GII_2	AUC = 0.677
STAG1_GSM1239586	AUC = 0.675
STAG1_GSM1234008	AUC = 0.675
RAD21_GSM2486814	AUC = 0.675
RAD21_GSM2486813	AUC = 0.671
EZH2_GSM1180150	AUC = 0.670
RAD21_GSM2038348	AUC = 0.670
RAD21_GSM1242276	AUC = 0.669
SMC1A_GSM2493884	AUC = 0.669
SUZ12_GSM969572	AUC = 0.668
CTCF_GSM2341639	AUC = 0.667
CTCF_GSM1239390	AUC = 0.667
JARID2_GSM1180131	AUC = 0.665
RAD21_GSM1240837	AUC = 0.661
RAD21_GSM2486815	AUC = 0.661
SMC1A_GSM2247253	AUC = 0.660
RAD21_GSM1335529	AUC = 0.660
EED_GSM1427066	AUC = 0.659
SMC3_GSM2813840	AUC = 0.659
RAD21_GSM2486816	AUC = 0.655
CTCF_GSM325897	AUC = 0.655
TSC22D4_GSM2574802	AUC = 0.653
CTCF_GSM2026783	AUC = 0.653
SMC3_GSM2813837	AUC = 0.653
SMC3_GSM2813843	AUC = 0.651
CTCF_ENCSR515LRI_1	AUC = 0.650
HNF4G_ENCSR297GII_1	AUC = 0.649
HNF4A_GSM1242266	AUC = 0.648
JMJD6_GSM1249905	AUC = 0.647
CTCFL_GSM1239559	AUC = 0.647
CTCF_GSM651541	AUC = 0.647
SMC1A_GSM2493882	AUC = 0.647
CTCF_GSM1056576	AUC = 0.645
CTCF_GSM325899	AUC = 0.644
CTCF_ENCSR756KRS_1	AUC = 0.642
CTCF_GSM1007998	AUC = 0.641
SMC1A_GSM897120	AUC = 0.641
HNF1A_ENCSR800QIT_2	AUC = 0.640
MBD2_GSM1322266	AUC = 0.640
CTCF_GSM1233871	AUC = 0.640
MBD2_GSM1388122	AUC = 0.639
CTCF_GSM1354438	AUC = 0.639
CTCF_GSM2861703	AUC = 0.639
ARID3A_GSM2574781	AUC = 0.638
