KDM2B_GSM1612054	AUC = 0.821
MYC_GSM2065880	AUC = 0.813
KDM2B_GSM1612065	AUC = 0.800
KDM2B_GSM1612072	AUC = 0.800
ERG_GSM726984	AUC = 0.796
KDM2B_GSM1612048	AUC = 0.794
KDM2B_GSM1612060	AUC = 0.793
ZNF783_GSM2466659	AUC = 0.791
KDM2B_GSM1612067	AUC = 0.784
KDM2B_GSM1612069	AUC = 0.781
EP300_GSM1249890	AUC = 0.781
MYC_GSM2065885	AUC = 0.773
FLI1_GSM1122312	AUC = 0.767
RNF2_GSM2805878	AUC = 0.766
EZH1_GSM2371321	AUC = 0.766
TET3_GSM1018960	AUC = 0.765
ZBTB14_GSM2026745	AUC = 0.764
ZNF202_GSM2466493	AUC = 0.762
EZH2_GSM1003550	AUC = 0.761
PHF6_GSM1116754	AUC = 0.758
NCAPH2_GSM2571786	AUC = 0.753
SUZ12_GSM1031240	AUC = 0.752
NCAPH2_GSM2571785	AUC = 0.749
MYH11_GSM1122304	AUC = 0.749
ERCC6_GSM1405140	AUC = 0.746
EZH2_GSM2029369	AUC = 0.745
MYC_GSM2065884	AUC = 0.745
H2AZ_GSM1981416	AUC = 0.744
PCGF1_GSM1319304	AUC = 0.741
POLR2A_GSM2218636	AUC = 0.738
WDR5_GSM1717083	AUC = 0.738
EP300_GSM1003514	AUC = 0.737
ZBTB26_GSM2026873	AUC = 0.736
EZH2_GSM1003532	AUC = 0.734
SMARCA4_GSM2740926	AUC = 0.733
H2AZ_GSM2702721	AUC = 0.732
TRIM24_GSM1697903	AUC = 0.732
POLR3D_GSM2544233	AUC = 0.732
JARID2_GSM1180138	AUC = 0.732
TRIM24_GSM1697901	AUC = 0.731
SUZ12_GSM1842795	AUC = 0.730
SP1_GSM2065875	AUC = 0.730
POLR2A_GSM801061	AUC = 0.729
ESR1_GSM2125159	AUC = 0.728
CDK9_GSM1866698	AUC = 0.727
ZFX_GSM2741768	AUC = 0.727
HDAC2_GSM717400	AUC = 0.726
SMARCA4_GSM2740929	AUC = 0.724
SMARCA4_GSM2740928	AUC = 0.724
SUZ12_GSM2409704	AUC = 0.724
GATA2_GSM1122310	AUC = 0.723
POLR2A_GSM801062	AUC = 0.721
SUZ12_GSM2409698	AUC = 0.721
EZH2_GSM1180162	AUC = 0.721
ESR1_GSM2112802	AUC = 0.721
POLR2A_GSM726988	AUC = 0.719
TRIM28_GSM1866695	AUC = 0.719
EZH2_GSM1180150	AUC = 0.717
POLR2A_GSM2218638	AUC = 0.716
JARID2_GSM1180149	AUC = 0.715
ERG_GSM726985	AUC = 0.715
TRIM24_GSM1697902	AUC = 0.715
ELF1_GSM1122313	AUC = 0.715
TBP_GSM1122308	AUC = 0.714
RYBP_GSM2805870	AUC = 0.714
HDAC2_GSM2280033	AUC = 0.714
ERG_GSM585604	AUC = 0.714
H2AZ_GSM1981415	AUC = 0.713
TRIM25_GSM2098765	AUC = 0.713
EZH2_GSM1180166	AUC = 0.712
H2AZ_GSM2702723	AUC = 0.712
JARID2_GSM1180169	AUC = 0.711
ERG_GSM726982	AUC = 0.711
HDAC1_GSM717399	AUC = 0.711
EZH2_GSM1003518	AUC = 0.711
PR_GSM2112795	AUC = 0.710
EZH2_GSM1180158	AUC = 0.710
PHIP_GSM2711406	AUC = 0.710
SP1_GSM2065878	AUC = 0.710
SPI1_GSM1642765	AUC = 0.710
POLR2A_GSM1383857	AUC = 0.710
MYC_GSM1907204	AUC = 0.708
EZH2_GSM1180154	AUC = 0.708
SRF_GSM1505773	AUC = 0.708
EZH1_GSM2371322	AUC = 0.707
EZH2_GSM1180135	AUC = 0.707
SP1_GSM2026753	AUC = 0.706
BRD4_GSM1348519	AUC = 0.706
JARID2_GSM1180165	AUC = 0.706
BCOR_GSM2805866	AUC = 0.706
ZNF610_GSM2466610	AUC = 0.705
BRD4_GSM1348516	AUC = 0.705
EZH2_GSM1180129	AUC = 0.705
SOX10_GSM1517752	AUC = 0.704
TRIM25_GSM2098766	AUC = 0.704
JARID2_GSM1180157	AUC = 0.704
JARID2_GSM1180131	AUC = 0.704
SUZ12_GSM2265652	AUC = 0.704
BMI1_GSM2579121	AUC = 0.704
SPI1_GSM1122315	AUC = 0.704
ZNF282_GSM2466515	AUC = 0.703
POLR2A_GSM1415125	AUC = 0.703
BRPF3_GSM1556188	AUC = 0.703
HDAC1_GSM717398	AUC = 0.703
E2F1_GSM935366	AUC = 0.702
KDM4C_GSM1303751	AUC = 0.702
POLR2A_GSM1622634	AUC = 0.702
MED1_GSM1470017	AUC = 0.702
ZNF282_GSM2466516	AUC = 0.701
BRD4_GSM2316302	AUC = 0.701
SP1_GSM2065879	AUC = 0.701
HDAC2_GSM717401	AUC = 0.701
H2AZ_GSM2760309	AUC = 0.701
POLR2A_GSM1622635	AUC = 0.701
