EZH2_GSM1003550	AUC = 0.848
EZH2_GSM1003532	AUC = 0.830
SUZ12_GSM2409704	AUC = 0.809
EZH2_GSM2265654	AUC = 0.803
EP300_GSM1003514	AUC = 0.802
SUZ12_GSM2265652	AUC = 0.802
EZH2_GSM1003489	AUC = 0.797
SUZ12_GSM2409698	AUC = 0.794
EZH2_GSM1003518	AUC = 0.793
EZH2_GSM1003529	AUC = 0.793
EZH2_GSM2265655	AUC = 0.780
JARID2_GSM1180149	AUC = 0.773
EZH2_GSM1180139	AUC = 0.773
JARID2_GSM1180148	AUC = 0.771
EZH2_GSM1180154	AUC = 0.770
SUZ12_GSM1842795	AUC = 0.770
EZH2_GSM1180162	AUC = 0.767
SUZ12_GSM1031240	AUC = 0.759
JARID2_GSM1180161	AUC = 0.758
JARID2_GSM1180157	AUC = 0.757
SUZ12_GSM935423	AUC = 0.757
JARID2_GSM1180153	AUC = 0.756
JARID2_GSM1180169	AUC = 0.749
EZH2_GSM1180158	AUC = 0.747
EZH2_GSM1180166	AUC = 0.745
SUZ12_GSM2705896	AUC = 0.745
SUZ12_GSM2409674	AUC = 0.745
EZH2_GSM717404	AUC = 0.739
EZH2_GSM831028	AUC = 0.731
EZH2_GSM1003501	AUC = 0.717
EZH2_GSM1003524	AUC = 0.716
JARID2_GSM1180165	AUC = 0.710
EZH2_GSM1180150	AUC = 0.689
EZH2_GSM1003487	AUC = 0.686
SMC3_GSM2813841	AUC = 0.675
HNF1A_GSM1982474	AUC = 0.673
JARID2_GSM1180131	AUC = 0.672
EZH2_GSM717405	AUC = 0.665
HNF1A_GSM1982476	AUC = 0.664
EZH1_GSM2371321	AUC = 0.664
SMC3_GSM2813844	AUC = 0.663
EZH2_GSM2029369	AUC = 0.660
EED_GSM1427066	AUC = 0.658
JARID2_GSM1180138	AUC = 0.657
SUZ12_GSM969572	AUC = 0.653
RAD21_GSM1242270	AUC = 0.649
JMJD6_GSM1249879	AUC = 0.648
SMC3_GSM2813838	AUC = 0.647
ARID1A_GSM2480806	AUC = 0.647
RAD21_GSM1239585	AUC = 0.646
EZH2_GSM1180135	AUC = 0.646
HOXB13_GSM2537214	AUC = 0.645
MBD2_GSM1388122	AUC = 0.644
MBD2_GSM1322266	AUC = 0.641
RAD21_GSM2809610	AUC = 0.641
SMC3_GSM1240840	AUC = 0.641
RAD21_GSM1239446	AUC = 0.639
RAD21_GSM1242276	AUC = 0.639
HOXB13_GSM2480818	AUC = 0.637
HOXB13_GSM2480819	AUC = 0.635
EZH2_GSM1508941	AUC = 0.634
HOXB13_GSM2537215	AUC = 0.632
AR_GSM2716917	AUC = 0.631
AR_GSM1236922	AUC = 0.631
STAG1_GSM1239586	AUC = 0.631
SMC1A_GSM2493884	AUC = 0.628
JMJD6_GSM1249880	AUC = 0.628
HOXB13_GSM2480816	AUC = 0.627
MBD2_GSM1006707	AUC = 0.627
STAG1_GSM1234008	AUC = 0.625
AR_GSM2537213	AUC = 0.625
FOXA1_GSM2537217	AUC = 0.624
ARID1A_GSM2480807	AUC = 0.624
RAD21_GSM2038348	AUC = 0.623
HNF1B_GSM1574275	AUC = 0.622
RNF2_GSM2805868	AUC = 0.622
EZH2_GSM1508944	AUC = 0.622
HOXB13_GSM2537218	AUC = 0.622
AR_GSM2480802	AUC = 0.622
AR_GSM2537212	AUC = 0.620
RAD21_GSM1240837	AUC = 0.617
HOXB13_GSM1716763	AUC = 0.616
TLE3_GSM2480824	AUC = 0.615
SMC3_GSM2813840	AUC = 0.615
SMC1A_GSM2247253	AUC = 0.615
SMC1A_GSM2493885	AUC = 0.615
AR_GSM1527023	AUC = 0.614
CTCF_GSM1239390	AUC = 0.614
GRHL2_GSM2122802	AUC = 0.614
SMC3_GSM2813837	AUC = 0.613
RAD21_GSM2486813	AUC = 0.613
CTCF_GSM1010774	AUC = 0.613
TLE3_GSM2480822	AUC = 0.613
CTCF_GSM651541	AUC = 0.612
SMC3_ENCSR481YWD_2	AUC = 0.611
RAD21_GSM2486814	AUC = 0.611
SMC3_GSM2813843	AUC = 0.610
CTCF_GSM586888	AUC = 0.610
SMC1A_GSM2493882	AUC = 0.610
FOXA1_GSM2537228	AUC = 0.609
TLE3_GSM2480823	AUC = 0.608
AR_GSM1236926	AUC = 0.607
CTCF_GSM1705262	AUC = 0.607
CTCF_GSM2341639	AUC = 0.607
CTCF_GSM2235691	AUC = 0.606
SMC1A_GSM897120	AUC = 0.606
CTCF_GSM2026783	AUC = 0.605
TLE3_GSM2480825	AUC = 0.605
CTCF_GSM1505624	AUC = 0.604
RAD21_GSM1335529	AUC = 0.604
FOXA1_GSM2480812	AUC = 0.604
AR_GSM1527026	AUC = 0.602
AR_GSM2393841	AUC = 0.602
CTCF_GSM2235690	AUC = 0.602
CTCF_GSM2861703	AUC = 0.602
KDM2B_GSM2805875	AUC = 0.602
CTCF_GSM2235693	AUC = 0.602
CTCF_GSM1705263	AUC = 0.602
FOXA1_GSM2480814	AUC = 0.601
SMC3_GSM897119	AUC = 0.601
GRHL2_GSM2122803	AUC = 0.601
AR_GSM1410787	AUC = 0.601
CTCF_GSM2316305	AUC = 0.600
FOXA1_GSM2277151	AUC = 0.600
AR_GSM2058893	AUC = 0.599
AR_GSM1071291	AUC = 0.599
GATA2_GSM941194	AUC = 0.599
HOXB13_GSM1716764	AUC = 0.599
HNF4A_GSM1208632	AUC = 0.598
RAD21_GSM2486815	AUC = 0.598
EZH2_GSM1427070	AUC = 0.598
FOXA1_GSM2480813	AUC = 0.598
CTCF_GSM325897	AUC = 0.597
CTCF_GSM646373	AUC = 0.597
CTCF_GSM1910998	AUC = 0.597
CTCF_GSM1354438	AUC = 0.597
CTCF_GSM2235692	AUC = 0.596
AR_GSM2716919	AUC = 0.596
CTCF_GSM1056577	AUC = 0.596
AR_GSM1207907	AUC = 0.596
CTCF_GSM325899	AUC = 0.596
FOXM1_GSM1876187	AUC = 0.595
ESR1_GSM2144754	AUC = 0.595
FOXA1_GSM2219862	AUC = 0.595
CTCF_GSM1939276	AUC = 0.594
CTCF_GSM1910997	AUC = 0.594
EZH2_GSM1427074	AUC = 0.593
SMC1A_GSM2247254	AUC = 0.593
CTCF_GSM2599084	AUC = 0.593
NUP98-HOXA9_GSM1529673	AUC = 0.593
CTCF_GSM534485	AUC = 0.592
CTCF_GSM2439226	AUC = 0.592
HNF4G_GSM2277157	AUC = 0.592
AR_GSM2716923	AUC = 0.592
JMJD6_GSM1249905	AUC = 0.592
JARID2_GSM1180134	AUC = 0.592
CTCF_GSM947528	AUC = 0.592
FOXA1_GSM1576451	AUC = 0.592
AR_GSM1071276	AUC = 0.592
AR_GSM1598220	AUC = 0.591
SMC1A_GSM2040030	AUC = 0.591
AR_GSM1358408	AUC = 0.591
BMI1_GSM838673	AUC = 0.591
PIAS1_GSM2219869	AUC = 0.591
RYBP_GSM855008	AUC = 0.590
CTCF_GSM2316308	AUC = 0.590
CTCF_GSM782156	AUC = 0.590
CTCF_GSM1239588	AUC = 0.590
FOXA1_GSM984391	AUC = 0.590
ZNF654_ENCSR504VDV_2	AUC = 0.590
CTCF_GSM749711	AUC = 0.589
CTCF_GSM2572335	AUC = 0.589
CTCF_GSM749680	AUC = 0.589
AR_GSM2219855	AUC = 0.589
FOXA1_GSM759661	AUC = 0.589
GATA2_GSM1691158	AUC = 0.588
AR_GSM2219853	AUC = 0.588
CTCF_GSM947527	AUC = 0.588
RAD21_GSM935319	AUC = 0.588
AR_GSM1358400	AUC = 0.588
CTCF_GSM1022661	AUC = 0.588
ZNF654_ENCSR504VDV_1	AUC = 0.588
SRF_GSM1505776	AUC = 0.588
EZH2_GSM1385748	AUC = 0.588
CTCF_GSM2747724	AUC = 0.587
RNF2_GSM585229	AUC = 0.587
EP300_GSM447587	AUC = 0.587
CTCF_GSM1240827	AUC = 0.587
STAG1_GSM1234059	AUC = 0.587
CTCF_GSM2599086	AUC = 0.587
AR_GSM1207915	AUC = 0.587
AR_GSM2058894	AUC = 0.587
CTCF_GSM2493880	AUC = 0.587
CTCFL_GSM1239559	AUC = 0.587
CTCF_GSM1647363	AUC = 0.587
CTCF_GSM782158	AUC = 0.587
CTCF_GSM2870996	AUC = 0.587
CTCF_GSM1224657	AUC = 0.587
SMC1A_GSM2040042	AUC = 0.586
FOXA1_GSM2058886	AUC = 0.586
HNF4A_GSM469864	AUC = 0.586
FOXA1_GSM759662	AUC = 0.586
RAD21_GSM2486816	AUC = 0.586
FOXA1_GSM699635	AUC = 0.586
CTCF_GSM1233871	AUC = 0.586
CTCF_GSM614636	AUC = 0.586
AR_GSM817353	AUC = 0.585
PIAS1_GSM2219873	AUC = 0.585
CTCF_GSM586887	AUC = 0.585
AR_GSM2219854	AUC = 0.585
AR_GSM1358396	AUC = 0.585
AR_GSM1207908	AUC = 0.585
CTCF_GSM2316303	AUC = 0.585
AR_GSM1598222	AUC = 0.585
AR_GSM2393839	AUC = 0.585
CTCF_GSM1817662	AUC = 0.585
AR_GSM2393843	AUC = 0.584
AR_GSM1527025	AUC = 0.584
NR5A2_GSM1143122	AUC = 0.584
FOXA1_GSM1410776	AUC = 0.584
AR_GSM2393829	AUC = 0.584
CTCF_GSM1056576	AUC = 0.584
CTCF_GSM803348	AUC = 0.584
AR_GSM2219852	AUC = 0.584
AR_GSM817351	AUC = 0.584
CTCF_GSM1224652	AUC = 0.583
FOXA1_GSM2537216	AUC = 0.583
CTCF_GSM1505623	AUC = 0.583
AR_GSM1071281	AUC = 0.583
NR3C1_GSM980655	AUC = 0.583
AR_GSM1358398	AUC = 0.583
ESR1_GSM2467305	AUC = 0.582
CTCF_GSM1463918	AUC = 0.582
CTCF_GSM2493879	AUC = 0.582
PIAS1_GSM1354833	AUC = 0.582
CTCF_GSM1505625	AUC = 0.582
AR_GSM817352	AUC = 0.582
CTCF_GSM2493878	AUC = 0.581
CTCF_GSM749726	AUC = 0.581
AR_GSM817350	AUC = 0.581
FOXA1_GSM1863005	AUC = 0.581
GATA2_GSM1691143	AUC = 0.581
CTCF_GSM1007998	AUC = 0.580
FOXA1_GSM699634	AUC = 0.580
CTCF_GSM2493881	AUC = 0.580
AR_GSM980663	AUC = 0.580
HOXB13_GSM2537232	AUC = 0.580
AR_GSM817348	AUC = 0.580
CTCF_GSM2572332	AUC = 0.580
CTCF_GSM2316306	AUC = 0.580
SMC3_ENCSR481YWD_1	AUC = 0.580
CTCF_GSM646315	AUC = 0.580
CTCF_GSM2599088	AUC = 0.579
CTCF_GSM2038347	AUC = 0.579
HNF4A_GSM469863	AUC = 0.579
CTCF_GSM1354439	AUC = 0.579
AR_GSM1069682	AUC = 0.579
CTCF_GSM1007997	AUC = 0.579
CTCF_GSM2809614	AUC = 0.578
CTCF_ENCSR549WAU_1	AUC = 0.578
CTCF_GSM2316307	AUC = 0.578
HOXB13_GSM2537234	AUC = 0.578
AR_GSM1207911	AUC = 0.578
ESR1_GSM2670862	AUC = 0.577
NR3C1_GSM1858631	AUC = 0.577
HOXB13_GSM2537233	AUC = 0.577
CTCF_GSM2439225	AUC = 0.577
AR_GSM2186465	AUC = 0.577
AR_GSM2186466	AUC = 0.577
CTCF_GSM1022666	AUC = 0.577
SMARCA4_GSM2480811	AUC = 0.577
TCF4_GSM791409	AUC = 0.577
FOXA1_GSM353630	AUC = 0.577
SMC1A_GSM2040026	AUC = 0.577
AR_GSM1207912	AUC = 0.577
AR_GSM1207891	AUC = 0.577
FOXA1_GSM2219865	AUC = 0.577
AR_GSM1069669	AUC = 0.576
HOXB13_GSM2537235	AUC = 0.576
FOXA1_GSM2277150	AUC = 0.576
AR_GSM1069681	AUC = 0.576
CDX2_GSM743039	AUC = 0.576
BMI1_GSM838671	AUC = 0.576
CTCF_GSM1022665	AUC = 0.576
CTCF_GSM2572338	AUC = 0.576
CTCF_GSM749736	AUC = 0.576
SOX2_GSM456570	AUC = 0.576
AR_GSM817349	AUC = 0.576
NR3C1_GSM759669	AUC = 0.576
AR_GSM2186464	AUC = 0.575
CTCF_ENCSR515LRI_1	AUC = 0.575
FOXA1_GSM2058892	AUC = 0.575
FOXA1_GSM1274873	AUC = 0.575
CTCF_GSM1006887	AUC = 0.575
CTCF_GSM1022669	AUC = 0.575
PIAS1_GSM2219870	AUC = 0.575
PIAS1_GSM1622631	AUC = 0.575
CTCF_GSM1022637	AUC = 0.575
FOXA1_GSM759663	AUC = 0.575
ESR1_GSM798400	AUC = 0.575
CTCF_GSM1022668	AUC = 0.575
NKX3-1_GSM699633	AUC = 0.575
CTCF_GSM2316304	AUC = 0.575
AR_GSM1358407	AUC = 0.575
FOXA1_GSM1410789	AUC = 0.574
AR_GSM1071293	AUC = 0.574
GATA2_GSM1691145	AUC = 0.574
