CEBPB_GSM2592799	AUC = 0.758
SPI1_GSM2804465	AUC = 0.748
SPI1_GSM2695652	AUC = 0.741
CEBPB_GSM2592800	AUC = 0.739
SPI1_GSM2695653	AUC = 0.729
CEBPB_GSM2804467	AUC = 0.726
EP300_GSM1290184	AUC = 0.726
LYL1_GSM1901548	AUC = 0.723
CEBPB_GSM2592797	AUC = 0.714
LYL1_GSM1901545	AUC = 0.713
EP300_GSM1290175	AUC = 0.711
LYL1_GSM1901550	AUC = 0.711
EP300_GSM1290183	AUC = 0.705
CEBPA_GSM1501163	AUC = 0.701
SPI1_GSM2592807	AUC = 0.700
CEBPB_GSM2804466	AUC = 0.696
GLI2_GSM2661795	AUC = 0.696
LMO2_GSM1082311	AUC = 0.692
SPI1_GSM1333967	AUC = 0.690
EP300_GSM1333961	AUC = 0.689
GLI2_GSM2661793	AUC = 0.689
FLI1_GSM863152	AUC = 0.688
GRIP1_GSM2661799	AUC = 0.687
RUNX1T1_GSM1113430	AUC = 0.686
RELA_GSM486307	AUC = 0.686
EP300_GSM1290174	AUC = 0.684
SIRT1_GSM2474868	AUC = 0.683
DNMT3B_GSM2642523	AUC = 0.682
RUNX1_GSM1113438	AUC = 0.679
RUNX1T1_GSM585588	AUC = 0.679
ZBTB16_GSM2947310	AUC = 0.677
FOXO1_GSM1668935	AUC = 0.675
DNMT3B_GSM2642524	AUC = 0.674
LYL1_GSM1901542	AUC = 0.673
RELA_GSM486316	AUC = 0.670
EP300_GSM1333960	AUC = 0.668
EP300_GSM1703917	AUC = 0.666
RUNX1_GSM1632640	AUC = 0.666
CD74_GSM2356333	AUC = 0.664
RUNX1_GSM1113437	AUC = 0.663
CEBPB_GSM2871156	AUC = 0.660
ZBTB16_GSM2947311	AUC = 0.660
SKI_GSM2871153	AUC = 0.660
RUNX1_GSM722706	AUC = 0.659
EP300_GSM971334	AUC = 0.657
RBPJ_GSM1958041	AUC = 0.655
RUNX1_GSM2871154	AUC = 0.655
FOXO1_GSM1668936	AUC = 0.654
CD74_GSM2356332	AUC = 0.651
RBPJ_GSM729853	AUC = 0.650
IKZF1_GSM935442	AUC = 0.649
JUND_GSM754331	AUC = 0.648
JUND_GSM935541	AUC = 0.648
MEF2B_GSM1703892	AUC = 0.648
MEF2B_GSM1703891	AUC = 0.648
TCF4_GSM1072711	AUC = 0.648
CEBPB_GSM785502	AUC = 0.648
RUNX1_GSM2150334	AUC = 0.647
EBNA3_GSM1153766	AUC = 0.647
MEF2B_GSM1703929	AUC = 0.646
JMJD1C_GSM1901549	AUC = 0.642
SPI1_GSM1334008	AUC = 0.642
EP300_GSM749524	AUC = 0.642
PPARG_GSM624141	AUC = 0.642
SPI1_GSM638311	AUC = 0.641
SPI1_GSM1370288	AUC = 0.639
TAL1_GSM722165	AUC = 0.639
RUNX1T1_GSM1113429	AUC = 0.639
RXRG_GSM468181	AUC = 0.638
RELA_GSM486271	AUC = 0.638
RUNX1_GSM722705	AUC = 0.637
CEBPA_GSM722424	AUC = 0.637
SMAD1_GSM722425	AUC = 0.637
SIRT1_GSM2474871	AUC = 0.636
TSC22D4_GSM2574798	AUC = 0.634
SPI1_GSM638310	AUC = 0.634
MED12_GSM1970176	AUC = 0.633
LYL1_GSM1480747	AUC = 0.632
EP300_GSM1333965	AUC = 0.632
LMO2_GSM1480745	AUC = 0.632
BACH2_GSM2738059	AUC = 0.631
PML_GSM468210	AUC = 0.631
