EZH2_GSM1003550	AUC = 0.823
SUZ12_GSM2409704	AUC = 0.816
EZH2_GSM1003532	AUC = 0.814
SUZ12_GSM2409698	AUC = 0.806
EZH2_GSM1003489	AUC = 0.805
JARID2_GSM1180149	AUC = 0.798
JARID2_GSM1180148	AUC = 0.795
EZH2_GSM1180154	AUC = 0.794
EZH2_GSM1180139	AUC = 0.790
SUZ12_GSM1842795	AUC = 0.787
EP300_GSM1003514	AUC = 0.787
EZH2_GSM2265654	AUC = 0.786
EZH2_GSM1003529	AUC = 0.784
SUZ12_GSM2265652	AUC = 0.782
JARID2_GSM1180153	AUC = 0.781
EZH2_GSM1180162	AUC = 0.781
JARID2_GSM1180161	AUC = 0.781
JARID2_GSM1180157	AUC = 0.780
JARID2_GSM1180169	AUC = 0.768
EZH2_GSM1180158	AUC = 0.768
SUZ12_GSM935423	AUC = 0.767
EZH2_GSM2265655	AUC = 0.766
EZH2_GSM1003518	AUC = 0.762
EZH2_GSM1180166	AUC = 0.761
SUZ12_GSM2409674	AUC = 0.757
EZH2_GSM831028	AUC = 0.755
SUZ12_GSM1031240	AUC = 0.752
EZH2_GSM717404	AUC = 0.746
SUZ12_GSM2705896	AUC = 0.742
EZH2_GSM1003524	AUC = 0.735
JARID2_GSM1180165	AUC = 0.734
EZH2_GSM1003501	AUC = 0.728
EZH2_GSM1180150	AUC = 0.704
EZH2_GSM1003487	AUC = 0.702
MBD2_GSM1388122	AUC = 0.693
JARID2_GSM1180131	AUC = 0.689
MBD2_GSM1322266	AUC = 0.685
JARID2_GSM1180138	AUC = 0.676
SUZ12_GSM969572	AUC = 0.675
EZH2_GSM2029369	AUC = 0.671
SMC3_GSM2813841	AUC = 0.670
JMJD6_GSM1249879	AUC = 0.664
EZH1_GSM2371321	AUC = 0.664
EZH2_GSM717405	AUC = 0.663
EED_GSM1427066	AUC = 0.661
SMC3_GSM2813844	AUC = 0.659
EZH2_GSM1180135	AUC = 0.659
SMC3_GSM1240840	AUC = 0.655
RAD21_GSM2809610	AUC = 0.654
RNF2_GSM2805868	AUC = 0.649
SMC3_GSM2813838	AUC = 0.645
RAD21_GSM1242270	AUC = 0.645
MBD2_GSM1006707	AUC = 0.643
RAD21_GSM1239446	AUC = 0.642
SMC1A_GSM2247253	AUC = 0.640
JMJD6_GSM1249880	AUC = 0.640
SMC1A_GSM2493884	AUC = 0.637
EZH2_GSM1508941	AUC = 0.637
RAD21_GSM1239585	AUC = 0.637
RAD21_GSM2486813	AUC = 0.636
STAG1_GSM1234008	AUC = 0.636
RAD21_GSM2038348	AUC = 0.633
RAD21_GSM2486814	AUC = 0.633
STAG1_GSM1239586	AUC = 0.630
RAD21_GSM1242276	AUC = 0.629
EZH2_GSM1508944	AUC = 0.621
RAD21_GSM2486815	AUC = 0.621
EZH2_GSM1427070	AUC = 0.620
SMC3_ENCSR481YWD_2	AUC = 0.619
RAD21_GSM1240837	AUC = 0.619
CTCF_GSM1239390	AUC = 0.618
SMC1A_GSM2493882	AUC = 0.617
RAD21_GSM1335529	AUC = 0.616
CTCF_GSM2341639	AUC = 0.616
SMC1A_GSM897120	AUC = 0.616
SMC3_GSM2813840	AUC = 0.615
SMC1A_GSM2247254	AUC = 0.615
RNF2_GSM585229	AUC = 0.614
EZH2_GSM1427074	AUC = 0.613
CTCF_GSM2026783	AUC = 0.613
SMC3_GSM2813837	AUC = 0.613
RAD21_GSM2486816	AUC = 0.612
CTCF_GSM651541	AUC = 0.612
SMC1A_GSM2493885	AUC = 0.611
CTCF_GSM2316305	AUC = 0.609
SMC3_GSM2813843	AUC = 0.609
CTCF_GSM325897	AUC = 0.609
SMC3_GSM897119	AUC = 0.608
JMJD6_GSM1249905	AUC = 0.607
CTCF_GSM586888	AUC = 0.606
CTCF_GSM2861703	AUC = 0.605
CTCF_GSM325899	AUC = 0.605
CTCF_ENCSR515LRI_1	AUC = 0.604
CTCF_GSM1010774	AUC = 0.603
JARID2_GSM1180134	AUC = 0.602
CTCF_GSM1056576	AUC = 0.602
CTCF_GSM1056577	AUC = 0.602
CTCF_GSM1705262	AUC = 0.600
CTCF_GSM1233871	AUC = 0.598
KDM2B_GSM2805875	AUC = 0.597
CTCFL_GSM1239559	AUC = 0.597
EZH2_GSM1385748	AUC = 0.596
CTCF_ENCSR038FOS_1	AUC = 0.596
CTCF_ENCSR756KRS_1	AUC = 0.596
CTCF_GSM1939276	AUC = 0.595
CTCF_GSM1705263	AUC = 0.595
CTCF_GSM1354438	AUC = 0.595
RNF2_GSM2805878	AUC = 0.595
CTCF_GSM749680	AUC = 0.595
CTCF_GSM2316308	AUC = 0.594
CTCF_GSM782156	AUC = 0.594
CTCF_GSM749711	AUC = 0.593
CTCF_GSM1505624	AUC = 0.593
CTCF_GSM1224657	AUC = 0.593
SPI1_GSM1377535	AUC = 0.592
NR2F2_ENCSR168SMX_1	AUC = 0.591
CTCF_GSM2316303	AUC = 0.591
CTCF_GSM1007998	AUC = 0.591
BMI1_GSM838671	AUC = 0.590
CTCF_GSM1007997	AUC = 0.589
CTCF_ENCSR323POR_1	AUC = 0.589
STAG1_GSM1234059	AUC = 0.588
CTCF_GSM2235691	AUC = 0.588
CTCF_GSM782158	AUC = 0.588
CTCF_GSM1022634	AUC = 0.587
RAD21_GSM935319	AUC = 0.587
CTCF_ENCSR341VKC_1	AUC = 0.587
CTCF_GSM1910998	AUC = 0.586
BMI1_GSM838673	AUC = 0.586
CTCF_GSM1647363	AUC = 0.586
CTCF_GSM2439226	AUC = 0.586
CTCF_GSM646373	AUC = 0.586
CTCF_GSM1505623	AUC = 0.586
CTCF_ENCSR549WAU_1	AUC = 0.585
MAML3_GSM1693097	AUC = 0.585
CTCF_GSM1505625	AUC = 0.585
SMC1A_GSM2592813	AUC = 0.585
CTCF_GSM534485	AUC = 0.585
CTCF_GSM1022661	AUC = 0.585
CTCF_GSM2235693	AUC = 0.585
CTCF_GSM2235690	AUC = 0.584
CTCF_GSM2316306	AUC = 0.584
EZH2_GSM1003522	AUC = 0.584
MAML3_GSM1693098	AUC = 0.584
CTCF_GSM1240827	AUC = 0.584
CTCF_GSM1239588	AUC = 0.584
CTCF_GSM2572335	AUC = 0.584
EP300_GSM1831049	AUC = 0.583
HAND2_GSM2664371	AUC = 0.583
MAML3_GSM1693100	AUC = 0.583
CTCF_GSM1910997	AUC = 0.583
CTCF_GSM2572332	AUC = 0.583
SRF_GSM1505776	AUC = 0.582
POLR3D_GSM1160644	AUC = 0.582
CTCF_GSM646315	AUC = 0.582
CTCF_GSM2599084	AUC = 0.581
CTCF_GSM749736	AUC = 0.581
RYBP_GSM855008	AUC = 0.581
CTCF_GSM2809614	AUC = 0.581
CTCF_GSM2316307	AUC = 0.580
CTCF_GSM2316304	AUC = 0.580
SMC1A_GSM2040030	AUC = 0.580
CTCF_GSM1354439	AUC = 0.579
MAML3_GSM1693099	AUC = 0.579
HNF4G_ENCSR297GII_2	AUC = 0.579
RNF2_GSM850474	AUC = 0.579
CTCF_GSM646474	AUC = 0.579
KDM3B_GSM1847179	AUC = 0.579
CTCF_GSM2235692	AUC = 0.578
CTCF_GSM2870996	AUC = 0.578
CTCF_GSM2439225	AUC = 0.578
CTCF_GSM1224652	AUC = 0.577
TCF4_GSM2545828	AUC = 0.577
CTCF_GSM1505621	AUC = 0.577
CTCF_GSM1224672	AUC = 0.577
ZNF654_ENCSR504VDV_2	AUC = 0.576
ZNF654_ENCSR504VDV_1	AUC = 0.576
CTCF_GSM1022637	AUC = 0.576
