SPI1_GSM2804465	AUC = 0.756
SPI1_GSM2695652	AUC = 0.747
CEBPB_GSM2592799	AUC = 0.742
SPI1_GSM2695653	AUC = 0.742
CEBPB_GSM2592800	AUC = 0.741
FOSL2_ENCSR775UFR_3	AUC = 0.736
FOSL2_ENCSR067XTW_2	AUC = 0.731
FOSL2_ENCSR535HFQ_1	AUC = 0.730
FOSL2_ENCSR274WRI_3	AUC = 0.725
FOSL2_ENCSR103UVU_1	AUC = 0.723
FOSL2_ENCSR593DGU_2	AUC = 0.723
CEBPB_GSM2804467	AUC = 0.722
FOSL2_ENCSR330IJE_2	AUC = 0.719
FOSL2_ENCSR593DGU_1	AUC = 0.718
FOSL2_ENCSR274WRI_2	AUC = 0.718
FOSL2_ENCSR775UFR_1	AUC = 0.716
EZH2_GSM1003550	AUC = 0.715
FOSL2_ENCSR900RUE_1	AUC = 0.714
FOSL2_ENCSR067XTW_3	AUC = 0.712
SPI1_GSM2592807	AUC = 0.712
CEBPB_GSM2592797	AUC = 0.712
FOSL2_ENCSR775UFR_2	AUC = 0.712
EP300_ENCSR686BQM_2	AUC = 0.712
FOSL2_ENCSR242EWU_1	AUC = 0.710
FOSL2_ENCSR686HIU_2	AUC = 0.710
FOSL2_ENCSR067XTW_1	AUC = 0.709
FOSL2_ENCSR563GCV_2	AUC = 0.709
FOSL2_ENCSR686HIU_1	AUC = 0.709
FOSL2_ENCSR242EWU_2	AUC = 0.707
FOSL2_ENCSR900RUE_3	AUC = 0.706
EZH2_GSM1003532	AUC = 0.704
FOSL2_ENCSR111ZXV_1	AUC = 0.703
FOSL2_ENCSR563GCV_1	AUC = 0.702
FOSL2_ENCSR111ZXV_2	AUC = 0.701
SUZ12_GSM2265652	AUC = 0.700
FOSL2_ENCSR330IJE_1	AUC = 0.700
FOSL2_ENCSR535HFQ_3	AUC = 0.698
FOSL2_ENCSR111ZXV_3	AUC = 0.697
CEBPB_GSM2804466	AUC = 0.696
EZH2_GSM1003518	AUC = 0.695
EZH2_GSM1003529	AUC = 0.695
PPARG_GSM624141	AUC = 0.694
EZH2_GSM2265654	AUC = 0.694
EZH2_GSM1003489	AUC = 0.693
EZH2_GSM717404	AUC = 0.691
FOSL2_ENCSR900RUE_2	AUC = 0.691
FOSL2_ENCSR242EWU_3	AUC = 0.690
FOSL2_ENCSR563GCV_3	AUC = 0.690
SUZ12_GSM2409704	AUC = 0.689
EZH2_GSM1180162	AUC = 0.689
SUZ12_GSM1842795	AUC = 0.688
FOSL1_GSM2501565	AUC = 0.688
HES2_ENCSR979IOT_2	AUC = 0.687
FOSL2_ENCSR103UVU_2	AUC = 0.685
EP300_ENCSR686BQM_3	AUC = 0.685
FOSL2_ENCSR535HFQ_2	AUC = 0.685
