SUZ12_GSM2265652	AUC = 0.778
EZH2_GSM2265654	AUC = 0.767
EZH2_GSM2265655	AUC = 0.767
EZH2_GSM1003550	AUC = 0.757
EZH2_GSM1003532	AUC = 0.746
EZH2_GSM1003489	AUC = 0.745
EZH2_GSM717404	AUC = 0.734
EZH2_GSM1003529	AUC = 0.734
SUZ12_GSM2409704	AUC = 0.732
EZH2_GSM1003518	AUC = 0.723
SUZ12_GSM935423	AUC = 0.719
EP300_GSM1003514	AUC = 0.719
JARID2_GSM1180149	AUC = 0.714
JARID2_GSM1180148	AUC = 0.714
EZH2_GSM1180162	AUC = 0.713
SUZ12_GSM1031240	AUC = 0.713
SUZ12_GSM2409698	AUC = 0.711
EZH2_GSM1180139	AUC = 0.710
SUZ12_GSM1842795	AUC = 0.708
EZH2_GSM1003501	AUC = 0.703
JARID2_GSM1180153	AUC = 0.702
EZH2_GSM1180154	AUC = 0.699
SUZ12_GSM2705896	AUC = 0.697
JARID2_GSM1180161	AUC = 0.696
JARID2_GSM1180157	AUC = 0.694
JMJD6_GSM1249879	AUC = 0.692
JARID2_GSM1180169	AUC = 0.691
EZH2_GSM831028	AUC = 0.688
SUZ12_GSM969572	AUC = 0.686
SMAD3_GSM1949005	AUC = 0.686
SUZ12_GSM2409674	AUC = 0.684
EZH2_GSM1180158	AUC = 0.683
EZH2_GSM1180166	AUC = 0.681
SIRT1_GSM2474871	AUC = 0.675
ASCL1_GSM1499404	AUC = 0.674
SIRT1_GSM2474868	AUC = 0.671
SUZ12_GSM935352	AUC = 0.669
EZH2_GSM1003524	AUC = 0.668
ASCL1_GSM1700637	AUC = 0.667
EZH2_GSM1003487	AUC = 0.665
ASCL1_GSM1499401	AUC = 0.665
JARID2_GSM1180165	AUC = 0.663
CTCF_GSM1647363	AUC = 0.663
SMC3_GSM2813841	AUC = 0.662
RNF2_GSM585229	AUC = 0.660
EZH2_GSM1385748	AUC = 0.657
EZH2_GSM2029369	AUC = 0.657
KDM2B_GSM2805875	AUC = 0.656
SMAD3_GSM1949009	AUC = 0.652
SMAD3_GSM1949007	AUC = 0.651
EZH1_GSM2371321	AUC = 0.649
ASCL1_GSM1700638	AUC = 0.647
EZH2_GSM1180150	AUC = 0.646
JMJD6_GSM1249880	AUC = 0.646
JARID2_GSM1180131	AUC = 0.646
ASCL1_GSM1499403	AUC = 0.646
RAD21_GSM2809610	AUC = 0.645
ASCL1_GSM1499400	AUC = 0.644
EED_GSM1427066	AUC = 0.643
EZH2_GSM1427070	AUC = 0.642
MBD2_GSM1388122	AUC = 0.641
SIRT1_GSM2474870	AUC = 0.641
MBD2_GSM1322266	AUC = 0.641
CTCF_GSM325897	AUC = 0.639
SMC3_GSM1240840	AUC = 0.638
SMC3_GSM2813844	AUC = 0.638
JMJD6_GSM1249905	AUC = 0.637
MBD2_GSM1006707	AUC = 0.636
CTCF_GSM2026783	AUC = 0.636
EZH2_GSM1427074	AUC = 0.633
SOX2_GSM1139041	AUC = 0.633
EZH2_GSM717405	AUC = 0.633
SMC1A_GSM2247253	AUC = 0.633
SOX2_GSM1505764	AUC = 0.632
SMAD3_GSM897116	AUC = 0.629
SMC3_GSM2813838	AUC = 0.628
SMAD3_GSM1949011	AUC = 0.628
JARID2_GSM1180138	AUC = 0.628
TEAD4_GSM2635693	AUC = 0.627
SMC1A_GSM897120	AUC = 0.627
EP300_GSM2550188	AUC = 0.627
CTCF_GSM2572332	AUC = 0.626
SOX2_GSM1505768	AUC = 0.625
RNF2_GSM585230	AUC = 0.624
SOX2_GSM1124068	AUC = 0.624
EZH2_GSM1180135	AUC = 0.623
RNF2_GSM2805868	AUC = 0.623
BRDU_GSM922795	AUC = 0.623
CTCF_GSM325899	AUC = 0.622
ZNF649_GSM2466622	AUC = 0.620
TET2_GSM2274677	AUC = 0.619
CTCF_GSM1233871	AUC = 0.619
BRDU_GSM922793	AUC = 0.619
EP300_GSM447587	AUC = 0.618
DROSHA_ENCSR316JQA_2	AUC = 0.617
CTCF_GSM1224657	AUC = 0.617
CRY1_GSM1081129	AUC = 0.616
BRDU_GSM922794	AUC = 0.616
CTCFL_GSM1239559	AUC = 0.616
SUMO1_GSM1012768	AUC = 0.615
BRDU_GSM922798	AUC = 0.615
ZNF175_ENCSR103GAK_1	AUC = 0.614
ASCL1_GSM1499407	AUC = 0.613
SMC1A_GSM2247254	AUC = 0.613
ASCL1_GSM1975006	AUC = 0.612
RAD21_GSM2759387	AUC = 0.612
YBX1_ENCSR864KNH_1	AUC = 0.612
EZH2_GSM1003576	AUC = 0.612
RNF2_GSM585232	AUC = 0.611
SMAD3_GSM897117	AUC = 0.611
SMC1A_GSM2493884	AUC = 0.610
ASCL1_GSM1700639	AUC = 0.610
CTCF_GSM1354438	AUC = 0.610
SUMO1_GSM1012764	AUC = 0.610
RAD21_GSM1239446	AUC = 0.608
FOXK1_GSM956689	AUC = 0.608
REST_GSM1240838	AUC = 0.608
ASCL1_GSM1499405	AUC = 0.607
POLR3D_GSM1160644	AUC = 0.607
NFE2L1_ENCSR632SHZ_1	AUC = 0.607
RYBP_GSM855008	AUC = 0.607
TCF4_GSM460124	AUC = 0.606
CTCF_GSM2341639	AUC = 0.606
SRF_GSM1505777	AUC = 0.606
NFE2_ENCSR552YGL_1	AUC = 0.606
BRDU_GSM922792	AUC = 0.606
JARID2_GSM1180134	AUC = 0.606
KDM4A_GSM2498494	AUC = 0.606
RAD21_GSM2038348	AUC = 0.605
BRDU_GSM922796	AUC = 0.605
BCL11A_GSM803476	AUC = 0.604
CTCF_GSM2026781	AUC = 0.604
EZH2_GSM1385750	AUC = 0.604
SMC1A_GSM2493882	AUC = 0.604
CTCF_GSM1505623	AUC = 0.604
REST_GSM1290153	AUC = 0.604
ZNF436_GSM2026865	AUC = 0.604
SMC3_GSM897119	AUC = 0.603
SRF_GSM1505778	AUC = 0.603
HCFC1R1_GSM2677682	AUC = 0.603
SMC3_ENCSR481YWD_2	AUC = 0.603
RAD21_GSM1242270	AUC = 0.603
CDCA2_GSM2226138	AUC = 0.603
CTCF_GSM1939276	AUC = 0.603
RNF2_GSM585231	AUC = 0.603
EZH2_GSM1508944	AUC = 0.603
CTCF_GSM1505625	AUC = 0.602
CTCF_GSM2316308	AUC = 0.602
CTCF_GSM2572338	AUC = 0.602
ARID1A_GSM2719737	AUC = 0.601
RAD21_GSM1335529	AUC = 0.601
SUMO1_GSM1012769	AUC = 0.601
REST_GSM1290154	AUC = 0.601
RAD21_GSM1240837	AUC = 0.601
YBX1_ENCSR864KNH_2	AUC = 0.601
CTCF_GSM1239390	AUC = 0.600
CTCF_GSM2316305	AUC = 0.600
ZBTB48_GSM2543156	AUC = 0.600
CTCF_GSM1505626	AUC = 0.600
TSC22D4_ENCSR787RVK_2	AUC = 0.600
CTCF_GSM1224672	AUC = 0.600
EP300_GSM1917726	AUC = 0.599
SFPQ_GSM1411215	AUC = 0.599
SMC3_GSM2813837	AUC = 0.599
CTCF_GSM1007998	AUC = 0.599
RUNX1_GSM2467011	AUC = 0.599
CTCF_GSM1655735	AUC = 0.599
REST_GSM1290172	AUC = 0.599
FOXK1_GSM956690	AUC = 0.599
STAG1_GSM1234008	AUC = 0.598
ZNF202_ENCSR996FYT_1	AUC = 0.598
ASCL1_GSM1499402	AUC = 0.597
RNF2_GSM850474	AUC = 0.597
ZBTB33_ENCSR541PDV_2	AUC = 0.597
ZNF175_ENCSR103GAK_2	AUC = 0.597
SETDB1_GSM2514497	AUC = 0.597
POLR3D_GSM2544234	AUC = 0.596
CTCF_GSM1022634	AUC = 0.596
SUMO1_GSM1012766	AUC = 0.596
SMC3_GSM2813840	AUC = 0.596
TSC22D4_ENCSR787RVK_1	AUC = 0.596
SSRP1_GSM1103547	AUC = 0.596
ZNF2_GSM2466522	AUC = 0.595
CTCF_GSM1354439	AUC = 0.595
ATF7IP_GSM2308950	AUC = 0.595
ZBTB48_GSM2543154	AUC = 0.595
GTF2I_GSM1539072	AUC = 0.595
SIRT1_GSM2474864	AUC = 0.595
CTCF_GSM1240827	AUC = 0.594
RAD21_GSM2486814	AUC = 0.594
ARID1A_GSM2719738	AUC = 0.594
NR3C1_GSM1516132	AUC = 0.594
CTCF_GSM782156	AUC = 0.594
REST_GSM1192175	AUC = 0.594
REST_GSM1290171	AUC = 0.594
KDM3B_GSM1847179	AUC = 0.593
EZH2_GSM1508941	AUC = 0.593
ZNF292_ENCSR228PGT_1	AUC = 0.593
DNMT3B_GSM2642524	AUC = 0.592
CTCF_GSM1056576	AUC = 0.592
POU5F1_GSM2648934	AUC = 0.592
SMAD1_GSM1505746	AUC = 0.592
GTF2I_GSM1539074	AUC = 0.592
CTCF_GSM624077	AUC = 0.592
CTCF_GSM822297	AUC = 0.592
CTCF_GSM2572335	AUC = 0.591
GTF2I_GSM1539075	AUC = 0.591
DNMT3B_GSM2642523	AUC = 0.591
GTF2I_GSM1539069	AUC = 0.591
POU5F1_GSM881710	AUC = 0.591
SMC3_GSM2813843	AUC = 0.591
ZBTB33_ENCSR541PDV_1	AUC = 0.591
CTCF_GSM1505621	AUC = 0.591
TET2_GSM1863065	AUC = 0.591
REST_GSM1192174	AUC = 0.591
SUZ12_GSM831042	AUC = 0.590
SUZ12_GSM1003573	AUC = 0.590
BCL11A_GSM803396	AUC = 0.590
GTF2I_GSM1539068	AUC = 0.590
NANOG_GSM1505702	AUC = 0.590
ZNF707_ENCSR854IPI_1	AUC = 0.590
POU5F1_GSM2648933	AUC = 0.590
CTCF_GSM2439225	AUC = 0.590
POLR3D_GSM1906351	AUC = 0.590
REST_GSM1290161	AUC = 0.589
REST_GSM1333999	AUC = 0.589
MYOG_GSM2214115	AUC = 0.589
POLR3D_GSM1906349	AUC = 0.589
RAD21_GSM2486813	AUC = 0.589
SMC1A_GSM2493885	AUC = 0.589
RAD21_GSM2486815	AUC = 0.589
BCOR_GSM2805866	AUC = 0.588
REST_GSM1290158	AUC = 0.588
BMI1_GSM2579121	AUC = 0.588
REST_GSM1240824	AUC = 0.587
CTCF_GSM782158	AUC = 0.587
CLOCK_GSM1081128	AUC = 0.587
CTCF_GSM2316303	AUC = 0.587
CTCF_GSM1007997	AUC = 0.587
BRDU_GSM922797	AUC = 0.587
TCF4_GSM1505791	AUC = 0.587
REST_GSM1290170	AUC = 0.587
GTF2I_GSM1539055	AUC = 0.587
CTCF_GSM2439226	AUC = 0.587
SUMO1_GSM1012775	AUC = 0.587
CTCF_GSM2809614	AUC = 0.586
SMARCA4_GSM1835892	AUC = 0.586
POLR3D_GSM1906345	AUC = 0.586
NEUROD1_GSM1700642	AUC = 0.586
RAD21_GSM1242276	AUC = 0.586
SMAD2_GSM2635691	AUC = 0.586
RAD21_GSM614628	AUC = 0.585
ZBTB48_GSM2543157	AUC = 0.585
RAD21_GSM2297328	AUC = 0.585
ZBTB48_GSM2543155	AUC = 0.585
CTCF_ENCSR038FOS_1	AUC = 0.585
MAX_GSM1010898	AUC = 0.585
SON_GSM2040560	AUC = 0.585
POLR3D_GSM1906352	AUC = 0.585
CTCF_GSM646354	AUC = 0.585
CTCF_GSM733645	AUC = 0.585
SUMO1_GSM1012762	AUC = 0.585
CTCF_ENCSR558HTE_1	AUC = 0.584
TET2_GSM2467009	AUC = 0.584
CTCF_GSM2316307	AUC = 0.584
SUMO1_GSM1035434	AUC = 0.584
ZNF354C_ENCSR289NSN_1	AUC = 0.584
ATF3_GSM2333815	AUC = 0.584
CTCF_GSM2439223	AUC = 0.584
CTCF_GSM1022640	AUC = 0.584
ZNF512_ENCSR591CCL_2	AUC = 0.584
CTCF_GSM1224652	AUC = 0.584
ZNF16_ENCSR093HXE_1	AUC = 0.583
RXRA_GSM803506	AUC = 0.583
REST_GSM1290165	AUC = 0.583
RAD21_GSM1239585	AUC = 0.583
RNF2_GSM2805878	AUC = 0.583
SUMO1_GSM1012765	AUC = 0.583
CTCF_GSM749680	AUC = 0.583
REST_GSM1290166	AUC = 0.583
CTCF_GSM1224674	AUC = 0.583
POU5F1_ENCSR264RJX_2	AUC = 0.582
CTCF_GSM1239588	AUC = 0.582
EED_GSM1045472	AUC = 0.582
GTF2I_GSM1539058	AUC = 0.582
RAD21_GSM935319	AUC = 0.582
MYOD1_GSM2214114	AUC = 0.582
KDM2B_GSM2805880	AUC = 0.582
CTCF_GSM2067536	AUC = 0.582
POLR3D_GSM1906350	AUC = 0.582
REST_GSM1290159	AUC = 0.582
CTCF_GSM1010774	AUC = 0.581
CTCF_GSM808752	AUC = 0.581
CTCF_GSM2861703	AUC = 0.581
SMC3_ENCSR481YWD_1	AUC = 0.581
EP300_GSM2029581	AUC = 0.581
EP300_GSM1917730	AUC = 0.581
E2F6_GSM1010899	AUC = 0.581
CTCF_GSM651541	AUC = 0.581
EP300_GSM1917728	AUC = 0.581
REST_GSM1333995	AUC = 0.581
CTCF_ENCSR515LRI_1	AUC = 0.581
REST_GSM1290149	AUC = 0.581
POLR3D_GSM1906346	AUC = 0.580
