EZH2_GSM1180154	AUC = 0.679
JARID2_GSM1180148	AUC = 0.671
JARID2_GSM1180157	AUC = 0.671
EZH2_GSM1180139	AUC = 0.670
EZH2_GSM1003489	AUC = 0.669
SPI1_GSM2695652	AUC = 0.668
JARID2_GSM1180161	AUC = 0.663
JARID2_GSM1180149	AUC = 0.659
SPI1_GSM2695653	AUC = 0.658
SPI1_GSM2804465	AUC = 0.656
EZH2_GSM1180162	AUC = 0.654
EZH2_GSM831028	AUC = 0.653
JARID2_GSM1180153	AUC = 0.652
SUZ12_GSM2409704	AUC = 0.652
CEBPB_GSM2592799	AUC = 0.652
SUZ12_GSM935423	AUC = 0.647
SUZ12_GSM2409698	AUC = 0.646
EZH2_GSM1180158	AUC = 0.645
CEBPB_GSM2592800	AUC = 0.641
JARID2_GSM1180169	AUC = 0.639
EZH2_GSM1180166	AUC = 0.639
SUZ12_GSM2409674	AUC = 0.635
EP300_GSM1831049	AUC = 0.632
EZH2_GSM1003529	AUC = 0.627
EZH2_GSM1003501	AUC = 0.626
EZH2_GSM1003532	AUC = 0.625
SPI1_GSM2592807	AUC = 0.625
EZH2_GSM1003550	AUC = 0.622
EZH2_GSM2265654	AUC = 0.622
SUZ12_GSM1842795	AUC = 0.622
EZH2_GSM717404	AUC = 0.618
CEBPB_GSM2592797	AUC = 0.615
JARID2_GSM1180165	AUC = 0.614
EZH2_GSM2265655	AUC = 0.613
SUZ12_GSM2705896	AUC = 0.612
SUZ12_GSM2265652	AUC = 0.609
EZH2_GSM1003524	AUC = 0.608
EZH2_GSM1003518	AUC = 0.604
EP300_GSM1003514	AUC = 0.603
LYL1_GSM1480747	AUC = 0.600
EZH2_GSM1003487	AUC = 0.598
GLI2_GSM2661795	AUC = 0.598
PPARG_GSM634630	AUC = 0.597
PPARG_GSM1571739	AUC = 0.597
PPARG_GSM634629	AUC = 0.595
GLI2_GSM2661793	AUC = 0.595
PPARG_GSM1020363	AUC = 0.593
LYL1_GSM1901550	AUC = 0.591
GRIP1_GSM2661799	AUC = 0.589
BRD4_GSM1709938	AUC = 0.582
MBD2_GSM1322266	AUC = 0.582
MBD2_GSM1388122	AUC = 0.581
CEBPB_GSM2804467	AUC = 0.579
LMO2_GSM1480745	AUC = 0.577
LYL1_GSM1901545	AUC = 0.575
EZH2_GSM1180150	AUC = 0.575
SMC1A_GSM2592813	AUC = 0.575
PPARG_GSM1571727	AUC = 0.575
GATA2_GSM1480746	AUC = 0.574
RAD21_GSM2486813	AUC = 0.573
SUZ12_GSM1031240	AUC = 0.573
CEBPB_GSM2804466	AUC = 0.573
BRD4_GSM1709939	AUC = 0.573
GATA4_GSM2279955	AUC = 0.572
SUZ12_GSM969572	AUC = 0.572
SPI1_GSM638311	AUC = 0.572
GATA4_GSM2279964	AUC = 0.570
SPI1_GSM785501	AUC = 0.570
TCF21_GSM1503216	AUC = 0.569
GATA4_GSM2280035	AUC = 0.569
GATA4_GSM2280012	AUC = 0.569
PPARG_GSM1571728	AUC = 0.568
SPI1_GSM638310	AUC = 0.567
GATA4_GSM2280004	AUC = 0.567
MED1_GSM2802954	AUC = 0.565
CEBPA_GSM1501163	AUC = 0.565
SMC3_GSM2813844	AUC = 0.564
