SUZ12_GSM2265652	AUC = 0.766
EZH2_GSM2265654	AUC = 0.762
EZH2_GSM1003550	AUC = 0.760
EZH2_GSM1003532	AUC = 0.754
EZH2_GSM2265655	AUC = 0.750
EZH2_GSM1003529	AUC = 0.737
EZH2_GSM1003518	AUC = 0.726
EZH2_GSM1003489	AUC = 0.719
EP300_GSM1003514	AUC = 0.717
SUZ12_GSM2409704	AUC = 0.715
SIRT1_GSM2474868	AUC = 0.705
EZH2_GSM717404	AUC = 0.702
FOSL2_ENCSR775UFR_3	AUC = 0.694
SUZ12_GSM2409698	AUC = 0.690
SIRT1_GSM2474871	AUC = 0.689
SUZ12_GSM935423	AUC = 0.689
SUZ12_GSM1842795	AUC = 0.684
SUZ12_GSM2705896	AUC = 0.683
EZH2_GSM1003501	AUC = 0.682
FOSL2_ENCSR593DGU_2	AUC = 0.681
EZH2_GSM1180139	AUC = 0.681
EP300_ENCSR686BQM_3	AUC = 0.680
EZH2_GSM1180162	AUC = 0.679
HNF4A_GSM1208632	AUC = 0.679
JARID2_GSM1180148	AUC = 0.678
FOSL2_ENCSR067XTW_2	AUC = 0.677
FOSL2_ENCSR274WRI_3	AUC = 0.675
EP300_ENCSR686BQM_2	AUC = 0.675
JMJD6_GSM1249879	AUC = 0.675
FOSL2_ENCSR330IJE_2	AUC = 0.674
JARID2_GSM1180149	AUC = 0.674
FOSL2_ENCSR535HFQ_1	AUC = 0.672
DLX2_GSM1208724	AUC = 0.672
FOSL2_ENCSR103UVU_1	AUC = 0.671
FOSL2_ENCSR593DGU_1	AUC = 0.671
FOSL2_ENCSR775UFR_2	AUC = 0.666
FOSL2_ENCSR775UFR_1	AUC = 0.665
FOSL2_ENCSR274WRI_2	AUC = 0.665
JUN_GSM2266292	AUC = 0.664
JUN_GSM2266291	AUC = 0.664
FOSL2_ENCSR686HIU_2	AUC = 0.663
HNF1B_GSM1574275	AUC = 0.662
JARID2_GSM1180161	AUC = 0.661
JARID2_GSM1180169	AUC = 0.661
SUZ12_GSM969572	AUC = 0.661
ETV4_GSM738817	AUC = 0.661
SUZ12_GSM1031240	AUC = 0.660
SMARCA4_GSM1835989	AUC = 0.660
SUZ12_GSM2409674	AUC = 0.659
EZH2_GSM1180154	AUC = 0.658
FOSL2_ENCSR067XTW_3	AUC = 0.658
SMARCC1_GSM1835990	AUC = 0.658
SMAD4_GSM1246718	AUC = 0.658
FOSL2_ENCSR900RUE_1	AUC = 0.658
EZH2_GSM831028	AUC = 0.658
