SPI1_GSM2695652	AUC = 0.731
SPI1_GSM2804465	AUC = 0.726
SPI1_GSM2695653	AUC = 0.723
CEBPB_GSM2592799	AUC = 0.707
EP300_GSM1831049	AUC = 0.705
CEBPB_GSM2592800	AUC = 0.692
SPI1_GSM2592807	AUC = 0.688
EP300_GSM971334	AUC = 0.684
EZH2_GSM1003489	AUC = 0.668
CEBPB_GSM2592797	AUC = 0.667
EZH2_GSM1180154	AUC = 0.665
SUZ12_GSM935423	AUC = 0.664
LYL1_GSM1480747	AUC = 0.664
JARID2_GSM1180148	AUC = 0.662
LYL1_GSM1901550	AUC = 0.661
EZH2_GSM1180139	AUC = 0.661
GLI2_GSM2661795	AUC = 0.660
CEBPA_GSM1501163	AUC = 0.655
LYL1_GSM1901545	AUC = 0.655
GLI2_GSM2661793	AUC = 0.653
JARID2_GSM1180157	AUC = 0.653
EZH2_GSM831028	AUC = 0.651
JARID2_GSM1180153	AUC = 0.648
JARID2_GSM1180149	AUC = 0.648
GRIP1_GSM2661799	AUC = 0.646
JARID2_GSM1180161	AUC = 0.646
EZH2_GSM1180162	AUC = 0.644
LMO2_GSM1082311	AUC = 0.643
EZH2_GSM1003501	AUC = 0.642
LYL1_GSM1901542	AUC = 0.641
CEBPB_GSM2804467	AUC = 0.639
SPI1_GSM638311	AUC = 0.637
LMO2_GSM1480745	AUC = 0.637
ZBTB16_GSM2947311	AUC = 0.635
ZBTB16_GSM2947310	AUC = 0.634
SMC1A_GSM2592813	AUC = 0.634
JARID2_GSM1180169	AUC = 0.634
GATA2_GSM1480746	AUC = 0.632
LYL1_GSM1901548	AUC = 0.631
SPI1_GSM638310	AUC = 0.631
EZH2_GSM1180158	AUC = 0.630
CEBPB_GSM2804466	AUC = 0.629
EZH2_GSM1180166	AUC = 0.628
SUZ12_GSM2409704	AUC = 0.628
SPI1_GSM1333967	AUC = 0.627
LYL1_GSM1097882	AUC = 0.626
SUZ12_GSM2409698	AUC = 0.623
EZH2_GSM1003529	AUC = 0.623
RUNX1T1_GSM1113430	AUC = 0.622
PPARG_GSM1571739	AUC = 0.622
RUNX1_GSM1113438	AUC = 0.621
EZH2_GSM1003532	AUC = 0.620
RAD21_GSM2486813	AUC = 0.618
PPARG_GSM624141	AUC = 0.618
SPI1_GSM785501	AUC = 0.618
RUNX1T1_GSM585588	AUC = 0.617
MED12_GSM1970176	AUC = 0.617
FLI1_GSM863152	AUC = 0.616
TAL1_GSM607953	AUC = 0.615
SMC3_GSM1240840	AUC = 0.614
SUZ12_GSM2705896	AUC = 0.613
SUZ12_GSM935352	AUC = 0.613
SUZ12_GSM1842795	AUC = 0.613
SIRT1_GSM2474868	AUC = 0.612
SMC3_GSM2813844	AUC = 0.611
SUZ12_GSM2409674	AUC = 0.610
EZH2_GSM1003524	AUC = 0.609
RAD21_GSM2486815	AUC = 0.609
RAD21_GSM1239585	AUC = 0.608
STAG1_GSM1234008	AUC = 0.608
CTCF_GSM1056577	AUC = 0.608
