TP63_GSM794864	AUC = 0.765
TP63_GSM1489263	AUC = 0.742
EP300_GSM1645718	AUC = 0.732
TP63_GSM1139039	AUC = 0.730
TP63_GSM1489261	AUC = 0.723
TP63_GSM794862	AUC = 0.721
SUZ12_GSM2265652	AUC = 0.721
TP63_GSM1056847	AUC = 0.719
TP63_GSM1366693	AUC = 0.719
TP63_GSM1489262	AUC = 0.719
TP63_GSM1489260	AUC = 0.718
TP63_GSM1139036	AUC = 0.718
TP63_GSM1366687	AUC = 0.717
EP300_GSM1645719	AUC = 0.716
EZH2_GSM2265654	AUC = 0.715
EZH2_GSM1003550	AUC = 0.715
TP63_GSM2350362	AUC = 0.713
TP63_GSM1139033	AUC = 0.711
TP63_GSM1645714	AUC = 0.710
TP53_GSM1366695	AUC = 0.701
TP63_GSM1366692	AUC = 0.700
TP63_GSM1366688	AUC = 0.699
TP63_GSM2074752	AUC = 0.698
TP63_GSM439777	AUC = 0.696
EZH2_GSM2265655	AUC = 0.695
TP53_GSM1366697	AUC = 0.694
EZH2_GSM1003532	AUC = 0.694
TP63_GSM1645715	AUC = 0.692
TP63_GSM1366694	AUC = 0.689
TP53_GSM545808	AUC = 0.688
TP63_GSM439776	AUC = 0.681
TP53_GSM1366691	AUC = 0.681
EZH2_GSM1003529	AUC = 0.680
TP53_GSM1366689	AUC = 0.680
EZH2_GSM1003518	AUC = 0.680
TP63_GSM1366686	AUC = 0.679
EP300_GSM1003514	AUC = 0.679
TP53_GSM1366690	AUC = 0.676
EZH2_GSM717404	AUC = 0.675
SUZ12_GSM2409704	AUC = 0.675
TP53_GSM1366696	AUC = 0.667
TP63_GSM1849669	AUC = 0.666
TP53_GSM1133484	AUC = 0.666
TP63_GSM1446930	AUC = 0.661
TP63_GSM1446929	AUC = 0.659
TP63_GSM1446927	AUC = 0.658
SUZ12_GSM2409698	AUC = 0.656
SUZ12_GSM1031240	AUC = 0.656
TP63_GSM1446928	AUC = 0.653
EZH2_GSM1003489	AUC = 0.653
TP63_GSM538930	AUC = 0.651
TP53_GSM1638967	AUC = 0.649
KDM1A_GSM1387030	AUC = 0.646
SUZ12_GSM1842795	AUC = 0.645
SOX2_GSM1139035	AUC = 0.643
FAIRE_GSM1122848	AUC = 0.643
TP73_GSM501688	AUC = 0.642
TP53_GSM1412744	AUC = 0.639
SOX2_GSM1139038	AUC = 0.639
TP53_GSM2296272	AUC = 0.638
EZH2_GSM1180162	AUC = 0.638
BANF1_GSM1645713	AUC = 0.637
SUZ12_GSM2705896	AUC = 0.635
SUZ12_GSM969572	AUC = 0.633
SUZ12_GSM2409674	AUC = 0.631
JARID2_GSM1180149	AUC = 0.630
BANF1_GSM1645712	AUC = 0.628
TP53_GSM1342488	AUC = 0.625
EZH2_GSM1180139	AUC = 0.625
JARID2_GSM1180148	AUC = 0.622
TP53_GSM1133482	AUC = 0.621
FAIRE_GSM748524	AUC = 0.620
SUZ12_GSM935423	AUC = 0.618
EZH2_GSM1003501	AUC = 0.617
TP63_GSM1849667	AUC = 0.617
JARID2_GSM1180169	AUC = 0.616
PRMT1_GSM2977012	AUC = 0.614
EZH2_GSM1180166	AUC = 0.614
JARID2_GSM1180161	AUC = 0.614
TP53_GSM1342494	AUC = 0.613
EZH2_GSM1180158	AUC = 0.612
MAF_GSM1278506	AUC = 0.610
EZH2_GSM1180154	AUC = 0.610
JARID2_GSM1180157	AUC = 0.608
BANF1_GSM1645711	AUC = 0.607
JARID2_GSM1180153	AUC = 0.607
TP53_GSM1133486	AUC = 0.607
EZH1_GSM2371321	AUC = 0.603
NFE2_ENCSR552YGL_1	AUC = 0.602
RELA_GSM2419822	AUC = 0.600
FAIRE_GSM1122847	AUC = 0.599
SMAD2-SMAD3_GSM2795973	AUC = 0.599
SMARCC1_GSM1835990	AUC = 0.598
POLR2A_GSM1645717	AUC = 0.598
EZH2_GSM1003524	AUC = 0.598
ASCL1_GSM1499401	AUC = 0.597
EZH2_GSM1003487	AUC = 0.597
JARID2_GSM1180165	AUC = 0.596
SMARCA4_GSM1835989	AUC = 0.596
JMJD6_GSM1249879	AUC = 0.595
GRHL2_GSM1125984	AUC = 0.595
ASCL1_GSM1700637	AUC = 0.595
TP53_GSM2296278	AUC = 0.594
EZH2_GSM831028	AUC = 0.594
RNF2_GSM585229	AUC = 0.593
SOX2_GSM1139032	AUC = 0.593
EZH2_GSM2029369	AUC = 0.593
EZH2_GSM1180150	AUC = 0.592
PRMT1_GSM2977010	AUC = 0.592
EED_GSM1427066	AUC = 0.590
RYBP_GSM855008	AUC = 0.588
RELA_GSM2419823	AUC = 0.587
FOSL2_ENCSR546KCN_2	AUC = 0.587
EZH2_GSM1385748	AUC = 0.587
