EZH2_GSM1003489	AUC = 0.752
EZH2_GSM1180139	AUC = 0.749
EZH2_GSM1180154	AUC = 0.748
JARID2_GSM1180148	AUC = 0.746
SUZ12_GSM2409704	AUC = 0.743
EZH2_GSM1003550	AUC = 0.737
JARID2_GSM1180161	AUC = 0.737
JARID2_GSM1180149	AUC = 0.736
EZH2_GSM2265654	AUC = 0.735
JARID2_GSM1180157	AUC = 0.734
EZH2_GSM1003532	AUC = 0.733
SUZ12_GSM2409698	AUC = 0.732
EZH2_GSM1180162	AUC = 0.730
SUZ12_GSM2265652	AUC = 0.728
EZH2_GSM1003529	AUC = 0.721
JARID2_GSM1180153	AUC = 0.721
SUZ12_GSM935423	AUC = 0.719
EZH2_GSM2265655	AUC = 0.717
EZH2_GSM717404	AUC = 0.716
SUZ12_GSM2409674	AUC = 0.711
EZH2_GSM831028	AUC = 0.710
SUZ12_GSM1842795	AUC = 0.709
EZH2_GSM1180158	AUC = 0.707
EP300_GSM1003514	AUC = 0.705
EZH2_GSM1180166	AUC = 0.704
JARID2_GSM1180169	AUC = 0.704
EZH2_GSM1003518	AUC = 0.702
SUZ12_GSM2705896	AUC = 0.694
EZH2_GSM1003501	AUC = 0.689
JARID2_GSM1180165	AUC = 0.670
EZH2_GSM1003524	AUC = 0.667
TP63_GSM794864	AUC = 0.658
SUZ12_GSM1031240	AUC = 0.658
SUZ12_GSM969572	AUC = 0.657
EZH2_GSM1003487	AUC = 0.653
TP63_GSM1645714	AUC = 0.627
EZH2_GSM1180150	AUC = 0.627
TP63_GSM794862	AUC = 0.624
TP63_GSM1139039	AUC = 0.622
EP300_GSM1645718	AUC = 0.622
TP63_GSM439777	AUC = 0.622
MBD2_GSM1388122	AUC = 0.618
TP63_GSM1489263	AUC = 0.617
EP300_GSM1645719	AUC = 0.616
TP63_GSM1366687	AUC = 0.616
MBD2_GSM1322266	AUC = 0.615
TP63_GSM1645715	AUC = 0.612
TP63_GSM1366692	AUC = 0.610
JARID2_GSM1180131	AUC = 0.609
TP63_GSM1056847	AUC = 0.608
TP63_GSM1489260	AUC = 0.607
TP63_GSM1489261	AUC = 0.607
TP63_GSM1366694	AUC = 0.606
TP63_GSM1366688	AUC = 0.606
TP63_GSM1139036	AUC = 0.602
EED_GSM1427066	AUC = 0.602
TP63_GSM1489262	AUC = 0.602
TP63_GSM1366693	AUC = 0.602
TP63_GSM1366686	AUC = 0.599
EZH2_GSM1508944	AUC = 0.598
TP63_GSM439776	AUC = 0.594
EZH2_GSM1508941	AUC = 0.593
TP63_GSM1446930	AUC = 0.591
RNF2_GSM2805868	AUC = 0.589
TP63_GSM1446929	AUC = 0.588
TP63_GSM1446927	AUC = 0.587
TP63_GSM2350362	AUC = 0.587
JARID2_GSM1180138	AUC = 0.585
TP63_GSM1139033	AUC = 0.583
EZH2_GSM1180135	AUC = 0.581
TP63_GSM2074752	AUC = 0.580
TP63_GSM1446928	AUC = 0.579
TP63_GSM538930	AUC = 0.579
EZH2_GSM2029369	AUC = 0.579
PPARG_GSM1020363	AUC = 0.578
PPARG_GSM634629	AUC = 0.573
HNF1A_GSM1982474	AUC = 0.571
PPARG_GSM634630	AUC = 0.568
NR3C1_GSM2735374	AUC = 0.564
BRD4_GSM1709938	AUC = 0.563
HNF1A_GSM1982476	AUC = 0.562
EZH1_GSM2371321	AUC = 0.561
KDM2B_GSM2805875	AUC = 0.559
MBD2_GSM1006707	AUC = 0.559
EZH2_GSM717405	AUC = 0.559
BRD4_GSM1709939	AUC = 0.558
TP63_GSM1849669	AUC = 0.557
BMI1_GSM838671	AUC = 0.557
CEBPA_GSM1020364	AUC = 0.554
HAND2_GSM2664371	AUC = 0.553
PPARG_GSM534494	AUC = 0.552
TP73_GSM501688	AUC = 0.551
RAD21_GSM2809610	AUC = 0.550
SMC3_GSM2813844	AUC = 0.550
TP53_GSM1366697	AUC = 0.550
SMC3_GSM2813841	AUC = 0.549
PPARG_GSM1443810	AUC = 0.548
MED1_GSM1566731	AUC = 0.547
MED1_GSM2802954	AUC = 0.547
JMJD6_GSM1249879	AUC = 0.546
RNF2_GSM585229	AUC = 0.546
TP53_GSM1366691	AUC = 0.544
MED1_GSM2802953	AUC = 0.544
SMC3_GSM2813838	AUC = 0.542
PR_GSM999792	AUC = 0.542
PHOX2B_GSM2664369	AUC = 0.542
SMC3_GSM1240840	AUC = 0.542
TP53_GSM1366695	AUC = 0.542
SMARCC1_GSM2472121	AUC = 0.541
EZH2_GSM1003520	AUC = 0.540
MAML3_GSM1693098	AUC = 0.540
BANF1_GSM1645713	AUC = 0.539
RAD21_GSM1242270	AUC = 0.539
HNF1B_GSM1574275	AUC = 0.536
MED1_GSM2802958	AUC = 0.536
MAML3_GSM1693100	AUC = 0.536
NR3C1_GSM2735376	AUC = 0.535
PPARG_GSM1443809	AUC = 0.535
OTX2_GSM2432943	AUC = 0.535
MAML3_GSM1693097	AUC = 0.534
RNF2_GSM850474	AUC = 0.534
SMC3_ENCSR481YWD_2	AUC = 0.533
MAML3_GSM1693099	AUC = 0.533
RAD21_GSM1239585	AUC = 0.533
KDM1A_GSM1387030	AUC = 0.533
MED1_GSM2802957	AUC = 0.532
RAD21_GSM2038348	AUC = 0.532
SMAD3_GSM897116	AUC = 0.532
RAD21_GSM2486813	AUC = 0.531
JMJD6_GSM1249880	AUC = 0.531
RAD21_GSM1242276	AUC = 0.531
SIX2_GSM1970528	AUC = 0.531
GATA3_GSM2664370	AUC = 0.531
RAD21_GSM2486814	AUC = 0.531
GATA6_GSM1505664	AUC = 0.531
TCF4_GSM2545828	AUC = 0.530
RAD21_GSM1239446	AUC = 0.530
NR3C1_GSM2735381	AUC = 0.530
SMAD3_GSM1949011	AUC = 0.530
CREBBP_GSM1443803	AUC = 0.529
SMAD2_GSM761758	AUC = 0.529
GATA3_GSM1602666	AUC = 0.529
GATA6_GSM1505658	AUC = 0.529
OTX2_GSM2432980	AUC = 0.529
NR3C1_GSM2735383	AUC = 0.528
NR3C1_GSM2735382	AUC = 0.528
PBX3_GSM1831600	AUC = 0.528
TET2_GSM1863068	AUC = 0.527
TP53_GSM1366696	AUC = 0.526
SMC3_GSM2813843	AUC = 0.526
ESR1_GSM2467294	AUC = 0.526
STAG1_GSM1234008	AUC = 0.525
PPARG_GSM534493	AUC = 0.525
RELA_GSM1566734	AUC = 0.525
HSF1_GSM951898	AUC = 0.525
MED1_GSM2802959	AUC = 0.525
SMC1A_GSM2493884	AUC = 0.524
SMC1A_GSM897120	AUC = 0.524
OTX2_GSM2432942	AUC = 0.524
NR3C1_GSM2735379	AUC = 0.523
SMC3_GSM2813837	AUC = 0.523
TP53_GSM1366690	AUC = 0.523
GATA3_GSM935567	AUC = 0.523
SMC3_GSM897119	AUC = 0.523
SMC3_GSM2813840	AUC = 0.523
TCF4_GSM2545830	AUC = 0.522
JARID2_GSM1180134	AUC = 0.522
TET2_GSM1863065	AUC = 0.521
RAD21_GSM2486815	AUC = 0.521
ESR1_GSM1076110	AUC = 0.521
MED1_GSM1537677	AUC = 0.521
RAD21_GSM1335529	AUC = 0.520
CREBBP_GSM1443804	AUC = 0.520
MED1_GSM1537678	AUC = 0.519
SMAD3_GSM727585	AUC = 0.519
GATA6_GSM2050700	AUC = 0.519
TP73_GSM501690	AUC = 0.519
GATA3_GSM2817660	AUC = 0.519
FAIRE_GSM1122847	AUC = 0.519
BMI1_GSM838673	AUC = 0.519
SIRT1_GSM2474870	AUC = 0.518
SMARCC1_GSM1835891	AUC = 0.517
STAG1_GSM1239586	AUC = 0.517
CTCF_GSM534485	AUC = 0.517
NANOG_GSM456572	AUC = 0.517
SMAD3_GSM1949005	AUC = 0.517
SMAD2-SMAD3_GSM727584	AUC = 0.516
TCF21_GSM1503216	AUC = 0.516
EZH2_GSM1003576	AUC = 0.516
NR3C1_GSM2735378	AUC = 0.516
BANF1_GSM1645711	AUC = 0.516
NANOG_GSM456571	AUC = 0.516
MYC_GSM991046	AUC = 0.516
OTX2_GSM2432981	AUC = 0.516
GATA4_GSM1505646	AUC = 0.515
STAG1_GSM800624	AUC = 0.515
NUP98-HOXA9_GSM1529673	AUC = 0.515
ZNF512_ENCSR591CCL_2	AUC = 0.515
FAIRE_GSM1122848	AUC = 0.515
NOTCH1_GSM1922949	AUC = 0.515
CBX8_GSM1295078	AUC = 0.514
GATA3_GSM1680102	AUC = 0.514
GATA6_GSM1505660	AUC = 0.514
EZH2_GSM1427074	AUC = 0.514
TET2_GSM1863064	AUC = 0.514
FOS_GSM935397	AUC = 0.514
TET2_GSM1863067	AUC = 0.514
EOMES_GSM1505630	AUC = 0.514
TBX5_GSM2279985	AUC = 0.514
RAD21_GSM1240837	AUC = 0.514
RAD21_GSM2486816	AUC = 0.513
GATA3_GSM1680105	AUC = 0.513
GATA3_GSM1602667	AUC = 0.513
MYC_GSM991047	AUC = 0.513
PGR_GSM1703567	AUC = 0.513
MED1_GSM1537680	AUC = 0.513
