AR_GSM1527023	AUC = 0.840
AR_GSM2058894	AUC = 0.835
AR_GSM1207915	AUC = 0.833
AR_GSM1207908	AUC = 0.828
AR_GSM1207891	AUC = 0.826
AR_GSM1207892	AUC = 0.826
SMARCA4_GSM2480811	AUC = 0.825
AR_GSM1527026	AUC = 0.814
AR_GSM1207907	AUC = 0.814
AR_GSM1410787	AUC = 0.812
AR_GSM2058893	AUC = 0.808
FOXA1_GSM2537228	AUC = 0.807
AR_GSM1069669	AUC = 0.805
AR_GSM2393829	AUC = 0.804
FOXA1_GSM1410788	AUC = 0.801
AR_GSM1069682	AUC = 0.800
SUZ12_GSM2265652	AUC = 0.800
AR_GSM1069670	AUC = 0.800
AR_GSM1501186	AUC = 0.799
AR_GSM1843411	AUC = 0.796
AR_GSM1236922	AUC = 0.796
AR_GSM1501191	AUC = 0.795
EZH2_GSM2265655	AUC = 0.794
AR_GSM1868862	AUC = 0.794
AR_GSM1501185	AUC = 0.793
AR_GSM717392	AUC = 0.793
AR_GSM2716917	AUC = 0.791
AR_GSM1069681	AUC = 0.791
EZH2_GSM2265654	AUC = 0.790
AR_GSM1613312	AUC = 0.788
AR_GSM1207896	AUC = 0.787
AR_GSM1501189	AUC = 0.785
AR_GSM1543774	AUC = 0.785
AR_GSM1207888	AUC = 0.785
AR_GSM1691138	AUC = 0.784
ARID1A_GSM2480807	AUC = 0.783
AR_GSM916521	AUC = 0.782
AR_GSM980662	AUC = 0.782
AR_GSM2219853	AUC = 0.782
AR_GSM1598222	AUC = 0.781
AR_GSM2219852	AUC = 0.780
FOXA1_GSM759663	AUC = 0.779
AR_GSM1868866	AUC = 0.778
AR_GSM2480802	AUC = 0.778
AR_GSM1207912	AUC = 0.777
AR_GSM1410782	AUC = 0.777
AR_GSM1207911	AUC = 0.776
AR_GSM2219855	AUC = 0.776
AR_GSM1207904	AUC = 0.776
AR_GSM2092845	AUC = 0.774
FOXA1_GSM759664	AUC = 0.774
AR_GSM2219854	AUC = 0.772
HOXB13_GSM2537214	AUC = 0.772
FOXA1_GSM2537217	AUC = 0.771
AR_GSM1598221	AUC = 0.771
AR_GSM759658	AUC = 0.770
PIAS1_GSM1354833	AUC = 0.769
AR_GSM1274872	AUC = 0.768
HOXB13_GSM2480819	AUC = 0.768
AR_GSM2393839	AUC = 0.768
AR_GSM2393841	AUC = 0.767
EZH2_GSM1003550	AUC = 0.767
AR_GSM2092844	AUC = 0.767
AR_GSM2122804	AUC = 0.766
AR_GSM2537213	AUC = 0.766
EZH2_GSM1003532	AUC = 0.766
AR_GSM1207887	AUC = 0.765
AR_GSM696841	AUC = 0.765
AR_GSM2393835	AUC = 0.764
AR_GSM1527844	AUC = 0.764
PIAS1_GSM2219869	AUC = 0.764
AR_GSM1843409	AUC = 0.763
AR_GSM2393833	AUC = 0.763
AR_GSM984388	AUC = 0.763
ARID1A_GSM2480806	AUC = 0.762
FOXA1_GSM984391	AUC = 0.762
AR_GSM2537212	AUC = 0.760
HOXB13_GSM2537215	AUC = 0.760
FOXA1_GSM353630	AUC = 0.759
AR_GSM984387	AUC = 0.759
AR_GSM2122805	AUC = 0.759
AR_GSM353651	AUC = 0.758
FOXA1_GSM2277151	AUC = 0.758
AR_GSM2480801	AUC = 0.757
NKX3-1_GSM699633	AUC = 0.757
AR_GSM1071276	AUC = 0.755
AR_GSM1501187	AUC = 0.754
FOXA1_GSM759661	AUC = 0.754
AR_GSM2716919	AUC = 0.754
HOXB13_GSM1716763	AUC = 0.753
AR_GSM2716923	AUC = 0.753
AR_GSM980648	AUC = 0.753
FOXA1_GSM984392	AUC = 0.753
AR_GSM1598220	AUC = 0.752
AR_GSM1907199	AUC = 0.752
AR_GSM980663	AUC = 0.751
AR_GSM1207903	AUC = 0.750
AR_GSM980647	AUC = 0.748
AR_GSM1071281	AUC = 0.748
HDAC3_GSM717402	AUC = 0.747
FOXA1_GSM759662	AUC = 0.746
AR_GSM1207895	AUC = 0.746
AR_GSM2086308	AUC = 0.745
AR_GSM2086294	AUC = 0.745
AR_GSM1843412	AUC = 0.745
SMAD3_GSM1949005	AUC = 0.745
HOXB13_GSM2537218	AUC = 0.744
AR_GSM2186465	AUC = 0.743
AR_GSM2086307	AUC = 0.743
GATA2_GSM941194	AUC = 0.743
TLE3_GSM2480825	AUC = 0.742
TLE3_GSM2480823	AUC = 0.741
AR_GSM1412317	AUC = 0.740
AR_GSM1358408	AUC = 0.740
AR_GSM1236926	AUC = 0.740
EZH2_GSM1003529	AUC = 0.739
AR_GSM1527843	AUC = 0.739
HOXB13_GSM2480818	AUC = 0.738
AR_GSM1527025	AUC = 0.737
AR_GSM2086292	AUC = 0.737
AR_GSM759657	AUC = 0.736
EZH2_GSM1003489	AUC = 0.736
AR_GSM1358403	AUC = 0.736
AR_GSM2277148	AUC = 0.735
AR_GSM2393843	AUC = 0.735
FOXA1_GSM1410775	AUC = 0.734
NR3C1_GSM759669	AUC = 0.733
AR_GSM1358407	AUC = 0.732
FOXA1_GSM2480813	AUC = 0.732
AR_GSM817351	AUC = 0.731
PIAS1_GSM1354834	AUC = 0.731
AR_GSM1907201	AUC = 0.731
PIAS1_GSM2219870	AUC = 0.730
PIAS1_GSM1354832	AUC = 0.730
FOXA1_GSM2058886	AUC = 0.730
AR_GSM1691147	AUC = 0.729
AR_GSM2122579	AUC = 0.729
AR_GSM2086293	AUC = 0.729
AR_GSM1358396	AUC = 0.728
EZH2_GSM717405	AUC = 0.727
PIAS1_GSM1622631	AUC = 0.727
