EZH2_GSM1180139	AUC = 0.728
JARID2_GSM1180148	AUC = 0.725
EZH2_GSM1180154	AUC = 0.718
JARID2_GSM1180157	AUC = 0.711
JARID2_GSM1180149	AUC = 0.710
SUZ12_GSM1842795	AUC = 0.705
EZH2_GSM1003489	AUC = 0.705
JARID2_GSM1180161	AUC = 0.701
SUZ12_GSM935423	AUC = 0.701
EZH2_GSM1180162	AUC = 0.701
JARID2_GSM1180153	AUC = 0.699
SUZ12_GSM2409704	AUC = 0.699
SUZ12_GSM2409698	AUC = 0.688
EZH2_GSM831028	AUC = 0.688
JARID2_GSM1180169	AUC = 0.685
EZH2_GSM2265654	AUC = 0.684
EZH2_GSM1003532	AUC = 0.682
SUZ12_GSM2265652	AUC = 0.681
EZH2_GSM1180158	AUC = 0.680
EZH2_GSM1180166	AUC = 0.680
EZH2_GSM1003550	AUC = 0.679
EZH2_GSM717404	AUC = 0.679
EZH2_GSM1003529	AUC = 0.671
EZH2_GSM2265655	AUC = 0.670
SUZ12_GSM2409674	AUC = 0.664
EZH2_GSM1003518	AUC = 0.660
SUZ12_GSM2705896	AUC = 0.658
EZH2_GSM1003501	AUC = 0.658
EP300_GSM1003514	AUC = 0.657
JARID2_GSM1180165	AUC = 0.654
EZH2_GSM1003524	AUC = 0.649
MBD2_GSM1388122	AUC = 0.640
EZH2_GSM1003487	AUC = 0.635
SMC3_GSM2813841	AUC = 0.633
SUZ12_GSM1031240	AUC = 0.629
MBD2_GSM1322266	AUC = 0.627
SUZ12_GSM969572	AUC = 0.621
EZH2_GSM717405	AUC = 0.619
EZH2_GSM1180150	AUC = 0.613
TP63_GSM794864	AUC = 0.612
SMC3_GSM2813844	AUC = 0.610
NR3C1_GSM2735379	AUC = 0.608
JARID2_GSM1180131	AUC = 0.602
SMC3_GSM2813838	AUC = 0.599
TP63_GSM1139039	AUC = 0.599
RAD21_GSM2809610	AUC = 0.597
EZH2_GSM1508944	AUC = 0.597
SMC3_GSM1240840	AUC = 0.594
STAG1_GSM1234008	AUC = 0.593
EED_GSM1427066	AUC = 0.593
TP63_GSM1645714	AUC = 0.592
EZH2_GSM1508941	AUC = 0.592
JMJD6_GSM1249879	AUC = 0.591
MBD2_GSM1006707	AUC = 0.591
SMC3_ENCSR481YWD_2	AUC = 0.590
AR_GSM1358409	AUC = 0.589
RAD21_GSM2486813	AUC = 0.589
RAD21_GSM1242270	AUC = 0.588
JMJD6_GSM1249880	AUC = 0.588
EZH2_GSM2029369	AUC = 0.587
TP63_GSM1645715	AUC = 0.586
EP300_GSM1645719	AUC = 0.586
TP63_GSM794862	AUC = 0.586
TP63_GSM1139036	AUC = 0.585
JARID2_GSM1180138	AUC = 0.585
NR3C1_GSM2735381	AUC = 0.584
RAD21_GSM1239585	AUC = 0.584
RAD21_GSM2038348	AUC = 0.584
CTCF_GSM2341639	AUC = 0.583
RAD21_GSM2486814	AUC = 0.583
AR_GSM1358395	AUC = 0.583
TP63_GSM439777	AUC = 0.582
CTCF_ENCSR515LRI_1	AUC = 0.582
AR_GSM1358397	AUC = 0.582
RAD21_GSM1239446	AUC = 0.581
CTCF_GSM2026783	AUC = 0.580
REST_GSM1290153	AUC = 0.579
SMC3_GSM2813840	AUC = 0.578
NR3C1_GSM2735376	AUC = 0.577
CTCF_GSM1056577	AUC = 0.577
EZH2_GSM1180135	AUC = 0.577
RAD21_GSM1242276	AUC = 0.577
REST_GSM1290172	AUC = 0.577
RAD21_GSM2486815	AUC = 0.577
CTCF_ENCSR756KRS_1	AUC = 0.576
SMC3_GSM2813837	AUC = 0.576
CTCF_ENCSR323POR_1	AUC = 0.576
EP300_GSM1645718	AUC = 0.575
CTCF_GSM1239390	AUC = 0.575
SMC1A_GSM2493884	AUC = 0.574
TP63_GSM439776	AUC = 0.574
SMC3_GSM2813843	AUC = 0.574
RAD21_GSM1335529	AUC = 0.573
REST_GSM1290154	AUC = 0.573
CTCF_GSM534485	AUC = 0.572
CTCF_GSM651541	AUC = 0.572
