EZH2_GSM1003489	AUC = 0.783
SMAD3_GSM1949005	AUC = 0.770
SUZ12_GSM2409704	AUC = 0.755
EZH2_GSM2265654	AUC = 0.755
SUZ12_GSM2265652	AUC = 0.749
SMAD3_GSM1949007	AUC = 0.746
EZH2_GSM1003532	AUC = 0.746
EZH2_GSM1003550	AUC = 0.745
EZH2_GSM1003529	AUC = 0.744
EZH2_GSM2265655	AUC = 0.743
EP300_GSM447587	AUC = 0.741
SUZ12_GSM2409698	AUC = 0.740
EZH2_GSM1003518	AUC = 0.731
EZH2_GSM1003501	AUC = 0.724
SMAD3_GSM1949009	AUC = 0.722
JARID2_GSM1180148	AUC = 0.719
EZH2_GSM1180139	AUC = 0.718
EZH2_GSM717404	AUC = 0.714
EZH2_GSM1180154	AUC = 0.714
SUZ12_GSM2409674	AUC = 0.711
EP300_GSM1003514	AUC = 0.710
SUZ12_GSM935423	AUC = 0.705
JARID2_GSM1180157	AUC = 0.702
JARID2_GSM1180149	AUC = 0.701
EZH2_GSM1180162	AUC = 0.700
JARID2_GSM1180161	AUC = 0.697
SMAD3_GSM1949011	AUC = 0.692
JARID2_GSM1180153	AUC = 0.690
EZH2_GSM831028	AUC = 0.689
SMAD1_GSM1505746	AUC = 0.688
SOX2_GSM1124068	AUC = 0.686
SOX2_GSM1505768	AUC = 0.685
SOX2_GSM1505764	AUC = 0.685
JARID2_GSM1180169	AUC = 0.681
EZH2_GSM1180166	AUC = 0.679
EZH2_GSM717405	AUC = 0.677
SOX2_GSM1139041	AUC = 0.675
EZH2_GSM1180158	AUC = 0.675
SUZ12_GSM2705896	AUC = 0.672
EP300_GSM2550188	AUC = 0.671
SMC3_GSM2813841	AUC = 0.665
SUZ12_GSM1842795	AUC = 0.662
SOX2_GSM456570	AUC = 0.662
EZH2_GSM1003487	AUC = 0.658
NANOG_GSM456571	AUC = 0.651
BCL11A_GSM803396	AUC = 0.650
NANOG_GSM1901445	AUC = 0.649
OTX2_GSM1505712	AUC = 0.648
JARID2_GSM1180165	AUC = 0.648
EZH2_GSM1003524	AUC = 0.647
NANOG_GSM456572	AUC = 0.643
NANOG_GSM1505702	AUC = 0.643
SUZ12_GSM1031240	AUC = 0.642
SUZ12_GSM969572	AUC = 0.641
SMC3_GSM2813844	AUC = 0.641
NANOG_GSM1124070	AUC = 0.635
BCL11A_GSM803476	AUC = 0.633
TTF2_GSM891233	AUC = 0.632
NANOG_GSM1505695	AUC = 0.631
TEAD4_GSM2635693	AUC = 0.631
POU5F1_GSM2648934	AUC = 0.630
NANOG_GSM1124071	AUC = 0.628
NANOG_GSM1505698	AUC = 0.627
SMC3_GSM1240840	AUC = 0.625
SPI1_GSM1377535	AUC = 0.624
SMC3_GSM2813838	AUC = 0.622
EZH2_GSM1508944	AUC = 0.618
JMJD6_GSM1249879	AUC = 0.614
AR_GSM696841	AUC = 0.614
NANOG_GSM2648931	AUC = 0.614
RAD21_GSM1242270	AUC = 0.613
