EZH2_GSM1003550	AUC = 0.842
EZH2_GSM1003532	AUC = 0.835
SUZ12_GSM1842795	AUC = 0.830
EZH2_GSM1180139	AUC = 0.827
SUZ12_GSM935423	AUC = 0.825
SUZ12_GSM2265652	AUC = 0.823
JARID2_GSM1180148	AUC = 0.821
JARID2_GSM1180149	AUC = 0.818
JARID2_GSM1180153	AUC = 0.817
EZH2_GSM2265655	AUC = 0.817
SUZ12_GSM2409704	AUC = 0.816
EZH2_GSM2265654	AUC = 0.813
EZH2_GSM1180154	AUC = 0.812
EZH2_GSM831028	AUC = 0.811
EZH2_GSM1180162	AUC = 0.809
EZH2_GSM1003529	AUC = 0.808
JARID2_GSM1180157	AUC = 0.807
JARID2_GSM1180161	AUC = 0.806
SMARCC1_GSM1835990	AUC = 0.805
EZH2_GSM1003489	AUC = 0.805
SUZ12_GSM2409698	AUC = 0.800
EP300_GSM1003514	AUC = 0.798
SMAD4_GSM1246718	AUC = 0.797
SMARCA4_GSM1835989	AUC = 0.796
SUZ12_GSM1031240	AUC = 0.795
EZH2_GSM717404	AUC = 0.789
JARID2_GSM1180169	AUC = 0.787
EZH2_GSM1003518	AUC = 0.786
EZH2_GSM1180158	AUC = 0.785
SMAD2-SMAD3_GSM2795973	AUC = 0.784
EP300_GSM1645718	AUC = 0.780
EZH2_GSM1180166	AUC = 0.777
TEAD4_GSM1084783	AUC = 0.776
FOSL2_ENCSR775UFR_3	AUC = 0.773
SUZ12_GSM2705896	AUC = 0.771
FOSL2_ENCSR067XTW_2	AUC = 0.770
JUN_GSM2266292	AUC = 0.770
FOSL2_ENCSR274WRI_3	AUC = 0.767
FOSL1_GSM2501565	AUC = 0.765
SUZ12_GSM2409674	AUC = 0.764
MBD3_GSM1089819	AUC = 0.763
FOSL2_ENCSR535HFQ_1	AUC = 0.763
MED1_GSM2190588	AUC = 0.762
EZH2_GSM1003524	AUC = 0.760
FOSL2_ENCSR103UVU_1	AUC = 0.759
SMAD4_GSM1246719	AUC = 0.757
FOSL2_ENCSR593DGU_2	AUC = 0.757
EZH2_GSM1003501	AUC = 0.753
JARID2_GSM1180165	AUC = 0.752
FOSL2_ENCSR686HIU_2	AUC = 0.750
JUN_GSM2266291	AUC = 0.750
TP63_GSM1489263	AUC = 0.748
FOSL2_ENCSR067XTW_3	AUC = 0.747
FOSL2_ENCSR593DGU_1	AUC = 0.747
FOSL2_ENCSR330IJE_2	AUC = 0.747
FOSL2_ENCSR900RUE_1	AUC = 0.746
FOSL2_ENCSR067XTW_1	AUC = 0.745
JUND_GSM738818	AUC = 0.744
FOSL2_ENCSR775UFR_1	AUC = 0.744
BANF1_GSM1645712	AUC = 0.743
JUN_GSM1700784	AUC = 0.743
FOSL2_ENCSR775UFR_2	AUC = 0.742
FOSL2_ENCSR242EWU_1	AUC = 0.742
FOSL2_ENCSR274WRI_2	AUC = 0.740
FOSL2_ENCSR563GCV_2	AUC = 0.740
FOSL2_ENCSR900RUE_3	AUC = 0.737
FOSL2_ENCSR686HIU_1	AUC = 0.737
EP300_GSM1645719	AUC = 0.736
FOSL2_ENCSR242EWU_2	AUC = 0.735
RELA_GSM2419823	AUC = 0.735
JUN_GSM1700785	AUC = 0.734
FOSL2_ENCSR111ZXV_1	AUC = 0.733
FOSL2_ENCSR563GCV_1	AUC = 0.731
SUZ12_GSM935352	AUC = 0.731
JUN_GSM1700786	AUC = 0.731
BANF1_GSM1645713	AUC = 0.730
EZH2_GSM1180150	AUC = 0.730
JUN_GSM1848883	AUC = 0.727
RELA_GSM2419822	AUC = 0.727
TCF4_GSM1535697	AUC = 0.725
MBD2_GSM1388122	AUC = 0.725
EZH2_GSM1003487	AUC = 0.724
FOSL2_ENCSR111ZXV_2	AUC = 0.724
JUND_GSM2266293	AUC = 0.724
TP63_GSM794864	AUC = 0.723
FOSL2_ENCSR111ZXV_3	AUC = 0.722
SMAD3_GSM934615	AUC = 0.721
FOSL2_ENCSR535HFQ_3	AUC = 0.720
