ASCL1_GSM1499401	AUC = 0.755
ASCL1_GSM1700637	AUC = 0.754
EZH2_GSM1003550	AUC = 0.742
ASCL1_GSM1499404	AUC = 0.736
EZH2_GSM1003532	AUC = 0.727
ZEB1_GSM1574278	AUC = 0.724
GREB1_GSM1019130	AUC = 0.723
KLF5_GSM1240820	AUC = 0.717
EZH2_GSM1003529	AUC = 0.717
EZH2_GSM2265654	AUC = 0.713
EP300_GSM1003514	AUC = 0.708
ASCL1_GSM1499402	AUC = 0.707
ASCL1_GSM1499403	AUC = 0.705
ASCL1_GSM1700638	AUC = 0.705
HNF4A_GSM1240815	AUC = 0.703
SUZ12_GSM2265652	AUC = 0.703
EZH2_GSM1003518	AUC = 0.702
ZMYND8_GSM2029574	AUC = 0.702
EZH2_GSM2265655	AUC = 0.699
GREB1_GSM1019127	AUC = 0.699
SNAI2_GSM1336156	AUC = 0.698
GRHL1_GSM1239590	AUC = 0.697
MYC_GSM1240821	AUC = 0.696
ZMYM3_GSM2574814	AUC = 0.693
CTCF_GSM1647363	AUC = 0.692
GRHL2_GSM1825676	AUC = 0.691
MYC_GSM1430922	AUC = 0.691
SNAI2_GSM1336155	AUC = 0.689
ASCL1_GSM1499400	AUC = 0.689
MYC_GSM1242269	AUC = 0.686
SUZ12_GSM2705896	AUC = 0.686
CREBBP_GSM959627	AUC = 0.685
KLF4_GSM1019134	AUC = 0.685
KLF5_GSM1208642	AUC = 0.684
KLF5_GSM2356661	AUC = 0.684
NIPBL_GSM1240822	AUC = 0.683
KLF5_GSM1250895	AUC = 0.683
HNF4A_GSM1208632	AUC = 0.680
KLF3_GSM1208641	AUC = 0.680
ZNF687_ENCSR899BKM_1	AUC = 0.680
FOXD2_GSM1208745	AUC = 0.679
MYC_GSM762707	AUC = 0.678
ZNF687_ENCSR899BKM_2	AUC = 0.678
SNAI2_GSM1336152	AUC = 0.677
ASCL1_GSM1499407	AUC = 0.676
GATA6_GSM1151694	AUC = 0.676
RXRA_GSM1208673	AUC = 0.676
ASCL1_GSM1499405	AUC = 0.675
ESR1_GSM1643998	AUC = 0.675
MAX_GSM2151471	AUC = 0.675
NCOR1_GSM959632	AUC = 0.675
E2F2_GSM1208606	AUC = 0.674
VDR_GSM791404	AUC = 0.673
WDHD1_GSM2574807	AUC = 0.673
TCF4_GSM460124	AUC = 0.673
CREBBP_GSM959628	AUC = 0.671
SUZ12_GSM2409704	AUC = 0.670
CAMTA2_GSM1208594	AUC = 0.670
WDHD1_GSM2574806	AUC = 0.670
FOXM1_GSM1000997	AUC = 0.670
GRHL2_GSM2970416	AUC = 0.669
TFAP2A_GSM1081381	AUC = 0.669
RUNX1_GSM1942113	AUC = 0.669
KLF5_GSM1250899	AUC = 0.669
EZH2_GSM1003489	AUC = 0.669
BRD4_GSM1890740	AUC = 0.668
ESR1_GSM798398	AUC = 0.668
E2F1_GSM1207917	AUC = 0.667
HNF4A_GSM1242266	AUC = 0.667
H2AZ_GSM2702723	AUC = 0.667
JMJD6_GSM1249879	AUC = 0.667
GREB1_GSM1019126	AUC = 0.667
ESR1_GSM631453	AUC = 0.666
TCF4_GSM791409	AUC = 0.666
E2F4_GSM1019122	AUC = 0.665
KLF4_ENCSR265WJC_2	AUC = 0.665
SIRT1_GSM2474870	AUC = 0.665
KLF4_ENCSR265WJC_1	AUC = 0.665
ESR1_GSM631452	AUC = 0.665
SNAI2_GSM1336151	AUC = 0.665
DROSHA_ENCSR316JQA_2	AUC = 0.664
EP300_GSM1059392	AUC = 0.664
H2AZ_GSM2702720	AUC = 0.664
ESR1_GSM798400	AUC = 0.664
RUNX1_GSM1942111	AUC = 0.663
ZNF83_GSM1239630	AUC = 0.663
HCFC1R1_GSM2677682	AUC = 0.663
TFDP1_GSM1208691	AUC = 0.663
JUND_GSM1240819	AUC = 0.663
H2AZ_GSM2702721	AUC = 0.663
GRHL2_GSM2970419	AUC = 0.663
NCOR1_GSM959631	AUC = 0.662
POLR2A_GSM1037518	AUC = 0.661
POLR2A_GSM889410	AUC = 0.661
RAD21_GSM2297328	AUC = 0.661
FOXM1_GSM1001006	AUC = 0.661
E2F1_GSM2046831	AUC = 0.660
