id,chr,start,end,motif_start,motif_end,motif_pvalue,motif_strand,#motifs,occupancy_score,annotation,mid_position,domain_100k_1M_left,domain_100k_1M_right,cancer_peaks,normal_peaks,all_peaks,cancer_total,normal_total,all_total,cancer_mean,normal_mean,ctrl_mean,cancer_vs_other_stats,cancer_vs_other_pvalue,cancer_vs_other_adjp,normal_vs_other_stats,normal_vs_other_pvalue,normal_vs_other_adjp,cancer_vs_normal_stats,cancer_vs_normal_pvalue,cancer_vs_normal_adjp,promoter_allgenes,promoter_allgenes_pos,promoter_allgenes_hicor,promoter_allgenes_hicor_pos,promoter_upgenes,promoter_upgenes_pos,promoter_upgenes_hicor,promoter_upgenes_hicor_pos,promoter_upgenes_names,promoter_upgenes_hicor_names,promoter_dngenes,promoter_dngenes_pos,promoter_dngenes_hicor,promoter_dngenes_hicor_pos,promoter_dngenes_names,promoter_dngenes_hicor_names,domain_allgenes,domain_allgenes_pos,domain_allgenes_hicor,domain_allgenes_hicor_pos,domain_upgenes,domain_upgenes_pos,domain_upgenes_hicor,domain_upgenes_hicor_pos,domain_upgenes_names,domain_upgenes_hicor_names,domain_dngenes,domain_dngenes_pos,domain_dngenes_hicor,domain_dngenes_hicor_pos,domain_dngenes_names,domain_dngenes_hicor_names
837,chr1,2861818,2862187,2861982,2862001,4.96e-06,+,1,66,Distal,2861991,2414552.0,2961991.0,12,0,66,20,4,771,2.47,0.68,0.75,8.1,2.085e-15,5.60693150390625e-13,-0.15,0.8782,0.9999551956664162,2.29,0.032060000000000005,0.3328763534628379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,"PLCH2,TNFRSF14",
3942,chr1,13451465,13451768,13451612,13451631,1e-05,+,2,64,Distal,13451621,13351621.0,13665861.0,11,0,64,20,4,771,3.16,0.62,0.8,9.17,4.149e-19,1.8109434594423323e-16,-0.33,0.7397,0.9999551956664162,1.99,0.05946,0.4741351998054069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,PDPN,
4615,chr1,15905913,15906230,15906057,15906076,5.49e-07,-,1,95,Intron,15906066,15806066.0,16006066.0,12,0,95,20,4,771,4.58,1.47,1.12,10.22,4.313e-23,3.1520109097664545e-20,0.5,0.6179,0.9999551956664162,1.81,0.08403,0.559779072110081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
9961,chr1,33842380,33842708,33842516,33842535,2.77e-05,+,1,154,Intron,33842525,33635016.0,34460433.0,10,0,154,20,4,771,3.09,0.63,1.29,6.31,4.694e-10,5.218807697028423e-08,-1.1,0.2699,0.9999551956664162,1.78,0.08853,0.5730704870664122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
10422,chr1,35938883,35939279,35939091,35939110,5.45e-05,+,1,138,Intron,35939100,35839100.0,36134916.0,10,0,138,20,4,771,2.79,1.04,1.22,6.07,2.044e-09,2.0168394381539346e-07,-0.31,0.7579,0.9999551956664162,2.86,0.009006,0.14477505134851135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,COL8A2,
15138,chr1,53430351,53430690,53430499,53430518,1.52e-05,-,1,69,Distal,53430508,53330508.0,53530508.0,10,0,69,20,4,771,2.65,1.14,0.96,7.45,2.383e-13,4.618598837274775e-11,0.37,0.7078,0.9999551956664162,1.73,0.09713,0.5953957346380901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
18286,chr1,66913866,66914305,N,N,N,N,N,149,Intron,66914085,66726233.0,67014085.0,15,0,149,20,4,771,3.93,0.69,1.17,9.55,1.643e-20,8.549424391534392e-18,-0.76,0.4479,0.9999551956664162,3.37,0.002781,0.06263974116607772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
18687,chr1,68570829,68571240,68570987,68571006,3.34e-05,+,1,147,Distal,68570996,68443255.0,68670996.0,12,0,147,20,4,771,3.61,0.85,1.19,7.7,4.145e-14,9.084808038841132e-12,-0.5,0.6207,0.9999551956664162,2.84,0.00946,0.14981340065790988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,DEPDC1,,0.0,0.0,0.0,0.0,,
18750,chr1,69084770,69085003,69084892,69084911,3.55e-05,+,1,20,Distal,69084901,68600224.0,69737787.0,10,0,20,20,4,771,5.1,0.99,0.64,14.71,1.8629999999999998e-43,1.7813100374999995e-39,0.59,0.5571,0.9999551956664162,1.99,0.05906,0.4725053950656021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
18997,chr1,70617738,70618070,N,N,N,N,N,128,Distal,70617904,70510282.0,70717904.0,10,0,128,20,4,771,3.77,1.59,1.27,6.41,2.454e-10,2.8795036066132606e-08,0.38,0.7070000000000001,0.9999551956664162,2.39,0.02562,0.2896720368545526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
