id,chr,start,end,motif_start,motif_end,motif_pvalue,motif_strand,#motifs,occupancy_score,annotation,mid_position,domain_100k_1M_left,domain_100k_1M_right,cancer_peaks,normal_peaks,all_peaks,cancer_total,normal_total,all_total,cancer_mean,normal_mean,ctrl_mean,cancer_vs_other_stats,cancer_vs_other_pvalue,cancer_vs_other_adjp,normal_vs_other_stats,normal_vs_other_pvalue,normal_vs_other_adjp,cancer_vs_normal_stats,cancer_vs_normal_pvalue,cancer_vs_normal_adjp,promoter_allgenes,promoter_allgenes_pos,promoter_allgenes_hicor,promoter_allgenes_hicor_pos,promoter_upgenes,promoter_upgenes_pos,promoter_upgenes_hicor,promoter_upgenes_hicor_pos,promoter_upgenes_names,promoter_upgenes_hicor_names,promoter_dngenes,promoter_dngenes_pos,promoter_dngenes_hicor,promoter_dngenes_hicor_pos,promoter_dngenes_names,promoter_dngenes_hicor_names,domain_allgenes,domain_allgenes_pos,domain_allgenes_hicor,domain_allgenes_hicor_pos,domain_upgenes,domain_upgenes_pos,domain_upgenes_hicor,domain_upgenes_hicor_pos,domain_upgenes_names,domain_upgenes_hicor_names,domain_dngenes,domain_dngenes_pos,domain_dngenes_hicor,domain_dngenes_hicor_pos,domain_dngenes_names,domain_dngenes_hicor_names
251,chr1,1207924,1208260,1208150,1208169,7.28e-05,-,1,34,Promoter,1208159,1108159.0,1308159.0,2,0,34,2,5,771,3.19,1.48,0.7,4.56,6.01e-06,0.0018832309012289485,2.24,0.02509,0.43061137839050656,1.82,0.1289,0.8142267110152773,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
1228,chr1,3982380,3982636,N,N,N,N,N,6,Distal,3982508,3801635.0,4652763.0,2,0,6,2,5,771,2.13,0.35,0.3,5.73,1.4040000000000004e-08,1.031541425827108e-05,0.25,0.7993,0.9999556432009742,3.76,0.0131,0.2717373719416657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
3351,chr1,11051910,11052279,N,N,N,N,N,15,Distal,11052094,10942131.0,11241892.0,2,0,15,2,5,771,2.37,0.26,0.53,4.45,9.673e-06,0.002792106380293501,-1.04,0.2967,0.9999556432009742,12.81,5.159e-05,0.008263390439739412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,C1orf127,,0.0,0.0,0.0,0.0,,
5050,chr1,17067043,17067320,17067181,17067200,7.33e-05,-,1,14,Exon,17067190,16967190.0,17167190.0,2,0,14,2,5,771,2.9,0.22,0.47,5.77,1.143e-08,8.628008190789473e-06,-0.96,0.3382,0.9999556432009742,16.79,1.3699999999999998e-05,0.002789552587991718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
5905,chr1,19996656,19996863,19996734,19996753,2.48e-05,-,1,10,Distal,19996743,19896743.0,20101017.0,2,0,10,2,5,771,2.23,0.56,0.5,4.13,4.082e-05,0.009053373640463918,0.23,0.816,0.9999556432009742,2.9,0.03388,0.4600570933764646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
5916,chr1,20047139,20047423,N,N,N,N,N,54,Distal,20047281,19947281.0,20147281.0,2,0,54,2,5,771,6.85,0.26,0.81,6.29,5.33e-10,5.751295564263323e-07,-0.91,0.3612,0.9999556432009742,4.7,0.005354,0.16597689314180214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
7418,chr1,25001639,25001875,N,N,N,N,N,22,Distal,25001757,24898278.0,25101757.0,2,0,22,2,5,771,2.94,1.44,0.56,4.72,2.75e-06,0.0009875742044861764,2.73,0.0065569999999999995,0.15644920642567495,1.28,0.2555,0.8524326049760717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
7465,chr1,25137701,25137925,25137735,25137754,1.38e-05,-,1,6,Distal,25137744,25037340.0,25237744.0,2,0,6,2,5,771,3.06,0.21,0.56,5.02,6.368e-07,0.0002901334131039047,-1.1,0.2699,0.9999556432009742,5.16,0.003573,0.13417831207724198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
10388,chr1,35800089,35800480,N,N,N,N,N,42,Distal,35800284,35700284.0,35900284.0,2,0,42,2,5,771,5.96,0.84,0.63,5.77,1.1340000000000001e-08,8.569467464324918e-06,0.36,0.7219,0.9999556432009742,12.61,5.570000000000001e-05,0.008804935774971297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,AGO4,,0.0,0.0,0.0,0.0,,
10392,chr1,35811275,35811762,N,N,N,N,N,19,Intron,35811518,35711518.0,35911518.0,2,0,19,2,5,771,3.24,0.24,0.58,4.11,4.405e-05,0.009648519710467708,-0.83,0.4044,0.9999556432009742,12.88,5.033e-05,0.008103047607577175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,AGO4,,0.0,0.0,0.0,0.0,,
