id,chr,start,end,motif_start,motif_end,motif_pvalue,motif_strand,#motifs,occupancy_score,annotation,mid_position,domain_100k_1M_left,domain_100k_1M_right,cancer_peaks,normal_peaks,all_peaks,cancer_total,normal_total,all_total,cancer_mean,normal_mean,ctrl_mean,cancer_vs_other_stats,cancer_vs_other_pvalue,cancer_vs_other_adjp,normal_vs_other_stats,normal_vs_other_pvalue,normal_vs_other_adjp,cancer_vs_normal_stats,cancer_vs_normal_pvalue,cancer_vs_normal_adjp,promoter_allgenes,promoter_allgenes_pos,promoter_allgenes_hicor,promoter_allgenes_hicor_pos,promoter_upgenes,promoter_upgenes_pos,promoter_upgenes_hicor,promoter_upgenes_hicor_pos,promoter_upgenes_names,promoter_upgenes_hicor_names,promoter_dngenes,promoter_dngenes_pos,promoter_dngenes_hicor,promoter_dngenes_hicor_pos,promoter_dngenes_names,promoter_dngenes_hicor_names,domain_allgenes,domain_allgenes_pos,domain_allgenes_hicor,domain_allgenes_hicor_pos,domain_upgenes,domain_upgenes_pos,domain_upgenes_hicor,domain_upgenes_hicor_pos,domain_upgenes_names,domain_upgenes_hicor_names,domain_dngenes,domain_dngenes_pos,domain_dngenes_hicor,domain_dngenes_hicor_pos,domain_dngenes_names,domain_dngenes_hicor_names,differential_methy_EachSide150bp,DE_count_EachSide150bp,differential_methy_motif,DE_count_motif,if_intra_domain_notch,notch_center,if_intra_domain_dynamic_notch,dynamic_notch_center,if_intra_domain_MYC,PD31_peak,PD9_peak,all_patients_peaks
5009,chr1,16960593,16961001,16960730,16960749,4.22e-06,-,2,671,Intron,16960739,16860739.0,17060739.0,1,3,671,8,3,771,1.4,17.11,14.52,-4.9,1.189e-06,0.00011381285887096773,0.59,0.5539,0.9168571357814068,-10.19,3.056e-06,0.0006593039874647446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,95.29428885714287,7,,0,1,"16896262,16905202,16913931,17054083",0,,1,1,1,2
13782,chr1,47432406,47432711,47432552,47432571,6.76e-06,+,2,661,Exon,47432561,47332561.0,47532561.0,0,2,661,8,3,771,1.58,12.55,17.89,-6.12,1.486e-09,3.2404355210643017e-07,-1.22,0.2216,0.9168571357814068,-3.22,0.01052,0.4505582356600722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0,1,"47333758,47334268,47437932",0,,1,0,0,0
14984,chr1,52921502,52921981,52921772,52921791,1.86e-05,-,1,669,Promoter,52921781,52701059.0,53021781.0,0,3,669,8,3,771,3.16,21.97,11.32,-3.83,0.0001384,0.0061481947215590105,3.07,0.0022429999999999998,0.0464432822124639,-6.64,9.503e-05,0.016701916739851927,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,ECHDC2,ECHDC2,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,ECHDC2,ECHDC2,11.967254375000005,24,,0,1,"52726489,53014903",0,,0,1,1,2
15561,chr1,54801082,54801742,54801306,54801325,1.39e-05,-,1,581,Promoter,54801315,54701315.0,54945288.0,0,3,581,8,3,771,1.06,13.51,6.93,-2.96,0.003199,0.07319477436187184,2.03,0.04255,0.4664138263486402,-12.89,4.179e-07,9.31876042746114e-05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,TTC22,,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,DHCR24,,1.0,1.0,0.0,0.0,TTC22,,61.73740600000001,7,,0,1,"54715808,54764507,54764811,54887114",0,,1,1,1,2
31839,chr1,148361419,148361754,148361568,148361587,2.48e-06,+,1,546,Promoter,148361577,148255043.0,148461577.0,1,2,546,8,3,771,1.12,15.16,6.26,-2.78,0.005525,0.1101430580893638,2.93,0.003437,0.06659715930648204,-4.21,0.002286,0.1930269464000981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0,1,148402349,0,,0,1,1,2
32188,chr1,150213521,150214295,N,N,N,N,N,557,Distal,150213908,150113908.0,150313908.0,1,3,557,8,3,771,0.74,9.23,4.07,-3.23,0.001308,0.036810773117488337,3.06,0.002309,0.04762366112409371,-5.34,0.00047000000000000004,0.06290078343701401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ANP32E,,0.0,0.0,0.0,0.0,,,,0,,0,1,"150150070,150236068,150269045",0,,1,1,1,2
32837,chr1,151909171,151909903,N,N,N,N,N,556,Promoter,151909537,151809537.0,152009537.0,0,2,556,8,3,771,0.22,5.53,5.04,-3.79,0.0001601,0.0069245135955267965,0.24,0.813,0.9541123112249856,-4.39,0.001744,0.16200515126163811,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,THEM4,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,3.0,0.0,0.0,"C2CD4D,THEM4,THEM5",,86.5750129090909,22,,0,1,"151817697,151821284,151826071",0,,0,0,0,0
34415,chr1,156813779,156814125,156813981,156814000,4.08e-05,+,1,623,Promoter,156813990,156713990.0,156913990.0,0,3,623,8,3,771,0.28,17.66,11.48,-4.33,1.722e-05,0.0010932079841386943,1.46,0.145,0.8957484296482411,-26.63,7.18e-10,1.6388992771883292e-07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,SH2D2A,,96.23660376363637,11,,0,1,"156741299,156751890,156767257,156816891",0,,1,0,0,0
46600,chr1,201170555,201171569,201170809,201170828,3.32e-06,-,4,644,Promoter,201170818,201070818.0,201270818.0,1,2,644,8,3,771,0.45,3.56,4.62,-4.28,2.125e-05,0.0013034942751492472,-0.66,0.5076,0.9168571357814068,-4.08,0.00277,0.2185363660325464,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,74.53794257391306,23,87.604118,1,1,201154532,0,,0,0,0,0
49090,chr1,207823924,207824269,N,N,N,N,N,579,Distal,207824096,207724096.0,207924096.0,0,3,579,8,3,771,1.04,20.98,12.71,-3.22,0.0013449999999999998,0.0376458369247032,1.4,0.1631,0.9168571357814068,-10.37,2.6519999999999998e-06,0.0005735826918001884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,86.298456,1,,0,1,"207862078,207869197,207873147",1,207869001,0,0,1,1
53664,chr1,223712170,223712593,223712364,223712383,1.94e-05,+,1,667,Intron,223712373,223612373.0,223812373.0,0,2,667,8,3,771,2.43,7.22,12.66,-3.71,0.0002247,0.009107983767074892,-1.21,0.2275,0.9168571357814068,-1.69,0.1251,0.749456959871834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,CAPN2,,23.688684615384606,26,,0,0,,0,,0,0,1,1
60718,chr2,290073,290446,N,N,N,N,N,635,Promoter,290259,190259.0,637174.0,1,3,635,8,3,771,1.52,13.15,12.78,-4.3,1.936e-05,0.0012052799276541866,0.09,0.9303,0.983083535748604,-8.88,9.54e-06,0.0019907889239163387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,17.169735600000006,5,,0,0,,0,,1,0,1,1
66639,chr2,20635870,20636294,N,N,N,N,N,719,Intron,20636082,20411604.0,20736082.0,0,2,719,8,3,771,0.4,7.74,19.63,-7.11,2.6619999999999998e-12,1.0544292278481011e-09,-2.69,0.007298999999999998,0.12406101451744316,-4.38,0.001782,0.16444778525469167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,RHOB,RHOB,,0,,0,1,20651114,0,,0,0,0,0
