id,chr,start,end,motif_start,motif_end,motif_pvalue,motif_strand,#motifs,occupancy_score,annotation,mid_position,domain_100k_1M_left,domain_100k_1M_right,cancer_peaks,normal_peaks,all_peaks,cancer_total,normal_total,all_total,cancer_mean,normal_mean,ctrl_mean,cancer_vs_other_stats,cancer_vs_other_pvalue,cancer_vs_other_adjp,normal_vs_other_stats,normal_vs_other_pvalue,normal_vs_other_adjp,cancer_vs_normal_stats,cancer_vs_normal_pvalue,cancer_vs_normal_adjp,promoter_allgenes,promoter_allgenes_pos,promoter_allgenes_hicor,promoter_allgenes_hicor_pos,promoter_upgenes,promoter_upgenes_pos,promoter_upgenes_hicor,promoter_upgenes_hicor_pos,promoter_upgenes_names,promoter_upgenes_hicor_names,promoter_dngenes,promoter_dngenes_pos,promoter_dngenes_hicor,promoter_dngenes_hicor_pos,promoter_dngenes_names,promoter_dngenes_hicor_names,domain_allgenes,domain_allgenes_pos,domain_allgenes_hicor,domain_allgenes_hicor_pos,domain_upgenes,domain_upgenes_pos,domain_upgenes_hicor,domain_upgenes_hicor_pos,domain_upgenes_names,domain_upgenes_hicor_names,domain_dngenes,domain_dngenes_pos,domain_dngenes_hicor,domain_dngenes_hicor_pos,domain_dngenes_names,domain_dngenes_hicor_names,differential_methy_EachSide150bp,DE_count_EachSide150bp,differential_methy_motif,DE_count_motif
2563,chr1,8551093,8551370,N,N,N,N,N,52,Intron,8551231,8409172.0,8671507.0,43,0,52,45,5,771,11.14,0.8,1.23,21.14,2.733999999999999e-79,1.4478191430769224e-74,-0.32,0.7526,0.9884149826229272,6.73,1.941e-08,5.665397646909181e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-67.0,4,,0
6136,chr1,20899191,20899494,20899344,20899363,4.62e-05,-,1,66,Intron,20899353,20696592.0,21195365.0,41,0,66,45,5,771,8.48,0.24,1.0,22.18,1.6949999999999988e-85,1.9941493366666652e-80,-0.8,0.4247,0.9858036322454572,5.6,1.026e-06,2.048990931770713e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,SH2D5,,1.0,0.0,0.0,0.0,KIF17,,-62.5,8,-68.875,4
8840,chr1,29880506,29880982,29880746,29880765,1.29e-05,-,1,150,Distal,29880755,29780755.0,30086135.0,38,0,150,45,5,771,3.7,0.29,1.07,11.13,7.203e-27,1.7368665803852888e-24,-1.13,0.2581,0.9858036322454572,6.0,2.487e-07,5.7091697722498226e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-71.0,2,,0
11284,chr1,39136683,39137063,39136830,39136849,3.71e-06,+,1,154,Intron,39136839,39036839.0,39236839.0,37,0,154,45,5,771,4.7,2.04,1.55,12.27,7.613e-32,2.8608133062227075e-29,0.66,0.5127,0.9858036322454572,2.94,0.00509,0.03460603819982816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-7.875,4,-21.75,2
11862,chr1,40944351,40944596,40944457,40944476,2.39e-06,-,1,113,Distal,40944466,40844466.0,41044466.0,24,0,113,45,5,771,6.31,1.28,2.85,7.19,1.4530000000000002e-12,7.957735377883851e-11,-1.11,0.2681,0.9858036322454572,4.95,9.668e-06,0.00015350288456837102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,CITED4,,0.0,0.0,0.0,0.0,,,-38.92857142857143,7,,0
14927,chr1,52662535,52662954,N,N,N,N,N,82,Distal,52662744,52404904.0,52762744.0,24,0,82,45,5,771,3.49,0.36,1.14,9.62,8.467e-21,1.12876226626646e-18,-1.09,0.2747,0.9858036322454572,4.81,1.514e-05,0.00022859557100559283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,COA7,,1.0,0.0,0.0,0.0,GPX7,,-75.25,4,-77.75,2
15725,chr1,55443664,55444134,N,N,N,N,N,123,Distal,55443899,55338293.0,55702265.0,37,0,123,45,5,771,4.51,0.91,1.05,15.82,2.692999999999999e-49,4.297900493055556e-46,-0.21,0.8329,0.9915298778390284,4.18,0.000123,0.0014488282487809053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-53.0,6,,0
15744,chr1,55507028,55507394,N,N,N,N,N,83,Distal,55507211,55338293.0,55702265.0,35,0,83,45,5,771,5.14,0.18,0.99,16.69,6.114e-54,1.5531567918819183e-50,-1.15,0.2523,0.9858036322454572,4.66,2.525e-05,0.0003592162230580067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
18085,chr1,65992441,65992820,N,N,N,N,N,110,Intron,65992630,65892630.0,66242881.0,33,0,110,45,5,771,4.49,0.26,1.21,13.71,1.2539999999999999e-38,8.522112201382031e-36,-1.35,0.17600000000000002,0.9774797628171512,5.92,3.306e-07,7.386558074776062e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-62.83333333333333,6,,0
22574,chr1,91844897,91845445,91845324,91845343,4.55e-05,+,1,93,Intron,91845333,91511586.0,91945333.0,28,0,93,45,5,771,3.16,0.8,1.02,11.77,1.239e-29,3.8525904742547425e-27,-0.42,0.675,0.9858036322454572,3.4,0.001348,0.011449326884877795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,TGFBR3,,-38.8,5,,0
