id,chr,start,end,motif_start,motif_end,motif_pvalue,motif_strand,#motifs,occupancy_score,annotation,mid_position,domain_100k_1M_left,domain_100k_1M_right,cancer_peaks,normal_peaks,all_peaks,cancer_total,normal_total,all_total,cancer_mean,normal_mean,ctrl_mean,cancer_vs_other_stats,cancer_vs_other_pvalue,cancer_vs_other_adjp,normal_vs_other_stats,normal_vs_other_pvalue,normal_vs_other_adjp,cancer_vs_normal_stats,cancer_vs_normal_pvalue,cancer_vs_normal_adjp,promoter_allgenes,promoter_allgenes_pos,promoter_allgenes_hicor,promoter_allgenes_hicor_pos,promoter_upgenes,promoter_upgenes_pos,promoter_upgenes_hicor,promoter_upgenes_hicor_pos,promoter_upgenes_names,promoter_upgenes_hicor_names,promoter_dngenes,promoter_dngenes_pos,promoter_dngenes_hicor,promoter_dngenes_hicor_pos,promoter_dngenes_names,promoter_dngenes_hicor_names,domain_allgenes,domain_allgenes_pos,domain_allgenes_hicor,domain_allgenes_hicor_pos,domain_upgenes,domain_upgenes_pos,domain_upgenes_hicor,domain_upgenes_hicor_pos,domain_upgenes_names,domain_upgenes_hicor_names,domain_dngenes,domain_dngenes_pos,domain_dngenes_hicor,domain_dngenes_hicor_pos,domain_dngenes_names,domain_dngenes_hicor_names
15480,chr1,54499394,54499867,54499610,54499629,6.7e-06,+,1,591,Distal,54499619,54399619.0,54672218.0,0,4,591,2,5,771,0.74,7.44,4.62,-1.7,0.08997000000000001,0.9999639113286896,1.94,0.0532,0.7158660464025332,-2.73,0.04147,0.5066307719472591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
23449,chr1,94926050,94926816,N,N,N,N,N,559,Promoter,94926433,94826433.0,95043610.0,0,4,559,2,5,771,0.65,2.38,4.5,-1.52,0.13,0.9999639113286896,-1.32,0.187,0.9999556432009742,-2.77,0.03932,0.4930785871980765,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,CNN3,CNN3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,CNN3,CNN3
30557,chr1,143194665,143195698,N,N,N,N,N,558,Distal,143195181,142195181.0,143698225.0,0,3,558,2,5,771,0.62,2.23,6.37,-0.84,0.401,0.9999639113286896,-0.96,0.3386,0.9999556432009742,-1.33,0.241,0.8524326049760717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
56210,chr1,231691648,231692178,231691838,231691857,3.01e-05,-,1,614,Intron,231691847,231591847.0,231791847.0,0,4,614,2,5,771,0.73,3.5,8.12,-1.7,0.09024,0.9999639113286896,-1.68,0.09385,0.9899647838011768,-1.97,0.106,0.7702092353158478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DISC1,,0.0,0.0,0.0,0.0,,
65028,chr2,14634391,14634713,14634528,14634547,2.39e-07,-,3,541,Promoter,14634537,13634537.0,14903971.0,0,4,541,2,5,771,0.54,8.12,11.88,-1.36,0.1736,0.9999639113286896,-0.71,0.476,0.9999556432009742,-2.39,0.06213,0.6166235676493909,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
89477,chr2,113199019,113199405,113199268,113199287,9.47e-08,-,1,653,Intron,113199277,113099277.0,113299277.0,0,5,653,2,5,771,1.48,19.7,21.23,-2.35,0.01915,0.8664748833388105,-0.29,0.7742,0.9999556432009742,-1.95,0.1082,0.7770095217232567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
92177,chr2,126886359,126886731,126886481,126886500,8.46e-06,-,1,607,Distal,126886490,126777554.0,127068235.0,0,5,607,2,5,771,0.82,15.97,12.13,-1.9,0.0581,0.9999639113286896,1.02,0.309,0.9999556432009742,-3.39,0.01949,0.34133356763082245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
105796,chr2,188291476,188292177,188291851,188291870,2.83e-05,+,1,640,Promoter,188291860,188191860.0,188391860.0,0,4,640,2,5,771,0.27,4.38,6.99,-2.16,0.03137,0.9999639113286896,-1.32,0.18600000000000005,0.9999556432009742,-2.12,0.08701,0.7133716046943439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
127204,chr3,27721524,27722118,27721707,27721726,4.11e-06,+,2,573,Promoter,27721716,27621716.0,28286797.0,0,4,573,2,5,771,4.39,4.57,9.53,-0.88,0.379,0.9999639113286896,-1.34,0.1799,0.9999556432009742,-0.06,0.9545,0.9871161913646456,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
141942,chr3,89114373,89114971,89114504,89114523,2.21e-06,-,3,627,Intron,89114513,88219434.0,89214513.0,0,5,627,2,5,771,0.61,6.83,9.4,-1.88,0.06006,0.9999639113286896,-0.87,0.3829,0.9999556432009742,-4.69,0.005383,0.16631421358046852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
