id,chr,start,end,motif_start,motif_end,motif_pvalue,motif_strand,#motifs,occupancy_score,annotation,mid_position,domain_100k_1M_left,domain_100k_1M_right,cancer_peaks,normal_peaks,all_peaks,cancer_total,normal_total,all_total,cancer_mean,normal_mean,ctrl_mean,cancer_vs_other_stats,cancer_vs_other_pvalue,cancer_vs_other_adjp,normal_vs_other_stats,normal_vs_other_pvalue,normal_vs_other_adjp,cancer_vs_normal_stats,cancer_vs_normal_pvalue,cancer_vs_normal_adjp,promoter_allgenes,promoter_allgenes_pos,promoter_allgenes_hicor,promoter_allgenes_hicor_pos,promoter_upgenes,promoter_upgenes_pos,promoter_upgenes_hicor,promoter_upgenes_hicor_pos,promoter_upgenes_names,promoter_upgenes_hicor_names,promoter_dngenes,promoter_dngenes_pos,promoter_dngenes_hicor,promoter_dngenes_hicor_pos,promoter_dngenes_names,promoter_dngenes_hicor_names,domain_allgenes,domain_allgenes_pos,domain_allgenes_hicor,domain_allgenes_hicor_pos,domain_upgenes,domain_upgenes_pos,domain_upgenes_hicor,domain_upgenes_hicor_pos,domain_upgenes_names,domain_upgenes_hicor_names,domain_dngenes,domain_dngenes_pos,domain_dngenes_hicor,domain_dngenes_hicor_pos,domain_dngenes_names,domain_dngenes_hicor_names
3162,chr1,10530277,10530647,10530472,10530491,6.29e-05,-,1,581,Intron,10530481,10430481.0,10692565.0,4,4,581,20,4,771,1.88,15.43,9.6,-4.19,3.108e-05,0.0011511472168720075,1.41,0.1578,0.9999551956664162,-10.02,1.159e-09,7.162380709156194e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
6388,chr1,21814381,21814866,21814662,21814681,1.4e-05,+,2,547,Exon,21814671,21703489.0,21964170.0,3,4,547,20,4,771,0.82,6.88,6.24,-4.62,4.398e-06,0.00021049156993882087,0.25,0.8061,0.9999551956664162,-10.39,5.943e-10,3.9189018649425287e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,"HSPG2,LDLRAD2",
9416,chr1,31939855,31940140,31939994,31940013,1.02e-06,+,3,591,Promoter,31940003,31816116.0,32040003.0,3,3,591,20,4,771,3.92,9.21,12.54,-6.22,7.908e-10,8.435228590021693e-08,-1.08,0.2794,0.9999551956664162,-1.91,0.06948,0.5121094507612257,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
28961,chr1,116168163,116168757,116168535,116168554,1.69e-07,-,2,665,Distal,116168544,116068544.0,116268544.0,0,4,665,20,4,771,0.42,18.57,14.26,-7.84,1.481e-14,3.477364764665757e-12,1.09,0.2753,0.9999551956664162,-33.26,2.631e-20,2.6023803146551718e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
31839,chr1,148361419,148361754,148361568,148361587,2.48e-06,+,1,546,Promoter,148361577,148255043.0,148461577.0,4,4,546,20,4,771,1.66,6.29,6.29,-3.92,9.726e-05,0.00304972008836256,-0.0,0.9973,0.9999551956664162,-6.14,3.5419999999999997e-06,0.0006493783003994673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
32188,chr1,150213521,150214295,N,N,N,N,N,557,Distal,150213908,150113908.0,150313908.0,1,4,557,20,4,771,0.96,4.98,4.08,-4.73,2.611e-06,0.00013266574057125988,0.61,0.5404,0.9999551956664162,-7.43,1.9760000000000002e-07,6.63578392195122e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
36953,chr1,166884329,166884673,166884476,166884495,2.13e-06,+,1,551,Distal,166884485,166479218.0,166984485.0,0,4,551,20,4,771,0.82,11.48,9.23,-5.11,4.06e-07,2.507420597470171e-05,0.61,0.5413,0.9999551956664162,-19.98,1.36e-15,1.300365888888889e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
41262,chr1,181135252,181135729,N,N,N,N,N,557,Distal,181135490,181035490.0,181235490.0,2,4,557,20,4,771,1.18,4.48,5.03,-5.4,8.955e-08,6.413067403516073e-06,-0.34,0.7317,0.9999551956664162,-9.11,6.341e-09,3.389230038043478e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
48715,chr1,206808664,206808986,206808888,206808907,7.28e-05,+,1,550,Distal,206808897,206708897.0,206911283.0,3,2,550,20,4,771,4.67,5.25,9.42,-3.52,0.0004559,0.010948295290752436,-1.4,0.1622,0.9999551956664162,-0.2,0.8443,0.9589055591850204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
52141,chr1,218351477,218351913,N,N,N,N,N,552,Intron,218351695,218251695.0,218521782.0,3,4,552,20,4,771,1.61,3.07,6.18,-4.12,4.128e-05,0.0014709290434782606,-1.25,0.21,0.9999551956664162,-1.57,0.1317,0.6648342008007392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
