id,chr,start,end,motif_start,motif_end,motif_pvalue,motif_strand,#motifs,occupancy_score,annotation,mid_position,domain_100k_1M_left,domain_100k_1M_right,cancer_peaks,normal_peaks,all_peaks,cancer_total,normal_total,all_total,cancer_mean,normal_mean,ctrl_mean,cancer_vs_other_stats,cancer_vs_other_pvalue,cancer_vs_other_adjp,normal_vs_other_stats,normal_vs_other_pvalue,normal_vs_other_adjp,cancer_vs_normal_stats,cancer_vs_normal_pvalue,cancer_vs_normal_adjp,promoter_allgenes,promoter_allgenes_pos,promoter_allgenes_hicor,promoter_allgenes_hicor_pos,promoter_upgenes,promoter_upgenes_pos,promoter_upgenes_hicor,promoter_upgenes_hicor_pos,promoter_upgenes_names,promoter_upgenes_hicor_names,promoter_dngenes,promoter_dngenes_pos,promoter_dngenes_hicor,promoter_dngenes_hicor_pos,promoter_dngenes_names,promoter_dngenes_hicor_names,domain_allgenes,domain_allgenes_pos,domain_allgenes_hicor,domain_allgenes_hicor_pos,domain_upgenes,domain_upgenes_pos,domain_upgenes_hicor,domain_upgenes_hicor_pos,domain_upgenes_names,domain_upgenes_hicor_names,domain_dngenes,domain_dngenes_pos,domain_dngenes_hicor,domain_dngenes_hicor_pos,domain_dngenes_names,domain_dngenes_hicor_names,differential_methy_EachSide150bp,DE_count_EachSide150bp,differential_methy_motif,DE_count_motif
349,chr1,1399355,1399798,1399781,1399800,5.38e-05,-,1,591,Promoter,1399790,1122262.0,1499790.0,5,5,591,45,5,771,2.22,28.33,8.66,-6.49,1.485e-10,6.2707297123228845e-09,6.58,8.652e-11,2.1743301335766423e-08,-19.82,9.281e-25,8.440303235138707e-22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,15.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,SDF4,,3.0,2.0,0.0,0.0,"TAS1R3,TNFRSF18,TTLL10",,-0.3636363636363637,11,,0
4918,chr1,16709698,16710036,16709955,16709974,1.37e-06,+,2,602,Intron,16709964,16609964.0,16951876.0,8,5,602,45,5,771,2.12,24.76,10.2,-6.07,2.0100000000000003e-09,7.226563035303951e-08,3.65,0.0002852,0.012280457267950963,-15.51,2.508e-20,9.57615048252912e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,MST1L,,,0,,0
6388,chr1,21814381,21814866,21814662,21814681,1.4e-05,+,2,547,Exon,21814671,21703489.0,21964170.0,4,5,547,45,5,771,1.02,9.15,6.22,-6.67,4.854e-11,2.1880790767417494e-09,1.25,0.2129,0.9858036322454572,-16.54,1.8700000000000002e-21,9.37627261471231e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,68.0,15,0.0,1
15561,chr1,54801082,54801742,54801306,54801325,1.39e-05,-,1,581,Promoter,54801315,54701315.0,54945288.0,9,5,581,45,5,771,1.56,12.04,6.92,-6.37,3.247e-10,1.3075922568002342e-08,2.04,0.0419,0.5460722620828048,-9.69,7.039e-13,5.0912499800378226e-11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,TTC22,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,1.0,0.0,0.0,"DHCR24,TTC22",,48.85,10,,0
25944,chr1,108049565,108049958,108049675,108049694,8.83e-05,+,1,562,Distal,108049684,107782385.0,108149684.0,7,5,562,45,5,771,1.36,7.94,6.18,-6.91,1.0119999999999998e-11,4.992405216768182e-10,0.84,0.3989,0.9858036322454572,-6.79,1.554e-08,4.6264429423975107e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-27.08333333333333,6,,0
26336,chr1,109282767,109283677,109283450,109283469,3.51e-06,-,3,607,Promoter,109283459,109183459.0,109399566.0,8,5,607,45,5,771,1.42,12.3,4.9,-6.62,6.679000000000001e-11,2.953505454136691e-09,4.69,3.302e-06,0.000257206670966282,-21.7,1.859e-26,2.0708568139158566e-23,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PSRC1,,0.0,0.0,0.0,0.0,,,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,PSRC1,,2.0,2.0,1.0,1.0,"MYBPHL,SORT1",SORT1,0.8888888888888888,18,0.0,2
29826,chr1,118305000,118305355,118305008,118305027,1.9e-05,-,2,543,Distal,118305017,118151520.0,119008875.0,7,4,543,45,5,771,1.45,4.93,5.99,-7.04,4.13e-12,2.137753210526316e-10,-0.55,0.5820000000000001,0.9858036322454572,-5.77,5.549e-07,1.1795505838942752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-39.58333333333333,6,,0
119423,chr2,241610229,241610537,N,N,N,N,N,565,Intron,241610383,241392280.0,241710383.0,0,5,565,45,5,771,0.13,27.09,12.57,-8.6,4.013e-17,3.670828563646028e-15,3.35,0.0008585000000000001,0.030750067455775236,-50.03,4.502e-43,8.008546144702841e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,49.771428571428565,35,64.25,2
131625,chr3,45906836,45907152,45906998,45907017,2.43e-05,-,1,546,Intron,45907007,45761297.0,46007007.0,6,4,546,45,5,771,1.5,3.34,7.95,-6.8,2.0530000000000002e-11,9.735790707446444e-10,-1.62,0.1057,0.8461666275175591,-2.99,0.004413,0.030771788925127625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,"CCR9,SLC6A20",,-29.599999999999994,5,-63.0,1
134165,chr3,54951411,54951751,54951552,54951571,2.41e-05,+,1,551,Intron,54951561,54851561.0,55181151.0,9,5,551,45,5,771,1.71,6.49,7.87,-6.03,2.47e-09,8.765501469147892e-08,-0.45,0.6529,0.9858036322454572,-10.58,3.908e-14,3.722679579355197e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,LRTM1,,-37.68181818181819,11,-58.5,1
137852,chr3,66500669,66501649,66501110,66501129,9.44e-06,-,3,549,Promoter,66501119,66401119.0,66816351.0,6,5,549,45,5,771,1.23,13.37,3.83,-5.39,9.198999999999999e-08,2.5204403291411285e-06,6.57,9.539e-11,2.367312267844268e-08,-19.9,7.897999999999998e-25,7.239963038615179e-22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,LRIG1,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,LRIG1,,0.0,3,,0
162964,chr3,175941430,175941782,175941623,175941642,1.73e-07,-,2,553,Distal,175941632,174941632.0,176430468.0,9,3,553,45,5,771,2.16,2.62,7.27,-6.57,9.023e-11,3.9289657602783046e-09,-2.01,0.04527,0.5703834409487728,-0.39,0.6972,0.8502405587815359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,NAALADL2,,,0,,0
165301,chr3,184811901,184812260,184812087,184812106,3.14e-06,+,1,623,Promoter,184812096,184712096.0,184912096.0,9,5,623,45,5,771,2.89,20.11,8.97,-6.06,2.0849999999999997e-09,7.479024932263441e-08,3.73,0.00020180000000000005,0.009137396224677716,-8.87,1.106e-11,6.248686696758307e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-0.234375,32,8.5,1
169289,chr3,197632017,197632379,197632144,197632163,1.5e-06,-,2,606,Distal,197632153,197532153.0,197943173.0,9,3,606,45,5,771,2.26,9.37,6.42,-6.15,1.219e-09,4.5200632931164505e-08,1.47,0.1427,0.9327916509205542,-5.51,1.373e-06,2.6625718788732395e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-26.16666666666667,3,,0
178439,chr4,46648137,46648471,46648325,46648344,2.05e-07,-,2,564,Distal,46648334,45648334.0,46844521.0,9,2,564,45,5,771,1.92,1.96,9.78,-6.99,5.787000000000001e-12,2.9429996476324163e-10,-2.32,0.02044,0.35154992280210856,-0.04,0.9686,0.9864437929748986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-41.66666666666666,3,,0
191781,chr4,126405070,126405731,126405572,126405591,1.05e-06,-,2,576,Distal,126405581,125405581.0,126604477.0,6,4,576,45,5,771,0.89,2.9,3.92,-7.98,4.8369999999999995e-15,3.528216860563678e-13,-0.9,0.3672,0.9858036322454572,-3.15,0.002826,0.021280206884482025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,FAT4,,-23.0,1,,0
193716,chr4,139734750,139735274,139734967,139734986,7.83e-06,+,1,593,Intron,139734976,139634976.0,140012818.0,1,5,593,45,5,771,0.41,21.33,9.08,-8.56,5.745e-17,5.18419793550924e-15,4.03,6.152e-05,0.0033105723505041816,-36.27,1.528e-36,2.649671314861461e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,MGST2,,0.0,0.0,0.0,0.0,,,58.11428571428571,35,50.0,1
197341,chr4,158170459,158170975,158170727,158170746,5.55e-08,+,1,586,Exon,158170736,157992231.0,158270736.0,5,5,586,45,5,771,2.21,8.89,7.62,-6.77,2.5010000000000003e-11,1.171744201034436e-09,0.53,0.596,0.9858036322454572,-9.34,2.286e-12,1.4915635427921526e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-17.833333333333336,6,,0
223839,chr5,95554890,95555563,95555221,95555240,1.72e-05,+,2,565,Promoter,95555230,95261512.0,95655230.0,7,5,565,45,5,771,1.6,10.88,3.91,-5.54,4.037e-08,1.1776219800847455e-06,5.57,3.5830000000000004e-08,4.680533409867173e-06,-17.01,5.889e-22,3.3176418829787233e-19,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,"FAM81B,MCTP1",,0.04347826086956525,23,0.0,2
228279,chr5,119267934,119268311,N,N,N,N,N,566,Promoter,119268122,118988217.0,119368122.0,1,5,566,45,5,771,1.58,13.69,9.17,-7.23,1.1020000000000002e-12,6.12653442622951e-11,1.43,0.1528,0.9497029802370828,-11.79,8.705e-16,1.2121640653185037e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,DMXL1,,48.73214285714285,28,42.75,4
233828,chr5,141412805,141413105,N,N,N,N,N,595,Promoter,141412955,141312955.0,141512955.0,8,3,595,45,5,771,2.31,7.21,12.91,-8.84,6.022e-18,6.011774127030161e-16,-1.6,0.1104,0.860020160003621,-2.35,0.02278,0.11389983455108,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,PCDHGA10,,24.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,TAF7,,14.0,0.0,2.0,0.0,"PCDHGA10,PCDHGA11,PCDHGA12,PCDHGA4,PCDHGA5,PCDHGA6,PCDHGA8,PCDHGA9,PCDHGB2,PCDHGB6,PCDHGB7,PCDHGB8P,PCDHGC3,PCDHGC5","PCDHGA5,PCDHGB8P",28.75,10,67.5,2
241166,chr5,172770523,172771332,172770720,172770739,3.32e-06,+,3,541,Promoter,172770729,172670729.0,172870729.0,4,5,541,45,5,771,3.82,18.01,7.82,-4.76,2.3359999999999997e-06,4.8347116736313626e-05,4.03,6.024e-05,0.003252114410288582,-12.18,2.688e-16,4.200901593643586e-14,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-0.21621621621621626,37,,0
243393,chr5,179677981,179679429,179679370,179679389,4.3e-05,-,2,542,Promoter,179679379,179579379.0,179779379.0,8,5,542,45,5,771,1.38,9.48,3.32,-5.04,5.846e-07,1.371322043750852e-05,5.32,1.381e-07,1.543377352272727e-05,-18.01,5.365e-23,3.7307288737373736e-20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,CANX,CANX,0.0,0.0,0.0,0.0,,,29.522727272727266,22,,0
251756,chr6,26216883,26217394,26217214,26217233,1.16e-05,-,1,570,Promoter,26217223,26097459.0,26322195.0,2,5,570,45,5,771,0.39,11.53,5.18,-7.56,1.132e-13,7.056334914885911e-12,3.33,0.0008947000000000002,0.031821524400702635,-14.38,4.996e-19,1.4408844926686218e-16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,"HIST1H2AE,HIST1H2BG",,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,12.0,7.0,0.0,0.0,"HIST1H1D,HIST1H1E,HIST1H2AE,HIST1H2BC,HIST1H2BG,HIST1H2BH,HIST1H2BI,HIST1H3G,HIST1H4D,HIST1H4E,HIST1H4F,HIST1H4H",,76.77,50,75.0,4
255468,chr6,39451789,39452348,N,N,N,N,N,556,Intron,39452068,39352068.0,39892719.0,9,2,556,45,5,771,1.36,1.56,4.59,-6.2,9.233999999999999e-10,3.484980749958883e-08,-1.94,0.05259,0.6189752459352721,-0.39,0.6988,0.8511453928465273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,"DAAM2,KIF6",,-81.625,4,,0
262688,chr6,77620059,77620630,77620481,77620500,2.58e-06,+,1,563,Distal,77620490,77466140.0,78620490.0,8,3,563,45,5,771,1.18,1.42,4.96,-6.92,9.288e-12,4.601747788413098e-10,-2.16,0.03075,0.454821067162255,-0.74,0.4636,0.7046779368969553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
269432,chr6,111872640,111873764,111872707,111872726,2.98e-05,-,5,547,Promoter,111872716,111721832.0,111997335.0,6,5,547,45,5,771,1.2,13.64,3.47,-5.2,2.592e-07,6.531029822121368e-06,7.61,7.857999999999997e-14,4.00420065284974e-11,-12.3,1.8730000000000003e-16,3.0318069997648725e-14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,FYN,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,FYN,,,0,,0
294535,chr7,38354296,38354609,38354446,38354465,1.96e-08,-,2,615,Intron,38354455,38254455.0,38454455.0,2,5,615,45,5,771,0.39,14.31,12.7,-10.09,1.2859999999999998e-22,2.060800032588454e-20,0.44,0.6624,0.9858036322454572,-13.56,4.848e-18,1.1302078537080936e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
299980,chr7,64183002,64183459,64183288,64183307,3.35e-07,+,2,597,Distal,64183297,63183297.0,64951454.0,8,5,597,45,5,771,1.38,16.8,6.53,-5.69,1.768e-08,5.47719589595896e-07,3.79,0.00016269999999999994,0.007605581469409927,-16.9,7.59e-22,4.1767994484412465e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,3.0,0.0,0.0,"ZNF680,ZNF727,ZNF736",,33.833333333333336,6,,0
368159,chr9,22008645,22009734,22008758,22008777,2.17e-07,-,2,587,Promoter,22008767,21813154.0,22452617.0,2,5,587,45,5,771,0.38,18.03,7.86,-8.9,3.689e-18,3.770771463994061e-16,4.04,5.763e-05,0.0031310996188146163,-19.6,1.521e-24,1.3476197027027027e-21,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,CDKN2B,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,"CDKN2A,CDKN2B",,,0,,0
371251,chr9,39559445,39559674,39559556,39559575,4.38e-06,+,1,551,Distal,39559565,38672527.0,40559565.0,8,4,551,45,5,771,3.34,5.08,10.65,-4.95,9.103e-07,2.0542069646310682e-05,-1.26,0.2082,0.9858036322454572,-1.69,0.09824,0.31505345494861786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,GXYLT1P3,,-0.2999999999999972,5,-23.0,1
397357,chr10,10677524,10677829,10677660,10677679,1.88e-06,-,1,570,Distal,10677669,9677669.0,11036636.0,4,5,570,45,5,771,0.94,13.67,7.74,-8.04,3.077e-15,2.291040485615401e-13,2.34,0.01957,0.3420124779142973,-26.85,1.4519999999999995e-30,2.251348891891892e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,CELF2,,3.9166666666666634,6,,0
397514,chr10,11166056,11166409,11166251,11166270,6.65e-05,-,1,601,Intron,11166260,11036617.0,11424707.0,5,4,601,45,5,771,1.17,11.14,8.97,-8.23,7.51e-16,5.983221606295567e-14,0.76,0.4478,0.9858036322454572,-12.78,4.667e-17,8.643793766478344e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-28.6,10,,0
400884,chr10,23656763,23657109,23656915,23656934,9.71e-05,-,1,540,Distal,23656924,23314960.0,23756924.0,6,4,540,45,5,771,1.49,6.12,6.08,-6.07,1.996e-09,7.178853163366598e-08,0.02,0.9865,0.9991598001509016,-6.47,4.732e-08,1.272368873960083e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,2.0,0.0,0.0,"C10orf67,KIAA1217,OTUD1",,,0,,0
423333,chr10,120948772,120949224,120949051,120949070,1.56e-06,+,1,656,Distal,120949060,120735964.0,121049060.0,3,5,656,45,5,771,0.52,12.24,12.83,-10.97,3.498e-26,7.864548145003265e-24,-0.18,0.8599,0.9930929747616716,-31.4,1.182e-33,1.96077850120482e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,29.21052631578948,19,41.333333333333336,3
450508,chr11,107916594,107917239,107916750,107916769,2.33e-07,+,3,588,Distal,107916759,107799393.0,108016759.0,2,5,588,45,5,771,0.75,2.08,9.49,-7.77,2.3740000000000002e-14,1.602127679639251e-12,-2.21,0.02738,0.4237581443762505,-0.82,0.4143,0.6689953550611608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,SLC35F2,,0.0,0.0,0.0,0.0,,,,0,,0
451397,chr11,112004425,112004755,N,N,N,N,N,557,Intron,112004590,111904590.0,112113625.0,9,3,557,45,5,771,2.11,3.63,7.98,-6.1,1.646e-09,5.99013656499445e-08,-1.51,0.1305,0.9090355610644542,-1.31,0.1961,0.4630900134466695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,4.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,"DLAT,SDHD,TIMM8B",,1.0,0.0,0.0,0.0,PIH1D2,,-14.833333333333329,3,,0
453592,chr11,120079740,120080478,120079944,120079963,1.57e-05,-,4,573,Distal,120079953,119979953.0,120179953.0,6,5,573,45,5,771,0.85,5.42,4.01,-6.86,1.4089999999999993e-11,6.825673499401871e-10,1.02,0.3094,0.9858036322454572,-9.33,2.3680000000000004e-12,1.5405404195804198e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,29.3,10,-1.75,2
456061,chr11,129992354,129992816,129992559,129992578,3.45e-06,+,2,549,Intron,129992568,129892568.0,130132442.0,9,4,549,45,5,771,1.32,4.52,4.97,-7.13,2.197e-12,1.1765682714896928e-10,-0.3,0.7663,0.9892200571169264,-7.35,2.148e-09,7.614549392378991e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,15.1875,8,45.0,2
456666,chr11,132312580,132312953,132312796,132312815,5.88e-06,-,2,556,Intron,132312805,131867850.0,132941244.0,8,3,556,45,5,771,1.41,3.78,7.93,-7.39,3.627e-13,2.1376012182176193e-11,-1.57,0.1171,0.8779299083028402,-3.78,0.0004345,0.004343038018700816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-16.916666666666668,12,,0
458419,chr12,3658369,3658723,3658540,3658559,1.67e-07,+,1,588,Intron,3658549,3300669.0,3777406.0,1,4,588,45,5,771,0.68,4.34,8.18,-10.32,1.574e-23,2.757219455470737e-21,-1.76,0.07895,0.7516244821053214,-6.85,1.234e-08,3.7473373886193207e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,PRMT8,,-17.42857142857143,7,-26.0,1
464866,chr12,32302262,32302547,N,N,N,N,N,586,Intron,32302404,32060755.0,32402404.0,2,3,586,45,5,771,1.33,5.41,12.17,-8.7,1.859e-17,1.76303831243973e-15,-1.81,0.07063,0.7147396776422167,-6.47,4.849e-08,1.3008308865248226e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,47.91666666666667,6,,0
470169,chr12,55646093,55646536,55646307,55646326,7.18e-07,+,1,582,Distal,55646316,55546316.0,55746316.0,1,5,582,45,5,771,0.36,28.57,16.62,-9.27,1.607e-19,1.8757297439810102e-17,2.27,0.02333,0.3828617060786651,-46.82,1.0129999999999998e-41,1.7973674664948446e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,75.14516129032258,31,80.16666666666667,3
487481,chr12,121918321,121918623,121918458,121918477,8.46e-06,+,2,556,Promoter,121918467,121812141.0,122018467.0,0,5,556,45,5,771,0.33,36.97,13.73,-8.48,1.05e-16,9.204768241436397e-15,4.9,1.1690000000000002e-06,0.00010318931927170153,-85.55,3.934e-54,7.089737397905755e-51,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,WDR66,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,WDR66,,73.52272727272728,44,72.0,5
490831,chr12,132904802,132905139,132904941,132904960,4.18e-06,+,1,577,Distal,132904950,132768560.0,133181391.0,5,5,577,45,5,771,0.96,22.24,10.21,-7.28,7.701e-13,4.3616550629370624e-11,3.16,0.0016539999999999999,0.05255522782239454,-34.84,9.871000000000001e-36,1.6904185718905474e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,74.23958333333333,48,81.5,4
494972,chr13,32267754,32268203,32268034,32268053,2.6e-05,+,1,644,Intron,32268043,32168043.0,32368043.0,9,5,644,45,5,771,2.17,11.61,9.35,-7.18,1.57e-12,8.55970167102241e-11,0.76,0.4471,0.9858036322454572,-6.61,2.866e-08,8.066713741363097e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-39.85714285714286,7,,0
498431,chr13,45340299,45341860,45340602,45340621,1.79e-06,+,4,612,Promoter,45340611,45240611.0,45440611.0,8,5,612,45,5,771,0.94,9.5,2.96,-4.67,3.6039999999999997e-06,7.133076836385591e-05,5.02,6.57e-07,6.218862271414823e-05,-15.68,1.6230000000000003e-20,6.507398177053001e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-1.4285714285714286,7,,0
571175,chr16,68382230,68382583,N,N,N,N,N,539,Intron,68382406,68282406.0,68510356.0,9,4,539,45,5,771,2.06,4.79,6.32,-5.57,3.526e-08,1.0393494557910516e-06,-0.67,0.503,0.9858036322454572,-3.15,0.002846,0.021403418549268083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,SMPD3,,-40.50000000000001,6,,0
