chr,start,end,id,motif_start,motif_end,motif_pvalue,motif_strand,#motifs,occupancy_score,annotation,mid_position
chr1,267904,268181,24,267998,268017,2.63e-06,+,2,727,Distal,268007
chr1,586013,586347,34,586152,586171,1.48e-06,+,3,669,Distal,586161
chr1,633832,634126,51,N,N,N,N,N,641,Promoter,633979
chr1,778338,779043,65,778800,778819,2.03e-06,-,2,705,Promoter,778809
chr1,869654,870051,108,869917,869936,1.05e-08,+,2,728,Intron,869926
chr1,904589,904942,118,904767,904786,2.25e-10,+,2,739,Distal,904776
chr1,938010,938453,134,938241,938260,9.26e-07,-,2,636,Intron,938250
chr1,976056,976459,153,976207,976226,1.52e-05,-,2,698,Exon,976216
chr1,983928,984539,155,984316,984335,3.57e-10,+,2,734,Distal,984325
chr1,1001833,1002398,160,1002025,1002044,7.42e-07,-,2,742,Promoter,1002034
chr1,1019139,1019588,166,1019440,1019459,1.03e-05,+,2,656,Promoter,1019449
chr1,1032896,1033256,175,1033096,1033115,9.05e-06,+,3,643,Intron,1033105
chr1,1063557,1064167,189,1063963,1063982,8.96e-10,-,3,742,Distal,1063972
chr1,1122085,1122509,212,1122262,1122281,4.42e-06,+,1,748,Distal,1122271
chr1,1290068,1290547,294,1290330,1290349,4.62e-06,-,2,680,Exon,1290339
chr1,1291865,1292194,295,1292017,1292036,1.37e-06,-,1,715,Exon,1292026
chr1,1372099,1372456,339,1372223,1372242,1.24e-06,-,1,757,Distal,1372232
chr1,1402013,1402534,351,1402158,1402177,1.28e-07,-,1,646,Exon,1402167
chr1,1440944,1441439,367,1441066,1441085,7.98e-08,-,2,752,Exon,1441075
chr1,1504779,1505239,384,N,N,N,N,N,704,Distal,1505009
chr1,1665685,1666042,437,1665865,1665884,4.16e-07,-,1,692,Exon,1665874
chr1,1788977,1789370,480,1789212,1789231,1.09e-06,+,2,644,Exon,1789221
chr1,1906248,1906570,516,1906405,1906424,3.65e-05,-,1,750,Distal,1906414
chr1,1908899,1909265,517,1909128,1909147,2.15e-06,-,2,640,Distal,1909137
chr1,1943849,1944359,531,1944159,1944178,3.92e-06,+,4,754,Intron,1944168
chr1,1959950,1960658,535,1960215,1960234,2.05e-06,+,2,749,Intron,1960224
chr1,2044781,2045234,562,2044992,2045011,3.55e-07,-,2,714,Distal,2045001
chr1,2046452,2046923,563,2046635,2046654,1.16e-07,-,2,691,Distal,2046644
chr1,2139836,2140281,604,2140128,2140147,5.08e-07,-,2,741,Intron,2140137
chr1,2174297,2174732,618,2174455,2174474,3.23e-10,-,3,755,Intron,2174464
chr1,2195004,2195482,624,2195348,2195367,1.54e-06,+,2,755,Intron,2195357
chr1,2315011,2315665,675,2315106,2315125,1.39e-05,+,2,700,Distal,2315115
chr1,2381734,2382302,700,2381914,2381933,3.91e-08,-,3,755,Intron,2381923
chr1,2414389,2414686,715,2414552,2414571,4.57e-08,+,1,760,Promoter,2414561
chr1,2922028,2922371,853,2922203,2922222,7.03e-07,-,1,635,Distal,2922212
chr1,3012443,3012871,880,3012647,3012666,3.36e-06,+,1,640,Distal,3012656
chr1,3283893,3284338,980,3284147,3284166,7.23e-05,-,1,670,Intron,3284156
chr1,3319978,3320515,993,3320124,3320143,6.36e-06,-,1,711,Intron,3320133
chr1,3424620,3425013,1040,3424868,3424887,1.15e-07,-,3,742,Intron,3424877
chr1,3453051,3453450,1045,3453290,3453309,2.23e-05,+,2,754,Promoter,3453299
chr1,3483808,3484206,1055,3484036,3484055,4.14e-06,-,2,737,Distal,3484045
chr1,3491161,3491550,1057,3491388,3491407,8.79e-07,+,2,753,Intron,3491397
chr1,3518190,3518528,1069,3518373,3518392,5.34e-08,+,2,714,Intron,3518382
chr1,3565255,3565582,1089,3565402,3565421,3.54e-08,+,1,754,Intron,3565411
chr1,3615120,3615460,1109,3615319,3615338,8.79e-07,-,2,664,Distal,3615328
chr1,3619022,3619353,1110,3619182,3619201,4.49e-07,-,1,743,Distal,3619191
chr1,3621183,3621512,1111,3621330,3621349,1.5e-06,-,1,672,Distal,3621339
chr1,3695427,3696077,1145,3695790,3695809,6.76e-06,+,2,735,Intron,3695799
chr1,3724257,3724723,1157,3724582,3724601,1.02e-08,-,2,761,Intron,3724591
chr1,3801334,3801801,1179,3801635,3801654,1.5e-06,-,1,674,Distal,3801644
chr1,3910712,3911150,1214,3910952,3910971,3.32e-06,+,2,737,Intron,3910961
chr1,4652578,4653033,1368,4652744,4652763,1.26e-06,+,1,737,Distal,4652753
chr1,5509850,5510173,1541,5510051,5510070,4e-10,+,1,748,Distal,5510060
chr1,5514483,5514878,1542,N,N,N,N,N,755,Distal,5514680
chr1,5745774,5746128,1595,5745971,5745990,6.88e-08,-,1,757,Distal,5745980
chr1,5915748,5916322,1647,5916163,5916182,8.88e-07,-,1,709,Intron,5916172
chr1,5975198,5975553,1675,5975348,5975367,1.28e-05,-,1,728,Intron,5975357
chr1,6034363,6035024,1700,N,N,N,N,N,711,Intron,6034693
chr1,6041358,6041777,1702,6041624,6041643,2.22e-08,+,2,705,Intron,6041633
chr1,6052821,6053532,1706,6053095,6053114,9.28e-06,+,1,672,Intron,6053104
chr1,6108872,6109275,1727,6109007,6109026,7.58e-07,+,1,668,Intron,6109016
chr1,6185718,6186146,1760,6185970,6185989,2.56e-07,-,1,678,Exon,6185979
chr1,6204924,6205507,1763,6205370,6205389,9.96e-07,-,1,734,Promoter,6205379
chr1,6245095,6245385,1778,6245216,6245235,9.47e-08,-,1,722,Promoter,6245225
chr1,6246743,6247093,1779,6246886,6246905,3.81e-08,+,1,754,Distal,6246895
chr1,6343437,6343752,1813,6343603,6343622,6.59e-07,-,1,745,Intron,6343612
chr1,6347977,6348388,1814,6348106,6348125,1.19e-07,+,1,708,Intron,6348115
chr1,6363059,6363418,1821,6363220,6363239,1.5e-06,+,1,709,Distal,6363229
chr1,6404746,6405274,1836,6404835,6404854,9.56e-07,-,2,745,Distal,6404844
chr1,6414278,6414670,1838,6414483,6414502,2.7e-05,-,2,674,Distal,6414492
chr1,6423446,6423754,1839,6423617,6423636,1.06e-07,+,2,728,Promoter,6423626
chr1,6438046,6438366,1844,6438191,6438210,1.37e-06,-,2,757,Intron,6438200
chr1,6445118,6445459,1847,6445296,6445315,7.96e-06,+,1,628,Intron,6445305
chr1,6475541,6476075,1862,6475672,6475691,3.04e-09,-,1,759,Intron,6475681
chr1,6486409,6486797,1866,6486635,6486654,1.25e-07,+,1,748,Intron,6486644
chr1,6489806,6490322,1867,6490037,6490056,4.03e-08,-,2,749,Intron,6490046
