id,chr,start,end,motif_start,motif_end,motif_pvalue,motif_strand,#motifs,occupancy_score,annotation,mid_position,domain_100k_1M_left,domain_100k_1M_right,cancer_peaks,normal_peaks,all_peaks,cancer_total,normal_total,all_total,cancer_mean,normal_mean,ctrl_mean,cancer_vs_other_stats,cancer_vs_other_pvalue,cancer_vs_other_adjp,normal_vs_other_stats,normal_vs_other_pvalue,normal_vs_other_adjp,cancer_vs_normal_stats,cancer_vs_normal_pvalue,cancer_vs_normal_adjp,promoter_allgenes,promoter_allgenes_pos,promoter_allgenes_hicor,promoter_allgenes_hicor_pos,promoter_upgenes,promoter_upgenes_pos,promoter_upgenes_hicor,promoter_upgenes_hicor_pos,promoter_upgenes_names,promoter_upgenes_hicor_names,promoter_dngenes,promoter_dngenes_pos,promoter_dngenes_hicor,promoter_dngenes_hicor_pos,promoter_dngenes_names,promoter_dngenes_hicor_names,domain_allgenes,domain_allgenes_pos,domain_allgenes_hicor,domain_allgenes_hicor_pos,domain_upgenes,domain_upgenes_pos,domain_upgenes_hicor,domain_upgenes_hicor_pos,domain_upgenes_names,domain_upgenes_hicor_names,domain_dngenes,domain_dngenes_pos,domain_dngenes_hicor,domain_dngenes_hicor_pos,domain_dngenes_names,domain_dngenes_hicor_names,differential_methy_EachSide150bp,DE_count_EachSide150bp,differential_methy_motif,DE_count_motif,if_intra_domain_notch,notch_center,if_intra_domain_dynamic_notch,dynamic_notch_center,if_intra_domain_MYC,PD31_peak,PD9_peak,all_patients_peaks
34843,chr1,158282456,158282752,158282609,158282628,2.58e-06,-,1,97,Distal,158282618,158182618.0,158998879.0,4,0,97,8,3,771,14.43,0.43,1.2,18.23,4.5169999999999995e-62,4.4423339899999986e-57,-0.67,0.5016,0.9168571357814068,4.13,0.002566,0.20824104844984087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,19.0,14.0,6.0,6.0,6.0,6.0,5.0,5.0,"CD1A,CD1B,CD1C,CD1E,OR10R2,SPTA1","CD1A,CD1B,CD1C,CD1E,OR10R2",2.0,1.0,0.0,0.0,"MNDA,PYHIN1",,,0,,0,1,"158203754,158203922,158248296,158248920,158329956,158334024,158334811,158362322,158362813,158398885,158399414,158401129,158407237,158491606",1,"158334284,158398988,158930763",0,0,0,0
45912,chr1,199217982,199218479,199218082,199218101,2.79e-05,+,3,37,Distal,199218091,198771745.0,199318091.0,4,0,37,8,3,771,5.72,0.52,0.75,9.6,1.105e-20,1.5493157739307533e-17,-0.28,0.7779,0.9460705638664728,1.92,0.08693,0.749456959871834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0,1,"199010744,199031345,199041741,199173506,199176945,199218227,199218669,199220261,199283105,199284159",1,"199031455,199041652,199176937,199283105,199284026",1,0,1,1
45994,chr1,199550634,199550901,199550746,199550765,4.62e-06,-,1,115,Distal,199550755,199450755.0,199684866.0,4,0,115,8,3,771,12.19,1.67,3.08,7.0,5.632e-12,2.0867772486544675e-09,-0.67,0.5028,0.9168571357814068,2.9,0.0177,0.5401717040517777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0,0,,0,,0,1,1,2
46957,chr1,202183757,202183973,202183840,202183859,3.89e-06,+,1,62,Intron,202183849,202083849.0,202283849.0,4,0,62,8,3,771,10.11,3.0,3.29,7.09,3.0249999999999997e-12,1.1845834613196812e-09,-0.19,0.8523,0.9642135272996178,2.96,0.01594,0.5230149006370639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0,1,"202160697,202184860",0,,1,0,1,1
61162,chr2,1589036,1589554,1589168,1589187,1.04e-05,+,1,105,Distal,1589177,1489177.0,1886600.0,4,0,105,8,3,771,5.16,0.17,1.87,3.7,0.0002315,0.009329780675564921,-1.19,0.2343,0.9168571357814068,1.81,0.1041,0.749456959871834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,PXDN,,0.0,0.0,0.0,0.0,,,40.69279960000001,10,8.335276,1,1,1781699,1,1781653,0,0,0,0
61553,chr2,2703205,2703466,2703300,2703319,5.98e-06,+,1,25,Distal,2703309,2120969.0,3303796.0,4,0,25,8,3,771,12.94,0.14,0.99,18.78,4.054999999999998e-65,4.6526326583333313e-60,-0.86,0.3923,0.9168571357814068,4.12,0.002585,0.20914196321541892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0,0,,0,,0,0,0,0
68297,chr2,26740820,26741075,26740939,26740958,1.94e-05,-,1,128,Distal,26740948,26605621.0,26840948.0,4,0,128,8,3,771,7.98,1.7,2.68,3.79,0.0001628,0.00701968189903545,-0.43,0.6656,0.9245822544618084,1.64,0.1352,0.749456959871834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0,1,"26721991,26785826",0,,1,1,1,2
75866,chr2,54997816,54998220,N,N,N,N,N,124,Intron,54998018,54838731.0,55098018.0,4,0,124,8,3,771,5.11,1.27,1.3,6.52,1.252e-10,3.4994442062525376e-08,-0.03,0.9747,0.9939324468085108,1.73,0.1177,0.749456959871834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0,1,"55049668,55050593",0,,1,1,0,1
80064,chr2,70602879,70603448,N,N,N,N,N,106,Distal,70603163,70503163.0,70703163.0,4,0,106,8,3,771,4.12,1.65,1.0,8.07,2.589e-15,1.7439752260273974e-12,1.05,0.2957,0.9168571357814068,2.46,0.036430000000000004,0.6610093527738266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0,1,70664657,0,,0,0,1,1
92794,chr2,128639748,128640141,128639989,128640008,4.93e-05,+,1,141,Distal,128639998,128321944.0,128739998.0,4,0,141,8,3,771,3.72,0.89,1.31,5.91,5.245e-09,9.938921290944125e-07,-0.64,0.5229,0.9168571357814068,1.97,0.08006,0.749456959871834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0,1,"128321954,128372854,128414259,128423192,128473256,128503429,128538616,128686658,128710944,128716630,128722644,128728127,128734603",1,"128366757,128537400",1,0,1,1
104619,chr2,181431690,181431986,181431871,181431890,3.71e-05,+,1,57,Distal,181431880,181104696.0,181531880.0,4,0,57,8,3,771,8.32,1.35,1.47,11.52,1.9459999999999999e-28,6.3794420666666655e-25,-0.12,0.9009,0.9762713860030224,3.24,0.01017,0.44452844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0,1,"181305865,181308995,181411304,181441176,181444822,181456802,181457318",1,"181305827,181308883,181444874",0,1,1,2
118573,chr2,239276901,239277231,239277031,239277050,3.12e-05,-,1,124,Intron,239277040,239144056.0,239882457.0,4,0,124,8,3,771,7.54,1.44,1.89,7.86,1.245e-14,7.465976524390244e-12,-0.39,0.7001,0.9301640298752304,2.92,0.01699,0.5330318762802131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,HDAC4,,0.0,0.0,0.0,0.0,,,,0,,0,1,"239267629,239268774,239295867,239298592,239321825,239322643,239327241,239401052,239401335,239401663,239545175,239547327,239548668,239550609,239553505,239555048,239555739,239602466,239623292,239625269,239627373,239751868",1,"239327884,239547337,239602622",1,0,0,0
