id,chr,start,end,motif_start,motif_end,motif_pvalue,motif_strand,#motifs,occupancy_score,annotation,mid_position,domain_100k_1M_left,domain_100k_1M_right,cancer_peaks,normal_peaks,all_peaks,cancer_total,normal_total,all_total,cancer_mean,normal_mean,ctrl_mean,cancer_vs_other_stats,cancer_vs_other_pvalue,cancer_vs_other_adjp,normal_vs_other_stats,normal_vs_other_pvalue,normal_vs_other_adjp,cancer_vs_normal_stats,cancer_vs_normal_pvalue,cancer_vs_normal_adjp,promoter_allgenes,promoter_allgenes_pos,promoter_allgenes_hicor,promoter_allgenes_hicor_pos,promoter_upgenes,promoter_upgenes_pos,promoter_upgenes_hicor,promoter_upgenes_hicor_pos,promoter_upgenes_names,promoter_upgenes_hicor_names,promoter_dngenes,promoter_dngenes_pos,promoter_dngenes_hicor,promoter_dngenes_hicor_pos,promoter_dngenes_names,promoter_dngenes_hicor_names,domain_allgenes,domain_allgenes_pos,domain_allgenes_hicor,domain_allgenes_hicor_pos,domain_upgenes,domain_upgenes_pos,domain_upgenes_hicor,domain_upgenes_hicor_pos,domain_upgenes_names,domain_upgenes_hicor_names,domain_dngenes,domain_dngenes_pos,domain_dngenes_hicor,domain_dngenes_hicor_pos,domain_dngenes_names,domain_dngenes_hicor_names,differential_methy_EachSide150bp,DE_count_EachSide150bp,differential_methy_motif,DE_count_motif
32188,chr1,150213521,150214295,N,N,N,N,N,557,Distal,150213908,150113908.0,150313908.0,1,5,557,23,9,771,0.59,5.03,4.07,-5.72,1.541e-08,2.935442969009408e-06,0.97,0.3319,0.7170820338440487,-5.26,1.124e-05,0.0005362027551798213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
36953,chr1,166884329,166884673,166884476,166884495,2.13e-06,+,1,551,Distal,166884485,166479218.0,166984485.0,3,8,551,23,9,771,3.42,21.21,9.1,-3.71,0.0002221,0.008927950537194909,4.99,7.404999999999998e-07,2.4559506407476997e-05,-7.45,2.6689999999999996e-08,5.061754823691459e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,71.47058823529412,17,94.0,1
38908,chr1,173429508,173429830,173429661,173429680,3.63e-05,+,1,614,Intron,173429670,173202547.0,173529670.0,3,7,614,23,9,771,3.77,16.48,15.75,-6.86,1.4119999999999999e-11,5.862857346200241e-09,0.26,0.7933,0.9475053708612948,-5.21,1.277e-05,0.0005895411970225323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
58669,chr1,240692052,240692423,240692278,240692297,2.97e-06,-,1,584,Distal,240692287,240189550.0,240792287.0,4,8,584,23,9,771,2.67,17.04,9.96,-4.31,1.819e-05,0.0011577776913831359,2.63,0.008690999999999999,0.0759040461655566,-7.44,2.734e-08,5.160857927063338e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,GREM2,GREM2,,0,,0
65028,chr2,14634391,14634713,14634528,14634547,2.39e-07,-,3,541,Promoter,14634537,13634537.0,14903971.0,2,8,541,23,9,771,1.07,19.88,11.76,-4.35,1.531e-05,0.0010057106860687024,2.07,0.03865,0.22196456988170912,-18.15,1.001e-17,1.749029007614213e-14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,FAM84A,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,FAM84A,,,0,,0
78281,chr2,64608823,64610001,64609454,64609473,8.38e-06,+,4,546,Intron,64609463,64488156.0,64709463.0,2,4,546,23,9,771,0.79,2.54,4.95,-4.65,3.821e-06,0.00031746164723630226,-1.69,0.09158999999999999,0.3836730463487504,-2.88,0.00731,0.0593676311536329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,74.125,40,89.0,3
81485,chr2,75199583,75199893,75199728,75199747,5.88e-06,+,1,638,Promoter,75199737,75099737.0,75404153.0,4,7,638,23,9,771,3.42,8.68,12.05,-5.28,1.6609999999999999e-07,2.267910688218961e-05,-1.3,0.1943,0.5721840525464764,-2.49,0.01839,0.11002085069218136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,45.4,5,,0
83627,chr2,87496103,87496551,87496246,87496265,2.83e-05,+,1,541,Intron,87496255,87341742.0,88060567.0,3,7,541,23,9,771,1.09,12.31,4.69,-3.98,7.686e-05,0.003789218915783443,5.23,2.164e-07,8.064528533535429e-06,-10.83,6.979e-12,5.222332598913044e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
104625,chr2,181457119,181457567,181457291,181457310,4.11e-06,-,1,603,Promoter,181457300,181104696.0,181557300.0,2,7,603,23,9,771,1.24,9.08,12.8,-6.01,2.92e-09,6.849106235093696e-07,-1.21,0.2273,0.6135817450701299,-5.5,5.681e-06,0.00031960163021982514,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,ITGA4,ITGA4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,ITGA4,ITGA4,46.90000000000001,5,,0
134165,chr3,54951411,54951751,54951552,54951571,2.41e-05,+,1,551,Intron,54951561,54851561.0,55181151.0,3,8,551,23,9,771,1.94,13.47,7.79,-4.1,4.57e-05,0.002476675218452334,2.49,0.01295,0.1021688943260867,-6.66,2.237e-07,2.6699300849514564e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
