id,chr,start,end,motif_start,motif_end,motif_pvalue,motif_strand,#motifs,occupancy_score,annotation,mid_position,domain_100k_1M_left,domain_100k_1M_right,cancer_peaks,normal_peaks,all_peaks,cancer_total,normal_total,all_total,cancer_mean,normal_mean,ctrl_mean,cancer_vs_other_stats,cancer_vs_other_pvalue,cancer_vs_other_adjp,normal_vs_other_stats,normal_vs_other_pvalue,normal_vs_other_adjp,cancer_vs_normal_stats,cancer_vs_normal_pvalue,cancer_vs_normal_adjp,promoter_allgenes,promoter_allgenes_pos,promoter_allgenes_hicor,promoter_allgenes_hicor_pos,promoter_upgenes,promoter_upgenes_pos,promoter_upgenes_hicor,promoter_upgenes_hicor_pos,promoter_upgenes_names,promoter_upgenes_hicor_names,promoter_dngenes,promoter_dngenes_pos,promoter_dngenes_hicor,promoter_dngenes_hicor_pos,promoter_dngenes_names,promoter_dngenes_hicor_names,domain_allgenes,domain_allgenes_pos,domain_allgenes_hicor,domain_allgenes_hicor_pos,domain_upgenes,domain_upgenes_pos,domain_upgenes_hicor,domain_upgenes_hicor_pos,domain_upgenes_names,domain_upgenes_hicor_names,domain_dngenes,domain_dngenes_pos,domain_dngenes_hicor,domain_dngenes_hicor_pos,domain_dngenes_names,domain_dngenes_hicor_names,differential_methy_EachSide150bp,DE_count_EachSide150bp,differential_methy_motif,DE_count_motif
124,chr1,919592,919903,919786,919805,3.88e-07,+,1,148,Promoter,919795,819795.0,1019795.0,34,0,148,56,3,771,4.57,0.88,2.27,6.17,1.0929999999999998e-09,2.411630707349124e-08,-0.93,0.3524,0.9999349358395874,1.64,0.1072,0.44498060766118575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
129,chr1,925548,925892,925695,925714,9.78e-05,+,1,103,Promoter,925704,825704.0,1025704.0,34,0,103,56,3,771,4.91,0.5,2.16,7.11,2.5920000000000003e-12,8.91446254683519e-11,-1.06,0.2915,0.9999349358395874,1.94,0.05676000000000001,0.2975324183932202,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-0.8125,8,-0.45,5
849,chr1,2914771,2915028,2914892,2914911,3.22e-05,+,1,89,Distal,2914901,2414552.0,3014901.0,29,0,89,56,3,771,4.09,0.58,1.28,8.58,4.7639999999999996e-17,3.306458066337332e-15,-0.54,0.5927,0.9999349358395874,1.67,0.1004,0.4284199240081075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,6.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,FAM213B,,0.0,0.0,0.0,0.0,,,,0,,0
1510,chr1,5394075,5394460,5394315,5394334,1.57e-06,+,1,126,Distal,5394324,4652744.0,5745990.0,31,0,126,56,3,771,2.53,0.1,1.11,6.59,8.052e-11,2.164478839515814e-09,-1.19,0.2342,0.9999349358395874,1.73,0.08915,0.39906786666406574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
1588,chr1,5719149,5719501,N,N,N,N,N,148,Distal,5719325,5510051.0,5819325.0,33,0,148,56,3,771,2.04,0.51,1.2,3.59,0.00035180000000000004,0.002107460165332405,-0.7,0.4831,0.9999349358395874,1.5,0.1393,0.5138328146683598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,6.75,5,,0
1701,chr1,6035772,6036012,6035870,6035889,6.7e-06,+,1,135,Intron,6035879,5935879.0,6135879.0,35,0,135,56,3,771,5.72,0.67,2.9,6.92,8.832000000000001e-12,2.790877135775269e-10,-1.36,0.1749,0.9999349358395874,2.16,0.035019999999999996,0.2114434623750219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
1864,chr1,6483080,6483314,6483194,6483213,4.11e-06,+,2,55,Intron,6483203,6383203.0,6583203.0,39,0,55,56,3,771,11.62,1.69,2.41,14.96,6.604e-45,2.2618831422885572e-41,-0.3,0.7612,0.9999349358395874,2.18,0.03377,0.20599921430849927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
3030,chr1,10058514,10058774,10058654,10058673,1.97e-05,-,1,63,Intron,10058663,9958663.0,10210362.0,35,0,63,56,3,771,7.28,0.72,1.1,13.58,4.787e-38,5.614156086882453e-35,-0.24,0.8102,0.9999349358395874,1.54,0.1284,0.4920634802939212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
3491,chr1,11617260,11617624,11617489,11617508,6.59e-06,+,1,134,Distal,11617498,11478831.0,11717498.0,34,0,134,56,3,771,4.02,1.07,1.3,10.52,2.347e-24,4.620368495853589e-22,-0.22,0.8221,0.9999349358395874,1.59,0.117,0.4674927333511323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
3507,chr1,11675318,11675613,11675453,11675472,8.53e-06,+,1,99,Intron,11675462,11575462.0,11775462.0,30,0,99,56,3,771,2.92,0.63,1.43,6.8,2.0530000000000002e-11,6.091215519544888e-10,-0.9,0.3683,0.9999349358395874,1.91,0.06059,0.31123648045067903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
4332,chr1,15064511,15064819,15064819,15064838,9.45e-05,-,1,142,Intron,15064828,14964828.0,15164828.0,37,0,142,56,3,771,4.83,0.71,2.04,8.74,1.264e-17,9.489359389312977e-16,-1.02,0.3082,0.9999349358395874,2.35,0.022330000000000003,0.1507962250473304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,25.625,2,,0
6730,chr1,22819048,22819332,22819192,22819211,1.8e-05,+,2,71,Intron,22819201,22704620.0,22919201.0,28,0,71,56,3,771,2.1,0.53,0.94,7.93,6.934999999999999e-15,3.531514990014054e-13,-0.71,0.4788,0.9999349358395874,1.66,0.103,0.4349661820635504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
