id,chr,start,end,motif_start,motif_end,motif_pvalue,motif_strand,#motifs,occupancy_score,annotation,mid_position,domain_100k_1M_left,domain_100k_1M_right,cancer_peaks,normal_peaks,all_peaks,cancer_total,normal_total,all_total,cancer_mean,normal_mean,ctrl_mean,cancer_vs_other_stats,cancer_vs_other_pvalue,cancer_vs_other_adjp,normal_vs_other_stats,normal_vs_other_pvalue,normal_vs_other_adjp,cancer_vs_normal_stats,cancer_vs_normal_pvalue,cancer_vs_normal_adjp,promoter_allgenes,promoter_allgenes_pos,promoter_allgenes_hicor,promoter_allgenes_hicor_pos,promoter_upgenes,promoter_upgenes_pos,promoter_upgenes_hicor,promoter_upgenes_hicor_pos,promoter_upgenes_names,promoter_upgenes_hicor_names,promoter_dngenes,promoter_dngenes_pos,promoter_dngenes_hicor,promoter_dngenes_hicor_pos,promoter_dngenes_names,promoter_dngenes_hicor_names,domain_allgenes,domain_allgenes_pos,domain_allgenes_hicor,domain_allgenes_hicor_pos,domain_upgenes,domain_upgenes_pos,domain_upgenes_hicor,domain_upgenes_hicor_pos,domain_upgenes_names,domain_upgenes_hicor_names,domain_dngenes,domain_dngenes_pos,domain_dngenes_hicor,domain_dngenes_hicor_pos,domain_dngenes_names,domain_dngenes_hicor_names,differential_methy_EachSide150bp,DE_count_EachSide150bp,differential_methy_motif,DE_count_motif
342,chr1,1376282,1376726,1376505,1376524,7.63e-06,-,1,129,Promoter,1376514,1122262.0,1476514.0,15,0,129,23,9,771,6.45,1.61,2.86,5.46,6.226e-08,9.80298967070661e-06,-1.21,0.2265,0.6126979147019992,3.74,0.0007686,0.012111207155119135,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,15.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,TNFRSF18,,0.0,0.0,0.0,0.0,,,,0,,0
1098,chr1,3588371,3588717,3588372,3588391,9.85e-08,+,12,130,Intron,3588381,3488381.0,3688381.0,11,0,130,23,9,771,4.35,0.18,1.67,5.33,1.3060000000000002e-07,1.845419281609196e-05,-1.93,0.053470000000000004,0.2750054061545128,3.11,0.004102000000000001,0.039827594465756525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
2484,chr1,8315843,8316150,8315953,8315972,3.96e-05,-,2,146,Distal,8315962,8215962.0,8415962.0,12,0,146,23,9,771,6.96,1.91,3.52,4.82,1.686e-06,0.00015991888867456598,-1.45,0.1474,0.4989400855541352,3.53,0.001358,0.018230662077572592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
4332,chr1,15064511,15064819,15064819,15064838,9.45e-05,-,1,142,Intron,15064828,14964828.0,15164828.0,14,0,142,23,9,771,4.55,0.56,2.05,5.22,2.337e-07,3.029865485875707e-05,-1.99,0.04703,0.2529517787274603,4.16,0.0002472,0.005317615498547011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-47.25,2,,0
4913,chr1,16699978,16700443,16700317,16700336,2.7e-06,+,2,96,Intron,16700326,16600326.0,16951876.0,13,0,96,23,9,771,2.01,0.95,0.85,4.87,1.3569999999999999e-06,0.00013336162069950034,0.26,0.7921,0.9471533720667672,1.83,0.07686,0.2672342712410543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,-6.5,3,,0
8230,chr1,27599578,27599875,27599719,27599738,1.69e-05,+,1,101,Intron,27599728,27499728.0,27699728.0,12,0,101,23,9,771,3.65,3.07,1.87,5.1,4.174e-07,4.958589553062986e-05,2.19,0.0287,0.1810692305577448,0.69,0.4976,0.7268963674519964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
8898,chr1,30133703,30134000,30133844,30133863,1.14e-06,-,1,150,Distal,30133853,29793187.0,30233853.0,11,0,150,23,9,771,3.09,0.56,1.48,4.79,2.014e-06,0.00018593214509856512,-1.73,0.08446000000000001,0.3656440280467866,4.72,5.083e-05,0.0016639489334284356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
8941,chr1,30340977,30341264,N,N,N,N,N,154,Distal,30341120,30232486.0,30719408.0,12,0,154,23,9,771,6.86,0.69,1.88,7.94,6.9200000000000004e-15,5.637785420118343e-12,-1.26,0.2092,0.5916058577543358,3.02,0.005161,0.04673254681170095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
9070,chr1,30797695,30798008,30797831,30797850,3.74e-05,+,1,137,Distal,30797840,30697840.0,30897840.0,15,0,137,23,9,771,7.98,1.45,3.48,6.68,4.640999999999999e-11,1.704908745464247e-08,-1.94,0.053020000000000005,0.27351856588334034,4.35,0.0001431,0.0035485263993948564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0,,0
10144,chr1,34759686,34760144,N,N,N,N,N,110,Promoter,34759915,34659915.0,34859915.0,15,0,110,23,9,771,3.7,0.56,0.95,10.59,1.386e-24,5.853758245398773e-21,-0.96,0.3394,0.7231392582688814,5.74,2.9230000000000002e-06,0.00019326526767191705,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,GJB4,,0.0,0.0,0.0,0.0,,,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,"GJB3,GJB4,GJB5",GJB3,0.0,0.0,0.0,0.0,,,,0,,0
